currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1364.0 	-20.0 	-14.0 	-231.0 	11.0 	25.0 	-56.0 	-23.0 	-43.0 	9.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	201.0 	22.0 	32.0 	25.0 	12.0 	0.0 	0.0 	: c	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-327.0 	-701.0 	-99.0 	-2233.0 	-3464.0 	-839.0 	838.0 	-1025.0 	-1946.0 	-2821.0 	630.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	-0.1 	0.2 	0.0 	-3.4 	-0.1 	1.0 	1.1 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	644.0 	-79.0 	-30.0 	-117.0 	129.0 	18.0 	3.0 	-2.0 	24.0 	25.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	96.0 	211.0 	152.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,HR	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36790.2 	-5335.9 	19097.2 	-15944.8 	43028.7 	-1240.0 	70743.6 	1060.0 	96646.9 	36374.1 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	250.0 	0.0 	0.0 	0.0 	8.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,IT	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	1.0 	2.0 	1.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-23.6 	30.2 	20.6 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,LU	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	167.0 	-19.0 	-23.0 	-43.0 	49.0 	9.0 	-50.0 	33.0 	-13.0 	31.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	18.1 	-2.2 	1.5 	-1.2 	5.5 	2.7 	-4.3 	0.2 	-4.5 	2.3 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,NL	: 	: 	: 	: 	: 	: 	: 	: 	-7.0 	4.0 	200.0 	13.0 	23.0 	24.0 	-17.0 	8.0 	-30.0 	-28.0 	15.0 	-53.0 	-20.0 	-9.0 	19.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	3.0 	1.0 	: c	0.0 	1.0 	0.0 	2.0 	-6.0 	2.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,SE	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	-9247.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	-3.0 	-11.0 	-2.0 	0.8 	2.4 	-6.9 	-2.0 	0.8 	0.9 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-278.9 	-165.8 	-106.8 	-39.8 	-19.9 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-554.0 	-257.0 	2028.0 	-1699.0 	-156.0 	-5171.0 	-4325.0 	-1481.0 	-1025.0 	3666.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-204.6 	-80.5 	-114.6 	1.1 	-82.7 	-56.1 	-75.7 	-137.2 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-414.0 	-385.0 	-310.0 	-374.0 	-166.0 	-73.0 	-4.0 	-29.0 	-9.0 	-61.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,CZ	: 	: 	: 	: 	: 	1039.0 	4260.0 	8541.0 	4682.0 	7889.0 	10688.0 	16925.0 	15629.0 	-15383.0 	-6567.0 	-644.0 	-3306.0 	-3810.0 	-18295.0 	1125.0 	4328.0 	3985.0 	5234.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	-2241.0 	-13096.0 	5485.0 	10127.0 	-1528.0 	12138.0 	2535.0 	10720.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1736.0 	12885.0 	10110.0 	-6461.0 	-8265.0 	10414.0 	15178.0 	24769.0 	15707.0 	-9457.0 	-6508.0 	-25306.0 	-1267.0 
MIO_NAC,FA__F__F7,S122,S1,WRL_REST,N_LE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.8 	-6.0 	-16.3 	-8.3 	-43.6 	-29.2 	-9.3 	-8.1 	-31.0 	-20.8 
