unit,citizen,wstatus,age,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,EMP,Y15-64,AT	16.0 b	16.0 	16.5 b	16.6 	15.9 	16.0 	17.1 	16.4 	16.1 	15.6 	16.1 	16.5 	17.0 
PC,TOTAL,EMP,Y15-64,BE	12.4 b	12.9 	13.7 	13.6 	12.1 	11.9 	13.5 b	12.9 	11.7 	12.1 	12.0 	12.5 	12.7 b
PC,TOTAL,EMP,Y15-64,BG	17.8 b	17.4 	14.7 	14.1 b	12.0 	10.6 b	11.4 b	12.2 	12.5 	11.6 	10.7 	10.5 	11.1 
PC,TOTAL,EMP,Y15-64,CH	15.2 b	16.0 	16.1 	17.0 	16.2 	16.7 b	18.1 	17.3 	17.4 	17.7 	18.6 	18.0 	18.8 
PC,TOTAL,EMP,Y15-64,CY	16.1 b	16.9 	18.2 	19.1 	17.7 b	17.3 	17.2 	16.9 	16.7 	19.7 	19.5 	21.1 	21.4 
PC,TOTAL,EMP,Y15-64,CZ	11.3 b	11.7 	11.6 	11.3 	11.1 	11.1 	11.4 b	10.7 	10.2 	10.8 	11.1 	11.3 	11.6 
PC,TOTAL,EMP,Y15-64,DE	14.2 b	14.9 	15.7 	15.8 	14.7 	14.8 b	15.2 b	14.9 	14.1 	14.0 	14.2 	14.5 	14.6 
PC,TOTAL,EMP,Y15-64,DK	23.1 b	25.0 	27.3 	26.0 	22.4 	20.8 	21.6 	21.4 	22.5 	23.2 	23.1 	25.0 b	24.5 b
PC,TOTAL,EMP,Y15-64,EA18	14.6 b	15.2 	15.8 	15.5 	13.6 	13.7 	14.4 	14.0 	13.2 	13.6 	14.2 	14.7 	15.2 
PC,TOTAL,EMP,Y15-64,EA19	14.6 b	15.2 	15.8 	15.5 	13.6 	13.7 	14.4 	14.0 	13.3 	13.7 	14.2 	14.8 	15.2 
PC,TOTAL,EMP,Y15-64,EE	18.1 b	17.2 	17.0 	16.0 	14.9 	16.4 	19.1 	18.0 	16.7 	17.0 	16.7 	17.1 	18.6 
PC,TOTAL,EMP,Y15-64,EL	8.8 b	9.9 	9.1 	9.5 	9.5 b	8.8 	7.7 	7.3 	8.7 	10.8 	10.9 	10.4 	10.8 
PC,TOTAL,EMP,Y15-64,ES	22.7 b	23.7 	23.4 	21.3 	17.2 	16.5 	16.2 	15.1 	15.2 	16.8 	17.8 	18.4 	19.0 
PC,TOTAL,EMP,Y15-64,EU27	15.3 b	15.8 	16.2 	15.8 	13.7 	13.7 	14.3 	14.0 	13.5 	14.0 	14.5 	14.8 	15.2 
PC,TOTAL,EMP,Y15-64,EU28	15.3 b	15.7 	16.2 	15.7 	13.7 	13.7 	14.3 	14.0 	13.5 	14.0 	14.5 	14.8 	15.2 
PC,TOTAL,EMP,Y15-64,FI	20.1 b	20.6 	21.3 	21.0 b	18.3 	17.9 	20.3 	19.8 	19.2 	18.7 	18.5 	20.1 	21.1 
PC,TOTAL,EMP,Y15-64,FR	14.8 b	15.6 	16.3 	16.1 	14.5 	14.7 	15.3 	15.1 	13.0 	13.2 b	13.6 	14.3 	15.2 
PC,TOTAL,EMP,Y15-64,HR	12.5 b	13.0 b	13.2 	11.4 	9.9 	8.3 	9.9 	9.5 	9.9 	12.7 	12.8 	16.0 	15.7 
PC,TOTAL,EMP,Y15-64,HU	12.2 b	12.6 	12.6 	14.1 	13.0 	13.5 	13.4 	14.8 	15.7 	15.7 	15.2 	15.4 	14.7 
PC,TOTAL,EMP,Y15-64,IE	18.3 b	16.3 	20.4 b	18.7 	13.6 	12.3 	13.6 	14.6 	15.3 	16.1 	16.8 	17.8 	17.3 b
PC,TOTAL,EMP,Y15-64,IS	22.8 b	24.7 	23.9 	24.4 	17.7 	18.0 	19.7 	21.5 	21.1 	20.2 	20.8 	21.5 	22.5 
PC,TOTAL,EMP,Y15-64,IT	11.6 b	12.0 	12.4 	12.5 	10.3 	10.3 	10.5 	10.4 	9.7 	10.1 	10.9 	11.3 	11.5 
PC,TOTAL,EMP,Y15-64,LT	15.1 b	15.1 	15.9 	16.0 	14.0 	15.3 	18.1 	16.3 	17.6 	16.1 	16.8 	20.6 	19.6 
PC,TOTAL,EMP,Y15-64,LU	10.2 b	10.5 	11.3 b	9.6 	13.4 b	11.8 	13.3 	12.7 	12.6 	13.7 	14.7 b	12.6 b	14.0 
PC,TOTAL,EMP,Y15-64,LV	19.1 b	21.3 	20.4 	18.3 	14.5 	19.1 	20.1 	18.7 	18.2 	16.2 	15.9 	15.0 	16.5 
PC,TOTAL,EMP,Y15-64,ME	: 	: 	: 	: 	: 	: 	11.2 	9.9 	12.2 	13.7 	14.9 	16.0 	14.6 
PC,TOTAL,EMP,Y15-64,MK	: 	15.1 	14.7 	15.5 	13.4 	12.7 	13.0 	12.8 	12.2 	10.7 	13.3 	13.1 	11.8 
PC,TOTAL,EMP,Y15-64,MT	10.4 b	9.9 	13.4 	12.1 	10.3 	11.6 	12.3 	12.7 	12.7 	12.3 	12.4 	14.8 	16.1 
PC,TOTAL,EMP,Y15-64,NL	6.8 b	7.6 	8.7 	9.1 	7.8 	10.3 b	15.8 b	15.4 	14.7 	15.0 	16.5 	17.5 	18.3 
PC,TOTAL,EMP,Y15-64,NO	3.8 b	15.3 b	20.2 	20.3 	17.2 	15.7 	16.9 	17.0 	16.3 	15.6 	15.2 	15.1 	15.5 
PC,TOTAL,EMP,Y15-64,PL	14.3 b	15.8 	16.8 	16.4 	13.9 	14.2 b	13.2 	13.0 	12.2 	12.9 	12.3 	12.7 	12.5 
PC,TOTAL,EMP,Y15-64,PT	12.3 b	12.6 	14.0 	13.8 	13.0 	13.1 	13.8 b	12.6 	13.0 	14.4 	15.5 	15.9 	16.2 
PC,TOTAL,EMP,Y15-64,RO	12.8 b	12.9 	11.0 	8.8 	7.1 	6.4 b	6.6 	6.0 	5.8 	5.7 	7.2 	5.7 	6.6 
PC,TOTAL,EMP,Y15-64,SE	17.9 b	19.9 	21.3 	21.0 	18.3 	18.9 	21.1 	20.3 	19.9 	20.5 	21.1 	21.7 	22.5 
PC,TOTAL,EMP,Y15-64,SI	14.0 b	9.8 	14.7 	15.2 	12.7 	12.1 	11.9 	12.4 	11.9 	10.2 	13.7 	12.4 	15.0 
PC,TOTAL,EMP,Y15-64,SK	13.3 b	12.5 	12.9 	11.9 	10.0 	10.4 	10.0 b	9.1 	9.0 	10.6 	12.9 	13.2 	13.5 
PC,TOTAL,EMP,Y15-64,TR	: 	20.0 	20.7 	22.3 	22.9 	25.1 	26.5 	26.5 	26.9 	28.8 b	29.0 	28.2 	28.3 
PC,TOTAL,EMP,Y15-64,UK	19.7 b	18.8 	19.0 b	18.4 b	15.6 	15.2 	15.6 	15.8 	16.0 	17.1 	18.1 	17.8 	17.8 
