indic_is,ind_type,unit,geo\time	2015 	2016 	2017 
I_DSK_BAB,F_Y16_74,PC_IND,AT	57 	61 	62 
I_DSK_BAB,F_Y16_74,PC_IND,BE	58 	58 	59 
I_DSK_BAB,F_Y16_74,PC_IND,BG	31 	27 	30 
I_DSK_BAB,F_Y16_74,PC_IND,CH	: 	: 	74 b
I_DSK_BAB,F_Y16_74,PC_IND,CY	40 	45 	51 
I_DSK_BAB,F_Y16_74,PC_IND,CZ	55 	53 	57 
I_DSK_BAB,F_Y16_74,PC_IND,DE	63 	64 	65 
I_DSK_BAB,F_Y16_74,PC_IND,DK	73 	76 	67 
I_DSK_BAB,F_Y16_74,PC_IND,EA	54 	55 	55 
I_DSK_BAB,F_Y16_74,PC_IND,EE	64 	60 	60 
I_DSK_BAB,F_Y16_74,PC_IND,EL	40 	45 	44 
I_DSK_BAB,F_Y16_74,PC_IND,ES	51 	50 	52 
I_DSK_BAB,F_Y16_74,PC_IND,EU27	53 	54 	55 
I_DSK_BAB,F_Y16_74,PC_IND,EU28	53 	54 	55 
I_DSK_BAB,F_Y16_74,PC_IND,FI	74 	74 	77 
I_DSK_BAB,F_Y16_74,PC_IND,FR	56 	56 	57 
I_DSK_BAB,F_Y16_74,PC_IND,HR	46 	50 	34 
I_DSK_BAB,F_Y16_74,PC_IND,HU	47 	49 	47 
I_DSK_BAB,F_Y16_74,PC_IND,IE	44 	43 	48 
I_DSK_BAB,F_Y16_74,PC_IND,IS	: 	: 	86 
I_DSK_BAB,F_Y16_74,PC_IND,IT	39 	40 	: u
I_DSK_BAB,F_Y16_74,PC_IND,LT	52 	51 	56 
I_DSK_BAB,F_Y16_74,PC_IND,LU	83 	81 	82 
I_DSK_BAB,F_Y16_74,PC_IND,LV	50 	52 b	50 
I_DSK_BAB,F_Y16_74,PC_IND,ME	: 	: 	42 
I_DSK_BAB,F_Y16_74,PC_IND,MK	36 	35 	31 
I_DSK_BAB,F_Y16_74,PC_IND,MT	49 	48 	55 
I_DSK_BAB,F_Y16_74,PC_IND,NL	69 	74 	77 
I_DSK_BAB,F_Y16_74,PC_IND,NO	77 	74 	74 
I_DSK_BAB,F_Y16_74,PC_IND,PL	38 	43 	45 
I_DSK_BAB,F_Y16_74,PC_IND,PT	44 	45 	48 
I_DSK_BAB,F_Y16_74,PC_IND,RO	25 	26 	28 
I_DSK_BAB,F_Y16_74,PC_IND,RS	29 	: 	36 
I_DSK_BAB,F_Y16_74,PC_IND,SE	71 	67 b	76 
I_DSK_BAB,F_Y16_74,PC_IND,SI	51 	53 	57 
I_DSK_BAB,F_Y16_74,PC_IND,SK	52 	54 	56 
I_DSK_BAB,F_Y16_74,PC_IND,TR	18 	22 	27 
I_DSK_BAB,F_Y16_74,PC_IND,UK	65 	68 	69 
I_DSK_BAB,IND_TOTAL,PC_IND,AT	64 	65 	67 
