unit,landcover,geo\time	2009 	2012 	2015 
PC,LCC1,AT	41.1 p	41.3 	42.9 
PC,LCC1,BE	20.8 p	21.6 	22.3 
PC,LCC1,BG	: 	38.2 	40.8 
PC,LCC1,CY	: 	20.3 	23.2 
PC,LCC1,CZ	36.3 p	36.7 	36.9 
PC,LCC1,DE	30.3 p	30.5 	31.6 
PC,LCC1,DK	12.3 p	12.0 	14.0 
PC,LCC1,EE	51.9 p	54.5 	56.3 
PC,LCC1,EL	28.1 p	28.4 	31.1 
PC,LCC1,ES	24.6 p	25.0 	27.0 
PC,LCC1,EU27	: 	35.1 	36.1 
PC,LCC1,EU28	: 	: 	36.2 
PC,LCC1,EU_V	34.6 p	35.2 	36.2 
PC,LCC1,FI	65.1 p	66.4 	66.8 
PC,LCC1,FR	27.6 p	27.6 	28.3 
PC,LCC1,HR	: 	: 	44.8 
PC,LCC1,HU	20.2 p	21.6 	23.6 
PC,LCC1,IE	9.1 p	10.2 	10.5 
PC,LCC1,IT	30.1 p	30.9 	31.3 
PC,LCC1,LT	34.7 p	36.2 	37.4 
PC,LCC1,LU	33.2 p	32.8 	33.9 
PC,LCC1,LV	49.2 p	51.6 	51.7 
PC,LCC1,MT	: 	2.9 u	1.3 u
PC,LCC1,NL	6.5 p	6.3 	6.5 
PC,LCC1,PL	31.8 p	33.2 	34.7 
PC,LCC1,PT	27.2 p	28.2 	31.8 
PC,LCC1,RO	: 	31.1 	32.7 
PC,LCC1,SE	60.5 p	61.4 	61.7 
PC,LCC1,SI	60.4 p	60.2 	61.7 
PC,LCC1,SK	43.5 p	44.6 	45.8 
PC,LCC1,UK	9.9 p	10.2 	9.7 
PC,LCC1_2,AT	45.2 p	45.0 	46.7 
PC,LCC1_2,BE	21.7 p	22.4 	23.1 
PC,LCC1_2,BG	: 	42.2 	44.7 
PC,LCC1_2,CY	: 	33.3 	39.7 
PC,LCC1_2,CZ	37.0 p	37.5 	37.7 
PC,LCC1_2,DE	30.9 p	31.1 	32.2 
PC,LCC1_2,DK	13.7 p	13.4 	15.6 
PC,LCC1_2,EE	55.6 p	57.6 	58.2 
PC,LCC1_2,EL	38.4 p	40.4 	44.5 
PC,LCC1_2,ES	33.5 p	36.6 	39.2 
PC,LCC1_2,EU27	: 	40.3 	41.6 
PC,LCC1_2,EU28	: 	: 	41.7 
PC,LCC1_2,EU_V	39.3 p	40.7 	41.9 
PC,LCC1_2,FI	68.7 p	70.5 	71.3 
PC,LCC1_2,FR	30.1 p	30.6 	31.0 
PC,LCC1_2,HR	: 	: 	50.6 
PC,LCC1_2,HU	22.0 p	23.4 	25.2 
PC,LCC1_2,IE	15.8 p	22.0 	22.4 
PC,LCC1_2,IT	33.6 p	35.0 	35.6 
PC,LCC1_2,LT	36.3 p	37.8 	38.3 
PC,LCC1_2,LU	34.4 p	34.0 u	36.3 
PC,LCC1_2,LV	53.2 p	55.0 	56.4 
PC,LCC1_2,MT	: 	13.1 u	11.5 u
PC,LCC1_2,NL	7.4 p	7.4 	8.0 
PC,LCC1_2,PL	33.2 p	34.6 	36.1 
PC,LCC1_2,PT	36.9 p	41.9 	46.6 
PC,LCC1_2,RO	: 	32.5 	34.1 
PC,LCC1_2,SE	64.6 p	66.5 	66.5 
PC,LCC1_2,SI	62.1 p	62.0 	63.4 
PC,LCC1_2,SK	45.8 p	47.0 	48.7 
PC,LCC1_2,UK	25.3 p	25.6 	26.9 
PC,LCC2,AT	4.1 p	3.7 	3.8 
PC,LCC2,BE	0.9 p	0.8 	0.8 
PC,LCC2,BG	: 	4.0 	3.9 
PC,LCC2,CY	: 	13.0 	16.5 
PC,LCC2,CZ	0.7 p	0.8 	0.8 
PC,LCC2,DE	0.6 p	0.6 	0.6 
PC,LCC2,DK	1.4 p	1.4 	1.6 
PC,LCC2,EE	3.7 p	3.1 	1.9 
PC,LCC2,EL	10.3 p	12.0 	13.4 
PC,LCC2,ES	8.9 p	11.6 	12.2 
PC,LCC2,EU27	: 	5.2 	5.5 
PC,LCC2,EU28	: 	: 	5.5 
PC,LCC2,EU_V	4.7 p	5.5 	5.7 
PC,LCC2,FI	3.6 p	4.1 	4.5 
PC,LCC2,FR	2.5 p	3.0 	2.7 
PC,LCC2,HR	: 	: 	5.8 
PC,LCC2,HU	1.8 p	1.8 	1.6 
PC,LCC2,IE	6.7 p	11.8 	11.9 
PC,LCC2,IT	3.5 p	4.1 	4.3 
PC,LCC2,LT	1.6 p	1.6 	0.9 
PC,LCC2,LU	1.2 p	1.2 u	2.4 
PC,LCC2,LV	4.0 p	3.4 	4.7 
PC,LCC2,MT	: 	10.2 	10.2 
PC,LCC2,NL	0.9 p	1.1 	1.5 
PC,LCC2,PL	1.4 p	1.4 	1.4 
PC,LCC2,PT	9.7 p	13.7 	14.8 
PC,LCC2,RO	: 	1.4 	1.4 
PC,LCC2,SE	4.1 p	5.1 	4.8 
PC,LCC2,SI	1.7 p	1.8 	1.7 
PC,LCC2,SK	2.3 p	2.4 	2.9 
PC,LCC2,UK	15.4 p	15.4 	17.2 
