unit,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CP_MNAC,NSA,B1GQ,SE	460347.0 	478809.0 	448898.0 	497594.0 	482494.0 	487296.0 	462780.0 	501808.0 	482371.0 	516923.0 	483535.0 	539149.0 	512163.0 	541856.0 	506463.0 	563924.0 	538820.0 	567930.0 	533987.0 	599836.0 	569382.0 	608795.0 	574033.0 	631416.0 	597862.0 	636738.0 	591632.0 	655684.0 	616685.0 	662601.0 	618774.0 	675899.0 	649148.0 	679057.0 	648132.0 	704526.0 	672607.0 	716459.0 	680153.0 	739184.0 	688191.0 	746256.0 	704706.0 	771530.0 	741519.0 	789602.0 	750314.0 	821399.0 	790740.0 	840883.0 	792722.0 	876638.0 	819686.0 	879116.0 	827106.0 	865773.0 	792751.0 	843564.0 	795822.0 	859872.0 	826270.0 	896629.0 	858245.0 	942680.0 	880897.0 	938592.0 	895652.0 	945902.0 	890343.0 	951326.0 	892107.0 	955095.0 	905939.0 	960979.0 	915282.0 	991739.0 	937020.0 	1004009.0 	956488.0 	1043408.0 	994177.0 	1070398.0 	1020982.0 	1115986.0 	1037955.0 	1123955.0 	1058556.0 	1165031.0 	1094326.0 	1170754.0 	1100799.0 	1213020.0 	1148990.0 	1227200.0 
CP_MNAC,NSA,B1GQ,SI	2372.5 	2674.4 	2668.5 	2806.3 	2685.0 	3072.7 	3123.0 	3251.3 	3043.1 	3562.9 	3513.9 	3707.3 	3437.8 	3890.2 	3884.9 	4124.4 	3864.3 	4408.6 	4328.9 	4608.5 	4323.8 	4789.7 	4789.1 	4999.4 	4858.4 	5347.1 	5366.6 	5574.7 	5427.4 	5960.2 	6021.5 	6213.5 	5875.0 	6485.9 	6612.3 	6694.3 	6316.1 	6968.2 	7129.8 	7258.6 	6610.8 	7555.0 	7488.3 	7572.4 	7095.7 	8028.8 	8155.9 	8275.0 	7943.9 	8933.5 	9163.9 	9111.3 	8764.9 	9857.0 	9878.4 	9450.9 	8510.6 	9249.4 	9271.1 	9135.2 	8385.1 	9352.2 	9314.9 	9200.2 	8659.5 	9565.8 	9488.6 	9182.4 	8679.0 	9281.2 	9196.6 	8919.3 	8328.2 	9295.6 	9378.4 	9237.1 	8719.3 	9681.1 	9720.4 	9482.5 	9010.2 	9918.9 	9974.3 	9960.0 	9341.9 	10296.1 	10340.6 	10378.7 	9872.9 	10930.7 	10995.1 	11200.9 	10563.4 	11642.2 
CP_MNAC,NSA,B1GQ,SK	4554.2 	5288.1 	5057.5 	4786.0 	5113.4 	5482.7 	5743.5 	5611.8 	5711.3 	6148.2 	6391.9 	6164.2 	6182.4 	6734.4 	6878.8 	6868.5 	6718.9 	7381.3 	7323.0 	7124.5 	7119.4 	8030.4 	8170.3 	8281.2 	7752.0 	8735.4 	8800.0 	9023.1 	8401.0 	9241.6 	9715.8 	9921.5 	9320.0 	10282.1 	10693.5 	11108.7 	10578.9 	11170.0 	11965.0 	12387.6 	11413.9 	12417.7 	13097.8 	13485.7 	12467.6 	13922.0 	14689.6 	15193.4 	14257.7 	15469.7 	16516.0 	16810.6 	16205.2 	17204.2 	17889.0 	17193.3 	14978.4 	15854.1 	16740.5 	16450.1 	15588.3 	16747.1 	17899.3 	17342.6 	16188.6 	17614.9 	18613.0 	18210.7 	16819.6 	18150.5 	19217.1 	18516.3 	17172.7 	18541.5 	19553.7 	18901.9 	17542.1 	18973.9 	20077.3 	19494.5 	18037.9 	19638.0 	20823.5 	20397.0 	18613.7 	20289.3 	21245.1 	21005.9 	19339.6 	21195.5 	22314.9 	22135.2 	20460.6 	22635.0 
CP_MNAC,NSA,B1GQ,UK	206275.0 	206494.0 	212534.0 	221233.0 	219580.0 	221607.0 	226828.0 	235417.0 	232726.0 	233949.0 	238839.0 	243439.0 	243104.0 	242475.0 	248793.0 	256866.0 	255238.0 	252447.0 	258658.0 	264815.0 	269171.0 	268966.0 	273715.0 	277489.0 	279076.0 	278520.0 	282549.0 	289298.0 	291010.0 	290691.0 	297171.0 	304084.0 	308670.0 	306949.0 	313475.0 	322753.0 	325268.0 	321907.0 	328956.0 	336723.0 	340333.0 	342113.0 	347848.0 	358459.0 	364519.0 	356642.0 	368667.0 	376074.0 	386147.0 	373592.0 	386864.0 	394839.0 	403452.0 	390155.0 	394171.0 	392018.0 	387211.0 	376446.0 	384483.0 	389073.0 	397135.0 	390716.0 	396246.0 	403369.0 	416271.0 	402456.0 	408117.0 	417702.0 	422095.0 	412809.0 	424522.0 	434991.0 	438363.0 	430392.0 	439704.0 	452888.0 	458366.0 	455598.0 	459739.0 	470592.0 	469120.0 	469103.0 	472366.0 	485250.0 	485753.0 	486658.0 	490693.0 	506420.0 	505356.0 	505286.0 	509159.0 	524670.0 	521334.0 	519535.0 
CP_MNAC,SCA,B1GQ,AT	: 	: 	: 	: 	44839.7 	45414.5 	45814.1 	46189.4 	46370.9 	46668.0 	47524.5 	48125.9 	48561.7 	49020.6 	49261.4 	49431.9 	50042.4 	50523.1 	51134.6 	51729.6 	52549.5 	53079.5 	53678.2 	54677.1 	54861.5 	54960.8 	55120.4 	55718.0 	55921.6 	56553.6 	56973.1 	57126.4 	57590.1 	57751.6 	58081.7 	58489.7 	59971.9 	60131.6 	60631.6 	60936.4 	62368.7 	63199.7 	63729.5 	64566.9 	65622.7 	66348.9 	67553.5 	68657.3 	69789.9 	70497.9 	71252.0 	72620.1 	73890.6 	73566.5 	73001.8 	72645.8 	71741.6 	71188.3 	71939.6 	72907.0 	72498.6 	73185.2 	74618.2 	75491.4 	76830.4 	77470.5 	77765.4 	78212.7 	79035.5 	79301.0 	79761.4 	80542.3 	80170.5 	80722.2 	81381.7 	81519.3 	82427.2 	83164.6 	83561.9 	84223.4 	84436.6 	85802.2 	86704.9 	87386.6 	88294.7 	88346.5 	89154.6 	90512.2 	91288.1 	92110.8 	93027.6 	94152.6 	95576.8 	96216.6 
CP_MNAC,SCA,B1GQ,BE	52464.0 	52691.0 	53229.0 	53237.0 	53573.0 	53725.0 	54035.0 	54605.0 	55102.0 	56228.0 	57034.0 	57601.0 	58048.0 	58519.0 	58919.0 	59002.0 	59629.0 	60460.0 	61457.0 	62677.0 	63500.0 	64204.0 	64755.0 	65776.0 	65633.0 	66607.0 	66660.0 	66888.0 	67732.0 	68487.0 	69115.0 	69727.0 	69699.0 	70266.0 	70832.0 	71835.0 	73347.0 	74154.0 	75265.0 	75939.0 	76482.0 	77319.0 	78128.0 	79560.0 	80318.0 	80843.0 	82049.0 	83463.0 	85227.0 	85787.0 	86457.0 	87238.0 	88419.0 	89140.0 	89203.0 	87294.0 	86354.0 	86313.0 	87807.0 	88308.0 	89132.0 	91200.0 	91992.0 	92776.0 	93953.0 	94620.0 	94978.0 	95555.0 	96885.0 	96795.0 	96699.0 	97121.0 	97204.0 	97909.0 	98105.0 	99122.0 	99394.0 	99418.0 	100431.0 	100815.0 	101420.0 	102082.0 	102955.0 	103833.0 	103605.0 	105895.0 	106276.0 	106901.0 	108062.0 	109258.0 	109482.0 	110401.0 	110912.0 	112228.0 
CP_MNAC,SCA,B1GQ,BG	266.9 	275.5 	332.9 	392.6 	351.5 	360.5 	568.4 	887.3 	2137.5 	3909.3 	6496.8 	6313.0 	5548.2 	5872.6 	7318.9 	7564.4 	5038.4 	5496.1 	7093.3 	7239.8 	6648.5 b	6774.2 	7074.8 	7335.7 	7405.1 	7586.9 	7766.3 	7940.3 	8204.7 	8353.6 	8520.8 	8688.6 	8743.8 	8934.6 	9179.7 	9451.8 	9876.0 	10061.7 	10397.8 	10497.4 	11098.0 	11499.8 	11740.1 	12199.1 	12398.5 	12988.4 	13599.0 	14031.0 	15177.9 	15266.0 	16016.9 	16793.8 	17299.9 	17908.3 	18590.4 	18707.3 	18292.0 	18633.7 	18009.1 	18103.2 	17826.4 	18390.3 	18685.5 	19696.6 	20462.7 	20535.8 	20387.5 	19430.6 	20114.6 	20473.0 	20657.3 	20590.4 	20546.9 	20244.8 	20161.9 	20810.1 	20137.6 	20484.4 	21379.0 	21476.3 	21606.0 	22311.6 	22011.8 	22527.1 	23179.1 	23076.9 	23612.2 	24114.7 	24578.8 	25025.2 	25406.9 	25812.6 	26175.5 p	26730.1 p
CP_MNAC,SCA,B1GQ,CY	1882.5 	1915.6 	1930.5 	1949.7 	1973.2 	1979.5 	1995.9 	2031.0 	2044.5 	2062.7 	2117.8 	2148.5 	2186.3 	2245.9 	2300.9 	2326.8 	2344.0 	2373.8 	2485.1 	2528.6 	2596.7 	2638.6 	2665.4 	2694.3 	2774.4 	2829.1 	2905.9 	2907.5 	2923.2 	2952.5 	2952.8 	3048.6 	3121.0 	3187.6 	3181.1 	3355.5 	3380.0 	3409.7 	3493.4 	3573.3 	3626.0 	3673.8 	3734.1 	3788.5 	3867.5 	3974.4 	4028.0 	4130.2 	4226.8 	4337.2 	4415.7 	4531.9 	4683.7 	4759.8 	4808.1 	4754.6 	4654.8 	4652.8 	4645.4 	4720.6 	4780.5 	4800.6 	4848.4 	4869.9 	4905.2 	4964.1 	4896.3 	4965.3 	4935.3 	4895.4 	4845.4 	4813.7 	4535.4 	4663.5 	4505.4 	4436.3 	4426.5 	4411.7 	4411.3 	4360.5 	4406.0 	4424.9 	4440.9 	4474.2 	4505.9 	4590.0 	4653.5 	4740.8 	4805.0 	4847.3 	4920.8 	4997.8 	5080.4 	5153.8 
CP_MNAC,SCA,B1GQ,CZ	377870.0 	389553.0 	404725.0 	412945.0 	441699.0 	449070.0 	457541.0 	468386.0 	477280.0 	481046.0 	490901.0 	507280.0 	522370.0 	537726.0 	543918.0 	540094.0 	543829.0 	555484.0 	562805.0 	574763.0 	576606.0 	591491.0 	603079.0 	609608.0 	623094.0 	635624.0 	650104.0 	660662.0 	661331.0 	671294.0 	672831.0 	675412.0 	691806.0 	699919.0 	703731.0 	713953.0 	742334.0 	747520.0 	769085.0 	798347.0 	800820.0 	807378.0 	815611.0 	837873.0 	851405.0 	867114.0 	888722.0 	907623.0 	942120.0 	947050.0 	970043.0 	982669.0 	992731.0 	1009334.0 	1020045.0 	997751.0 	995959.0 	977913.0 	972708.0 	985356.0 	980135.0 	992121.0 	993197.0 	992965.0 	997304.0 	1004510.0 	1010025.0 	1018041.0 	1016903.0 	1015412.0 	1012851.0 	1013802.0 	1011666.0 	1015294.0 	1023046.0 	1047070.0 	1052596.0 	1068012.0 	1086750.0 	1105218.0 	1124851.0 	1144791.0 	1159668.0 	1168477.0 	1181683.0 	1185584.0 	1195161.0 	1203410.0 	1224225.0 	1256656.0 	1277280.0 	1293581.0 	1306933.0 	1317350.0 
CP_MNAC,SCA,B1GQ,DE	466647.0 	475008.0 	478600.0 	479207.0 	473847.0 	480802.0 	484635.0 	488166.0 	485384.0 	491640.0 	494152.0 	498434.0 	501914.0 	503222.0 	505222.0 	506063.0 	509968.0 	511754.0 	516770.0 	521703.0 	525929.0 	529899.0 	530592.0 	530139.0 	542484.0 	544290.0 	545850.0 	550011.0 	549871.0 	549983.0 	556277.0 	556617.0 	552096.0 	552443.0 	558988.0 	559905.0 	562912.0 	567157.0 	566836.0 	566399.0 	568024.0 	572056.0 	577797.0 	579439.0 	584856.0 	596105.0 	602340.0 	610654.0 	620027.0 	626461.0 	633425.0 	636590.0 	643266.0 	643197.0 	641109.0 	630542.0 	607266.0 	610012.0 	616861.0 	624138.0 	628091.0 	640580.0 	649077.0 	656703.0 	668772.0 	671753.0 	677864.0 	680705.0 	684874.0 	687478.0 	693397.0 	693704.0 	695741.0 	704652.0 	712041.0 	718335.0 	728688.0 	731306.0 	736348.0 	746703.0 	751375.0 	759296.0 	763468.0 	771814.0 	782405.0 	786938.0 	788846.0 	795920.0 	806315.0 	816786.0 	825711.0 	832520.0 	837921.0 	847628.0 
