unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_10Y,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-10.3 	-9.1 	-6.2 	-5.5 	-5.0 	-3.8 	-1.6 	-0.9 	1.6 	3.6 	5.4 	6.4 	6.4 	5.7 
PCH_10Y,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.2 	-1.9 	0.5 	1.3 	1.7 	0.0 	1.1 	0.7 	2.3 	4.3 	5.0 	4.0 	1.4 	1.4 
PCH_10Y,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	2552.9 	2694.9 	1574.5 	92.5 	38.5 	34.7 	40.1 	34.3 	42.0 	52.4 	56.1 	54.7 	53.8 	50.9 
PCH_10Y,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	17.7 	16.1 	13.0 	13.5 	16.3 	15.8 	17.3 	17.2 	4.8 	-0.4 	-6.4 	-8.6 	-8.9 
PCH_10Y,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.4 	44.9 	31.1 	21.7 	14.8 	10.7 	11.0 	7.1 	2.9 	0.9 	-1.9 	-2.0 	0.0 	1.0 
PCH_10Y,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.6 	-15.4 	-17.1 	-17.5 	-18.7 	-16.5 	-16.2 	-13.8 	-10.8 	-8.6 	-5.7 	-1.1 	3.8 	8.4 
PCH_10Y,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.5 	8.6 	9.2 	12.4 	11.5 	10.6 	11.8 	8.4 	5.6 	4.8 	5.3 	5.2 	3.9 	-0.2 
PCH_10Y,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.2 	56.3 	44.5 	54.1 	60.6 	53.3 	47.7 	42.9 	42.5 	40.8 	39.1 	42.3 	36.8 	22.5 
PCH_10Y,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.1 	41.8 	34.7 	26.4 	20.9 	20.8 	22.6 	20.1 	8.1 	-0.9 	-4.2 	-12.3 	-11.9 	-12.9 
PCH_10Y,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.2 	13.5 	15.6 	17.2 	18.3 	13.9 	11.4 	8.5 	2.9 	0.5 	-2.7 	-3.6 	-7.5 	-11.1 
PCH_10Y,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.3 	-4.9 	-3.1 	-2.8 	-1.6 	2.0 	2.3 	3.3 	7.4 	9.6 	10.3 	9.9 	7.8 	5.4 
PCH_10Y,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.2 	-1.6 	0.3 	1.2 	1.0 	0.3 	2.6 	2.8 	2.5 	2.8 	3.0 	1.6 	-0.1 	-0.2 
PCH_10Y,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.4 	39.6 	33.9 	27.4 	15.9 	10.6 	7.9 	12.1 	5.0 	-0.7 	-4.3 	-7.1 	-11.2 	-15.0 
PCH_10Y,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	127.1 	135.4 	99.3 	74.5 	58.0 	46.9 	34.0 	23.5 	19.9 	13.1 	8.9 	3.4 	5.4 	6.3 
PCH_10Y,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.9 	16.9 	21.8 	25.5 	22.9 	12.1 	0.8 	-5.8 	-6.5 	-9.5 	-15.4 	-32.1 	-34.6 	-39.2 
PCH_10Y,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.4 	12.7 	9.7 	7.7 	11.3 	11.4 	13.7 	12.7 	10.3 	6.6 	3.8 	3.4 	1.7 	-0.3 
