s_adj,unit,nace_r2,lcstruct,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
SCA,PCH_PRE,B-E,D1_D4_MD5,AT	0.4 	1.2 	0.0 	0.2 	0.7 	0.4 	0.0 	0.4 	0.3 	0.8 	1.5 	0.7 p
SCA,PCH_PRE,B-E,D1_D4_MD5,BE	0.0 	0.2 	-0.1 	0.0 	0.1 	0.1 	0.4 	0.3 	0.5 	0.6 	0.0 	0.6 p
SCA,PCH_PRE,B-E,D1_D4_MD5,BG	2.0 	2.5 	1.1 	3.4 	0.4 	2.7 	4.2 	2.7 	2.0 	3.3 	1.1 	3.0 
SCA,PCH_PRE,B-E,D1_D4_MD5,CY	-0.1 	0.7 	-0.2 	0.4 	0.3 	-0.1 	0.2 p	0.7 p	0.4 p	0.9 p	0.1 p	-0.1 p
SCA,PCH_PRE,B-E,D1_D4_MD5,CZ	1.1 	1.3 	0.8 	1.0 	1.9 	1.3 	1.8 p	2.0 p	1.8 p	1.8 p	2.4 p	2.4 p
SCA,PCH_PRE,B-E,D1_D4_MD5,DE	-0.1 	0.4 	1.2 	-0.3 	1.1 	0.7 	0.2 	0.2 	0.7 	0.7 	0.4 	0.2 
SCA,PCH_PRE,B-E,D1_D4_MD5,DK	-0.4 	0.3 	1.5 	0.9 	0.7 	0.1 	0.1 	0.5 	0.8 	0.6 	-0.4 	1.8 
SCA,PCH_PRE,B-E,D1_D4_MD5,EA	0.2 	0.4 	0.4 	0.1 	0.6 	0.5 	0.2 	0.4 	0.5 	0.4 	0.6 	0.5 
SCA,PCH_PRE,B-E,D1_D4_MD5,EA19	0.2 	0.4 	0.4 	0.1 	0.6 	0.5 	0.2 	0.4 	0.5 	0.4 	0.6 	0.5 
SCA,PCH_PRE,B-E,D1_D4_MD5,EE	2.3 	0.3 	2.1 	0.4 	0.6 	3.1 	0.9 	2.2 	1.6 	0.6 	2.0 	1.1 
SCA,PCH_PRE,B-E,D1_D4_MD5,EL	6.1 	-0.5 	-1.3 	-3.0 	3.5 	-0.7 	-2.6 	0.6 	3.9 	-1.1 	-0.5 	2.1 
