stk_flow,sitc06,partner,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19	6.5 	18.5 	15.1 	5.3 	4.8 	6.4 	-6.4 	7.9 	1.9 	9.7 	16.7 	4.8 
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28	15.9 	17.4 	14.4 	4.1 	0.9 	6.1 	-10.9 	8.1 	-0.9 	7.6 	12.5 	5.6 
EXP,SITC2_4,WRL_REST,PCH_M1_SA,EA19	-2.5 	5.1 	1.8 	-0.1 	-0.7 	0.0 	-2.5 	-0.9 	3.4 	2.6 	1.3 	-2.3 
EXP,SITC2_4,WRL_REST,PCH_M1_SA,EU28	5.7 	-0.8 	2.7 	-1.2 	-2.1 	1.8 	-5.7 	2.6 	0.5 	5.8 	-0.5 	-2.4 
EXP,SITC2_4,WRL_REST,TVAL_SA,EA19	4337.1 	4556.1 	4637.1 	4633.1 	4600.9 	4601.8 	4485.0 	4444.2 	4596.4 	4714.1 	4777.1 	4666.6 
EXP,SITC2_4,WRL_REST,TVAL_SA,EU28	4251.5 	4216.5 	4329.1 	4276.7 	4185.1 	4259.2 	4015.1 	4121.1 	4141.4 	4383.0 	4360.6 	4257.9 
