indic_he,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
M_65_DFLE,AT	6.8 	7.1 	7.5 	7.4 b	8.3 	8.5 	8.3 	8.9 	8.9 	8.4 	7.9 	8.2 
M_65_DFLE,BE	9.4 bd	9.6 	10.2 	10.4 	10.6 	10.4 	9.8 	10.6 	10.8 	11.0 	11.2 	10.3 
M_65_DFLE,BG	: 	11.4 d	11.6 	8.8 b	8.5 	8.9 	8.6 	8.7 	8.7 	8.7 	8.7 	9.2 b
M_65_DFLE,CH	: 	: 	12.5 	12.2 	12.0 	11.5 	12.7 	13.6 	10.6 b	10.6 	: 	10.1 
M_65_DFLE,CY	6.8 d	9.4 bd	9.0 	9.1 	9.9 	9.7 	8.0 	8.8 	9.5 	10.4 	8.4 	11.2 
M_65_DFLE,CZ	6.6 d	6.8 	8.1 b	7.5 	8.1 	8.5 	8.4 	8.3 	8.5 	8.5 	8.0 	8.4 
M_65_DFLE,DE	6.4 	7.8 bd	7.8 	6.3 b	6.5 	6.9 	6.7 	6.7 	7.0 	6.8 	11.4 b	11.5 
M_65_DFLE,DK	13.2 	12.6 	13.1 	12.0 b	11.3 	11.8 	12.4 	10.6 	11.6 	11.0 	11.0 	11.5 
M_65_DFLE,EE	3.4 	4 	3.6 	4.0 b	5.6 	5.3 	5.6 	5.4 	5.1 	4.9 	5.3 	5.5 
M_65_DFLE,EL	9.7 	10.2 	9.9 	9.0 b	7.9 	8.7 	9.0 	8.6 	8.0 	7.7 	7.9 	8.0 
M_65_DFLE,ES	9.7 	10 	10.4 	9.9 b	9.3 	9.6 	9.8 	9.2 	9.7 	10.1 	9.5 	10.4 
M_65_DFLE,EU27	8.6 e	8.8 e	8.7 	8.3 b	8.4 	8.7 e	: 	: 	: 	: 	: 	: 
M_65_DFLE,EU28	: 	: 	: 	: 	: 	8.7 e	8.5 	8.5 	8.5 e	8.6 	9.4 b	9.8 
M_65_DFLE,FI	6.3 	6.2 	7.9 b	8.0 	8.2 	8.7 	8.4 	8.4 	: 	8.8 	9.3 	9.4 
M_65_DFLE,FR	8.5 	8.7 	8.9 	8.7 	9.0 	9.0 	9.7 	9.4 	9.8 	10.4 	9.8 	9.5 
M_65_DFLE,HR	: 	: 	: 	: 	: 	6.6 	7.4 	7.7 b	5.5 b	6.0 	4.7 	5.2 
M_65_DFLE,HU	5.1 d	5.1 d	5.3 	5.6 	5.7 	5.4 	6.0 	6.4 	6.2 	6.0 	5.9 	6.7 
M_65_DFLE,IE	9.1 	9.2 	9.6 	9.3 	10.2 	10.9 	10.9 	10.9 	10.9 	11.4 	11.4 	12.0 
M_65_DFLE,IS	12.5 	13.7 	15.6 b	13.9 	12.7 	13.4 	14.0 	14.7 	15.1 	15.4 	15.5 	: 
M_65_DFLE,IT	9.9 	9 bd	8.1 b	7.6 	8.0 	: 	8.1 	7.7 	7.7 	7.8 	7.8 	10.4 b
M_65_DFLE,LT	5.2 d	5.9 bd	5.4 	5.9 	6.1 	6.4 	6.2 	5.6 	5.9 	6.1 	5.0 	5.6 
M_65_DFLE,LU	9.2 	8.9 	9.0 	10.7 	10.8 	10.5 	11.5 	11.6 	10.9 	11.3 	10.7 	9.5 b
M_65_DFLE,LV	5 d	4.6 bd	4.9 	4.8 	4.7 	4.8 	4.7 	5.3 	4.0 b	4.0 	4.1 	4.4 
M_65_DFLE,MT	10.5 d	10.1 	10.6 	10.5 	11.4 	12.0 	11.8 	12.5 	12.8 	13.3 	13.4 	12.8 
M_65_DFLE,NL	10.5 d	11.1 	11.3 	9.9 b	9.5 	9.4 	10.4 	10.0 	9.5 	10.7 	10.5 	10.3 b
M_65_DFLE,NO	12.5 d	: 	12.4 	14.1 b	13.6 	14.5 	: 	15.3 	15.0 	15.3 	15.3 	15.4 
M_65_DFLE,PL	8.4 d	7.3 bd	6.5 	7.0 	6.9 	6.7 	7.6 	7.4 	7.2 	7.5 	7.6 	8.2 
M_65_DFLE,PT	6.5 bd	7 	6.9 	6.7 	6.8 	7.1 	7.8 	9.9 b	9.6 	6.9 b	7.0 	7.7 
M_65_DFLE,RO	: 	: 	7.6 	7.9 	7.2 	5.9 b	5.4 	5.9 	5.8 	5.9 	6.3 	6.2 
M_65_DFLE,SE	10.7 	13 bd	13.0 	13.1 b	13.6 	12.3 b	11.9 	: 	12.9 	15.2 b	15.7 	15.1 
M_65_DFLE,SI	7.4 d	8.3 	9.1 	9.2 	9.3 	6.6 b	6.2 	7.3 	7.2 	7.8 	8.2 	8.4 
M_65_DFLE,SK	4.8 d	4 bd	4.1 	3.0 b	3.5 	3.3 	3.5 	3.5 	4.2 	4.3 	4.1 	4.5 
M_65_DFLE,UK	10.4 d	10.3 	10.4 	10.7 	10.9 	10.8 	11.0 	10.5 	10.6 	9.7 	10.2 	10.4 
