indic_env,waste,unit,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
EXP_EU,TOTAL,T,HR	326484 	330051 	409339 	404097 	323719 	282899 	359540 	393086 	420767 	401465 	377535 	365426 	444673 
EXP_EU,TOTAL,T,HU	958499 	861618 	763532 	663565 	785893 	681692 	1170082 	1458791 	1309355 	1224575 	1140718 	1033997 	1115216 
EXP_EU,TOTAL,T,IE	562565 	508964 	559302 	637930 	663888 	584942 	600468 	683538 	548580 	549514 	551880 	496661 	527606 
EXP_EU,TOTAL,T,IT	726240 	756388 	821919 	897218 	996946 	753448 	1073913 	996431 	982391 	857087 	948570 	1008956 	1154302 
EXP_EU,TOTAL,T,LT	441351 	342870 	408878 	390806 	394331 	287124 	462853 	456645 	519722 	377179 	330188 	230263 	214449 
EXP_EU,TOTAL,T,LU	693667 	331639 	339542 	467088 	449245 	241619 	271501 	259098 	260750 	198916 	205363 	215689 	228163 
EXP_EU,TOTAL,T,LV	86306 	233181 	276655 	274631 	338969 	123682 	196110 	194669 	91529 	116909 	105119 	147712 	119095 
EXP_EU,TOTAL,T,MT	15781 	6882 	14200 	10919 	3936 	3519 	3829 	4539 	4423 	6095 	3098 	2701 	1586 
EXP_EU,TOTAL,T,NL	4304015 	4159831 	4952176 	4781539 	4467465 	3230762 	4255072 	4376216 	4208969 	4301499 	4358679 	4332072 	3712844 
EXP_EU,TOTAL,T,PL	1841372 	1608292 	1771847 	1719186 	1989422 	1407481 	1903885 	2444570 	2484050 	2543299 	2696588 	2311726 	2282562 
EXP_EU,TOTAL,T,PT	472638 	741682 	925962 	904106 	760097 	696109 	852070 	772214 	698282 	666547 	633484 	627289 	682039 
EXP_EU,TOTAL,T,RO	492508 	437315 	541470 	443236 	547038 	532965 	390830 	431481 	350325 	364451 	437336 	346161 	424905 
EXP_EU,TOTAL,T,SE	634085 	686470 	763729 	1149489 	1490372 	1028451 	1137017 	1302614 	1256906 	1238180 	1301757 	1197400 	1185980 
EXP_EU,TOTAL,T,SI	279552 	319963 	349728 	395726 	362300 	353719 	495580 	536963 	517918 	515169 	588668 	566102 	580151 
EXP_EU,TOTAL,T,SK	510044 	427102 	608151 	475335 	670884 	420276 	628596 	822772 	630479 	733661 	885103 	898684 	956241 
EXP_EU,TOTAL,T,UK	4249427 	3734582 	4347506 	4421584 	4410538 	2887746 	3667449 	3670222 	3195858 	3109405 	2893922 	3472275 	2703958 
EXP_XEU,TOTAL,T,AT	75905 	63715 	71955 	70714 	71500 	71371 	163669 	101130 	90168 	99290 	98073 	115863 	117968 
EXP_XEU,TOTAL,T,BE	2375834 	2644908 	2593685 	2897186 	2947590 	3676378 	3802465 	3824438 	3728411 	3331349 	3759660 	3032156 	3445902 
EXP_XEU,TOTAL,T,BG	598989 	453669 	469129 	416069 	618229 	403480 	816816 	783309 	746861 	634626 	434379 	273103 	301662 
EXP_XEU,TOTAL,T,CY	17534 	23613 	22147 	27118 	33625 	42197 	59687 	69253 	70722 	64758 	61683 	58267 	61870 
EXP_XEU,TOTAL,T,CZ	14564 	22921 	20634 	20756 	28698 	66642 	75944 	121827 	119523 	112735 	139484 	144846 	62039 
EXP_XEU,TOTAL,T,DE	2487350 	2423203 	2874020 	2829909 	3343426 	4423529 	4079710 	4236015 	4238584 	3434979 	3428596 	2809785 	3121566 
EXP_XEU,TOTAL,T,DK	377009 	388077 	139570 	199764 	530720 	529303 	573786 	472216 	588721 	658888 	844920 	540696 	702211 
EXP_XEU,TOTAL,T,EE	271291 	385286 	502376 	457669 	494702 	314876 	345451 	388905 	481022 	467044 	391881 	282152 	352545 
EXP_XEU,TOTAL,T,EL	104469 	144511 	182105 	211249 	172364 	417391 	377430 	355903 	391563 	351160 	356960 	351458 	351637 
EXP_XEU,TOTAL,T,ES	245554 	487383 	420172 	505681 	746598 	1060657 	839879 	956202 	1225971 	985685 	1142406 	1201474 	1317559 
EXP_XEU,TOTAL,T,EU28	21595291 	22096197 	24293321 	25493504 	29007091 	35168598 	35227118 	36250113 	36949673 	32149273 	32823747 	30351677 	34801638 
EXP_XEU,TOTAL,T,FI	257990 	240292 	154666 	103700 	243144 	218379 	148498 	131590 	139071 	133301 	186424 	164810 	183639 
EXP_XEU,TOTAL,T,FR	749382 	806472 	882789 	997111 	1043375 	1709390 	1579834 	1812093 	2017142 	1642710 	1611763 	1606183 	1750332 
EXP_XEU,TOTAL,T,HR	10608 	55133 	68259 	117933 	119890 	108360 	112554 	236976 	234194 	166650 	150933 	95467 	98601 
EXP_XEU,TOTAL,T,HU	40122 	56659 	24701 	45086 	99043 	84793 	144389 	113053 	160995 	200444 	206483 	142878 	151284 
EXP_XEU,TOTAL,T,IE	174540 	285579 	318339 	360651 	356829 	389499 	323860 	350795 	401001 	374462 	392477 	404131 	386173 
EXP_XEU,TOTAL,T,IT	351485 	472136 	569838 	778537 	1321599 	1947655 	1595097 	1704339 	1899251 	1648432 	1593519 	1775296 	1840735 
EXP_XEU,TOTAL,T,LT	268666 	299464 	306143 	329856 	318364 	204550 	201804 	299230 	201967 	244320 	399089 	404720 	503354 
EXP_XEU,TOTAL,T,LU	8442 	27367 	14615 	9591 	2488 	179 	56 	12 	7 	0 	1 	0 	41 
EXP_XEU,TOTAL,T,LV	26954 	36540 	88563 	23332 	103296 	149214 	252704 	432778 	480501 	432411 	464013 	407698 	333324 
EXP_XEU,TOTAL,T,MT	6303 	4443 	9175 	21527 	30611 	34570 	43142 	58591 	56658 	46142 	72829 	54205 	67377 
EXP_XEU,TOTAL,T,NL	3612014 	3872574 	4275684 	4560279 	4933987 	6454709 	5984149 	5534464 	5660268 	4209648 	3994694 	4096098 	5325143 
EXP_XEU,TOTAL,T,PL	437367 	233822 	69285 	114267 	221405 	210595 	248244 	329596 	403699 	391788 	381078 	284006 	388673 
EXP_XEU,TOTAL,T,PT	20210 	33448 	39894 	57323 	72767 	146511 	143271 	144847 	122232 	114581 	113271 	74993 	174977 
EXP_XEU,TOTAL,T,RO	1935294 	1277863 	1404469 	1604701 	1524323 	2191450 	2304690 	2112933 	1787927 	1778587 	1187173 	566248 	490817 
EXP_XEU,TOTAL,T,SE	483072 	546324 	466634 	503362 	541722 	977527 	843624 	957660 	1029158 	814763 	934496 	795754 	1021074 
EXP_XEU,TOTAL,T,SI	22336 	22864 	28628 	32860 	38322 	137541 	113039 	125305 	233334 	205482 	220853 	200913 	175585 
EXP_XEU,TOTAL,T,SK	24443 	22865 	23851 	16678 	13804 	15434 	27873 	39566 	36560 	26742 	31227 	29852 	26120 
EXP_XEU,TOTAL,T,UK	6597567 	6765068 	8251997 	8180598 	9034671 	9182418 	10025456 	10557089 	10404163 	9578297 	10225384 	10438627 	12049430 
IMP,TOTAL,T,AT	2468282 	2512343 	2658398 	3028250 	3297023 	2692791 	2699422 	2842771 	2713096 	2734472 	3124073 	3105058 	2964308 
IMP,TOTAL,T,BE	5942591 	5272035 	6157796 	6480386 	6403578 	6079137 	6876795 	6858528 	6476562 	6278070 	6619411 	6033854 	6360456 
IMP,TOTAL,T,BG	150576 	179189 	213592 	339211 	306091 	254545 	326572 	311592 	202571 	186693 	216462 	220688 	205249 
IMP,TOTAL,T,CY	249 	541 	88 	317 	585 	452 	866 	423 	346 	471 	385 	413 	659 
IMP,TOTAL,T,CZ	648413 	490432 	692175 	703024 	675922 	548412 	631140 	752091 	778945 	802524 	856109 	764796 	786229 
IMP,TOTAL,T,DE	9717112 	9559459 	10627178 	11727476 	11165047 	8617864 	11210014 	12547013 	11729371 	11434558 	11366205 	10835131 	10866200 
IMP,TOTAL,T,DK	431130 	474099 	375895 	464625 	768358 	437361 	393335 	451689 	463224 	455064 	368610 	251977 	232099 
IMP,TOTAL,T,EE	89070 	127143 	69813 	58588 	42728 	16598 	38196 	25787 	235050 	170665 	114578 	70764 	95319 
IMP,TOTAL,T,EL	1212627 	1588879 	1556518 	1758853 	1530022 	1207013 	1070626 	1024695 	538960 	408116 	557843 	529214 	888368 
IMP,TOTAL,T,ES	8063877 	7829375 	8754183 	8014496 	8031783 	6056023 	7208743 	6489590 	6082396 	6848077 	6899891 	7195028 	6103403 
IMP,TOTAL,T,EU28	9051092 	8523572 	8710491 	7652504 	7293475 	5065888 	5959225 	6208153 	5950650 	5918594 	5789764 	5543483 	5484505 
IMP,TOTAL,T,FI	963066 	822553 	1091520 	791451 	696326 	553076 	834646 	805486 	145243 	139863 	186278 	112332 	122158 
IMP,TOTAL,T,FR	4869290 	4303934 	4761997 	4560461 	4543738 	3559718 	3828480 	4073284 	3984382 	3614477 	3882296 	3822172 	3280220 
IMP,TOTAL,T,HR	137553 	157830 	126662 	154264 	121537 	83652 	148440 	175918 	99321 	141177 	216909 	199321 	260445 
IMP,TOTAL,T,HU	108368 	76443 	145568 	175756 	227580 	196155 	476069 	533684 	535118 	547596 	550141 	551626 	616001 
IMP,TOTAL,T,IE	42261 	49477 	79288 	62158 	95574 	90576 	100138 	93454 	85099 	85378 	91836 	98565 	93580 
IMP,TOTAL,T,IT	6752516 	6447596 	6940243 	6600279 	6999836 	4254529 	5776515 	7007206 	6366825 	6062980 	6331576 	5834331 	5647226 
IMP,TOTAL,T,LT	156146 	162215 	196298 	181908 	160759 	113076 	163205 	228127 	217482 	163268 	176839 	170888 	174919 
IMP,TOTAL,T,LU	4411708 	2485007 	3372015 	3219905 	2980394 	2165258 	2889039 	2828540 	2656472 	2435249 	2351444 	2295547 	2401378 
IMP,TOTAL,T,LV	129306 	193719 	289052 	317496 	440101 	244920 	531954 	517772 	1086089 	499950 	307552 	230747 	155400 
IMP,TOTAL,T,MT	300 	437 	630 	1651 	2333 	1734 	1060 	776 	866 	653 	271 	788 	712 
IMP,TOTAL,T,NL	5601509 	5220898 	5608027 	4850426 	5075784 	6096050 	5666343 	5716469 	5689981 	4984798 	4915224 	5087296 	5359351 
IMP,TOTAL,T,PL	347497 	317223 	414879 	486199 	659137 	791569 	900300 	990672 	1032569 	1276919 	1396079 	1638083 	1751080 
IMP,TOTAL,T,PT	312227 	1067094 	1194970 	1171138 	1215875 	1103414 	998118 	1349285 	1277724 	1508391 	1694945 	1755256 	1632980 
IMP,TOTAL,T,RO	13993 	11068 	33812 	33734 	40494 	18763 	113646 	114872 	158870 	158710 	141439 	150854 	266776 
IMP,TOTAL,T,SE	1234603 	1255376 	1282119 	1239416 	1280715 	1356824 	1788356 	1687893 	1585386 	1337253 	1358874 	1288462 	1254262 
IMP,TOTAL,T,SI	684291 	744913 	821287 	769699 	759584 	675645 	951450 	968478 	964541 	955527 	1041595 	968424 	1023832 
IMP,TOTAL,T,SK	330139 	300034 	323431 	331681 	283843 	247642 	367618 	363434 	540512 	575854 	383410 	306152 	329062 
IMP,TOTAL,T,UK	449880 	482604 	547717 	608534 	587007 	522018 	643592 	838304 	700062 	768610 	696311 	728527 	579250 
IMP_EU,TOTAL,T,AT	2234878 	2314204 	2457887 	2803544 	3050834 	2493689 	2493289 	2634998 	2518956 	2554021 	2911280 	2900332 	2752646 
IMP_EU,TOTAL,T,BE	5409483 	4971478 	5854077 	6200252 	6172425 	5958441 	6703508 	6671651 	6304432 	6104802 	6465057 	5909166 	6121896 
IMP_EU,TOTAL,T,BG	97783 	132938 	158227 	249071 	261456 	220769 	271083 	233665 	124924 	117003 	137879 	133245 	105722 
IMP_EU,TOTAL,T,CY	173 	483 	86 	279 	16 	358 	795 	339 	312 	392 	320 	343 	527 
IMP_EU,TOTAL,T,CZ	646963 	480094 	684110 	698715 	670123 	546745 	629379 	749100 	774860 	797664 	851396 	761804 	783107 
IMP_EU,TOTAL,T,DE	8565427 	8425759 	9402309 	10623545 	10104683 	7608261 	10074628 	11240283 	10317729 	10062318 	10078303 	9583357 	9592431 
IMP_EU,TOTAL,T,DK	289535 	310791 	281553 	370128 	653438 	373190 	317268 	383686 	380734 	275149 	253395 	136733 	127425 
IMP_EU,TOTAL,T,EE	5848 	19190 	14739 	37351 	41412 	15154 	19642 	17398 	233546 	168084 	110425 	66789 	90340 
IMP_EU,TOTAL,T,EL	318801 	644703 	672960 	705902 	757716 	719724 	697552 	689998 	331887 	290897 	408984 	342828 	413972 
IMP_EU,TOTAL,T,ES	6248349 	5949950 	6785501 	6545652 	6544280 	5272818 	6490532 	5876000 	5538467 	6072533 	5842461 	6324025 	5435184 
IMP_EU,TOTAL,T,EU28	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
IMP_EU,TOTAL,T,FI	344522 	291495 	508934 	473265 	466804 	422695 	709785 	657320 	94632 	105362 	156419 	95458 	99575 
IMP_EU,TOTAL,T,FR	4286884 	3816099 	4256953 	4118459 	4073620 	3258476 	3547833 	3732024 	3626702 	3261793 	3530737 	3480102 	2981121 
IMP_EU,TOTAL,T,HR	101964 	119174 	86718 	96055 	37411 	29943 	77953 	85083 	34050 	67271 	127530 	128670 	204709 
IMP_EU,TOTAL,T,HU	101771 	73197 	142423 	171406 	222385 	186348 	466793 	528838 	515927 	520722 	521797 	511495 	578584 
IMP_EU,TOTAL,T,IE	40841 	46118 	77917 	59660 	87870 	89349 	96376 	87025 	78224 	78695 	78955 	81275 	83446 
IMP_EU,TOTAL,T,IT	5446134 	5343739 	5948624 	5581540 	6098404 	3711653 	4989046 	6105210 	5801011 	5347949 	5772548 	5290598 	5165191 
IMP_EU,TOTAL,T,LT	129678 	126495 	126372 	148207 	118908 	96347 	139905 	197965 	172539 	125428 	147646 	137892 	152917 
IMP_EU,TOTAL,T,LU	4316950 	2441776 	3309092 	3171678 	2911788 	2148001 	2859632 	2791203 	2616613 	2405072 	2333853 	2276593 	2390567 
IMP_EU,TOTAL,T,LV	85642 	78028 	104656 	187034 	218450 	165911 	382972 	453396 	727139 	409363 	248494 	201540 	143594 
IMP_EU,TOTAL,T,MT	140 	417 	31 	228 	125 	40 	615 	443 	612 	506 	226 	715 	674 
IMP_EU,TOTAL,T,NL	5113767 	4823359 	5026468 	4345277 	4629557 	5742488 	5133240 	5124721 	5101965 	4444328 	4292306 	4432305 	4790439 
IMP_EU,TOTAL,T,PL	283701 	293069 	404267 	478440 	654691 	768622 	886835 	932178 	976741 	1194567 	1355810 	1515952 	1657556 
IMP_EU,TOTAL,T,PT	37724 	824190 	1031991 	1078834 	1058275 	989292 	948596 	1270750 	1144615 	1331833 	1563708 	1671967 	1502622 
IMP_EU,TOTAL,T,RO	4713 	6159 	18978 	25286 	29323 	11777 	103354 	96633 	111602 	128229 	119812 	125578 	247582 
IMP_EU,TOTAL,T,SE	914842 	824856 	800452 	840235 	844956 	850868 	973799 	941182 	921531 	749180 	880268 	790355 	814336 
IMP_EU,TOTAL,T,SI	565600 	622755 	737319 	677381 	649355 	581780 	779816 	799131 	811484 	810242 	912667 	861073 	911102 
IMP_EU,TOTAL,T,SK	317917 	274162 	311408 	322935 	274613 	230188 	364283 	362425 	533055 	573566 	377071 	297149 	322224 
IMP_EU,TOTAL,T,UK	307459 	353667 	420606 	468517 	465358 	426002 	516942 	727036 	602124 	659800 	577475 	645473 	496929 
IMP_XEU,TOTAL,T,AT	233404 	198139 	200510 	224705 	246189 	199102 	206133 	207774 	194140 	180451 	212793 	204726 	211662 
IMP_XEU,TOTAL,T,BE	533107 	300557 	303720 	280134 	231153 	120696 	173286 	186877 	172130 	173268 	154354 	124688 	238560 
IMP_XEU,TOTAL,T,BG	52793 	46252 	55365 	90140 	44635 	33775 	55489 	77928 	77647 	69690 	78582 	87444 	99528 
IMP_XEU,TOTAL,T,CY	76 	58 	2 	39 	569 	95 	71 	84 	34 	79 	65 	69 	132 
IMP_XEU,TOTAL,T,CZ	1450 	10338 	8065 	4309 	5800 	1667 	1760 	2991 	4085 	4860 	4714 	2992 	3122 
IMP_XEU,TOTAL,T,DE	1151686 	1133700 	1224869 	1103930 	1060364 	1009603 	1135386 	1306730 	1411642 	1372240 	1287902 	1251774 	1273769 
IMP_XEU,TOTAL,T,DK	141595 	163308 	94342 	94496 	114920 	64171 	76068 	68003 	82490 	179915 	115216 	115244 	104674 
IMP_XEU,TOTAL,T,EE	83222 	107954 	55074 	21237 	1316 	1445 	18554 	8389 	1505 	2581 	4153 	3975 	4979 
IMP_XEU,TOTAL,T,EL	893826 	944176 	883558 	1052951 	772306 	487289 	373074 	334697 	207073 	117219 	148859 	186386 	474396 
IMP_XEU,TOTAL,T,ES	1815529 	1879425 	1968682 	1468844 	1487503 	783205 	718211 	613589 	543929 	775544 	1057429 	871003 	668219 
IMP_XEU,TOTAL,T,EU28	9051092 	8523572 	8710491 	7652504 	7293475 	5065888 	5959225 	6208153 	5950650 	5918594 	5789764 	5543483 	5484505 
IMP_XEU,TOTAL,T,FI	618544 	531058 	582586 	318186 	229522 	130382 	124861 	148166 	50611 	34501 	29859 	16874 	22583 
IMP_XEU,TOTAL,T,FR	582406 	487835 	505045 	442002 	470118 	301241 	280647 	341260 	357681 	352684 	351559 	342071 	299099 
IMP_XEU,TOTAL,T,HR	35590 	38656 	39944 	58208 	84126 	53710 	70487 	90835 	65271 	73907 	89380 	70651 	55736 
IMP_XEU,TOTAL,T,HU	6597 	3246 	3145 	4349 	5195 	9807 	9276 	4847 	19191 	26873 	28345 	40132 	37417 
IMP_XEU,TOTAL,T,IE	1420 	3359 	1372 	2498 	7703 	1227 	3762 	6429 	6874 	6683 	12881 	17290 	10134 
IMP_XEU,TOTAL,T,IT	1306382 	1103857 	991619 	1018739 	901432 	542875 	787469 	901996 	565815 	715031 	559028 	543733 	482035 
IMP_XEU,TOTAL,T,LT	26468 	35720 	69926 	33701 	41851 	16730 	23299 	30162 	44943 	37840 	29193 	32997 	22002 
IMP_XEU,TOTAL,T,LU	94758 	43231 	62923 	48227 	68606 	17257 	29407 	37337 	39860 	30178 	17591 	18955 	10812 
IMP_XEU,TOTAL,T,LV	43664 	115692 	184396 	130462 	221651 	79009 	148982 	64376 	358950 	90587 	59058 	29207 	11806 
IMP_XEU,TOTAL,T,MT	160 	20 	599 	1423 	2208 	1694 	445 	332 	253 	148 	46 	74 	38 
IMP_XEU,TOTAL,T,NL	487742 	397539 	581559 	505150 	446227 	353561 	533104 	591748 	588016 	540470 	622919 	654991 	568911 
IMP_XEU,TOTAL,T,PL	63796 	24154 	10612 	7760 	4446 	22947 	13466 	58495 	55828 	82352 	40269 	122131 	93524 
IMP_XEU,TOTAL,T,PT	274503 	242904 	162979 	92304 	157600 	114122 	49522 	78535 	133109 	176558 	131237 	83289 	130357 
IMP_XEU,TOTAL,T,RO	9280 	4909 	14835 	8448 	11170 	6986 	10291 	18239 	47268 	30481 	21627 	25276 	19194 
IMP_XEU,TOTAL,T,SE	319761 	430521 	481667 	399181 	435759 	505956 	814557 	746711 	663855 	588073 	478606 	498107 	439927 
IMP_XEU,TOTAL,T,SI	118691 	122157 	83968 	92318 	110229 	93865 	171634 	169347 	153056 	145285 	128928 	107351 	112730 
IMP_XEU,TOTAL,T,SK	12222 	25873 	12023 	8747 	9230 	17455 	3336 	1010 	7457 	2288 	6339 	9002 	6838 
IMP_XEU,TOTAL,T,UK	142421 	128937 	127111 	140017 	121649 	96016 	126650 	111268 	97938 	108810 	118836 	83054 	82321 
