s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,Y_LT25,F,PC_ACT,AT	9.7 u	8.6 u	8.1 u	8.6 u	9.5 u	10.8 u	11.4 u	10.7 u	8.8 u	8.8 u	9.2 u	: 
SA,Y_LT25,F,PC_ACT,BE	17.0 	17.0 	17.0 	15.3 	15.3 	15.3 	18.6 	18.6 	18.6 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,BG	11.2 	11.1 	11.3 	11.8 	12.1 	12.8 	13.2 	13.5 	13.9 	13.9 	13.4 	: 
SA,Y_LT25,F,PC_ACT,CY	19.3 	19.3 	19.3 	18.5 	18.5 	18.5 	14.7 	14.7 	14.7 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,CZ	5.3 	4.6 	5.9 	6.8 	8.3 	9.0 	10.7 	10.3 	8.3 	6.7 	6.9 	: 
SA,Y_LT25,F,PC_ACT,DE	5.6 	5.6 	5.5 	5.5 	5.4 	5.4 	5.3 	5.3 	5.2 	5.1 	5.1 	: 
SA,Y_LT25,F,PC_ACT,DK	9.3 	9.3 	9.3 	8.9 	8.9 	8.9 	7.9 	7.9 	7.9 	: 	: 	: 
SA,Y_LT25,F,PC_ACT,EA	17.7 	17.4 	17.3 	17.2 	17.1 	16.8 	16.5 	16.3 	16.1 	16.0 	15.9 	: 
SA,Y_LT25,F,PC_ACT,EA18	17.7 	17.4 	17.4 	17.2 	17.1 	16.8 	16.6 	16.3 	16.1 	16.0 	16.0 	: 
SA,Y_LT25,F,PC_ACT,EA19	17.7 	17.4 	17.3 	17.2 	17.1 	16.8 	16.5 	16.3 	16.1 	16.0 	15.9 	: 
SA,Y_LT25,F,PC_ACT,EE	7.7 	7.4 	7.7 	11.6 	13.5 	9.7 	6.5 	5.7 	8.4 	9.1 	: 	: 
SA,Y_LT25,F,PC_ACT,EL	46.4 	47.3 	47.8 	46.4 	53.8 	45.5 	44.0 	42.5 	42.2 	42.0 	: 	: 
SA,Y_LT25,F,PC_ACT,ES	36.2 	36.0 	35.8 	35.1 	34.5 	33.7 	33.3 	33.2 	33.6 	33.1 	32.8 	: 
SA,Y_LT25,F,PC_ACT,EU27	15.7 	15.6 	15.5 	15.2 	15.0 	14.8 	14.6 	14.2 	14.2 	14.1 	14.0 	: 
