unit,s_adj,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,CA,DEB,WRL_REST,AT	39.8 	41.5 	45.2 	46.5 	48.1 	51.3 	52.9 	51.0 	50.6 	53.0 	56.5 	59.9 	63.1 	61.8 	53.7 	58.5 	63.8 	63.1 	58.5 	58.7 	57.3 	59.1 	60.7 
PC_GDP,NSA,CA,DEB,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	79.9 	83.0 	89.9 	94.1 	99.0 	102.5 	87.2 	91.4 	97.4 	98.4 	97.4 	97.6 	95.2 	97.6 	99.0 
PC_GDP,NSA,CA,DEB,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86.7 	84.3 	59.2 	58.9 	65.6 	69.8 	72.6 	71.3 	71.3 	68.5 	69.7 
PC_GDP,NSA,CA,DEB,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	106.8 	101.6 	113.5 	104.7 	91.2 	88.2 	92.4 	160.3 	106.5 	145.6 
PC_GDP,NSA,CA,DEB,WRL_REST,CZ	45.6 	46.7 	49.4 	48.0 	50.0 	56.9 	58.3 	54.5 	56.9 	65.3 	68.7 	72.6 	76.4 	71.0 	65.3 	73.9 	78.0 	83.0 	82.5 	87.8 	86.4 	83.5 	83.7 
PC_GDP,NSA,CA,DEB,WRL_REST,DE	26.6 	27.7 	31.2 	32.5 	34.3 	39.8 	39.0 	37.4 	38.5 	39.0 	42.2 	45.9 	47.7 	47.3 	41.2 	46.0 	48.7 	48.2 	47.7 	46.8 	46.9 	45.9 	47.5 
PC_GDP,NSA,CA,DEB,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53.7 	58.1 	61.6 	62.8 	52.4 	52.8 	56.9 	57.3 	57.4 	56.2 	58.1 	56.3 	56.9 
PC_GDP,NSA,CA,DEB,WRL_REST,EE	73.8 	73.1 	87.8 	88.7 	79.3 	70.9 	72.9 	73.7 	74.5 	80.4 	83.1 	87.8 	88.3 	84.6 	65.9 	81.7 	93.9 	96.0 	92.3 	88.8 	82.7 	83.6 	81.2 
PC_GDP,NSA,CA,DEB,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	31.3 	32.0 	33.3 	35.3 	37.4 	42.4 	43.4 	35.3 	37.1 	39.1 	37.1 	38.6 	40.2 	35.2 	34.0 	37.1 
PC_GDP,NSA,CA,DEB,WRL_REST,ES	27.0 	27.5 	31.1 	32.7 	34.1 	38.0 	37.3 	35.2 	34.1 	35.7 	37.3 	40.0 	42.2 	40.7 	32.7 	35.4 	38.2 	37.0 	37.0 	38.1 	38.1 	37.3 	38.5 
