unit,sex,age,reason,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_SAL,T,Y15-64,INVTMP,AT	: 	1.1 	1.3 	1.1 	1.0 	0.8 	0.8 	0.8 	0.8 	0.8 	0.9 	0.8 	0.8 
PC_SAL,T,Y15-64,INVTMP,BE	5.9 b	5.7 	5.4 	4.7 	4.5 	6.0 	6.7 	6.3 	6.3 	6.6 	7.2 	7.1 	7.3 b
PC_SAL,T,Y15-64,INVTMP,BG	3.7 b	3.5 	2.9 	2.2 b	3.1 	2.8 b	2.8 b	2.9 	3.7 	3.4 	2.8 	2.6 	3.5 
PC_SAL,T,Y15-64,INVTMP,CH	: 	: 	: 	: 	: 	1.3 b	1.4 	1.2 	1.1 	1.2 	1.6 	1.5 	1.5 
PC_SAL,T,Y15-64,INVTMP,CY	12.7 b	12.0 	11.9 	12.7 	12.9 b	13.1 	13.4 	14.4 	16.7 	17.9 	17.1 	15.2 	14.1 
PC_SAL,T,Y15-64,INVTMP,CZ	5.5 b	5.4 	5.0 	4.9 	5.1 	6.1 	6.2 b	6.9 	7.1 	7.3 	8.1 	7.5 	7.3 
PC_SAL,T,Y15-64,INVTMP,DE	2.3 b	2.6 b	2.8 	2.5 	2.2 	2.4 b	2.4 	2.1 b	1.9 	1.7 	1.6 	1.9 	1.9 
PC_SAL,T,Y15-64,INVTMP,DK	4.8 b	4.2 	3.3 	3.2 	3.8 	4.0 	4.1 	4.4 	4.5 	4.6 	3.5 	4.9 b	5.2 b
PC_SAL,T,Y15-64,INVTMP,EA18	4.8 b	8.2 	8.1 	8.0 	7.5 	7.9 	8.1 	7.9 	7.8 	8.1 	8.3 	8.6 	8.8 
PC_SAL,T,Y15-64,INVTMP,EA19	4.8 b	8.2 	8.0 	7.9 	7.4 	7.8 	8.1 	7.8 	7.7 	8.0 	8.3 	8.5 	8.7 
PC_SAL,T,Y15-64,INVTMP,EE	1.3 b	1.1 	0.7 	0.8 	1.0 	1.4 	1.4 	1.3 	1.0 	0.8 	0.9 	0.7 	0.4 u
PC_SAL,T,Y15-64,INVTMP,EL	8.6 b	7.6 	7.9 	8.3 	8.7 b	9.2 	9.0 	7.7 	7.5 	8.0 	8.0 	8.0 	8.3 
PC_SAL,T,Y15-64,INVTMP,ES	: 	22.4 b	20.6 	21.1 	19.4 b	20.3 	20.9 	20.4 	19.8 	20.7 	21.7 	23.0 	22.7 
PC_SAL,T,Y15-64,INVTMP,EU27	4.7 b	7.5 	7.5 	7.2 	7.0 	7.5 	7.4 	7.3 	7.3 	7.6 	7.7 	7.7 	7.7 
PC_SAL,T,Y15-64,INVTMP,EU28	4.8 b	7.5 	7.5 	7.2 	7.0 	7.5 	7.4 	7.3 	7.3 	7.6 	7.7 	7.8 	7.8 
PC_SAL,T,Y15-64,INVTMP,FI	12.0 b	11.6 	10.6 b	9.0 	9.9 	9.8 	9.7 	9.8 	10.2 	10.7 	10.9 	11.2 	11.2 
PC_SAL,T,Y15-64,INVTMP,FR	7.7 b	8.1 b	8.0 	8.0 	7.6 	8.3 	8.3 	8.3 	8.6 	9.1 b	9.0 	9.3 	9.7 
PC_SAL,T,Y15-64,INVTMP,HR	6.9 b	6.7 	6.5 	6.3 	5.9 	6.1 	6.5 	6.7 	7.2 	8.0 b	8.8 	17.7 	17.7 
PC_SAL,T,Y15-64,INVTMP,HU	3.4 b	4.2 	4.4 	4.7 	5.5 	6.8 	6.0 	6.8 	8.0 	8.0 	8.7 	7.8 	6.8 
PC_SAL,T,Y15-64,INVTMP,IE	0.7 b	1.1 	1.3 b	1.5 	2.1 	2.9 	3.1 	5.0 	5.3 	4.8 	4.6 	4.3 	3.5 b
PC_SAL,T,Y15-64,INVTMP,IS	2.7 b	0.6 	0.6 	0.5 	0.9 	1.6 	1.5 	1.4 	1.3 	0.9 	0.8 	0.7 	0.6 
PC_SAL,T,Y15-64,INVTMP,IT	7.9 b	8.3 	8.5 	8.6 	8.3 	8.6 	9.3 	9.8 	9.6 	9.8 	10.3 	10.2 	11.2 
PC_SAL,T,Y15-64,INVTMP,LT	4.3 b	3.4 	2.6 	1.4 u	1.7 	1.7 	1.7 	1.7 	1.7 	1.6 	1.3 	1.2 	1.0 
PC_SAL,T,Y15-64,INVTMP,LU	2.7 b	2.7 	2.5 b	3.0 	2.9 b	2.5 	2.8 	3.6 	3.4 	4.3 	4.4 b	4.1 	5.1 
PC_SAL,T,Y15-64,INVTMP,LV	3.6 b	5.3 	2.6 	2.2 	3.5 	5.1 	4.8 	3.4 	3.0 	2.1 	1.9 	1.9 	1.1 
PC_SAL,T,Y15-64,INVTMP,ME	: 	: 	: 	: 	: 	: 	16.0 	20.1 	21.3 	24.0 	27.0 	30.3 	26.7 
PC_SAL,T,Y15-64,INVTMP,MK	: 	8.9 	9.2 	10.8 	11.7 	12.8 	10.0 	9.0 	12.0 	12.4 	9.8 	0.5 	12.2 
PC_SAL,T,Y15-64,INVTMP,MT	2.3 b	1.8 	2.6 	2.1 	2.6 	2.8 	3.3 	3.6 	4.0 	4.5 	4.2 	3.5 	2.8 
PC_SAL,T,Y15-64,INVTMP,NL	4.4 b	4.7 b	4.7 	4.4 	4.9 	4.2 b	4.3 	4.8 	6.0 	6.9 	7.5 	7.2 	6.8 
PC_SAL,T,Y15-64,INVTMP,NO	0.3 b	5.1 b	4.6 	4.2 	3.7 	3.5 	4.2 	4.2 	3.9 	3.8 	4.0 	4.0 	4.7 
PC_SAL,T,Y15-64,INVTMP,PL	12.7 b	20.7 	20.6 	19.1 	19.1 	20.2 b	16.5 b	17.4 	17.9 	18.8 	18.1 	17.2 	15.4 
PC_SAL,T,Y15-64,INVTMP,PT	14.0 b	16.5 	18.2 	18.6 	18.1 	19.2 	18.8 b	17.9 	18.4 	17.9 	18.3 	18.8 	18.1 
PC_SAL,T,Y15-64,INVTMP,RO	1.6 b	1.3 	1.2 	1.0 	0.8 	0.8 b	1.1 	1.3 	1.3 	1.3 	1.2 	1.1 	1.0 
PC_SAL,T,Y15-64,INVTMP,SE	9.5 b	9.9 	9.7 	8.5 	8.8 	9.3 	9.3 	9.0 	9.4 	9.8 	9.6 	8.7 	8.3 
PC_SAL,T,Y15-64,INVTMP,SI	7.6 b	8.6 	9.5 	7.7 	7.8 	8.9 	10.2 	8.6 	9.1 	10.8 	10.6 	9.7 	9.4 
PC_SAL,T,Y15-64,INVTMP,SK	3.3 b	3.6 	3.4 	3.3 	3.4 	3.1 	5.5 b	5.7 	5.9 	7.3 	8.5 	6.0 	7.3 
PC_SAL,T,Y15-64,INVTMP,TR	: 	10.8 	10.2 	9.9 	9.5 	9.9 	10.6 	10.4 	10.2 	10.7 b	10.8 	10.6 	10.7 
PC_SAL,T,Y15-64,INVTMP,UK	1.4 b	1.4 	1.6 b	1.2 b	1.6 	2.0 	2.2 	2.3 	2.1 	2.0 	1.9 	1.8 	1.5 
