hhtyp,sex,indic_il,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A1,DIFF,R_GE75_LT75,FI	0.17 	-0.05 	0.03 	0.06 	0.02 	0.12 	0.09 	-0.01 	0.03 	0.08 	0.09 	0.11 
A1,DIFF,R_GE75_LT75,FR	0.05 	0.08 	0.16 b	0.24 	0.22 	0.25 	0.19 	0.18 	0.15 	0.21 	0.13 	0.17 
A1,DIFF,R_GE75_LT75,HR	: 	: 	: 	: 	0.08 	0.03 	0.08 	0.07 	0.03 	-0.01 	0.15 	: 
A1,DIFF,R_GE75_LT75,HU	0.25 	0.20 	0.23 	0.10 	0.15 	0.11 	0.06 	0.12 	0.06 	0.16 	0.09 	0.08 
A1,DIFF,R_GE75_LT75,IE	-0.15 	-0.06 	0.11 	0.08 	0.22 	0.23 	0.22 	0.08 	0.16 	0.15 	0.08 	: 
A1,DIFF,R_GE75_LT75,IS	-0.12 u	-0.01 u	0.05 u	0.14 u	0.08 u	0.08 u	-0.03 u	0.10 u	0.11 u	0.10 u	0.10 pu	: 
A1,DIFF,R_GE75_LT75,IT	-0.04 	-0.06 	-0.02 	-0.02 	0.02 	-0.08 	-0.04 	-0.03 	-0.07 	-0.08 	0.02 	-0.05 
A1,DIFF,R_GE75_LT75,LT	0.15 u	0.03 	0.13 	0.21 	0.46 	0.46 	0.25 	0.16 	0.14 	0.16 	-0.05 	0.08 
A1,DIFF,R_GE75_LT75,LU	-0.03 u	0.05 u	0.02 u	0.05 u	0.14 	0.11 	0.14 	0.31 u	0.25 u	0.24 u	0.16 bu	0.00 u
A1,DIFF,R_GE75_LT75,LV	-0.01 u	-0.22 	-0.12 	-0.02 	0.07 	0.15 	0.09 	0.05 	-0.01 	-0.12 	-0.09 	0.02 
A1,DIFF,R_GE75_LT75,MK	: 	: 	: 	: 	: 	: 	-0.07 	-0.14 	0.20 	0.17 	0.11 	: 
A1,DIFF,R_GE75_LT75,MT	-0.08 u	-0.25 u	-0.06 u	0.04 u	0.01 u	0.02 u	-0.01 	0.03 	0.09 	0.08 	0.05 	-0.09 
A1,DIFF,R_GE75_LT75,NL	-0.13 	-0.06 	-0.01 	0.03 	0.00 	-0.10 	-0.10 	-0.05 	-0.05 	-0.01 	0.06 b	0.03 
A1,DIFF,R_GE75_LT75,NO	0.01 u	0.11 u	-0.05 	0.11 	0.07 	0.08 u	0.03 	0.07 u	0.03 	0.06 	0.08 	0.08 
A1,DIFF,R_GE75_LT75,PL	0.19 	0.24 	0.24 	0.17 	0.15 	0.29 	0.17 	0.14 	0.13 	0.01 	0.06 	0.11 
A1,DIFF,R_GE75_LT75,PT	-0.23 	-0.14 	-0.07 	-0.08 	0.04 	0.06 	-0.02 	-0.10 	0.03 	-0.01 	-0.06 	0.01 
A1,DIFF,R_GE75_LT75,RO	: 	0.05 b	0.03 	0.15 	0.25 	0.28 	0.26 	0.14 	0.14 	0.15 	0.20 	0.14 
A1,DIFF,R_GE75_LT75,RS	: 	: 	: 	: 	: 	: 	: 	0.32 	0.11 	0.29 	0.41 	: 
A1,DIFF,R_GE75_LT75,SE	0.05 	0.05 	-0.02 b	-0.03 	-0.10 	-0.06 	-0.05 	0.06 	0.07 	0.02 	-0.06 	-0.02 
A1,DIFF,R_GE75_LT75,SI	0.22 u	0.27 u	0.36 u	0.26 u	0.41 	0.53 	0.38 	0.43 	0.35 	0.18 	0.03 	0.13 
A1,DIFF,R_GE75_LT75,SK	-0.04 	-0.09 u	-0.08 u	-0.08 u	-0.07 u	0.03 u	-0.08 u	0.01 u	0.05 u	0.00 u	0.04 u	0.02 
A1,DIFF,R_GE75_LT75,TR	-0.08 u	-0.09 	-0.12 	-0.11 	-0.29 	-0.09 	-0.10 	-0.17 	-0.13 	-0.10 	: 	: 
A1,DIFF,R_GE75_LT75,UK	0.01 	-0.04 	-0.07 	0.03 	0.06 	0.01 	0.02 b	0.06 	0.05 	0.09 	0.10 	: 
