wstatus,indic_il,sex,age,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
UNE,LI_R_MD60,T,Y_GE18,AT	46.0 	43.6 	41.6 	47.3 b	39.4 	39.2 	40.3 	45.4 	45.8 	44.6 	41.4 	47.8 	45.1 
UNE,LI_R_MD60,T,Y_GE18,BE	30.7 	31.4 	34.2 	34.8 	33.4 	30.4 	37.9 	34.8 	46.2 b	42.9 	40.7 	45.9 	49.1 
UNE,LI_R_MD60,T,Y_GE18,BG	: 	47.7 	55.9 	55.0 	52.2 	48.3 	52.2 	48.5 	47.6 	50.2 	53.3 	54.6 b	58.7 
UNE,LI_R_MD60,T,Y_GE18,CH	: 	: 	36.1 	39.8 	37.5 	33.3 	30.1 	38.9 	32.8 	24.6 b	27.1 	38.1 	: 
UNE,LI_R_MD60,T,Y_GE18,CY	37.1 	30.9 	28.1 	21.3 b	38.3 	35.8 	36.9 	31.5 	33.6 	32.6 	42.0 	37.2 	36.5 
UNE,LI_R_MD60,T,Y_GE18,CZ	51.1 	43.3 	48.6 	47.8 	46.9 	40.6 	46.4 	46.7 	44.5 	47.8 	48.7 	52.2 	48.6 
UNE,LI_R_MD60,T,Y_GE18,DE	40.6 	43.3 	51.7 	56.8 	62.0 	70.3 	67.8 	69.3 	69.3 	67.4 	69.1 	70.5 	70.6 
UNE,LI_R_MD60,T,Y_GE18,DK	26.0 	25.2 	31.4 	33.9 	41.1 	36.3 	28.3 b	27.6 	33.1 	27.5 	37.6 	38.5 	43.8 
UNE,LI_R_MD60,T,Y_GE18,EA	: 	: 	: 	44.5 e	44.6 e	45.3 e	45.8 e	46.1 e	46.8 e	46.8 e	47.4 e	48.7 e	47.6 e
UNE,LI_R_MD60,T,Y_GE18,EA18	37.0 	38.8 	41.9 	44.5 	44.7 	45.4 	45.8 	46.1 	46.8 	46.8 	47.3 	48.6 	47.5 e
UNE,LI_R_MD60,T,Y_GE18,EA19	37.3 	39.0 	42.0 	44.6 	44.8 	45.5 	45.9 	46.2 	47.0 	46.9 	47.4 	48.7 	47.6 e
UNE,LI_R_MD60,T,Y_GE18,EE	60.1 	60.0 	61.9 	61.3 	55.1 	46.7 	52.1 	55.6 	54.8 	54.7 b	54.8 	54.8 	50.2 
UNE,LI_R_MD60,T,Y_GE18,EL	32.3 	33.1 	35.4 	36.8 	38.1 	38.5 	44.0 	45.8 	46.3 	45.9 	44.8 	47.1 	45.5 
UNE,LI_R_MD60,T,Y_GE18,ES	34.8 	37.8 	39.8 	37.1 b	38.4 	40.3 	40.5 	43.5 	44.7 	48.0 	46.5 	49.2 	46.4 
UNE,LI_R_MD60,T,Y_GE18,EU	: 	: 	: 	44.9 e	45.3 e	45.5 e	45.9 e	46.3 e	46.6 e	47.3 e	47.5 e	48.6 e	47.6 e
UNE,LI_R_MD60,T,Y_GE18,EU27	40.0 e	41.3 e	43.6 	44.9 	45.3 	45.5 	45.9 	46.4 	46.6 	47.4 	47.6 	48.7 	47.6 e
UNE,LI_R_MD60,T,Y_GE18,EU28	: 	: 	: 	: 	: 	45.5 	45.9 	46.3 	46.6 	47.3 	47.5 	48.6 	47.6 e
UNE,LI_R_MD60,T,Y_GE18,FI	35.7 	41.7 	41.1 	42.8 	51.4 	45.3 	43.5 	45.5 	37.5 	46.8 	39.6 	37.2 	35.6 
UNE,LI_R_MD60,T,Y_GE18,FR	29.3 	31.6 	34.1 	39.7 b	37.0 	33.5 	36.7 	36.0 	35.6 	31.1 	37.1 	38.4 	38.6 
UNE,LI_R_MD60,T,Y_GE18,HR	: 	: 	: 	: 	: 	45.1 b	42.3 	43.2 	43.2 	43.2 	42.8 	43.6 	: 
UNE,LI_R_MD60,T,Y_GE18,HU	48.8 	52.9 	46.3 	48.9 	47.3 	44.8 	47.1 	49.6 	53.2 	54.0 	54.4 	48.5 	51.0 
UNE,LI_R_MD60,T,Y_GE18,IE	47.2 	49.5 	42.7 	28.3 	28.1 	27.9 	31.8 	35.1 	37.0 	37.1 	40.4 	40.8 	: 
UNE,LI_R_MD60,T,Y_GE18,IS	26.1 	13.8 u	20.6 u	25.1 u	29.3 	25.5 	21.8 	20.0 	29.6 	25.1 	22.6 	27.1 p	: 
UNE,LI_R_MD60,T,Y_GE18,IT	44.1 	44.1 	44.2 	44.4 	41.4 	45.2 	47.5 	45.0 	47.0 	48.1 	47.3 	45.8 	42.2 
UNE,LI_R_MD60,T,Y_GE18,LT	62.8 	61.4 	57.5 	52.1 	53.8 	56.1 	53.0 	54.4 	61.0 	62.6 	62.3 	60.5 	61.5 
UNE,LI_R_MD60,T,Y_GE18,LU	48.7 	49.2 	46.3 	52.2 	45.3 	43.3 	42.3 	51.9 	53.0 	50.0 	42.7 	44.8 b	54.4 
UNE,LI_R_MD60,T,Y_GE18,LV	58.3 	63.9 	55.2 	50.9 	57.4 	47.9 	50.0 	51.9 	55.9 	53.3 	55.0 	55.7 	56.5 
UNE,LI_R_MD60,T,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	46.5 	43.7 	40.5 	39.7 	41.1 	: 
UNE,LI_R_MD60,T,Y_GE18,MT	49.3 	42.5 	44.8 	30.6 	32.5 	42.8 	43.4 	48.2 	49.6 	48.8 	55.7 	45.1 	57.7 
UNE,LI_R_MD60,T,Y_GE18,NL	27.5 	27.1 	26.7 	36.3 	41.7 	31.8 	33.5 	33.3 	34.2 	36.3 	35.5 	44.1 b	45.7 
UNE,LI_R_MD60,T,Y_GE18,NO	27.3 	34.0 	43.8 	40.0 	38.8 	30.9 	32.9 	40.1 	39.3 	39.8 	43.6 	38.0 	45.4 
UNE,LI_R_MD60,T,Y_GE18,PL	45.7 	46.3 	43.3 	38.8 	42.1 	45.4 	43.6 	42.5 	43.7 	43.0 	45.7 	47.1 	42.7 
UNE,LI_R_MD60,T,Y_GE18,PT	28.4 	31.1 	32.2 	34.6 	37.0 	36.4 	36.0 	38.3 	40.3 	40.5 	42.0 	42.0 	44.8 
UNE,LI_R_MD60,T,Y_GE18,RO	: 	: 	47.4 	44.2 	45.3 	46.2 	48.1 	52.4 	54.5 	48.4 	55.5 	50.2 	51.6 
UNE,LI_R_MD60,T,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	48.4 	47.0 	46.2 	48.0 	: 
UNE,LI_R_MD60,T,Y_GE18,SE	26.7 	24.1 	25.5 	39.4 b	42.3 	39.8 	42.4 	43.0 	44.8 	42.2 	39.3 	50.8 	50.3 
UNE,LI_R_MD60,T,Y_GE18,SI	24.9 	32.8 	35.9 	37.6 	43.6 	44.1 	44.6 	46.9 	46.2 	45.3 	44.8 	44.8 	41.8 
UNE,LI_R_MD60,T,Y_GE18,SK	39.0 	40.8 	45.1 	43.2 	48.6 	41.1 	42.6 	44.6 	43.8 	48.7 	45.5 	47.6 	49.2 
UNE,LI_R_MD60,T,Y_GE18,TR	: 	43.7 	43.0 	43.0 	39.0 	38.6 	40.8 	40.9 	38.1 	41.4 	37.4 	: 	: 
UNE,LI_R_MD60,T,Y_GE18,UK	54.4 	57.8 	58.9 	54.4 	50.9 	47.4 	47.2 	51.3 b	43.9 	57.9 	47.9 	46.1 	: 
