unit,s_adj,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT	: 	: 	: 	: 	23.3 	28.0 	30.2 	26.8 	22.0 	18.2 	15.8 	13.3 	15.4 	23.2 	20.6 	28.0 	24.0 	25.8 	20.1 	20.0 	19.3 	20.7 	18.2 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-43.4 	-49.1 	-45.3 	-85.7 	-105.2 	-121.2 	-118.8 	-102.7 	-88.4 	-71.2 	-53.6 	-29.4 	-14.3 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.1 	29.6 	25.4 	21.6 	18.3 	1.5 	-9.5 	-14.1 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58.3 	70.0 	70.9 	127.1 	137.2 	140.0 	136.1 	148.2 	130.6 	144.3 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	-14.3 	-16.4 	-12.1 	-7.4 	-4.7 	-2.4 	-1.3 	-0.2 	-1.1 	-5.1 	-6.3 	-9.9 	-13.9 	-13.5 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,DE	: 	: 	: 	: 	16.9 	24.9 	23.3 	27.0 	23.1 	19.0 	17.2 	8.3 	3.8 	5.9 	1.0 	3.4 	6.7 	3.0 	-3.9 	-6.4 	-8.7 	-10.5 	-13.0 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.9 	31.9 	32.3 	29.8 	28.6 	21.9 	14.3 	10.9 	8.2 	0.2 	-0.5 	-6.6 	-8.5 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,EE	: 	: 	: 	: 	25.1 	24.1 	19.8 	22.3 	25.6 	31.1 	32.9 	43.0 	48.5 	54.3 	53.4 	35.8 	6.0 	-1.1 	-4.9 	-10.5 	-10.3 	-10.5 	-15.6 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	47.9 	51.0 	57.2 	60.1 	66.1 	73.2 	84.2 	100.8 	98.8 	123.6 	132.7 	132.6 	137.8 	137.1 	136.2 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,ES	: 	: 	: 	: 	: 	: 	: 	29.6 	33.2 	39.9 	49.1 	61.4 	71.5 	78.1 	89.2 	93.2 	97.0 	95.7 	94.7 	97.4 	93.9 	88.9 	86.9 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,FI	: 	: 	: 	: 	16.6 	14.1 	5.9 	3.7 	-6.0 	-5.7 	-4.5 	-1.3 	-0.2 	8.9 	20.9 	24.8 	29.1 	39.7 	40.3 	47.8 	44.5 	41.5 	48.7 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.7 	25.4 	28.1 	28.3 	33.8 	32.4 	35.8 	35.3 	35.7 	37.8 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	7.5 	15.5 	24.1 	28.9 	32.6 	34.5 	37.0 	47.0 	58.0 	61.6 	61.7 	59.9 	59.4 	57.1 	51.3 	40.9 	31.1 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,HU	36.0 	30.0 	22.8 	24.0 	24.6 	27.4 	23.3 	22.2 	28.3 	32.7 	36.5 	11.1 	26.3 	67.1 	78.4 	49.7 	68.3 	69.0 	59.6 	57.7 	24.1 	9.8 	10.8 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	-202.0 	-206.8 	-192.9 	-200.9 	-194.4 	-203.9 	-153.2 	-202.4 	-277.4 	-312.7 	-349.2 	-342.1 	-399.5 	-285.3 	-358.5 	-398.9 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.0 	41.2 	47.7 	45.8 	52.3 	56.4 	58.5 	59.1 	54.8 	54.1 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.3 	15.6 	18.8 	28.0 	35.7 	38.1 	36.0 	32.2 	34.1 	29.2 	27.7 	25.7 	24.5 	20.1 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	-2274.4 	-2261.3 	-2318.2 	-2433.0 	-2511.9 	-2587.1 	-2139.8 	-2686.1 	-2972.4 	-2345.3 	-2332.1 	-2167.3 	-1789.5 	-1784.4 	-1829.1 	-1938.6 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,LV	: 	: 	: 	: 	: 	10.4 	14.8 	16.8 	21.0 	27.4 	33.9 	40.9 	46.1 	53.9 	58.6 	55.7 	47.2 	39.5 	36.5 	33.7 	29.7 	29.0 	24.5 
