indic_bt,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
TOVT,G-N_STS_X_G47,I2015_SCA,AT	100.0 s	99.8 s	99.8 s	100.4 s	101.5 s	102.8 s	105.2 s	106.2 s	107.4 s	109.0 s	109.7 s	: 
TOVT,G-N_STS_X_G47,I2015_SCA,BE	100.3 ps	100.9 ps	100.0 ps	100.1 ps	100.9 ps	102.8 ps	105.7 ps	107.5 ps	108.5 ps	110.5 ps	111.1 ps	112.9 s
TOVT,G-N_STS_X_G47,I2015_SCA,BG	99.8 s	102.1 s	101.6 s	102.5 s	101.6 s	106.6 s	108.4 s	104.7 s	108.3 s	110.4 s	108.9 ps	111.7 ps
TOVT,G-N_STS_X_G47,I2015_SCA,CY	100.5 s	101.9 s	100.3 s	104.7 s	107.6 s	108.1 s	112.6 s	113.4 s	114.0 s	115.8 s	116.0 s	120.0 ps
TOVT,G-N_STS_X_G47,I2015_SCA,CZ	99.9 ps	99.7 ps	98.1 ps	98.3 ps	100.1 ps	101.3 ps	104.0 ps	105.5 ps	105.6 ps	107.2 ps	108.6 ps	109.9 ps
TOVT,G-N_STS_X_G47,I2015_SCA,DE	99.5 ps	100.2 ps	101.0 ps	100.2 ps	100.3 ps	103.7 ps	107.6 ps	107.7 ps	108.0 ps	110.8 ps	112.0 ps	112.3 ps
TOVT,G-N_STS_X_G47,I2015_SCA,DK	99.7 ps	99.6 ps	97.1 ps	100.5 ps	99.7 ps	103.5 ps	107.7 ps	105.3 ps	106.4 ps	108.5 ps	108.3 ps	111.1 ps
TOVT,G-N_STS_X_G47,I2015_SCA,EA19	100.3 	100.7 	101.0 	101.4 	102.3 	104.4 	107.3 	108.0 	109.1 	111.2 	112.2 	113.7 s
TOVT,G-N_STS_X_G47,I2015_SCA,EE	99.7 s	102.1 s	103.7 s	100.8 s	102.5 s	105.3 s	112.3 s	111.6 s	113.2 s	117.3 s	119.2 s	124.9 s
TOVT,G-N_STS_X_G47,I2015_SCA,EL	96.9 s	100.6 s	97.5 s	99.0 s	100.0 s	99.2 s	102.1 s	101.4 ps	103.9 ps	104.1 ps	106.1 s	108.4 ps
