sex,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y_LT60,PPCH_3Y,DE	: 	: 	: 	: 	: 	-0.3 	-2.7 	-0.3 	-0.5 	-1.0 	-1.3 	-1.2 	-0.1 	-0.3 	-1.3 
T,Y_LT60,PPCH_3Y,DK	: 	: 	: 	-0.2 	0.8 	-1.6 	-0.8 	0.5 	2.0 	1.4 	1.3 	1.7 	1.4 	-1.2 	-2.2 
T,Y_LT60,PPCH_3Y,EE	: 	: 	: 	: 	-3.5 	-4.2 	-1.5 	2.8 	4.7 	3.5 	-0.6 	-2.4 b	-2.5 	-2.6 	-1.8 b
T,Y_LT60,PPCH_3Y,EL	: 	: 	: 	-0.4 	0.6 	-0.1 	-1.5 	-0.5 	4.5 	7.6 	10.6 	5.2 	2.6 	-1.0 	-1.6 
T,Y_LT60,PPCH_3Y,ES	: 	: 	: 	: 	-0.5 	-0.3 	1.2 	4.0 	6.8 	6.7 	4.9 	3.7 	1.1 	-0.8 	-4.3 
T,Y_LT60,PPCH_3Y,FI	: 	: 	: 	: 	-0.7 	-2.5 	-0.7 	0.5 	2.5 	0.9 	-0.3 	0.0 	1.5 	2.4 	0.7 
T,Y_LT60,PPCH_3Y,FR	: 	: 	: 	: 	-0.7 	0.1 	-0.7 	0.3 	0.6 	0.0 	-1.8 	0.2 	0.2 	0.3 	-1.5 
T,Y_LT60,PPCH_3Y,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	-1.2 	-2.4 	-1.8 	: 
T,Y_LT60,PPCH_3Y,HU	: 	: 	: 	: 	: 	2.5 	-1.8 	0.6 	0.8 	2.2 	1.7 	0.0 	-4.1 	-5.4 	-6.2 
T,Y_LT60,PPCH_3Y,IE	: 	: 	: 	1.4 	1.4 	-1.0 	7.1 	8.6 	10.5 	3.4 	1.0 	-3.2 	-4.2 	-5.7 	: 
T,Y_LT60,PPCH_3Y,IT	: 	: 	: 	: 	-2.1 	-0.6 	-2.1 	0.4 	0.1 	1.4 	0.7 	1.6 	1.1 	1.5 	-0.3 
T,Y_LT60,PPCH_3Y,LT	: 	: 	: 	: 	: 	-3.5 	-1.1 	3.1 	6.6 	4.2 	1.5 	-3.9 	-2.2 	-0.8 	0.9 
T,Y_LT60,PPCH_3Y,LU	: 	: 	: 	-0.9 	-1.2 	-1.0 	1.1 	0.5 	1.1 	-0.2 	1.1 	0.3 	-0.4 	0.0 b	0.8 
T,Y_LT60,PPCH_3Y,LV	: 	: 	: 	: 	: 	-2.9 	0.3 	6.4 	7.2 	4.3 	-2.6 	-3.0 	-3.9 	-2.8 	-1.8 
T,Y_LT60,PPCH_3Y,MT	: 	: 	: 	: 	: 	-1.0 	-0.5 	-0.4 	0.3 	-0.2 	-0.2 	0.9 	0.2 	-1.7 	-3.1 
T,Y_LT60,PPCH_3Y,NL	: 	: 	: 	: 	: 	-1.6 	-2.4 	-1.3 	0.7 	0.4 	0.9 	1.3 	1.3 	0.4 b	-0.7 
T,Y_LT60,PPCH_3Y,PL	: 	: 	: 	: 	: 	-6.3 	-5.5 	-2.8 	-1.1 	0.0 	-0.1 	0.4 	0.0 	-0.8 	-1.6 
T,Y_LT60,PPCH_3Y,PT	: 	: 	: 	: 	0.3 	0.3 	0.4 	1.4 	2.0 	3.1 	3.6 	3.9 	0.8 	-3.1 	-4.2 
T,Y_LT60,PPCH_3Y,RO	: 	: 	: 	: 	: 	: 	: 	-2.2 	-1.2 	-0.2 	-0.1 	-0.1 	0.0 	0.6 	-0.3 
T,Y_LT60,PPCH_3Y,SE	: 	: 	: 	: 	-2.7 	-0.6 b	1.7 	2.5 	2.4 b	-0.4 	0.9 	-0.4 	0.6 	-0.9 	-0.2 
T,Y_LT60,PPCH_3Y,SI	: 	: 	: 	: 	: 	-1.9 	-1.3 	-0.3 	0.9 	1.9 	1.0 	1.1 	-0.1 	-0.6 	-2.5 
T,Y_LT60,PPCH_3Y,SK	: 	: 	: 	: 	: 	-1.4 	-0.6 	1.5 	2.5 	1.6 	-0.3 	-0.6 	-0.1 	-1.1 	-1.7 
T,Y_LT60,PPCH_3Y,UK	: 	: 	: 	: 	: 	-2.5 	0.7 	2.8 	1.1 	0.3 b	0.0 	0.8 	-1.1 b	-1.9 	: 
