unit,indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,LI_R_MD60,Y_GE65,F,AT	20.2 	17.4 	22.4 	20.5 	20.0 	19.3 	17.8 	17.6 	16.4 	15.1 	15.7 	15.8 
PC,LI_R_MD60,Y_GE65,F,BE	25.1 	24.8 	22.0 	22.3 	20.0 	20.3 	19.5 	19.5 	16.5 	15.7 	15.5 	17.1 
PC,LI_R_MD60,Y_GE65,F,BG	23.7 	30.0 	38.6 	44.2 	37.2 	37.4 	34.3 	32.6 	25.8 	38.2 	30.1 b	38.4 
PC,LI_R_MD60,Y_GE65,F,CH	: 	27.3 	30.3 	33.1 	30.2 	31.1 	34.0 	32.7 	28.9 	28.7 	27.8 	: 
PC,LI_R_MD60,Y_GE65,F,CY	54.1 	54.3 	50.7 	49.6 	42.4 	38.8 	33.6 	23.4 	26.5 	20.5 	22.8 	24.4 
PC,LI_R_MD60,Y_GE65,F,CZ	8.4 	7.9 	10.2 	10.3 	10.3 	10.1 	8.4 	8.1 	8.9 	10.4 	11.4 	15.2 
PC,LI_R_MD60,Y_GE65,F,DE	13.9 	19.0 	17.4 	17.0 	15.9 	16.2 	16.6 	17.0 	18.4 	18.3 	20.1 	19.0 
PC,LI_R_MD60,Y_GE65,F,DK	18.6 	18.6 	18.9 	21.3 	18.5 	14.8 	14.1 	11.7 	10.4 	10.0 	9.6 	8.6 
PC,LI_R_MD60,Y_GE65,F,EA18	20.8 	21.3 	20.6 	19.5 	17.2 	16.9 	15.5 	14.8 	14.9 	15.0 	15.6 	15.7 e
PC,LI_R_MD60,Y_GE65,F,EA19	20.9 	21.5 	20.8 	19.6 	17.1 	16.9 	15.5 	14.9 	15.0 	15.1 	15.8 	16.0 e
PC,LI_R_MD60,Y_GE65,F,EE	30.8 	39.4 	46.1 	41.3 	18.6 	15.9 	20.1 	29.9 	39.7 	43.3 	47.4 	47.8 
PC,LI_R_MD60,Y_GE65,F,EL	27.3 	24.7 	23.6 	21.9 	23.3 	25.2 	18.3 	16.2 	16.1 	15.2 	13.8 	13.5 
PC,LI_R_MD60,Y_GE65,F,ES	31.8 	27.9 	28.0 	25.9 	23.6 	21.6 	14.8 	13.2 	12.5 	13.2 	13.2 	15.9 
PC,LI_R_MD60,Y_GE65,F,EU27	21.0 e	21.4 	21.4 	20.2 	18.1 	18.0 	16.1 	15.5 	15.6 	15.8 	16.5 	16.6 e
PC,LI_R_MD60,Y_GE65,F,EU28	: 	: 	: 	: 	18.3 	18.1 	16.2 	15.6 	15.7 	15.9 	16.7 	16.6 e
PC,LI_R_MD60,Y_GE65,F,FI	25.9 	24.2 	27.4 	28.4 	22.7 	24.1 	23.3 	19.6 	19.7 	17.5 	15.5 	15.7 
PC,LI_R_MD60,Y_GE65,F,FR	17.7 	13.9 	14.0 	13.6 	10.4 	10.9 	10.5 	10.4 	9.6 	8.8 	9.4 	8.7 
PC,LI_R_MD60,Y_GE65,F,HR	: 	: 	: 	: 	34.0 	33.8 	29.1 	26.6 	24.6 	28.7 	29.5 	: 
PC,LI_R_MD60,Y_GE65,F,HU	10.8 	7.7 	5.2 	5.4 	4.8 	5.4 	6.8 	5.4 	4.9 	4.8 	7.3 	9.7 
PC,LI_R_MD60,Y_GE65,F,IE	30.7 	32.2 	23.7 	17.6 	10.0 	10.5 	13.1 	10.9 	12.8 	15.2 	16.7 	: 
PC,LI_R_MD60,Y_GE65,F,IS	13.5 	18.8 	19.7 	17.9 	6.6 	5.5 	4.5 	4.0 	7.4 	7.1 	8.0 p	: 
PC,LI_R_MD60,Y_GE65,F,IT	24.4 	25.0 	23.6 	22.2 	19.5 	19.3 	18.4 	17.1 	16.6 	17.0 	17.2 	17.4 
PC,LI_R_MD60,Y_GE65,F,LT	28.1 	37.3 	37.6 	29.9 	10.7 	10.2 	21.2 	23.9 	24.3 	29.7 	33.2 	39.5 
PC,LI_R_MD60,Y_GE65,F,LU	8.0 	7.7 	6.0 	7.7 	6.3 	5.1 	8.0 	6.7 	6.8 	9.1 	10.8 b	13.3 
PC,LI_R_MD60,Y_GE65,F,LV	36.6 	40.6 	55.2 	51.6 	19.7 	10.3 	16.4 	21.0 	33.2 	40.4 	42.9 	45.1 
PC,LI_R_MD60,Y_GE65,F,MK	: 	: 	: 	: 	17.5 	21.7 	22.1 	16.8 	14.1 	15.6 	14.9 	: 
PC,LI_R_MD60,Y_GE65,F,MT	22.6 	17.2 	23.6 	18.7 	17.1 	16.0 	15.9 	14.2 	17.1 	21.6 	25.4 	26.4 
PC,LI_R_MD60,Y_GE65,F,NL	5.3 	10.2 	9.2 	7.5 	6.3 	6.7 	5.4 	6.1 	6.8 	6.1 	9.3 b	10.2 
PC,LI_R_MD60,Y_GE65,F,NO	23.7 	21.1 	20.9 	18.6 	18.6 	17.1 	13.7 	15.1 	14.7 	14.1 	14.0 	12.6 
PC,LI_R_MD60,Y_GE65,F,PL	9.1 	9.2 	13.4 	16.5 	16.8 	17.4 	16.8 	14.6 	13.8 	13.9 	15.2 	15.8 
PC,LI_R_MD60,Y_GE65,F,PT	26.4 	26.9 	24.5 	21.8 	23.5 	21.4 	18.4 	15.2 	16.9 	19.0 	19.9 	18.3 
PC,LI_R_MD60,Y_GE65,F,RO	: 	33.9 	30.5 	25.9 	21.9 	18.9 	18.2 	18.2 	19.7 	23.5 	23.7 	24.5 
PC,LI_R_MD60,Y_GE65,F,RS	: 	: 	: 	: 	: 	: 	: 	22.3 	22.3 	21.9 	22.0 	: 
PC,LI_R_MD60,Y_GE65,F,SE	15.3 	12.7 	19.9 b	21.4 	19.0 	21.6 	20.9 	20.5 	17.9 	20.6 	21.7 	20.0 
PC,LI_R_MD60,Y_GE65,F,SI	24.7 	24.8 	27.5 	25.5 	27.1 	27.8 	25.0 	25.5 	21.6 	22.2 	22.5 	20.9 
PC,LI_R_MD60,Y_GE65,F,SK	10.8 	11.7 	13.4 	14.8 	10.1 	8.2 	9.0 	7.6 	7.5 	7.0 	6.5 	8.3 
PC,LI_R_MD60,Y_GE65,F,TR	20.9 	19.0 	19.6 	20.3 	19.7 	20.2 	22.0 	19.3 	19.6 	19.6 	: 	: 
PC,LI_R_MD60,Y_GE65,F,UK	29.0 	29.0 	29.7 	24.1 	24.4 	24.9 	17.7 	18.3 	20.0 	17.8 	19.4 	: 
PC,LI_R_MD60,Y_GE65,M,AT	10.5 	9.3 	14.1 	13.2 	12.5 	12.1 	11.5 	12.5 	11.4 	10.7 	10.0 	9.1 
PC,LI_R_MD60,Y_GE65,M,BE	20.8 	20.5 	20.1 	20.6 	18.7 	20.1 	19.2 	17.0 	15.5 	14.5 	15.2 	14.7 
PC,LI_R_MD60,Y_GE65,M,BG	14.5 	15.3 	26.8 	32.0 	24.9 	22.1 	19.3 	21.0 	18.0 	22.1 	15.9 b	22.5 
