hhtyp,indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A1,LI_R_MD60,DIFF,Y_GE65,AT	-22.0 	-16.6 	-14.7 b	-13.4 	-13.6 	-14.3 	-11.2 	-10.7 	-9.5 	-6.2 	-8.5 	-10.6 
A1,LI_R_MD60,DIFF,Y_GE65,BE	-9.1 	-8.8 	-6.1 	-4.1 	-0.4 	-1.6 	-0.5 	-4.0 	-0.9 	-0.4 	-0.2 	0.1 
A1,LI_R_MD60,DIFF,Y_GE65,BG	-20.0 	-31.6 	-32.5 	-25.6 	-28.1 	-33.9 	-30.9 	-24.9 	-15.8 	-27.5 	-21.3 b	-22.6 
A1,LI_R_MD60,DIFF,Y_GE65,CH	: 	-6.6 	-17.3 	-10.6 	-9.1 	-14.1 	-19.4 	-11.5 	-10.9 b	-6.2 	-7.8 	: 
A1,LI_R_MD60,DIFF,Y_GE65,CY	-7.3 	-2.1 	-12.1 b	-8.3 	-12.8 	-19.6 	-10.0 	-0.6 	-13.2 	-5.1 	-7.0 	-7.6 
A1,LI_R_MD60,DIFF,Y_GE65,CZ	-11.4 	-10.1 	-11.2 	-11.5 	-17.4 	-14.9 	-9.6 	-7.7 	-8.5 	-11.4 	-14.1 	-15.2 
A1,LI_R_MD60,DIFF,Y_GE65,DE	-9.2 	-14.0 	-11.3 	-6.3 	-6.6 	-7.6 	-3.0 	-7.7 	-7.4 	-6.7 	-7.7 	-6.4 
A1,LI_R_MD60,DIFF,Y_GE65,DK	1.4 	1.3 	1.5 	1.4 	4.5 	1.5 b	-0.5 	-0.7 	3.0 	1.0 	-0.5 	7.2 
A1,LI_R_MD60,DIFF,Y_GE65,EA18	-9.8 	-9.8 	-10.5 	-8.5 	-7.1 	-7.2 	-4.0 	-5.6 	-6.6 	-6.0 	-5.7 	-5.4 
A1,LI_R_MD60,DIFF,Y_GE65,EA19	-10.0 	-10.0 	-10.7 	-8.7 	-7.0 	-7.0 	-4.0 	-5.7 	-6.7 	-6.2 	-5.9 	-5.7 
A1,LI_R_MD60,DIFF,Y_GE65,EE	-14.5 	-6.2 	-3.6 	-6.1 	-1.1 	1.9 	2.0 	-12.5 	-8.5 b	-10.6 	-2.0 	-3.6 
A1,LI_R_MD60,DIFF,Y_GE65,EL	2.1 	6.3 	1.4 	-2.2 	-4.0 	-3.1 	1.7 	-1.6 	-2.0 	-4.9 	-3.0 	-5.5 
A1,LI_R_MD60,DIFF,Y_GE65,ES	-20.0 	-9.4 	-15.1 b	-13.6 	-7.0 	-8.9 	-0.4 	-0.2 	-5.9 	-5.3 	-3.3 	-4.2 
A1,LI_R_MD60,DIFF,Y_GE65,EU27	-9.4 	-8.9 	-9.3 	-8.4 	-8.4 	-8.6 	-4.9 	-6.2 	-7.0 	-6.9 	-7.2 	-6.6 
A1,LI_R_MD60,DIFF,Y_GE65,EU28	: 	: 	: 	: 	-8.5 	-8.7 	-5.0 	-6.3 	-7.0 	-6.9 	-7.2 	-6.7 
A1,LI_R_MD60,DIFF,Y_GE65,FI	0.6 	3.4 	-8.9 	-15.5 	-4.0 	-8.8 	-7.9 	-2.8 	-4.3 	-6.1 	-5.7 	-6.2 
A1,LI_R_MD60,DIFF,Y_GE65,FR	-5.5 	-0.7 	-7.4 b	-5.8 	-3.2 	-4.0 	-3.4 	-5.2 	-5.3 	-4.2 	-5.8 	-3.9 
A1,LI_R_MD60,DIFF,Y_GE65,HR	: 	: 	: 	: 	-13.0 	-17.9 	-14.2 	-10.2 	-4.6 	-7.8 	-17.4 	: 
A1,LI_R_MD60,DIFF,Y_GE65,HU	-2.4 	-7.1 	-2.3 	-1.7 	0.2 	2.8 	2.5 	-0.8 	0.0 	-3.0 	-2.1 	-3.1 
A1,LI_R_MD60,DIFF,Y_GE65,IE	-9.2 	-11.7 	-9.3 	2.4 	3.5 	6.7 	1.7 	2.9 	1.1 	4.2 	4.6 	: 
A1,LI_R_MD60,DIFF,Y_GE65,IS	5.1 u	0.0 u	-14.0 u	-20.4 u	-6.0 	-4.1 	1.3 	2.6 	4.2 	-3.1 	-8.2 p	: 
A1,LI_R_MD60,DIFF,Y_GE65,IT	-13.0 	-14.5 	-9.7 	-11.8 	-10.5 	-11.6 	-9.5 	-8.3 	-10.4 	-9.3 	-6.5 	-6.0 
A1,LI_R_MD60,DIFF,Y_GE65,LT	-24.0 	-21.7 	-19.1 	-18.4 	1.4 	5.2 	-3.2 	-13.0 	-12.0 	-11.2 	-13.1 	-12.9 
A1,LI_R_MD60,DIFF,Y_GE65,LU	-3.9 	-0.1 	0.1 	-11.9 	2.3 	1.3 	-7.4 	-0.4 	0.7 	0.1 	-8.5 b	-10.9 
A1,LI_R_MD60,DIFF,Y_GE65,LV	-16.7 	-15.5 	-14.8 	-16.0 	-7.1 	-1.8 	-5.0 	-7.3 	-12.6 	-6.1 	-5.8 	-5.1 
A1,LI_R_MD60,DIFF,Y_GE65,MK	: 	: 	: 	: 	: 	: 	-3.5 	-0.8 	-2.2 	-0.2 	-1.6 	: 
A1,LI_R_MD60,DIFF,Y_GE65,MT	-4.5 	8.7 	-9.1 	-1.6 	3.2 	9.5 	7.6 	3.4 	-1.3 	-5.7 	-13.9 	-14.7 
A1,LI_R_MD60,DIFF,Y_GE65,NL	0.1 	-4.4 	-1.3 	-0.7 	-3.7 	-0.2 	1.2 	-2.5 	-5.2 	-3.1 	-0.7 b	-1.4 
A1,LI_R_MD60,DIFF,Y_GE65,NO	-24.6 	-23.3 	-17.0 	-21.9 	-21.9 	-20.3 	-16.0 	-20.5 	-17.1 	-20.7 	-18.8 	-14.7 
A1,LI_R_MD60,DIFF,Y_GE65,PL	-0.6 	0.5 	-1.6 	-4.7 	-6.6 	-6.8 	-6.3 	-4.1 	-2.1 	0.3 	-2.5 	-0.2 
A1,LI_R_MD60,DIFF,Y_GE65,PT	-3.3 	-3.8 	-11.2 	-8.8 	-14.5 	-6.1 	-0.9 	3.0 	-1.6 	-3.5 	-1.7 	-2.3 
A1,LI_R_MD60,DIFF,Y_GE65,RO	: 	-25.9 b	-21.6 	-20.2 	-21.5 	-19.9 	-16.1 	-12.9 	-15.3 	-14.1 	-19.6 	-22.8 
A1,LI_R_MD60,DIFF,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	-8.6 	-5.5 	-6.2 	-11.3 	: 
A1,LI_R_MD60,DIFF,Y_GE65,SE	-13.2 	-10.8 	-15.9 b	-18.8 	-14.2 	-20.6 	-12.5 	-16.8 	-11.2 	-14.3 	-14.3 	-11.8 
A1,LI_R_MD60,DIFF,Y_GE65,SI	-12.4 	-21.4 	-28.5 	-21.4 	-32.5 	-23.0 	-10.7 	-8.9 	-10.6 	-16.0 	-15.1 	-10.5 
A1,LI_R_MD60,DIFF,Y_GE65,SK	-2.6 	-12.6 	-16.4 	-16.6 	-12.8 	-7.8 	0.2 	-5.6 	0.4 	-1.2 	-1.6 	-2.0 
A1,LI_R_MD60,DIFF,Y_GE65,TR	3.6 	-3.1 	-2.5 	1.6 	3.3 	-0.6 	-7.3 	-4.1 	-3.6 	-8.8 	: 	: 
A1,LI_R_MD60,DIFF,Y_GE65,UK	-11.7 	-7.1 	-5.9 	-5.7 	-12.8 	-12.9 	-3.3 b	-6.5 	-9.7 	-8.6 	-10.2 	: 
A1,LI_R_MD60,DIFF,Y_LT65,AT	-2.4 	-6.1 	-0.5 b	-1.4 	-5.0 	-0.4 	-4.8 	-5.1 	-6.5 	-1.7 	0.2 	-3.2 
A1,LI_R_MD60,DIFF,Y_LT65,BE	-8.9 	-2.6 	-4.9 	-5.8 	-0.2 	-3.2 	-3.0 	1.6 	-4.7 	-4.6 	-3.1 	-2.3 
A1,LI_R_MD60,DIFF,Y_LT65,BG	-17.5 	-6.5 	-10.3 	-8.9 	-1.6 	2.3 	-8.7 	-4.0 	1.1 	-6.7 	3.8 b	5.0 
A1,LI_R_MD60,DIFF,Y_LT65,CH	: 	-5.8 	-7.6 	-7.5 	-3.5 	-3.6 	0.0 	1.6 	1.6 b	-3.8 	-3.7 	: 
A1,LI_R_MD60,DIFF,Y_LT65,CY	-16.3 	-19.5 	-22.6 b	-21.2 	-18.9 	-12.1 	-4.5 	-1.2 	0.3 	1.2 	-8.4 	-1.5 
A1,LI_R_MD60,DIFF,Y_LT65,CZ	-3.5 	-2.1 	-7.2 	-5.2 	-6.5 	-4.6 	-5.4 	-5.0 	-6.3 	-4.9 	-4.4 	-9.1 
A1,LI_R_MD60,DIFF,Y_LT65,DE	3.5 	-2.9 	0.8 	1.0 	0.1 	1.8 	-1.4 	-1.0 	1.9 	3.2 	0.4 	1.4 
