unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,P31_S14_S15,AT	97026.2 	101324.9 	103349.5 	106624.2 	109328.9 	115062.8 	119328.7 	121393.8 	125399.1 	130533.5 	136717.1 	142523.5 	147713.2 	152242.9 	154050.5 	158310.4 	165545.9 	170351.3 	173819.5 	177888.2 	181367.6 	186369.9 	192316.1 
CP_MNAC,P31_S14_S15,BE	113384.0 	116606.9 	120491.2 	125256.8 	128148.4 	136102.8 	140290.9 	142798.3 	145800.4 	151649.0 	157661.2 	164948.7 	172866.1 	181392.3 	181545.7 	189692.9 	196069.2 	201182.2 	204384.8 	206748.0 	210021.9 	217405.4 	223857.5 
CP_MNAC,P31_S14_S15,BG	733.6 	1614.6 	12454.9 	14846.4 	16309.3 	18466.6 	21000.0 	22976.2 	24611.0 	27838.4 	31964.6 	35454.8 	43484.2 	47756.4 	45953.4 	47707.8 	50317.2 	53671.1 	51011.2 	52390.4 	55386.0 	57311.2 	61277.2 
CP_MNAC,P31_S14_S15,CY	4749.7 	5029.0 	5234.6 	5650.6 	5970.7 	6558.7 	7032.9 	7335.3 	7821.9 	8518.4 	9126.2 	9829.1 	11195.4 	12689.8 	11895.4 	12543.4 	12835.6 	12974.0 	12208.8 	12234.9 	12327.4 	12698.8 p	13331.2 p
CP_MNAC,P31_S14_S15,CZ	777396.0 	902114.0 	1008680.0 	1086715.0 	1143960.0 	1203249.0 	1281053.0 	1337200.0 	1402410.0 	1496194.0 	1562174.0 	1650036.0 	1768778.0 	1906198.0 	1910698.0 	1939906.0 	1978727.0 	1997735.0 	2025032.0 	2073661.0 	2152177.0 	2242673.0 	2393989.0 
CP_MNAC,P31_S14_S15,DE	1075612.0 	1098762.0 	1121235.0 	1141190.0 	1174825.0 	1209427.0 	1250347.0 	1256553.0 	1280872.0 	1303050.0 	1328551.0 	1362837.0 	1384900.0 	1416734.0 	1413041.0 	1446274.0 	1495533.0 	1538029.0 	1563500.0 	1594143.0 	1630887.0 	1675569.0 	1732176.0 
CP_MNAC,P31_S14_S15,DK	523965.0 	545833.0 	572395.0 	594675.0 	605199.0 	624499.0 	640633.0 	661924.0 	678795.0 	718749.0 	757948.0 	797472.0 	825725.0 	853746.0 	834887.0 	862222.0 	884899.0 	910399.0 	920344.0 	934336.0 	955328.0 	979853.0 	1008447.0 
CP_MNAC,P31_S14_S15,EE	1479.6 	2086.6 	2576.2 	2904.2 	3045.8 	3376.1 	3821.6 	4339.2 	4833.7 	5420.3 	6182.4 	7386.9 	8670.1 	8930.6 	7551.2 	7688.8 	8427.3 	9139.8 	9737.8 	10140.9 	10578.8 	11135.1 	11841.7 
CP_MNAC,P31_S14_S15,EL	63276.8 	70024.3 	76520.1 	83928.5 	89284.8 	94484.9 	100685.6 	108123.2 	115871.5 	124016.9 	131812.5 	139855.9 	150861.6 	163039.0 	161838.1 	156803.2 	144677.9 p	133667.7 p	127853.3 p	125440.6 p	123078.6 p	122094.0 p	123815.8 p
CP_MNAC,P31_S14_S15,ES	279946.0 	295071.0 	312004.0 	331147.0 	354683.0 	385790.0 	414178.0 	438364.0 	463042.0 	499125.0 	536684.0 	577213.0 	615840.0 	633540.0 	605346.0 	618755.0 	618865.0 	611349.0 	598482.0 	608680.0 	626012.0 	643581.0 p	670497.0 p
CP_MNAC,P31_S14_S15,FI	50208.0 	52590.0 	55459.0 	59088.0 	61964.0 	65139.0 	68771.0 	71741.0 	75526.0 	78511.0 	81876.0 	86330.0 	91052.0 	96100.0 	95212.0 	99553.0 	105771.0 	109108.0 	111277.0 	113635.0 	115916.0 	119005.0 	121874.0 
CP_MNAC,P31_S14_S15,FR	666523.0 	690325.0 	699834.0 	729457.0 	751118.0 	796327.0 	832486.0 	857001.0 	884545.0 	921073.0 	960562.0 	1002371.0 	1050592.0 	1085168.0 	1072341.0 	1104506.0 	1131742.0 	1142970.0 	1156741.0 	1167531.0 	1188170.0 	1211784.0 p	1239194.0 p
CP_MNAC,P31_S14_S15,HR	77872.9 	82256.2 	96306.2 	101132.6 	101913.8 	110958.1 	120887.6 	133548.8 	141926.1 	150706.9 	161815.8 	172739.7 	188963.1 	202150.4 	193287.5 	193363.7 	198612.3 	198804.1 	198930.5 	194788.4 	195998.9 	200405.2 	209618.3 
CP_MNAC,P31_S14_S15,HU	3150210.0 	3779453.0 	4547813.0 	5419385.0 	6318257.0 	7251166.0 	8309388.0 	9512651.0 	10767666.0 	11590087.0 	12354190.0 	12954361.0 	13962834.0 	14578439.0 	14171708.0 	14300344.0 	14941005.0 	15501794.0 	15827344.0 	16406905.0 	17012665.0 	17657118.0 	18981389.0 
CP_MNAC,P31_S14_S15,IE	28891.4 	31970.0 	34972.2 	39172.2 	44138.7 	51131.5 	55833.2 	60878.5 	65104.2 	68677.9 	74674.7 	81673.2 	89722.8 	91392.2 	81182.4 	79811.9 	79251.2 	79605.8 	80869.4 	83643.0 	86946.5 	91212.0 	93836.8 
CP_MNAC,P31_S14_S15,IT	581399.1 	611247.4 	645244.3 	679167.4 	709500.1 	750485.2 	774938.2 	797758.6 	827517.4 	855845.5 	885372.0 	921508.9 	953415.4 	972390.7 	953739.9 	978931.9 	1007196.0 	993725.0 	980879.9 	985995.3 	1006548.7 	1021887.4 	1048862.6 
CP_MNAC,P31_S14_S15,LT	4961.6 	6232.9 	7192.3 	7967.3 	8259.9 	8691.9 	9269.0 	9802.4 	10740.0 	11889.1 	13583.1 	15509.8 	18460.6 	21260.8 	18335.4 	17945.5 	19543.8 	20770.1 	21881.7 	22776.8 	23471.0 	24873.8 	26561.1 
CP_MNAC,P31_S14_S15,LU	6751.6 	6976.0 	7258.1 	7525.2 	8151.2 	8741.8 	9240.7 	9784.9 	10234.1 	10561.2 	10901.6 	11481.4 	12009.8 	12548.6 	12630.1 	12935.0 	13524.8 	14200.7 	14726.7 	15400.5 	15886.8 	16222.2 	16964.7 
CP_MNAC,P31_S14_S15,LV	2651.3 	3177.5 	3599.3 	3815.5 	4072.1 	4284.2 	4605.8 	5160.4 	5860.8 	6926.7 	8361.3 	10985.5 	13520.6 	14121.5 	11412.9 	11442.4 	12504.8 	13331.2 	14039.4 	14468.7 	14678.6 	15045.0 	16151.6 
CP_MNAC,P31_S14_S15,MT	1835.7 	2002.4 	2109.4 	2233.8 	2392.7 	2600.7 	2734.1 	2756.2 	2913.9 	3063.1 	3243.8 	3419.1 	3485.0 	3605.5 	3742.3 	3814.9 	4010.8 	4095.3 	4222.4 	4338.8 	4633.5 	4783.4 	5012.2 
CP_MNAC,P31_S14_S15,NL	162211.0 	172382.0 	183736.0 	197542.0 	213006.0 	227496.0 	239644.0 	250713.0 	256214.0 	261633.0 	268879.0 	275889.0 	286818.0 	295433.0 	285532.0 	290509.0 	296819.0 	297167.0 	300441.0 	304244.0 	310816.0 	316041.0 	326885.0 p
CP_MNAC,P31_S14_S15,PL	204064.0 	263384.0 	323342.0 	374610.0 	420311.0 	475303.0 	502298.0 	537702.0 	549185.0 	598775.0 	622544.0 	662110.0 	715126.0 	794551.0 	844951.0 	889800.0 	963051.0 	1002423.0 	1009715.0 	1032633.0 	1051486.0 	1088373.0 	1165268.0 
CP_MNAC,P31_S14_S15,PT	57546.0 	61278.5 	65247.9 	70055.4 	75572.8 	81261.3 	85140.7 	89267.7 	92238.0 	96802.7 	102105.6 	107303.3 	113712.7 	118490.2 	113509.0 	118329.1 	115961.1 	111610.1 	111143.7 	114059.8 	117726.9 	121788.8 	126158.9 p
CP_MNAC,P31_S14_S15,RO	5263.3 	8333.9 	18538.7 	28644.9 	39759.5 	55505.8 	81679.1 	104300.5 	130826.0 	170784.2 	200944.4 	237545.1 	289097.7 	342704.3 	326504.1 	337127.3 	354766.9 	377912.4 	388398.0 	411326.3 	440026.3 	478247.8 	537044.8 p
CP_MNAC,P31_S14_S15,SE	893703.0 	918231.0 	957611.0 	993734.0 	1049034.0 	1114962.0 	1147283.0 	1194174.0 	1241623.0 	1286190.0 	1336449.0 	1388676.0 	1462213.0 	1511303.0 	1550387.0 	1634640.0 	1692895.0 	1715028.0 	1759307.0 	1816179.0 	1889101.0 	1962610.0 	2040802.0 
CP_MNAC,P31_S14_S15,SI	6224.6 	7117.9 	7950.1 	8749.7 	9911.7 	10706.6 	11791.2 	12989.5 	14139.8 	14991.6 	15658.9 	16229.0 	17973.2 	19433.3 	19779.4 	20316.5 	20667.8 	20509.5 	20090.2 	20461.9 	20817.0 	21516.9 	22304.8 
CP_MNAC,P31_S14_S15,SK	10066.2 	11469.6 	12906.4 	14496.5 	15921.3 	17576.0 	19490.0 	21213.9 	23282.5 	26210.6 	28502.3 	31681.1 	34945.0 	38715.4 	38541.4 	39095.7 	40377.4 	41593.6 	41814.2 	42347.8 	43241.4 	44372.4 	46565.7 
CP_MNAC,P31_S14_S15,UK	544028.0 	583595.0 	622894.0 	655999.0 	691071.0 	728049.0 	757499.0 	791259.0 	828629.0 	868007.0 	912746.0 	953679.0 	997279.0 	1031499.0 	1009980.0 	1034557.0 	1066404.0 	1105928.0 	1152357.0 	1198609.0 	1235481.0 	1292590.0 	1343792.0 
PC_GDP,P31_S14_S15,AT	54.9 	55.5 	54.8 	54.3 	53.6 	53.9 	54.1 	53.5 	54.1 	53.9 	53.8 	53.2 	52.0 	51.8 	53.5 	53.5 	53.4 	53.5 	53.7 	53.4 	52.7 	52.3 	52.0 
PC_GDP,P31_S14_S15,BE	53.6 	54.0 	53.3 	53.4 	52.5 	52.7 	52.8 	51.9 	51.6 	50.8 	50.6 	50.5 	50.1 	51.2 	52.1 	52.0 	51.7 	51.9 	52.1 	51.7 	51.1 	51.2 	51.0 
PC_GDP,P31_S14_S15,BG	57.9 	74.5 	66.1 	56.4 	65.6 	66.1 	68.3 	68.0 	67.7 	68.1 	68.5 	66.6 	68.5 	65.6 	63.0 	63.8 	62.3 	65.4 	62.3 	62.6 	62.5 	60.9 	60.6 
PC_GDP,P31_S14_S15,CY	61.9 	63.0 	62.5 	62.4 	61.4 	61.9 	61.6 	61.8 	60.9 	61.5 	61.6 	61.4 	63.9 	66.8 	63.7 	65.0 	65.1 	66.6 	67.3 	69.5 	69.5 	68.7 p	68.1 p
PC_GDP,P31_S14_S15,CZ	49.0 	49.6 	51.5 	50.6 	51.0 	50.6 	49.9 	49.9 	49.9 	48.9 	47.8 	47.0 	46.1 	47.4 	48.6 	49.0 	49.1 	49.2 	49.4 	48.1 	46.8 	47.0 	47.5 
PC_GDP,P31_S14_S15,DE	56.6 	57.0 	57.0 	56.5 	56.9 	57.1 	57.4 	56.9 	57.7 	57.4 	57.7 	56.9 	55.1 	55.3 	57.4 	56.1 	55.3 	55.8 	55.3 	54.2 	53.5 	53.0 	52.9 
PC_GDP,P31_S14_S15,DK	50.6 	50.2 	49.9 	50.1 	48.7 	47.1 	46.7 	46.9 	47.2 	47.7 	47.8 	47.4 	47.5 	47.4 	48.5 	47.6 	47.9 	48.0 	47.7 	47.2 	47.1 	47.4 	46.9 
PC_GDP,P31_S14_S15,EE	53.2 	57.2 	57.3 	57.5 	56.6 	54.7 	54.8 	55.8 	55.5 	55.8 	54.9 	54.6 	53.4 	54.1 	53.4 	52.2 	50.6 	51.0 	51.4 	50.5 	51.2 	51.4 	50.1 
PC_GDP,P31_S14_S15,EL	68.0 	68.0 	66.7 	67.0 	66.7 	66.9 	66.2 	66.1 	64.8 	64.0 	66.2 	64.2 	64.8 	67.4 	68.1 	69.4 	69.9 p	69.9 p	70.8 p	70.2 p	69.4 p	69.2 p	68.7 p
PC_GDP,P31_S14_S15,ES	60.9 	60.5 	60.2 	59.8 	59.7 	59.7 	59.2 	58.5 	57.6 	57.9 	57.7 	57.3 	57.0 	56.8 	56.1 	57.2 	57.8 	58.8 	58.3 	58.6 	57.9 	57.5 p	57.5 p
PC_GDP,P31_S14_S15,FI	50.9 	51.5 	50.1 	49.1 	48.8 	47.8 	47.6 	48.4 	49.8 	49.5 	49.8 	50.0 	48.8 	49.6 	52.6 	53.2 	53.7 	54.6 	54.7 	55.3 	55.3 	55.1 	54.4 
PC_GDP,P31_S14_S15,FR	54.7 	55.1 	54.1 	54.0 	53.6 	53.9 	54.1 	54.0 	54.2 	54.1 	54.4 	54.2 	54.1 	54.5 	55.4 	55.4 	55.0 	54.7 	54.6 	54.3 	54.0 	54.4 p	54.1 p
PC_GDP,P31_S14_S15,HR	66.5 	63.9 	65.6 	62.5 	61.3 	61.6 	62.2 	63.1 	61.1 	60.1 	60.0 	58.7 	58.6 	58.1 	58.3 	58.7 	59.6 	60.1 	60.0 	58.7 	57.7 	57.0 	57.3 
PC_GDP,P31_S14_S15,HU	54.0 	53.1 	51.5 	51.8 	54.2 	54.3 	53.9 	54.5 	56.3 	54.9 	54.8 	53.4 	54.4 	53.6 	53.6 	52.5 	52.8 	53.9 	52.3 	50.4 	49.5 	49.8 	49.5 
PC_GDP,P31_S14_S15,IE	52.7 	53.1 	50.4 	48.8 	47.6 	47.2 	45.8 	44.8 	44.7 	44.0 	43.9 	44.1 	45.5 	48.7 	47.7 	47.6 	46.3 	45.4 	44.9 	42.8 	33.1 	33.4 	31.9 
PC_GDP,P31_S14_S15,IT	59.0 	58.6 	59.2 	59.8 	60.5 	60.6 	59.7 	59.3 	59.5 	59.1 	59.4 	59.5 	59.2 	59.6 	60.6 	61.0 	61.5 	61.6 	61.1 	60.8 	60.9 	60.5 	60.8 
PC_GDP,P31_S14_S15,LT	63.9 	64.2 	61.3 	61.2 	65.0 	65.0 	65.3 	64.5 	64.4 	65.2 	64.7 	64.4 	63.6 	65.0 	68.1 	64.0 	62.5 	62.3 	62.6 	62.3 	62.7 	64.0 	63.0 
PC_GDP,P31_S14_S15,LU	42.8 	41.7 	41.5 	41.4 	39.1 	37.9 	38.9 	39.0 	39.1 	37.8 	36.3 	34.0 	32.3 	32.9 	34.2 	32.2 	31.3 	32.2 	31.7 	30.9 	30.8 	30.4 	30.7 
PC_GDP,P31_S14_S15,LV	65.3 	67.9 	66.7 	63.4 	64.9 	62.5 	61.7 	61.5 	61.4 	62.7 	61.5 	64.2 	59.8 	58.0 	60.6 	63.8 	61.6 	60.9 	61.6 	61.3 	60.4 	60.1 	59.7 
PC_GDP,P31_S14_S15,MT	60.4 	62.7 	62.1 	62.1 	62.9 	62.9 	64.1 	61.1 	61.2 	63.1 	63.0 	63.5 	60.5 	58.8 	61.0 	57.8 	58.6 	57.1 	55.3 	51.2 	48.6 	47.0 	45.0 
PC_GDP,P31_S14_S15,NL	49.2 	50.0 	49.8 	50.1 	50.8 	50.3 	49.7 	50.0 	50.0 	49.4 	48.8 	47.2 	46.3 	45.6 	45.7 	45.4 	45.6 	45.5 	45.5 	45.3 	45.0 	44.6 	44.4 p
PC_GDP,P31_S14_S15,PL	59.2 	61.1 	62.0 	61.8 	62.4 	63.6 	64.4 	66.3 	64.9 	64.2 	62.9 	61.9 	60.2 	61.8 	61.6 	61.6 	61.5 	61.5 	60.9 	60.0 	58.4 	58.5 	58.6 
PC_GDP,P31_S14_S15,PT	64.6 	64.9 	63.7 	62.9 	63.2 	63.3 	62.7 	62.6 	63.1 	63.5 	64.4 	64.5 	64.8 	66.2 	64.7 	65.8 	65.8 	66.3 	65.3 	65.9 	65.5 	65.3 	64.8 p
PC_GDP,P31_S14_S15,RO	68.7 	72.7 	72.2 	76.9 	71.7 	68.3 	69.0 	68.3 	65.8 	68.7 	69.2 	68.5 	67.4 	63.7 	62.0 	63.8 	63.4 	63.6 	61.1 	61.5 	61.8 	62.5 	62.5 p
PC_GDP,P31_S14_S15,SE	47.4 	47.5 	47.4 	46.8 	46.8 	46.8 	46.2 	46.4 	46.3 	45.8 	45.9 	44.8 	44.3 	44.6 	47.1 	46.4 	46.2 	46.5 	46.6 	46.1 	45.0 	44.8 	44.6 
