na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
P3_S13,PCH_Q1_SCA,AT	0.0 	0.9 	0.5 	0.2 	0.6 	1.0 	0.3 	-0.2 	0.6 	-0.6 	0.0 	1.4 
P3_S13,PCH_Q1_SCA,BE	-0.4 	0.2 	0.1 	-0.4 	0.3 	0.7 	-0.1 	0.6 	0.6 	0.3 	-0.2 	0.4 
P3_S13,PCH_Q1_SCA,BG	-1.2 	-1.6 	0.3 	3.5 	0.8 	1.3 	0.8 	-0.6 	1.7 	1.5 	-0.1 p	0.9 p
P3_S13,PCH_Q1_SCA,CH	0.1 	0.2 	0.6 	0.3 	0.1 	0.2 	0.1 	0.2 	0.4 	0.6 	0.0 	0.1 
P3_S13,PCH_Q1_SCA,CY	0.6 	-1.7 	0.2 	-2.0 	3.6 	-1.4 	2.1 	1.5 	-1.9 	2.3 	-2.6 	1.9 
P3_S13,PCH_Q1_SCA,CZ	1.1 	0.4 	0.3 	1.4 	0.5 	0.3 	-0.4 	0.9 	0.0 	0.7 	1.9 	0.2 
P3_S13,PCH_Q1_SCA,DE	1.3 	0.9 	1.8 	0.7 	0.1 	0.4 	0.5 	0.4 	0.3 	0.4 	-0.3 	0.6 
P3_S13,PCH_Q1_SCA,DK	-0.3 	-0.8 	0.6 	1.0 	0.1 	-0.9 	0.9 	0.1 	-0.2 	0.8 	0.0 	0.0 
P3_S13,PCH_Q1_SCA,EA	0.5 	0.5 	0.8 	0.2 	0.2 	0.3 	0.2 	0.4 	0.5 	0.2 	0.1 	0.4 
P3_S13,PCH_Q1_SCA,EA19	0.5 	0.5 	0.8 	0.2 	0.2 	0.3 	0.2 	0.4 	0.5 	0.2 	0.1 	0.4 
P3_S13,PCH_Q1_SCA,EE	1.1 	0.6 	0.5 	1.0 	0.2 	-0.5 	0.1 	0.4 	0.1 	0.7 	-1.0 	-0.1 
P3_S13,PCH_Q1_SCA,EL	-0.3 	0.3 	-0.9 	0.6 	1.0 	-5.0 	0.1 	2.0 	2.0 p	-1.9 p	-1.8 p	-0.2 p
P3_S13,PCH_Q1_SCA,ES	0.3 	0.6 	0.1 p	0.1 p	0.4 p	-0.3 p	1.1 p	0.6 p	0.6 p	0.3 p	0.8 p	0.1 p
P3_S13,PCH_Q1_SCA,EU28	0.5 	0.4 	0.7 	0.3 	0.1 	0.3 	0.1 	0.4 	0.4 	0.2 	0.1 	0.3 
P3_S13,PCH_Q1_SCA,FI	-0.3 	0.3 	1.4 	-0.4 	-0.4 	3.0 	-3.1 	0.6 	1.2 	-1.3 	2.4 	0.5 
P3_S13,PCH_Q1_SCA,FR	0.2 	0.4 	0.4 	0.3 	0.4 	0.4 	0.2 	0.4 	0.6 	0.2 	0.1 	0.2 
P3_S13,PCH_Q1_SCA,HR	0.0 	0.0 	0.0 	1.2 	-0.1 	0.2 	0.9 	1.2 	0.7 	0.6 	0.4 	0.7 
P3_S13,PCH_Q1_SCA,HU	3.1 	0.9 	0.2 	-0.2 	-1.8 	-1.0 	1.0 	1.5 	1.0 	1.4 	-1.6 	0.6 
P3_S13,PCH_Q1_SCA,IE	-0.1 	1.7 	1.2 	0.2 	1.0 	0.5 	1.1 	0.8 	1.6 	1.0 	0.3 	1.3 
P3_S13,PCH_Q1_SCA,IT	0.3 	-0.3 	0.8 	-0.4 	-0.3 	0.2 	0.0 	0.0 	-0.1 	0.0 	-0.1 	0.0 
P3_S13,PCH_Q1_SCA,LT	-0.2 	-0.2 	0.2 	-0.1 	0.3 	0.0 	-0.4 	-0.1 	-0.2 	-0.1 	0.4 	-0.1 
P3_S13,PCH_Q1_SCA,LU	0.6 	0.4 	0.8 	1.1 	0.2 	0.7 	0.8 	1.0 	1.1 	1.2 	0.6 	0.4 
P3_S13,PCH_Q1_SCA,LV	0.6 	0.4 	1.1 	0.9 	1.1 	1.4 	0.9 	1.2 	1.0 	0.9 	1.0 	0.8 
P3_S13,PCH_Q1_SCA,MT	0.0 	3.1 	-2.3 	-0.4 	-5.8 	1.6 	1.9 	0.0 	4.7 	-0.9 	1.8 	3.5 
P3_S13,PCH_Q1_SCA,NL	0.0 	0.3 	0.6 p	0.2 p	0.4 p	0.8 p	-0.4 p	0.4 p	0.6 p	0.2 p	0.4 p	0.1 p
P3_S13,PCH_Q1_SCA,NO	0.1 	-0.7 	1.3 	0.9 	0.5 	0.5 	0.6 	0.6 	0.6 	1.3 	0.0 	0.4 
P3_S13,PCH_Q1_SCA,PL	0.4 	2.3 	-0.2 	0.2 	0.6 	0.1 	1.2 	0.9 	1.0 	1.1 	0.7 	0.9 
P3_S13,PCH_Q1_SCA,PT	-0.3 	0.3 	0.5 	0.3 	-0.7 	0.2 	0.1 	0.1 	0.1 	0.2 	0.3 	0.3 
P3_S13,PCH_Q1_SCA,RO	-0.8 	-3.4 	2.8 p	3.3 p	-1.9 p	5.9 p	-3.0 p	-0.9 p	5.5 p	-7.4 p	-0.3 p	0.1 p
P3_S13,PCH_Q1_SCA,SE	1.1 	1.2 	1.0 	1.3 	-0.5 	0.1 	-0.2 	0.2 	0.4 	0.2 	0.2 	0.3 
P3_S13,PCH_Q1_SCA,SI	0.8 	0.8 	1.3 	0.0 	0.7 	-0.4 	0.5 	-0.8 	0.5 	1.2 	0.5 	2.8 
P3_S13,PCH_Q1_SCA,UK	0.6 	-0.2 	0.4 	-0.1 	0.0 	0.0 	-0.4 	0.4 	-0.2 	0.3 	0.2 	-0.4 
P3_S13,PCH_Q4_NSA,AL	1.4 	-2.3 	4.5 p	4.3 p	6.7 p	3.4 p	5.8 p	4.4 p	1.8 p	-1.7 p	2.5 p	-3.4 p
P3_S13,PCH_Q4_NSA,AT	0.3 	0.9 	0.8 	1.8 	2.2 	2.4 	1.8 	1.8 	2.0 	0.2 	-0.6 	1.5 
P3_S13,PCH_Q4_NSA,BE	-0.5 	0.0 	-0.2 	-0.4 	0.0 	1.2 	0.3 	1.7 	2.0 	1.4 	1.1 	1.1 
P3_S13,PCH_Q4_NSA,BG	2.0 	3.6 	-2.6 	0.9 	3.0 	6.8 	6.3 	1.6 	3.0 	3.9 	2.4 p	4.0 p
P3_S13,PCH_Q4_NSA,CH	1.1 	0.6 	1.2 	1.2 	1.2 	1.2 	0.7 	0.6 	0.9 	1.3 	1.3 	1.2 
P3_S13,PCH_Q4_NSA,CY	1.9 	-0.3 	-0.8 	-2.9 	-0.1 	0.3 	1.7 	6.6 	-0.6 	4.3 	-1.8 	-0.2 
P3_S13,PCH_Q4_NSA,CZ	3.0 	1.8 	2.8 	3.6 	2.5 	2.0 	2.1 	1.5 	0.6 	1.0 	3.2 	2.9 
P3_S13,PCH_Q4_NSA,DE	3.1 	3.5 	4.5 	4.8 	3.5 	3.2 	1.7 	1.4 	1.5 	1.7 	0.8 	1.0 
P3_S13,PCH_Q4_NSA,DK	0.9 	-1.3 	-1.1 	0.8 	0.8 	0.6 	1.4 	-0.2 	-0.2 	1.5 	0.3 	0.9 
P3_S13,PCH_Q4_NSA,EA	1.3 	1.6 	2.0 	2.1 	1.7 	1.5 	1.0 	1.0 	1.3 	1.4 	1.1 	1.3 
P3_S13,PCH_Q4_NSA,EA19	1.3 	1.6 	2.0 	2.1 	1.7 	1.5 	1.0 	1.0 	1.3 	1.4 	1.1 	1.3 
P3_S13,PCH_Q4_NSA,EE	3.3 	3.1 	1.2 	3.3 	2.7 	1.7 	0.0 	0.0 	0.2 	2.0 	0.0 	-0.5 
P3_S13,PCH_Q4_NSA,EL	1.7 p	4.3 p	-1.4 p	-0.4 p	0.9 p	-4.5 p	-3.5 p	-2.1 p	-1.1 p	2.1 p	0.1 p	-2.0 p
P3_S13,PCH_Q4_NSA,ES	2.4 	2.2 	2.0 p	1.0 p	1.3 p	-0.2 p	1.4 p	1.6 p	1.9 p	2.7 p	2.4 p	1.8 p
P3_S13,PCH_Q4_NSA,EU28	1.4 	1.7 	1.9 	2.1 	1.5 	1.3 	0.8 	0.7 	1.1 	1.3 	0.9 	1.2 
P3_S13,PCH_Q4_NSA,FI	-0.7 	1.3 	1.6 	0.7 	0.6 	4.0 	-1.2 	0.1 	2.3 	-3.0 	3.2 	2.8 
P3_S13,PCH_Q4_NSA,FR	0.6 	1.1 	1.1 	1.6 	1.4 	1.4 	1.4 	0.9 	1.4 	1.5 	1.1 	1.2 
P3_S13,PCH_Q4_NSA,HR	-1.6 	-2.0 	-1.2 	1.3 	1.2 	1.3 	2.0 	2.3 	3.1 	3.4 	2.8 	2.5 
P3_S13,PCH_Q4_NSA,HU	3.0 	3.6 	2.1 	4.8 	-1.0 	-2.5 	-3.8 	-0.4 	2.8 	6.4 	1.1 	1.0 
P3_S13,PCH_Q4_NSA,IE	1.8 	4.1 	3.7 	2.7 	4.2 	3.2 	2.9 	3.3 	4.1 	4.7 	3.5 	4.2 
P3_S13,PCH_Q4_NSA,IS	-0.3 	2.9 	1.7 	1.9 	3.1 	1.0 	2.9 	3.3 	3.1 	3.1 	3.3 	2.8 
P3_S13,PCH_Q4_NSA,IT	-0.6 	-0.6 	0.7 	0.5 	-0.1 	0.2 	-0.5 	-0.3 	0.0 	0.4 	0.2 	1.3 
P3_S13,PCH_Q4_NSA,LT	0.6 	-0.7 	0.0 	-1.4 	0.4 	0.8 	-0.1 	0.3 	-0.9 	-1.1 	0.7 	0.1 
P3_S13,PCH_Q4_NSA,LU	3.4 	3.0 	3.4 	3.3 	2.0 	1.3 	3.0 	2.6 	2.7 	4.2 	3.3 	4.0 
P3_S13,PCH_Q4_NSA,LV	2.6 	0.8 	3.3 	2.9 	2.9 	6.1 	3.5 	5.0 	4.9 	3.3 	4.7 	3.7 
P3_S13,PCH_Q4_NSA,MK	11.2 	1.0 	5.6 p	-1.1 p	-0.3 p	3.3 p	-0.8 e	0.4 e	-3.6 e	-2.1 e	-1.4 e	1.0 e
P3_S13,PCH_Q4_NSA,MT	-1.9 	7.3 	5.2 	2.4 	-6.4 	-11.7 	-1.5 	-5.4 	19.0 	1.9 	2.5 	11.5 
P3_S13,PCH_Q4_NSA,NL	0.2 	-0.1 	1.1 p	1.5 p	1.2 p	1.6 p	1.2 p	1.0 p	1.3 p	0.9 p	1.3 p	1.1 p
P3_S13,PCH_Q4_NSA,NO	2.7 	1.1 	1.9 	2.4 	1.5 	2.8 	2.5 	2.1 	2.2 	3.1 	2.5 	2.3 
P3_S13,PCH_Q4_NSA,PL	-0.4 	7.5 	3.6 	2.4 	2.4 	-0.4 	2.2 	3.1 	3.4 	4.5 	3.4 	4.1 
P3_S13,PCH_Q4_NSA,PT	1.8 	1.2 	2.2 	0.5 	0.4 	0.2 	0.0 	-0.5 	0.8 	0.5 	1.0 	0.7 
P3_S13,PCH_Q4_NSA,RO	2.8 	-3.6 	-1.3 p	1.8 p	0.8 p	10.8 p	3.8 p	-0.3 p	8.8 p	-6.9 p	-3.4 p	-2.8 p
P3_S13,PCH_Q4_NSA,RS	0.3 	0.6 	2.3 	3.7 	0.8 	2.2 	0.4 p	1.6 p	1.0 p	1.1 p	2.3 p	5.3 p
P3_S13,PCH_Q4_NSA,SE	1.6 	3.3 	1.9 	6.5 	3.3 	2.7 	2.1 	-2.4 	0.3 	0.1 	0.3 	1.8 
P3_S13,PCH_Q4_NSA,SI	3.1 	3.5 	3.5 	3.0 	2.8 	1.6 	0.7 	0.1 	-0.2 	1.3 	1.2 	5.3 
P3_S13,PCH_Q4_NSA,SK	6.6 	6.0 	3.7 	2.6 	1.9 	-1.1 	-1.1 	-0.3 	-1.4 	3.1 	3.1 	2.5 
P3_S13,PCH_Q4_NSA,TR	1.0 	11.4 	12.4 	15.0 	5.8 	6.1 	9.0 	-1.8 	7.6 	5.9 	4.9 	7.2 
P3_S13,PCH_Q4_NSA,UK	1.7 	1.7 	1.4 	1.1 	0.2 	0.3 	-0.3 	-0.3 	-0.1 	0.1 	0.3 	0.3 
