s_adj,unit,nace_r2,lcstruct,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CA,PCH_SM,B-E,D1_D4_MD5,AT	1.7 	2.7 	2.2 	1.7 	2.0 	1.1 	1.6 	1.5 	1.0 	1.4 	3.2 	3.3 p
CA,PCH_SM,B-E,D1_D4_MD5,BE	0.1 	0.2 	0.2 	0.1 	0.2 	0.0 	0.7 	1.0 	1.4 	1.6 	1.6 	1.8 p
CA,PCH_SM,B-E,D1_D4_MD5,BG	8.9 	8.1 	6.6 	9.6 	7.9 	7.6 	11.1 	10.4 	12.4 	13.0 	9.3 	10.0 
CA,PCH_SM,B-E,D1_D4_MD5,CY	-1.5 	1.2 	-0.2 	1.3 	1.1 	0.0 	1.1 p	1.3 p	0.8 p	1.7 p	4.0 p	2.7 p
CA,PCH_SM,B-E,D1_D4_MD5,CZ	4.2 	4.4 	3.3 	4.3 	5.7 	4.1 	6.3 p	8.4 p	7.2 p	6.3 p	8.6 p	9.7 p
CA,PCH_SM,B-E,D1_D4_MD5,DE	2.9 	3.0 	2.9 	1.1 	2.3 	2.8 	1.9 	2.2 	1.9 	2.0 	2.1 	2.0 
CA,PCH_SM,B-E,D1_D4_MD5,DK	1.9 	1.3 	2.2 	2.2 	3.7 	3.4 	1.7 	1.3 	1.7 	2.1 	1.3 	2.7 
CA,PCH_SM,B-E,D1_D4_MD5,EA	1.5 	1.8 	1.7 	0.7 	1.5 	1.7 	1.4 	1.8 	1.5 	1.4 	2.0 	2.2 
CA,PCH_SM,B-E,D1_D4_MD5,EA19	1.5 	1.8 	1.7 	0.7 	1.5 	1.7 	1.4 	1.8 	1.5 	1.4 	2.0 	2.2 
CA,PCH_SM,B-E,D1_D4_MD5,EE	7.2 	6.1 	6.8 	5.2 	3.2 	6.2 	5.0 	7.1 	8.1 	5.0 	6.4 	5.3 
CA,PCH_SM,B-E,D1_D4_MD5,EL	3.9 	1.9 	-0.9 	-0.6 	-2.5 	-4.6 	1.9 	-0.2 	1.3 	2.2 	3.3 	4.3 
CA,PCH_SM,B-E,D1_D4_MD5,ES	-0.5 p	0.0 p	0.6 p	0.2 p	0.0 p	0.4 p	0.8 p	1.1 p	0.0 p	0.8 p	0.5 p	0.7 p
CA,PCH_SM,B-E,D1_D4_MD5,EU	1.9 	1.9 	2.1 	1.2 	2.1 	1.8 	1.6 	2.5 	2.0 	2.4 	3.1 	2.8 
CA,PCH_SM,B-E,D1_D4_MD5,EU28	1.9 	1.9 	2.1 	1.2 	2.1 	1.8 	1.6 	2.5 	2.0 	2.4 	3.1 	2.8 
CA,PCH_SM,B-E,D1_D4_MD5,FI	2.5 p	2.5 p	-0.1 p	-1.0 p	3.6 p	0.3 p	-2.0 p	-0.1 p	-5.1 p	-1.5 p	0.4 p	2.7 p
CA,PCH_SM,B-E,D1_D4_MD5,FR	1.2 p	1.5 p	2.3 p	1.6 p	1.2 p	1.0 p	1.0 p	1.9 p	2.2 p	1.7 p	2.5 p	2.5 p
CA,PCH_SM,B-E,D1_D4_MD5,HR	2.9 	2.6 	5.9 e	2.3 e	3.2 e	4.3 e	5.7 e	5.3 e	4.7 e	3.1 e	6.6 e	11.1 e
CA,PCH_SM,B-E,D1_D4_MD5,HU	3.6 	3.9 	4.8 	3.9 	5.8 	5.8 	7.7 	9.7 	8.5 	7.8 	9.4 	8.7 
