unit,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,OWN_L,AT	: 	2.2 	2.5 b	1.7 	2.6 	2.0 	2.6 	2.9 	1.8 	1.4 	2.1 	1.6 
PC,OWN_L,BE	4.4 	4.5 	6.5 	2.5 	3.1 	3.3 	3.6 	3.8 	3.1 	2.4 	2.4 	2.8 
PC,OWN_L,BG	62.0 	26.6 	18.9 	3.6 	3.0 	23.1 	8.0 	11.6 	9.3 	10.4 	23.2 b	11.9 
PC,OWN_L,CH	: 	: 	: 	: 	7.2 	7.1 	6.7 	5.6 	5.3 b	5.5 	4.4 	: 
PC,OWN_L,CY	: 	1.5 	1.3 b	3.1 	2.9 	5.1 	4.0 	5.2 	6.0 	4.7 	2.5 	1.6 
PC,OWN_L,CZ	14.6 	13.1 	28.7 	10.1 	9.2 	5.3 	4.0 	10.8 	8.3 	6.0 	6.0 	4.3 
PC,OWN_L,DE	: 	: 	: 	: 	13.8 	13.6 	11.9 	12.2 	11.3 	10.7 	10.3 	8.8 
PC,OWN_L,DK	7.6 	8.1 	13.6 	23.0 	18.1 	11.6 	9.8 	7.5 	5.2 	5.3 	5.2 	5.5 
PC,OWN_L,EA18	: 	6.7 e	6.9 e	7.3 e	8.0 	8.4 	8.0 	7.9 	7.4 	7.2 	5.5 	4.5 e
PC,OWN_L,EA19	: 	6.7 e	6.9 e	7.3 e	8.1 	8.5 	8.0 	7.9 	7.4 	7.2 	5.5 	4.5 e
PC,OWN_L,EE	4.5 	2.7 	6.0 	11.4 	9.8 	12.7 	8.4 	9.2 	7.2 b	4.3 	3.0 	3.4 
PC,OWN_L,EL	: 	10.4 	11.3 	10.2 	11.2 	11.9 	21.6 	28.6 	29.2 	31.5 	28.5 	27.6 
PC,OWN_L,ES	: 	8.4 	9.9 	12.3 	8.4 	9.6 	9.7 	8.2 	9.0 	8.7 	6.7 	4.5 
PC,OWN_L,EU27	: 	9.1 e	8.9 e	8.4 e	8.8 	8.6 	7.7 	7.6 	7.5 	6.7 	5.4 	4.6 e
PC,OWN_L,EU28	: 	: 	: 	: 	8.8 	8.6 	7.7 	7.7 	7.5 	6.7 	5.4 	4.6 e
PC,OWN_L,FI	2.6 	3.7 	3.1 	3.2 	2.8 	2.3 	2.5 	2.6 	2.3 	1.6 	1.4 	1.8 
PC,OWN_L,FR	2.5 	1.6 	0.9 	1.3 	1.5 	1.4 	1.4 	1.4 	1.1 	1.9 	1.1 	0.7 
PC,OWN_L,HR	: 	: 	: 	: 	12.5 	13.8 	13.1 	26.4 	21.0 	3.4 	1.8 	: 
PC,OWN_L,HU	27.4 	22.4 	18.9 	16.4 	17.4 	21.6 	29.3 	31.3 	27.4 	11.9 	11.2 	14.3 
