na_item,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1G,TOTAL,MIO_EUR_NSA,AL	2229.1 	2347.7 	2129.3 p	2478.1 p	2321.0 p	2493.5 p	2272.0 p	2703.8 p	2491.7 p	2649.0 p	2484.0 p	3014.1 p
B1G,TOTAL,MIO_EUR_NSA,AT	77734.7 	80901.4 	76174.1 	78253.8 	79680.5 	83484.5 	79489.6 	81270.6 	82733.6 	86447.5 	83835.5 	84832.8 
B1G,TOTAL,MIO_EUR_NSA,BE	89481.0 	96182.0 	90839.0 	95698.0 	91985.0 	98770.0 	93940.0 	98786.0 	94921.0 	102336.0 	96477.0 	101371.0 
B1G,TOTAL,MIO_EUR_NSA,BG	10602.3 	10861.6 	8576.3 	9948.3 	11397.6 	11604.3 	9191.1 	10899.2 	12268.2 	12448.9 	9734.7 p	11541.4 p
B1G,TOTAL,MIO_EUR_NSA,CH	148360.0 	147534.1 	143299.3 	147013.6 	147810.2 	149072.0 	148873.2 	149120.6 	143527.6 	141523.2 	140806.6 	143586.8 
B1G,TOTAL,MIO_EUR_NSA,CY	3971.7 	3961.1 	3805.0 	4074.2 	4152.3 	4168.1 	4010.4 	4295.9 	4356.1 	4333.5 	4169.8 	4489.3 
B1G,TOTAL,MIO_EUR_NSA,CZ	38999.6 	40010.5 	37054.2 	40244.2 	40096.3 	41138.2 	38639.5 	42805.0 	44276.7 	46498.9 	43659.3 	46725.2 
B1G,TOTAL,MIO_EUR_NSA,DE	699333.0 	701596.0 	691510.0 	713351.0 	721894.0 	720985.0 	721193.0 	729754.0 	753377.0 	750372.0 	745613.0 	760729.0 
B1G,TOTAL,MIO_EUR_NSA,DK	58595.9 	59805.0 	57535.8 	60707.6 	59709.1 	62382.7 	61371.0 	63342.9 	62193.7 	63941.4 	60707.2 	63697.9 
B1G,TOTAL,MIO_EUR_NSA,EA	2366079.9 	2450698.1 	2352777.1 	2438039.1 	2419685.7 	2505288.2 	2428822.7 	2507423.2 	2513420.2 	2598826.0 	2514472.8 	2597785.9 
B1G,TOTAL,MIO_EUR_NSA,EA19	2366079.9 	2450698.1 	2352777.1 	2438039.1 	2419685.7 	2505288.2 	2428822.7 	2507423.2 	2513420.2 	2598826.0 	2514472.8 	2597785.9 
B1G,TOTAL,MIO_EUR_NSA,EE	4524.0 	4682.4 	4334.1 	4697.4 	4712.7 	4958.1 	4721.6 	5169.7 	5168.1 	5419.0 	5057.4 	5596.6 
B1G,TOTAL,MIO_EUR_NSA,EL	41121.3 p	38819.2 p	34937.7 p	38431.8 p	40567.6 p	37880.5 p	35673.9 p	39041.6 p	41538.0 p	38728.4 p	36282.4 p	40115.9 p
B1G,TOTAL,MIO_EUR_NSA,ES	242188.0 	261162.0 	238724.0 p	257687.0 p	250809.0 p	267619.0 p	247749.0 p	268208.0 p	260107.0 p	281403.0 p	256499.0 p	275837.0 p
B1G,TOTAL,MIO_EUR_NSA,EU28	3321940.7 	3447644.0 	3264750.6 	3366951.7 	3311096.6 	3430291.9 	3323641.8 	3429964.2 	3424144.5 	3564660.8 	3432597.7 	3537949.4 
B1G,TOTAL,MIO_EUR_NSA,FI	45017.0 	47300.0 	43888.0 	47022.0 	46387.0 	48691.0 	46206.0 	48626.0 	47871.0 	50565.0 	47941.0 	50588.0 
B1G,TOTAL,MIO_EUR_NSA,FR	482365.0 	501867.0 	501210.0 	498635.0 	485392.0 	506039.0 	507874.0 	509602.0 	501770.0 	522845.0 	522581.0 	520093.0 
B1G,TOTAL,MIO_EUR_NSA,HR	10043.6 	9213.4 	8707.4 	9718.7 	10549.7 	9710.3 	9195.8 	10173.5 	11045.9 	9993.6 	9555.0 	10667.3 
B1G,TOTAL,MIO_EUR_NSA,HU	23688.9 	25500.7 	21133.9 	23876.6 	24747.0 	26605.6 	22921.6 	25843.3 	27224.3 	28967.6 	24864.7 	27591.6 
B1G,TOTAL,MIO_EUR_NSA,IE	61707.9 d	62564.3 d	62643.3 d	61042.9 d	61992.2 d	69536.6 d	65019.4 d	64244.8 d	71681.2 d	75001.3 d	72316.6 d	71476.1 d
