unit,tra_mode,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,RAIL,AT	35.7 	36 	34.2 	33.5 	32 	33 	33.1 	32.7 	32 	32.9 	32.2 	31.5 
PC,RAIL,BE	12.6 e	13.7 e	13.8 	13.8 	11 	12 	12.2 	11.4 e	11 e	11.1 e	11.8 e	11.6 e
PC,RAIL,BG	23.5 e	24.4 e	24.2 e	23.2 e	18.2 	17 	19 	16.6 	16.6 	18.2 	17.9 	17.1 
PC,RAIL,CH	33.7 e	34.9 e	35.2 e	35.5 	33.6 	33.9 	35.3 	34.7 	36.2 	36.2 	38 	37.5 
PC,RAIL,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC,RAIL,CZ	31.5 	31.9 	32.4 	32.1 	30.5 	30.1 	30.1 	30.5 	28.3 	28.2 	26.4 	26.4 
PC,RAIL,DE	18 	18.9 	19.3 	19.3 	17.9 	18.7 	19.3 	19.1 	19.1 	18.8 	19.5 	18.8 
PC,RAIL,DK	10.5 	9.7 	8.8 	9 	9.1 	11.5 	12.4 	10.9 	11.3 	11.2 	12.2 	11.1 
PC,RAIL,EE	79.9 	78.4 	74.2 	68.2 	74.1 	75.4 	71.6 	66.9 	63.7 	55.2 	52.4 	42.9 
PC,RAIL,EL	2.7 	2.2 	3.3 	2.9 	2.1 	2.2 	1.8 	1.5 	1.4 	1.7 	1.6 	1.3 
PC,RAIL,ES	5.2 	5 	4.5 	4.8 	4 	4.6 	5 	5.3 	5.3 	5.9 	5.8 	5.3 
PC,RAIL,EU28	17.9 e	18.3 e	18.2 e	18.1 e	16.9 	17.4 	18.7 	18.5 e	18.2 e	18.4 e	18.3 e	17.4 e
PC,RAIL,FI	25.2 	29.4 	27.8 	27.2 	25.8 	26.8 	27.6 	28.6 	30.1 	30.7 	27 	26.8 
PC,RAIL,FR	11.8 	11.6 	11.6 	11.5 	10.6 	9.5 	10.8 	10.8 	10.6 	10.8 	11.7 	10.9 
PC,RAIL,HR	20 e	21.9 e	23.1 e	22.8 	22.3 	22.8 	22.4 	22.2 	19.7 	20.4 	19.4 	17.3 e
PC,RAIL,HU	27.2 	28 	26.2 	25.1 	24.1 	27.1 	28.5 	29.8 	30.7 	31.1 	29.5 	28.5 
PC,RAIL,IE	1.9 	1.3 	0.8 	0.7 	0.8 	0.9 	1.1 	1 	1.1 	1.1 	1 	0.9 
PC,RAIL,IT	10 	11.3 	11.9 	11.3 	9.2 	9.2 	11.2 	12.7 	11.8 	13.2 	13.5 	14.5 
