currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,AT	: 	: 	: 	: 	93593.0 	123959.0 	127605.0 	145403.0 	163923.0 	194213.0 	240933.0 	268001.0 	275524.0 	231676.0 	250217.0 	266299.0 	247332.0 	253337.0 	257213.0 	279489.0 	281260.0 	292452.0 	302222.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	470157.0 	490857.0 	568810.0 	528512.0 	533968.0 	541533.0 	509325.0 	512242.0 	519599.0 	603061.0 	615289.0 	658965.0 	692156.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5096.0 	5243.6 	8690.3 	9799.0 	10951.5 	9877.1 	12281.7 	14445.6 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40526.0 	51968.0 	43633.0 	32232.0 	25522.0 	14034.0 	12078.0 	12113.0 	14805.0 	17467.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,CZ	20077.0 	37511.0 	35739.0 	35872.0 	104345.0 	180431.0 	185139.0 	274345.0 	343969.0 	372238.0 	467808.0 	532163.0 	618625.0 	505137.0 	456390.0 	453391.0 	451016.0 	490768.0 	523351.0 	637082.0 	711877.0 	753439.0 	777522.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,DE	: 	: 	: 	: 	889205.0 	1070336.0 	1107199.0 	1029489.0 	1094076.0 	1230802.0 	1540998.0 	1720860.0 	1783037.0 	1544271.0 	1740848.0 	1912652.0 	1839671.0 	2091965.0 	2235963.0 	2533351.0 	2668887.0 	2824008.0 	2934170.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1244150.0 	1426024.0 	1528778.0 	1233965.0 	1488202.0 	1821489.0 	1787727.0 	2085602.0 	2205280.0 	2643456.0 	2715117.0 	2935646.0 	3100056.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1637.7 	2494.6 	3641.7 	4359.1 	2702.0 	3475.0 	3989.0 	4181.0 	4679.0 	5468.5 	6121.9 	6658.8 	9241.5 	12127.3 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	27284.0 	38261.0 	58905.0 	66781.0 	86437.0 	87805.0 	89654.0 	71350.0 	63431.0 	111689.0 	107937.0 	116563.0 	117510.0 	124201.0 	103844.0 
MIO_NAC,FA__P__F,S1,S1,WRL_REST,A_LE,ES	: 	: 	: 	: 	127387.0 	193682.0 	232647.0 	257293.0 	338245.0 	384274.0 	499874.0 	517430.0 	514882.0 	427750.0 	445431.0 	377182.0 	323105.0 	: c	347534.0 	411378.0 	488645.0 	522327.0 	612327.0 
