unit,deg_urb,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,DEG1,AT	26.3 	24.7 	25.1 b	22.1 	22.8 	22.3 	27.7 	26.5 	26.4 	28.2 	27.7 	26.6 
PC,DEG1,BE	5.8 	5.6 	6.2 	5.2 	6.0 	3.0 	3.4 b	4.5 	4.3 	3.3 	8.8 	10.7 
PC,DEG1,BG	59.2 	60.5 	57.8 	55.6 	55.8 	54.7 	52.4 b	51.9 	50.5 	48.0 	49.8 b	49.8 
PC,DEG1,CH	: 	9.1 	9.0 	8.2 	7.1 	8.0 	10.5 b	12.1 	9.7 b	10.8 	11.9 	: 
PC,DEG1,CY	1.6 	1.5 	2.9 b	3.0 	3.6 	3.0 	2.6 b	2.2 	2.2 	1.2 	1.9 	2.7 
PC,DEG1,CZ	39.7 	37.0 	34.0 	29.7 	26.5 	25.7 	25.4 b	25.5 	23.9 	23.5 	22.7 	20.1 
PC,DEG1,DE	10.4 	8.8 	9.0 	9.4 	9.6 	9.5 	10.8 b	10.4 	9.9 	10.5 	11.0 	11.4 
PC,DEG1,DK	11.9 	10.8 	11.1 	11.2 	10.7 	11.2 	11.3 b	11.7 	13.6 	13.8 	14.9 	14.8 
PC,DEG1,EA18	14.8 	14.7 	14.1 	13.9 	14.1 	13.5 	15.1 	14.8 	14.9 	14.5 	14.4 	14.3 e
PC,DEG1,EA19	15.2 	15.1 	14.5 	14.2 	14.4 	13.6 	15.2 	15.0 	15.0 	14.6 	14.5 	14.3 e
PC,DEG1,EE	52.2 	49.4 	49.0 	49.1 	46.3 	16.1 	16.4 b	24.0 	16.1 b	15.6 	15.5 	16.7 
PC,DEG1,EL	33.8 	32.8 	30.8 	29.0 	28.1 	27.6 	28.6 b	27.9 	29.8 	29.2 	29.6 	30.2 
PC,DEG1,ES	7.4 b	5.9 	5.2 	6.2 	6.0 	7.2 b	6.4 b	5.4 	6.3 	6.5 	5.5 	5.3 
PC,DEG1,EU27	19.3 e	18.9 	18.7 	18.2 	18.2 	17.7 	18.4 	18.5 	18.0 	17.8 	17.4 	18.8 e
PC,DEG1,EU28	: 	: 	: 	: 	18.4 	17.9 	18.5 	18.6 	18.1 	18.0 	17.6 	18.8 e
PC,DEG1,FI	9.1 	8.0 	8.4 	8.9 	8.4 	9.3 	8.0 b	9.2 	9.5 	9.1 	9.2 	8.8 
PC,DEG1,FR	12.7 	16.2 	15.2 	14.3 	14.0 	12.5 	12.4 b	11.2 	10.5 	10.9 	11.8 	11.7 
PC,DEG1,HR	: 	: 	: 	: 	49.9 	49.5 	46.8 b	46.2 	41.6 	42.1 	45.8 	: 
PC,DEG1,HU	50.2 	47.4 	48.1 	46.3 	45.8 	41.1 	42.6 b	41.4 	37.7 	39.1 	38.4 	38.9 
PC,DEG1,IE	9.2 	7.4 	7.3 	5.7 	5.4 	4.3 	4.5 b	3.7 	5.5 	4.8 	5.4 	: 
PC,DEG1,IS	9.2 	11.0 	6.9 	8.1 	8.3 	9.0 	9.2 b	10.7 	8.6 	9.4 	8.6 p	: 
PC,DEG1,IT	28.7 	29.1 	27.9 	27.1 	28.7 	29.2 	31.5 b	31.8 	32.9 	35.0 	33.0 	31.4 
PC,DEG1,LT	58.8 	58.6 	56.7 	55.9 	51.2 	20.2 b	21.1 b	32.4 b	32.5 	25.5 	23.9 	22.7 
PC,DEG1,LU	12.0 	11.4 	11.8 	10.5 	12.6 	11.0 	17.6 b	13.6 	12.7 	13.1 	14.1 b	14.4 
PC,DEG1,LV	65.0 	63.8 	60.8 	59.5 	58.6 	43.2 	32.8 b	35.6 	39.6 	42.9 	45.6 	46.8 
PC,DEG1,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60.2 	: 
PC,DEG1,MT	3.6 	4.2 	4.0 	3.9 	4.1 	4.4 	4.0 b	3.7 	4.1 	3.6 	3.0 	2.8 
PC,DEG1,NL	2.3 	2.6 	2.5 	2.3 	2.6 	2.0 	3.7 b	3.8 	4.8 	4.2 	5.3 b	5.3 
PC,DEG1,NO	7.1 	7.4 	7.2 	6.9 	7.0 	6.9 	7.6 b	7.9 	2.6 	3.0 	3.7 	2.8 
PC,DEG1,PL	54.1 	52.6 	51.2 	49.3 	47.5 	47.4 	45.8 b	45.2 	43.7 	43.6 	41.7 	41.2 
PC,DEG1,PT	18.0 	16.7 	17.5 	15.8 	17.1 	13.9 	12.2 b	13.9 	13.4 	12.8 	13.2 	11.5 
PC,DEG1,RO	: 	60.3 	60.0 	58.8 	56.6 	55.7 	52.7 b	52.0 	50.7 	51.8 	49.5 	47.3 
