indic_eu,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	TARGET 
T2020_30,LT	100 	104.29 	64.03 	51.29 	48.34 	46.24 	48.29 	47.32 	49.24 	43.49 	40.28 	41.87 	42.69 	43.03 	44.78 	47.33 	47.98 	52.49 	50.57 	41.23 	42.99 	44.22 	44.14 	41.55 	41.52 	42.1 	42 	: 
T2020_30,LU	100 	104.93 	102.92 	103.93 	98.37 	80.87 	81.69 	77.69 	72.19 	76.56 	80.57 	84.85 	91.39 	95.07 	106.41 	108.45 	106.53 	102.75 	101.93 	97.41 	101.99 	100.51 	97.67 	93.6 	90.82 	88.25 	87.53 	: 
T2020_30,LV	100 	92.88 	74.17 	61.32 	54.16 	48.85 	49.07 	46.94 	44.98 	42.01 	39.78 	41.98 	41.94 	42.69 	42.73 	43.6 	45.55 	47.42 	45.85 	43.15 	47.77 	44.66 	44.09 	43.8 	43.42 	43.7 	43.77 	: 
T2020_30,MT	100 	107.17 	119.21 	120.41 	130.54 	131.56 	130.31 	133.33 	133.17 	136.1 	136.41 	130.07 	128.52 	138.45 	135.09 	141.15 	143.84 	148.81 	149.13 	139.27 	142.32 	145.85 	153.09 	139.36 	140.96 	112.04 	99.42 	: 
T2020_30,NL	100 	103.49 	104.16 	104.7 	105.22 	105.76 	110.9 	107.73 	107.99 	102.34 	101.52 	101.62 	101.03 	101.16 	102.09 	99.75 	97.57 	96.94 	96.72 	93.82 	99.02 	92.96 	90.65 	90.72 	87.39 	91.29 	91.63 	: 
T2020_30,NO	100 	95.36 	91.98 	95.93 	99.51 	98.86 	104.82 	104.84 	105.25 	107.29 	106.11 	108.4 	106.12 	107.24 	108.6 	107.02 	106.95 	110.59 	107.61 	102.57 	107.8 	105.81 	105.3 	105.03 	104.88 	105.9 	104.64 	: 
T2020_30,PL	100 	97.48 	94.71 	94.62 	93.5 	93.81 	96.73 	94.8 	88.15 	85.73 	83.43 	83.21 	81.08 	84.05 	85.08 	85.18 	88.36 	88.49 	86.98 	83.14 	87.07 	86.94 	85.41 	84.68 	81.97 	82.72 	85.03 	: 
T2020_30,PT	100 	102.94 	110.24 	107.91 	109.64 	117.27 	113.33 	118.86 	126.9 	140.15 	138.88 	138.16 	144.59 	136.53 	142.02 	145.28 	137.78 	134.3 	130.07 	124.51 	118.41 	116.71 	113.71 	110.85 	111.05 	118.33 	115.77 	: 
T2020_30,RO	100 	82.27 	75.78 	71.97 	70.54 	73.16 	74.19 	69.25 	61.96 	54.65 	57.03 	59.79 	59.32 	61.18 	60.88 	59.87 	60.62 	61.95 	59.98 	51.75 	49.56 	51.84 	50.6 	46.76 	46.86 	47.23 	45.82 	: 
T2020_30,SE	100 	99.9 	98.89 	99.75 	103.18 	102.93 	107.89 	101.48 	102.12 	98.41 	96.89 	97.28 	98.21 	98.72 	97.73 	94.25 	94.23 	92.31 	89.46 	83.16 	91.32 	85.94 	81.21 	79.16 	77.08 	76.78 	76.1 	: 
T2020_30,SI	100 	92.9 	93.49 	94.49 	96.64 	100.59 	104.03 	105.91 	104.53 	101.21 	102.5 	107.42 	108.45 	106.94 	108.65 	110.36 	111.44 	112.36 	116.26 	105.59 	105.68 	105.71 	102.65 	98.91 	89.63 	90.67 	95.19 	: 
T2020_30,SK	100 	87.05 	79.63 	74.93 	71.31 	72.99 	73.54 	73.19 	71.22 	69.51 	67.01 	70.38 	67.78 	68.26 	69.29 	69.27 	69.04 	66.5 	67.32 	61.36 	62.65 	61.29 	58.29 	57.73 	54.82 	55.44 	55.63 	: 
T2020_30,TR	100 	103.88 	106.74 	110.92 	108.08 	115.02 	124.09 	129.7 	130.65 	129.52 	139.68 	130.64 	134.18 	143.48 	148.73 	159.04 	170.33 	186.59 	185.99 	189.88 	193.34 	207.43 	214.6 	211.92 	218.59 	227.72 	239.88 	: 
T2020_30,UK	100 	101.1 	98.72 	96.49 	95.49 	94.77 	97.61 	94.63 	94.73 	91.25 	91.54 	91.84 	89.32 	90.34 	90.3 	89.66 	88.84 	87.33 	84.71 	77.61 	79.26 	73.6 	75.53 	73.76 	68.78 	66.66 	63.64 	: 
