worktime,age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PT,Y20-64,PC_EMP,T,AT	21.5 	22.1 	22.4 b	23.2 	24.4 	24.9 	25.0 	25.7 	26.5 	27.4 	27.7 	28.2 	28.2 
PT,Y20-64,PC_EMP,T,BE	21.4 	21.8 	21.7 	22.2 	23.0 	23.4 	24.4 	24.5 	24.1 	23.5 	24.1 	24.4 	24.2 b
PT,Y20-64,PC_EMP,T,BG	1.8 	1.6 	1.4 	2.0 	2.1 	2.2 b	2.1 b	2.2 	2.5 	2.4 	2.2 	1.9 	2.1 
PT,Y20-64,PC_EMP,T,CH	: 	: 	: 	: 	: 	35.2 b	35.2 	35.8 	36.2 	37.5 	37.7 	38.0 	38.2 
PT,Y20-64,PC_EMP,T,CY	7.5 	6.5 	6.2 	6.5 	7.3 b	8.1 	8.7 	9.4 	11.7 	13.3 	12.9 	13.3 	12.1 
PT,Y20-64,PC_EMP,T,CZ	4.3 	4.4 	4.3 	4.2 	4.7 	5.1 	4.6 b	4.9 	5.7 	5.4 	5.2 	5.6 	6.0 
PT,Y20-64,PC_EMP,T,DE	23.7 b	25.5 	25.6 	25.2 	25.5 	25.7 b	25.9 b	25.9 	26.7 	26.6 	26.8 	26.8 	26.9 
PT,Y20-64,PC_EMP,T,DK	17.9 	18.8 	19.5 	19.8 	21.3 	21.6 	21.1 	20.9 	20.9 	20.9 	20.9 	22.3 b	21.5 b
PT,Y20-64,PC_EMP,T,EA18	17.7 	18.2 	18.3 	18.4 	19.0 	19.5 	19.9 	20.4 	21.2 	21.3 	21.4 	21.3 	21.2 
PT,Y20-64,PC_EMP,T,EA19	17.6 	18.1 	18.2 	18.2 	18.9 	19.3 	19.8 	20.3 	21.1 	21.2 	21.2 	21.2 	21.1 
PT,Y20-64,PC_EMP,T,EE	6.7 	6.6 	6.9 	6.2 	9.2 	9.6 	9.1 	9.0 	8.7 	8.2 	9.2 	9.5 	9.2 
PT,Y20-64,PC_EMP,T,EL	4.7 	5.4 	5.3 	5.3 	5.7 b	6.1 	6.6 	7.6 	8.3 	9.2 	9.3 	9.7 	9.6 
PT,Y20-64,PC_EMP,T,ES	11.7 b	11.3 	11.1 	11.3 	12.1 	12.7 	13.2 	14.2 	15.5 	15.6 	15.5 	14.9 	14.6 
PT,Y20-64,PC_EMP,T,EU27	16.6 	16.8 	16.9 	16.9 	17.5 	18.0 	18.2 	18.7 	19.1 	19.1 	19.1 	19.0 	18.8 
PT,Y20-64,PC_EMP,T,EU28	16.5 	16.8 	16.8 	16.8 	17.4 	17.9 	18.2 	18.6 	19.0 	19.0 	19.0 	18.9 	18.7 
PT,Y20-64,PC_EMP,T,FI	11.9 	12.0 	11.9 	11.2 	11.9 	12.5 	12.7 	12.7 	12.5 	12.7 	12.7 	13.4 	13.5 
PT,Y20-64,PC_EMP,T,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.5 	18.3 	18.1 	18.1 
PT,Y20-64,PC_EMP,T,FX	16.9 	16.9 	17.0 	16.7 	17.1 	17.5 	17.5 	17.6 	18.0 	18.4 	18.2 	18.1 	18.0 
PT,Y20-64,PC_EMP,T,HR	7.3 e	6.9 e	6.0 	6.4 	6.4 	7.0 	7.0 	5.6 	5.4 	5.2 	5.9 	5.6 	4.8 
PT,Y20-64,PC_EMP,T,HU	3.9 	3.7 	3.8 	4.3 	5.2 	5.5 	6.4 	6.7 	6.4 	6.0 	5.7 	4.7 	4.3 
PT,Y20-64,PC_EMP,T,IE	15.7 	15.6 	16.0 b	16.9 	19.8 	21.0 	22.1 	22.4 	22.5 	21.7 	20.9 	20.3 	18.6 
PT,Y20-64,PC_EMP,T,IS	19.4 	: 	18.5 	17.5 	20.3 	19.7 	17.8 	17.8 	17.6 	20.1 	20.1 	21.1 	20.3 
PT,Y20-64,PC_EMP,T,IT	12.6 	13.0 	13.4 	14.0 	14.0 	14.7 	15.2 	16.7 	17.6 	18.0 	18.2 	18.5 	18.5 
PT,Y20-64,PC_EMP,T,LT	6.9 	9.9 	8.5 	6.4 	7.8 	7.7 	8.3 	8.8 	8.2 	8.5 	7.6 	7.1 	7.4 
PT,Y20-64,PC_EMP,T,LU	17.4 	17.1 	17.8 b	18.0 	17.5 b	17.3 	17.9 	18.3 	18.4 	18.2 	17.8 b	18.9 	19.4 
PT,Y20-64,PC_EMP,T,LV	7.3 	5.6 	5.1 	5.6 	7.9 	9.2 	8.6 	8.8 	7.4 	6.7 	7.1 	8.3 	7.5 
PT,Y20-64,PC_EMP,T,ME	: 	: 	: 	: 	: 	: 	4.1 	4.1 	3.1 	5.5 	5.7 	4.5 	5.3 
PT,Y20-64,PC_EMP,T,MK	: 	6.1 	6.1 	5.3 	5.0 	5.3 	5.7 	5.7 	4.2 	5.5 	4.0 	4.4 	4.0 
PT,Y20-64,PC_EMP,T,MT	8.0 b	9.0 	9.6 	10.4 	10.2 	10.7 	11.5 	12.2 	13.1 	14.5 	13.5 	13.1 	12.8 
PT,Y20-64,PC_EMP,T,NL	42.7 	42.6 	43.1 	43.5 	44.4 	45.2 b	45.4 b	46.1 	46.9 	46.6 	46.9 	46.6 	46.6 
PT,Y20-64,PC_EMP,T,NO	25.6 	25.7 b	25.0 	24.8 	25.3 	25.3 	24.9 	24.7 	24.5 	23.4 	23.7 	23.8 	23.4 
PT,Y20-64,PC_EMP,T,PL	9.2 	8.4 	8.0 	7.4 	7.3 	7.3 b	7.0 	6.9 	6.9 	6.8 	6.6 	6.2 	6.3 
PT,Y20-64,PC_EMP,T,PT	8.2 	8.1 	8.8 	8.7 	8.4 	8.4 	10.1 b	11.0 	10.8 	9.9 	9.6 	9.2 	8.6 
PT,Y20-64,PC_EMP,T,RO	8.7 	8.2 	8.2 	8.2 	8.2 	9.6 b	9.1 	9.0 	8.8 	8.5 	8.4 	7.2 	6.5 
PT,Y20-64,PC_EMP,T,SE	22.4 b	22.7 	22.7 	24.3 	24.5 	24.4 	23.9 	23.7 	23.4 	23.3 	23.0 	22.6 	21.9 
PT,Y20-64,PC_EMP,T,SI	6.8 	7.1 	7.0 	7.2 	8.6 	9.2 	8.6 	8.5 	8.5 	9.2 	9.3 	8.9 	9.6 
PT,Y20-64,PC_EMP,T,SK	2.4 	2.6 	2.4 	2.5 	3.4 	3.7 	3.9 b	3.9 	4.5 	5.0 	5.7 	5.7 	5.7 
PT,Y20-64,PC_EMP,T,TR	: 	7.0 	7.8 	8.5 	10.3 	10.7 	10.9 	11.0 	11.3 	10.4 b	9.6 	8.9 	9.1 
PT,Y20-64,PC_EMP,T,UK	22.5 	22.4 	22.4 b	22.5 b	23.3 	24.0 	24.1 	24.4 	24.2 	24.0 	23.7 	23.7 	23.5 
