unit,quantile,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,QU2,DK	16.5 	12.3 	17.0 	24.5 	25.9 	20.4 b	17.6 	20.6 	16.9 	16.3 	14.6 	14.9 
PC,QU2,EA18	10.2 e	8.5 e	8.4 e	7.6 e	8.5 	10.4 	11.5 	11.8 	11.5 	10.9 	10.9 	9.3 e
PC,QU2,EA19	10.1 e	8.5 e	8.3 e	7.5 e	8.5 	10.4 	11.4 	11.8 	11.5 	10.9 	10.8 	9.2 e
PC,QU2,EE	3.9 	4.0 	2.3 	4.0 	3.8 	5.8 	5.9 	5.1 	5.2 b	4.2 	2.3 	2.6 
PC,QU2,EL	29.2 	10.5 	23.2 	21.4 	15.3 	29.0 	49.7 	60.1 	66.4 	65.8 	55.0 	54.4 
PC,QU2,ES	6.3 	8.5 	9.3 b	9.0 	7.9 	7.7 	7.8 	8.9 	9.1 	7.6 	8.3 	7.7 
PC,QU2,EU27	12.7 e	11.4 e	11.4 e	9.8 e	10.5 	11.7 	11.5 	11.8 	12.0 	11.4 	11.1 	9.2 e
PC,QU2,EU28	: 	: 	: 	: 	10.5 	11.7 	11.4 	11.8 	11.9 	11.3 	11.1 	9.2 e
PC,QU2,FI	3.3 	4.1 	3.5 	4.2 	3.7 	4.5 	4.5 	3.7 	4.9 	5.8 	4.4 	4.5 
PC,QU2,FR	6.4 	6.4 	4.4 	4.3 	5.4 	5.0 	4.5 	5.1 	5.6 	5.7 	5.3 	4.9 
PC,QU2,HR	: 	: 	: 	: 	14.5 	4.8 	3.0 	5.5 	4.9 	4.0 	3.0 	: 
PC,QU2,HU	13.7 	13.7 	13.1 	8.8 	15.0 	16.7 	19.9 	18.5 	14.4 	8.5 	9.6 	9.8 
PC,QU2,IE	3.3 	1.6 	3.5 	2.2 	3.3 	2.9 	2.5 	3.5 	3.7 	4.7 	3.8 	: 
PC,QU2,IS	12.3 	7.4 	9.7 	7.1 	7.7 	9.4 	8.4 	8.7 	7.1 	6.4 	5.4 p	: 
PC,QU2,IT	13.5 	7.4 	8.3 	7.6 	6.1 	7.1 	7.4 	8.4 	6.9 	5.8 	7.5 	5.0 
PC,QU2,LT	7.4 	3.0 	2.6 	3.3 	6.7 	11.6 	8.6 	8.7 	7.3 	9.0 	5.5 	4.1 
PC,QU2,LU	2.9 	1.5 	1.9 	2.2 	2.2 	2.4 	2.9 	2.9 	4.6 	4.6 	9.2 b	7.6 
PC,QU2,LV	9.7 	7.9 	8.3 	7.2 	9.8 	13.7 	13.1 	12.6 	9.5 	7.3 	4.2 	4.0 
PC,QU2,MK	: 	: 	: 	: 	: 	20.6 	22.4 	15.7 	13.9 	7.5 	5.7 	: 
PC,QU2,MT	0.6 	2.3 	2.7 	2.6 	2.8 	1.9 	1.9 	2.0 	1.4 	0.8 	1.0 	1.6 
PC,QU2,NL	20.9 	19.7 	14.2 	13.1 	14.2 	15.1 	16.1 	19.0 	15.2 	14.3 	12.2 b	9.8 
PC,QU2,NO	8.7 	10.1 	10.0 	9.9 	5.9 	8.3 	7.8 	7.4 	5.9 	6.4 	7.2 	6.2 
PC,QU2,PL	13.8 	12.4 	9.7 	8.4 	9.7 	10.2 	10.2 	11.0 	9.4 	8.5 	6.6 	4.6 
PC,QU2,PT	5.0 	9.6 	10.5 	6.5 	2.9 	6.6 	7.8 	7.1 	7.0 	8.2 	6.5 	5.6 
PC,QU2,RO	: 	22.1 	23.1 	19.6 	20.3 	15.2 	21.5 	20.3 	19.7 	17.1 	14.0 	11.5 
PC,QU2,RS	: 	: 	: 	: 	: 	: 	: 	35.7 	45.2 	39.2 	32.7 	: 
PC,QU2,SE	7.0 	6.3 	7.0 b	9.8 	5.0 	6.8 	7.6 	8.9 	7.0 	7.2 	7.0 	7.0 
PC,QU2,SI	1.7 	4.4 	3.4 	2.0 	3.4 	2.6 	4.0 	5.2 	5.1 	4.1 	3.9 	3.1 
PC,QU2,SK	19.5 	22.3 	6.3 	7.9 	5.7 	6.6 	8.0 	6.2 	7.8 	8.4 	6.8 	7.2 
PC,QU2,TR	19.6 	14.9 	15.3 	17.7 	15.7 	15.8 	15.0 	17.0 	14.7 	14.0 	: 	: 
PC,QU2,UK	19.6 	18.3 	20.6 	16.7 	18.9 	18.3 	7.6 b	8.0 	13.9 	14.1 	13.5 	: 
PC,QU3,AT	1.6 	1.3 	2.1 bu	1.7 u	2.6 u	1.9 u	1.0 	1.8 	1.0 	1.3 	1.6 	0.7 
PC,QU3,BE	3.6 	3.3 	6.0 	3.1 	1.9 	3.3 	4.0 	4.1 	3.6 	3.4 	3.3 	3.5 
PC,QU3,BG	5.7 	12.5 	8.2 	2.3 	1.6 	4.3 	4.2 	7.4 	4.8 	5.4 	11.5 b	11.6 
PC,QU3,CH	: 	: 	: 	5.1 	7.5 	4.9 	4.7 	3.9 	5.4 b	4.5 	5.4 	: 
PC,QU3,CY	1.8 	0.9 	0.9 b	2.2 	1.7 	1.7 	0.9 	1.5 	2.3 	2.1 	1.0 	1.7 
PC,QU3,CZ	6.8 	5.9 	7.6 	4.4 	3.5 	3.5 	4.2 	6.3 	5.7 	4.7 	3.9 	3.4 
PC,QU3,DE	: 	: 	: 	: 	9.8 	9.5 	7.9 	9.8 	7.4 	7.3 	8.6 	7.0 
PC,QU3,DK	6.3 	5.7 	9.2 	13.9 	12.4 	8.3 b	7.1 	7.3 	5.2 	6.2 	4.5 	4.9 
PC,QU3,EA18	5.4 e	4.1 e	3.8 e	3.9 e	4.7 	5.0 	4.6 	5.2 	5.1 	5.2 	4.9 	4.1 e
PC,QU3,EA19	5.3 e	4.1 e	3.7 e	3.9 e	4.7 	5.0 	4.5 	5.2 	5.1 	5.2 	4.8 	4.1 e
PC,QU3,EE	2.0 	1.3 	1.3 	1.3 	1.7 	2.7 	2.2 	1.1 	2.2 b	2.3 	1.2 	1.2 
PC,QU3,EL	15.8 	2.6 	11.7 	12.5 	5.5 	7.0 	14.2 	20.1 	34.2 	36.1 	28.6 	27.4 
PC,QU3,ES	3.1 	3.7 	3.9 b	4.6 	2.6 	4.1 	3.0 	2.2 	2.3 	1.9 	2.9 	2.2 
PC,QU3,EU27	6.7 e	6.0 e	5.3 e	4.9 e	5.2 	5.7 	4.9 	5.4 	5.3 	5.1 	4.9 	4.0 e
PC,QU3,EU28	: 	: 	: 	: 	5.2 	5.7 	4.9 	5.4 	5.3 	5.1 	4.9 	4.0 e
PC,QU3,FI	1.6 	3.1 	2.1 	2.0 	2.4 	2.1 	1.9 	2.3 	2.0 	1.8 	2.0 	2.3 
PC,QU3,FR	3.5 	4.1 	2.0 	2.3 	1.9 	1.8 	1.7 	2.0 	2.0 	2.9 	1.8 	1.7 
PC,QU3,HR	: 	: 	: 	: 	4.1 	1.6 	1.3 	1.9 	2.3 	0.9 	0.6 	: 
PC,QU3,HU	7.3 	5.9 	6.6 	3.8 	5.0 	6.6 	8.8 	8.9 	9.4 	2.9 	3.7 	3.3 
PC,QU3,IE	1.0 	1.5 	0.7 	0.7 	1.1 	2.2 	1.5 	1.3 	2.0 	1.9 	2.1 	: 
PC,QU3,IS	8.9 	8.5 	8.9 	7.2 	4.8 	6.7 	3.9 	4.4 	3.7 	4.5 	2.8 p	: 
