na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NULC_PER,PCH_3Y,FI	-5.1 	-0.1 	0.9 	0.4 	1.6 	3.2 	4.5 	4.1 	4.0 	1.6 	2.8 	3.7 	3.8 	7.5 	15.2 	13.2 	9.4 	6.0 	9.1 	7.8 	3.7 	1.3 	-2.5 
NULC_PER,PCH_3Y,FR	1.8 	1.0 	1.8 	0.6 	0.5 	1.8 	4.3 	6.4 	7.3 	5.8 	4.9 	4.7 	5.5 	6.3 	8.0 	7.4 	5.4 	4.1 	4.6 	4.4 	2.3 	1.3 p	1.3 p
NULC_PER,PCH_3Y,HR	: 	: 	: 	30.0 p	30.7 p	25.6 p	9.8 p	7.8 p	7.9 p	12.2 p	8.9 p	6.0 p	7.6 p	9.9 d	15.8 d	11.7 d	6.3 d	-1.5 d	-4.0 d	-6.5 d	-6.3 d	-5.1 d	-4.3 d
NULC_PER,PCH_3Y,HU	: 	: 	: 	61.5 	41.4 	32.5 	32.0 	31.8 	27.2 	19.7 	16.0 	9.7 	10.0 	11.4 	12.6 	7.0 	4.3 	5.0 	6.2 	5.7 	-0.6 	3.8 	6.7 
NULC_PER,PCH_3Y,IE	: 	: 	: 	6.7 	7.7 	10.5 	10.1 	9.7 	12.3 	8.4 	12.3 	10.9 	13.9 	17.8 	8.6 	-4.8 	-16.5 b	-12.7 	-3.8 	-3.7 	-18.6 	-18.8 	-17.2 
NULC_PER,PCH_3Y,IT	: 	: 	: 	6.5 	2.7 	0.4 	5.6 	7.8 	11.9 	11.0 	9.2 	7.0 	6.5 	8.5 	11.1 	8.9 	5.3 	2.1 	2.9 	2.3 	1.6 	1.6 	1.1 
NULC_PER,PCH_3Y,LT	: 	: 	: 	55.6 	23.6 	-0.6 	-9.9 	-9.5 	-0.8 	6.7 	11.5 	24.1 	25.0 	28.8 	13.0 	0.3 	-7.8 	-4.2 	6.2 	8.7 	11.8 	15.3 	16.0 
NULC_PER,PCH_3Y,LU	: 	: 	: 	3.2 	0.2 	3.2 	10.3 	12.5 	11.3 	7.4 	7.8 	9.2 	6.8 	12.6 	17.6 	16.0 	8.8 	5.9 	7.6 	7.1 	2.6 	3.6 	7.1 
NULC_PER,PCH_3Y,LV	: 	: 	: 	26.9 	8.1 	6.3 	3.6 	-1.4 	2.3 	9.4 	27.4 	41.7 	69.7 	78.3 	37.2 	-2.2 	-21.0 	-6.9 	8.1 	16.3 	17.5 	16.9 	14.7 
NULC_PER,PCH_3Y,MT	: 	: 	: 	: 	: 	: 	: 	: 	10.6 	7.1 	5.0 	5.8 	4.9 	9.5 	11.2 	9.2 	11.1 	8.7 	9.8 	3.3 	-0.4 	0.2 	1.7 
NULC_PER,PCH_3Y,NL	: 	: 	: 	2.4 	4.0 	6.1 	7.4 	10.7 	10.1 	7.2 	2.1 	-0.2 	1.9 	5.7 	11.3 	7.7 	5.3 	2.6 	4.8 	3.7 	-0.4 	-0.6 p	-0.2 p
NULC_PER,PCH_3Y,PL	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	-6.9 	-3.7 	-1.5 	3.2 	10.5 	12.3 	11.3 b	4.2 	5.3 	3.1 	2.9 	0.2 	2.5 p	4.5 p
NULC_PER,PCH_3Y,PT	: 	: 	: 	12.5 	10.9 	11.4 	11.5 	11.9 	11.1 	7.1 	7.4 	4.3 	5.1 	4.5 	6.6 	4.2 	-0.6 	-6.3 	-3.4 	-2.7 	0.5 	0.1 	3.5 p
NULC_PER,PCH_3Y,RO	: 	: 	: 	422.2 	415.6 	317.2 	234.4 	138.7 	74.7 	24.2 	52.0 	32.0 	30.9 	32.9 	28.7 	38.3 	4.2 	4.3 b	-5.6 	5.4 	0.6 	9.5 	11.9 p
NULC_PER,PCH_3Y,SE	: 	5.5 	6.0 	1.8 	-1.1 	1.7 	11.1 	10.7 	6.7 	1.1 	0.4 	-0.1 	4.9 	9.8 	15.9 	8.3 	5.6 	4.0 	8.6 	6.9 	2.5 	2.5 	3.7 
NULC_PER,PCH_3Y,SI	: 	: 	: 	18.6 	15.3 	18.1 	22.5 	24.1 	20.7 	14.6 	9.7 	6.3 	5.4 	10.6 	18.5 	16.1 	8.3 	0.6 	0.5 	0.0 	-0.4 	0.9 	3.4 
NULC_PER,PCH_3Y,SK	: 	: 	: 	23.9 	19.4 	20.1 	17.4 	17.6 	11.1 	10.6 	10.2 	8.0 	5.7 	6.0 	10.9 	9.5 	6.1 	0.8 	2.2 	1.8 	2.1 	3.1 	6.9 
NULC_PER,PCH_3Y,UK	: 	: 	: 	8.3 	9.6 	10.6 	10.4 	8.0 	7.0 	6.5 	7.2 	9.2 	9.5 	10.0 	11.0 	8.7 	6.7 	3.0 	3.3 	3.4 	2.4 	3.0 	5.4 
