unit,s_adj,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT	: 	: 	: 	: 	12.9 	16.6 	18.9 	19.9 	20.3 	23.7 	55.0 	61.3 	74.9 	72.7 	81.1 	74.8 	72.8 	74.7 	75.2 	77.8 	75.4 	65.1 	66.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	130.1 	143.8 	154.6 	192.0 	208.2 	223.2 	236.2 	236.2 	220.3 	228.5 	228.8 	221.1 	199.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG	: 	: 	: 	: 	: 	20.5 	21.5 	23.2 	27.5 	37.8 	50.6 	66.7 	81.7 	87.5 	94.4 	90.3 	87.8 	90.1 	89.3 	93.4 	93.6 	90.6 	88.4 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	701.6 	711.8 	773.4 	700.1 	866.4 	863.8 	849.3 	1049.7 	1069.2 	1017.8 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ	12.4 	12.9 	16.4 	20.0 	28.2 	34.4 	38.2 	43.5 	41.3 	43.6 	48.9 	51.5 	58.1 	60.3 	66.2 	70.1 	69.6 	74.7 	77.4 	77.3 	75.8 	78.4 	78.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE	: 	: 	: 	: 	16.3 	26.7 	25.6 	28.1 	29.4 	28.7 	30.0 	32.7 	33.7 	31.9 	34.2 	35.1 	35.8 	39.8 	41.0 	41.2 	41.9 	42.0 	42.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46.3 	44.7 	47.1 	44.6 	46.8 	43.5 	43.9 	43.6 	41.8 	49.8 	50.1 	56.3 	54.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE	: 	: 	: 	: 	: 	48.2 	54.0 	55.2 	68.0 	80.8 	90.1 	75.5 	75.0 	77.1 	89.1 	95.0 	89.9 	94.2 	98.8 	103.7 	97.9 	98.8 	95.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	11.1 	12.8 	14.7 	16.1 	12.0 	13.8 	13.8 	12.2 	11.5 	12.0 	11.8 	14.8 	15.8 	17.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,ES	: 	: 	: 	: 	23.7 	30.1 	33.8 	37.9 	40.2 	42.3 	41.9 	42.3 	44.7 	45.1 	49.0 	50.5 	51.6 	53.3 	56.4 	58.8 	58.8 	60.2 	58.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,FI	: 	: 	: 	: 	20.7 	28.5 	27.2 	29.4 	35.2 	36.7 	40.8 	41.6 	46.4 	50.9 	50.7 	54.7 	50.6 	52.0 	46.8 	52.4 	57.8 	54.1 	55.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,FR	: 	: 	: 	: 	18.1 	20.5 	22.8 	23.8 	25.9 	28.2 	30.9 	33.4 	34.9 	34.2 	37.0 	38.1 	40.2 	40.5 	41.3 	42.1 	43.9 	45.5 	46.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,HR	: 	: 	: 	: 	: 	12.2 	14.7 	17.8 	19.3 	25.1 	31.0 	46.3 	64.5 	42.2 	50.8 	53.9 	49.7 	51.7 	50.4 	56.0 	54.3 	57.2 	58.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,HU	: 	: 	: 	: 	50.6 	49.1 	50.1 	49.5 	57.6 	57.4 	63.3 	144.5 	176.7 	218.0 	226.9 	214.3 	236.3 	227.1 	211.4 	217.3 	222.5 	260.5 	211.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	180.3 	185.8 	176.9 	208.3 	185.8 	192.1 	209.0 	267.4 	294.0 	305.8 	337.7 	347.3 	387.5 	498.3 	511.9 	435.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,IT	: 	: 	: 	: 	11.7 	13.2 	13.0 	12.6 	13.8 	14.9 	17.3 	19.7 	21.4 	18.8 	22.1 	20.3 	21.5 	23.2 	23.8 	25.1 	25.6 	26.0 	26.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.4 	32.8 	35.3 	36.6 	29.9 	37.0 	38.6 	37.9 	38.2 	38.7 	38.5 	39.8 	41.1 	40.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	1961.2 	2331.8 	2509.1 	2589.7 	2595.4 	2757.4 	2968.2 	3505.4 	3640.8 	4666.0 	5989.7 	6471.4 	7931.5 	9411.7 	9479.1 	8263.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,LV	: 	: 	: 	: 	: 	21.6 	24.2 	23.8 	25.4 	29.7 	31.6 	34.2 	35.3 	36.0 	46.3 	49.7 	50.1 	49.7 	54.1 	56.5 	59.8 	58.0 	59.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	323.4 	731.6 	1111.2 	1549.3 	1636.5 	1698.3 	1859.2 	2023.8 	2051.0 	1973.2 	1849.6 	1724.9 	1696.3 	1627.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	265.2 	282.6 	307.1 	337.4 	405.1 	399.8 	417.1 	431.3 	472.5 	503.2 	534.5 	558.1 	593.1 	604.0 	615.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.3 	31.5 	36.1 	38.4 	39.7 	40.4 	48.4 	47.3 	47.7 	50.1 	51.5 	48.1 	50.7 	49.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,PT	: 	20.7 	23.7 	29.4 	28.0 	32.7 	35.9 	34.6 	39.3 	38.7 	40.2 	46.1 	51.0 	47.6 	53.6 	56.4 	54.7 	66.7 	69.5 	74.0 	74.0 	77.0 	79.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.7 	33.4 	35.8 	35.0 	39.4 	41.7 	41.6 	43.2 	43.1 	41.9 	42.6 	44.4 	44.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,SE	: 	: 	: 	29.8 	38.9 	49.5 	56.3 	58.3 	60.0 	65.7 	68.5 	69.8 	81.2 	91.4 	100.8 	92.8 	91.7 	91.4 	90.7 	84.5 	83.9 	82.2 	4.2 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,SI	9.8 	11.0 	12.3 	12.0 	12.2 	13.1 	13.8 	17.1 	20.6 	20.6 	23.5 	23.1 	24.0 	25.0 	26.1 	27.0 	28.7 	29.8 	29.1 	31.5 	34.4 	37.2 	37.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.9 	71.2 	70.7 	64.2 	60.5 	64.3 	62.5 	65.8 	64.7 	64.8 	62.1 	63.3 	70.8 	72.4 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,UK	: 	: 	: 	: 	33.7 	39.4 	42.5 	41.2 	39.5 	40.1 	49.8 	52.8 	51.1 	59.8 	57.3 	59.7 	60.4 	73.8 	71.8 	71.8 	71.4 	78.8 	76.5 
