unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,A_MD60,AT	13.5 	13.2 	11.8 b	10.4 	8.9 	9.5 	10.4 	12.2 	12.3 	12.2 	11.7 	11.4 
PC,T,TOTAL,A_MD60,BE	2.0 	2.5 	2.8 	2.4 	2.4 	1.1 	0.5 	0.8 	0.6 	0.7 	2.1 	3.1 
PC,T,TOTAL,A_MD60,BG	47.4 	49.2 	47.7 	47.1 	47.0 	46.7 	44.1 	44.0 	42.5 	42.1 	43.2 b	42.8 
PC,T,TOTAL,A_MD60,CH	: 	6.2 	6.2 	6.2 	4.0 	4.4 	4.4 	6.1 	5.7 b	4.4 	4.7 	: 
PC,T,TOTAL,A_MD60,CY	1.3 	1.1 	2.4 b	2.2 	2.8 	2.1 	2.0 	2.0 	1.9 	1.0 	1.9 	2.4 
PC,T,TOTAL,A_MD60,CZ	31.8 	30.2 	28.6 	25.2 	21.0 	19.6 	19.6 	19.9 	18.0 	17.0 	16.1 	14.5 
PC,T,TOTAL,A_MD60,DE	5.8 	4.3 	4.4 	3.9 	4.5 	3.9 	4.2 	4.4 	4.3 	4.5 	4.5 	4.8 
PC,T,TOTAL,A_MD60,DK	5.5 	5.6 	5.6 	5.6 	5.5 	5.8 b	5.4 	5.9 	6.3 	5.8 	6.8 	6.9 
PC,T,TOTAL,A_MD60,EA18	11.2 	10.9 	10.7 	10.1 	10.2 	9.4 	9.6 	10.0 	9.7 	10.1 	10.3 	10.3 e
PC,T,TOTAL,A_MD60,EA19	11.6 	11.3 	11.1 	10.5 	10.6 	9.5 	9.7 	10.1 	9.9 	10.2 	10.4 	10.4 e
PC,T,TOTAL,A_MD60,EE	46.1 	43.8 	42.4 	40.6 	38.7 	12.8 	13.3 	22.4 	14.0 b	13.7 	13.2 	13.5 
PC,T,TOTAL,A_MD60,EL	28.1 	28.2 	25.4 	24.1 	24.0 	24.2 	23.7 	24.3 	24.5 	26.1 	27.1 	27.7 
PC,T,TOTAL,A_MD60,ES	5.4 	4.6 	4.5 	4.2 	4.0 	5.7 b	4.3 	3.9 	4.0 	4.1 	3.6 	3.6 
PC,T,TOTAL,A_MD60,EU27	17.7 e	17.3 	17.1 	16.3 	16.1 	15.2 	15.1 	15.1 	14.6 	14.7 	14.6 	16.2 e
PC,T,TOTAL,A_MD60,EU28	: 	: 	: 	: 	16.4 	15.5 	15.3 	15.4 	14.8 	15.0 	14.8 	16.2 e
PC,T,TOTAL,A_MD60,FI	2.8 	2.4 	2.5 	2.3 	2.6 	3.1 	2.4 	3.4 	3.6 	3.2 	3.1 	3.2 
PC,T,TOTAL,A_MD60,FR	5.8 	7.0 	6.8 	6.5 	6.3 	4.8 	5.0 	5.0 	4.4 	5.1 	5.2 	4.8 
PC,T,TOTAL,A_MD60,HR	: 	: 	: 	: 	44.9 	45.9 	45.3 	43.7 	42.9 	42.6 	41.6 	: 
PC,T,TOTAL,A_MD60,HU	50.0 	47.6 	48.6 	46.4 	46.9 	45.0 	44.9 	43.9 	42.0 	41.5 	42.3 	44.9 
PC,T,TOTAL,A_MD60,IE	5.5 	4.3 	4.5 	2.9 	2.8 	1.9 	2.8 	2.6 	2.8 	3.1 	2.7 	: 
PC,T,TOTAL,A_MD60,IS	8.1 	10.0 	5.0 	6.0 	5.9 	6.3 	6.9 	7.8 	7.4 	7.5 	6.5 p	: 
PC,T,TOTAL,A_MD60,IT	23.4 	22.9 	23.7 	22.6 	23.2 	22.9 	25.0 	25.9 	25.7 	26.4 	27.4 	27.2 
PC,T,TOTAL,A_MD60,LT	53.9 	53.2 	49.5 	48.8 	47.1 	19.6 b	19.8 	28.2 b	28.8 	26.1 	23.4 	24.0 
