age,unit,sex,indic_em,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y15-64,THS_PER,T,ACT,AT	3803 e	3792 e	3797 e	3823 e	3807 	3816 	3835 	3835 	3933 	3865 b	3934 	3994 	4064 b	4100 	4132 	4147 	4176 	4222 	4261 	4278 	4319 	4412 	4433 
Y15-64,THS_PER,T,ACT,BE	4163 e	4191 e	4232 e	4285 e	4355 b	4376 	4320 b	4378 	4409 	4493 	4589 	4616 	4701 	4747 	4769 	4856 	4817 	4847 	4901 	4920 	4921 	4929 	4940 b
Y15-64,THS_PER,T,ACT,BG	: 	: 	: 	: 	: 	3336 	3358 b	3316 	3233 	3277 	3281 	3376 	3448 	3505 	3441 	3387 b	3302 b	3304 	3323 	3309 	3276 	3200 	3278 
Y15-64,THS_PER,T,ACT,CY	: 	: 	289 e	289 e	291 e	303 e	314 e	320 e	332 e	344 e	357 	365 	383 	386 	393 b	409 	420 	426 	425 	425 	413 	408 	417 
Y15-64,THS_PER,T,ACT,CZ	: 	: 	: 	5089 	5102 	5076 	5045 	5048 	5044 	5063 	5118 	5140 	5132 	5163 	5209 	5192 	5146 b	5175 	5213 	5206 	5201 	5226 	5248 
Y15-64,THS_PER,T,ACT,DE	38708 e	38786 e	38927 e	39133 e	39214 e	39092 e	39165 e	39237 e	39430 e	39666 e	40411 b	40874 	40992 	41032 	41030 	40178 b	40437 b	40538 	40814 	40990 	41117 	41932 	42094 
Y15-64,THS_PER,T,ACT,DK	2790 e	2804 e	2808 e	2806 e	2840 b	2824 	2831 	2815 	2820 	2852 	2846 	2875 	2869 	2908 	2901 	2872 	2864 	2840 	2824 	2831 	2859 	2934 b	2905 b
Y15-64,THS_PER,T,ACT,EE	: 	: 	659 e	655 e	649 e	666 b	659 	644 	651 	647 	647 	667 	664 	670 	666 	661 	665 	658 	655 	648 	654 	658 	665 
Y15-64,THS_PER,T,ACT,EL	4086 e	4138 e	4186 e	4423 b	4491 	4519 	4621 b	4667 	4731 	4829 b	4853 	4887 	4894 	4910 	4953 b	4945 	4859 	4828 	4784 	4747 	4738 	4732 	4701 
Y15-64,THS_PER,T,ACT,ES	16103 e	16404 	16709 	16978 	17318 	17903 	17942 b	18856 	19632 	20264 	20998 b	21631 	22281 	22908 	23107 	23210 	23280 	23281 	23043 	22814 	22767 	22657 	22558 
Y15-64,THS_PER,T,ACT,FI	: 	2367 e	2420 e	2471 	2542 	2572 b	2588 	2591 	2580 	2574 	2597 	2620 	2642 	2669 	2644 	2634 	2637 	2637 	2622 	2617 	2619 	2615 	2635 
Y15-64,THS_PER,T,ACT,FX	24840 e	25025 e	25099 e	25322 e	25571 e	25746 e	25950 e	26357 e	26781 b	26999 	27192 	27369 	27579 	27759 	27998 	28082 	28051 	28242 	28377 	28376 	28422 	28471 	28557 
Y15-64,THS_PER,T,ACT,HR	: 	: 	: 	: 	: 	: 	: 	: 	1740 e	1753 e	1740 e	1729 e	1884 	1890 	1886 	1871 	1841 	1825 	1811 	1868 	1865 	1806 	1807 
Y15-64,THS_PER,T,ACT,HU	: 	: 	3932 e	3998 e	4054 	4068 	4085 b	4090 	4142 	4127 	4180 	4222 	4184 	4144 	4135 	4171 	4190 	4265 	4300 	4413 	4483 	4543 	4565 
Y15-64,THS_PER,T,ACT,IE	1421 e	1467 e	1524 e	1693 b	1770 	1824 	1868 	1906 	1946 	2008 	2100 	2196 	2293 b	2312 	2260 	2206 	2182 	2174 	2192 	2199 	2220 	2260 	2282 
Y15-64,THS_PER,T,ACT,IT	22293 e	22421 e	22530 e	22826 	23018 	23239 	23429 	23631 	23797 	23958 b	23933 	24038 	23996 	24357 	24227 	24203 	24272 	24832 	24816 	25039 	24997 	25243 	25340 
Y15-64,THS_PER,T,ACT,LT	: 	: 	1685 e	1691 e	1683 e	1643 e	1613 e	1602 b	1610 	1573 	1544 	1492 	1487 	1484 	1500 	1494 	1453 	1441 	1436 	1445 	1434 	1433 	1408 
Y15-64,THS_PER,T,ACT,LU	164 e	167 e	170 e	173 e	178 e	183 e	187 e	191 e	193 b	198 	202 	205 	211 b	213 	227 b	229 	234 	246 	251 	258 	274 b	277 	286 
Y15-64,THS_PER,T,ACT,LV	: 	: 	1131 e	1118 e	1095 e	1074 e	1062 e	1064 b	1063 	1063 	1049 	1069 	1083 	1097 	1069 	1034 	1007 	1006 	986 	966 	965 	957 	946 
Y15-64,THS_PER,T,ACT,MT	: 	: 	152 e	152 e	152 e	153 e	155 e	157 	159 	158 	159 b	161 	165 	168 	170 	172 	176 	182 	190 	198 	206 	215 	226 
Y15-64,THS_PER,T,ACT,NL	7266 e	7383 e	7566 e	7713 e	7859 e	8058 	8189 	8319 	8350 	8398 	8414 	8484 	8622 	8704 	8742 	8614 b	8582 b	8684 	8742 	8677 	8719 	8754 	8805 
Y15-64,THS_PER,T,ACT,PL	: 	: 	: 	16567 e	16748 e	16928 b	17030 b	16893 	16644 b	16727 b	16873 	16679 	16610 	16765 	17039 	16879 b	16968 	17085 	17101 	17153 	17112 	16961 	16919 
Y15-64,THS_PER,T,ACT,PT	4549 e	4538 e	4575 	4834 b	4879 	4952 	5023 	5085 	5105 	5101 	5136 	5171 	5196 	5203 	5161 	5166 	5138 b	5087 	5010 	4976 	4949 	4940 	4972 
Y15-64,THS_PER,T,ACT,RO	: 	: 	: 	10466 e	10388 	10411 	10279 	9717 b	9293 b	9434 	9356 	9565 	9483 	9457 	9485 	8958 b	8799 	8849 	8832 	8883 	8858 	8696 	8812 
Y15-64,THS_PER,T,ACT,SE	: 	4325 e	4290 e	4269 e	4306 e	4315 e	4468 b	4482 	4501 	4519 	4614 b	4687 	4750 	4797 	4799 	4827 	4887 	4909 	4963 	5005 	5044 	5100 	5190 
Y15-64,THS_PER,T,ACT,SI	: 	: 	935 e	942 e	931 	942 	953 	950 	943 	981 	991 	997 	1007 	1021 	1016 	1017 	998 	996 	990 	991 	992 	982 	1011 
Y15-64,THS_PER,T,ACT,SK	: 	: 	2505 e	2508 	2541 b	2580 	2622 	2605 	2614 b	2642 	2636 	2650 	2646 	2679 	2680 	2696 	2668 b	2695 	2703 	2707 	2719 	2738 	2726 
Y15-64,THS_PER,T,ACT,UK	28175 e	28341 e	28469 e	28463 e	28332 b	28516 	28636 	28846 	29046 	29266 b	29584 	30045 	30236 b	30569 b	30666 	30728 	30943 	31161 	31334 	31533 	31742 	32005 	32214 
