lev_perc,unit,geo\time	2016 	2017 	2018 
FBAD,PC,AT	13 	14 	7 
FBAD,PC,BE	19 	21 	18 
FBAD,PC,BG	35 	37 	31 
FBAD,PC,CY	19 	14 	18 
FBAD,PC,CZ	32 	31 	28 
FBAD,PC,DE	13 	12 	14 
FBAD,PC,DK	6 	5 	7 
FBAD,PC,EE	12 	12 	11 
FBAD,PC,EL	26 	25 	22 
FBAD,PC,ES	38 	39 	32 
FBAD,PC,EU28	24 	23 	22 
FBAD,PC,FI	10 	11 	9 
FBAD,PC,FR	29 	26 	23 
FBAD,PC,HR	38 	35 	34 
FBAD,PC,HU	22 	21 	22 
FBAD,PC,IE	13 	11 	12 
FBAD,PC,IT	36 	38 	32 
FBAD,PC,LT	28 	25 	22 
FBAD,PC,LU	6 	7 	7 
FBAD,PC,LV	38 	36 	34 
FBAD,PC,MT	22 	23 	18 
FBAD,PC,NL	9 	8 	7 
FBAD,PC,PL	32 	26 	29 
FBAD,PC,PT	31 	30 	32 
FBAD,PC,RO	23 	19 	24 
FBAD,PC,SE	10 	12 	11 
FBAD,PC,SI	32 	30 	32 
FBAD,PC,SK	36 	35 	39 
FBAD,PC,UK	12 	11 	13 
FGOOD,PC,AT	59 	58 	58 
FGOOD,PC,BE	56 	54 	55 
FGOOD,PC,BG	21 	24 	27 
FGOOD,PC,CY	46 	49 	46 
FGOOD,PC,CZ	44 	44 	46 
FGOOD,PC,DE	54 	59 	55 
FGOOD,PC,DK	51 	46 	49 
FGOOD,PC,EE	56 	42 	54 
FGOOD,PC,EL	41 	44 	48 
FGOOD,PC,ES	27 	28 	32 
FGOOD,PC,EU28	43 	44 	45 
FGOOD,PC,FI	65 	62 	65 
FGOOD,PC,FR	49 	50 	52 
FGOOD,PC,HR	21 	24 	17 
FGOOD,PC,HU	44 	43 	42 
FGOOD,PC,IE	55 	51 	55 
FGOOD,PC,IT	23 	30 	29 
FGOOD,PC,LT	47 	49 	48 
FGOOD,PC,LU	61 	57 	56 
FGOOD,PC,LV	40 	46 	45 
FGOOD,PC,MT	39 	42 	37 
FGOOD,PC,NL	56 	51 	54 
FGOOD,PC,PL	40 	45 	37 
FGOOD,PC,PT	31 	40 	48 
FGOOD,PC,RO	43 	43 	42 
FGOOD,PC,SE	53 	51 	53 
FGOOD,PC,SI	27 	34 	31 
FGOOD,PC,SK	19 	21 	26 
FGOOD,PC,UK	52 	45 	48 
UNK,PC,AT	7 	6 	10 
UNK,PC,BE	12 	14 	13 
UNK,PC,BG	7 	11 	13 
UNK,PC,CY	12 	15 	15 
UNK,PC,CZ	12 	11 	14 
UNK,PC,DE	14 	6 	9 
UNK,PC,DK	5 	7 	4 
UNK,PC,EE	24 	39 	27 
UNK,PC,EL	11 	12 	10 
UNK,PC,ES	14 	11 	12 
UNK,PC,EU28	12 	11 	12 
UNK,PC,FI	8 	6 	8 
UNK,PC,FR	7 	10 	11 
