unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
INX_A_AVG,AT	80.59 e	79.30 e	78.98 e	77.97 e	75.17 e	77.09 e	78.54 e	80.20 e	79.34 e	82.20 e	85.81 b	88.41 	92.67 	95.44 	96.78 	100.00 	107.03 	110.82 
INX_A_AVG,BE	65.23 e	66.96 e	70.32 e	74.00 e	78.56 e	86.20 	91.76 	96.14 	97.22 	97.19 	98.52 	99.49 	99.74 	100.10 	98.84 	100.00 p	101.12 p	102.67 
INX_A_AVG,BG	: 	57.91 e	51.02 e	56.59 e	80.63 e	103.08 p	115.84 p	137.06 p	161.19 p	127.34 p	111.73 	102.02 	96.62 	96.99 	98.47 	100.00 b	107.13 	113.80 
INX_A_AVG,CY	: 	: 	103.60 e	102.68 e	111.53 e	115.00 	124.08 	133.61 	134.77 	125.53 	115.68 p	110.65 p	104.87 p	100.77 p	99.77 p	100.00 b	101.69 	103.04 p
INX_A_AVG,CZ	64.50 e	68.16 e	75.75 e	83.35 e	81.21 e	81.58 e	86.32 e	100.13 e	107.81 	102.76 	100.53 	98.86 	95.33 	94.56 	96.30 	100.00 p	106.67 p	116.33 p
INX_A_AVG,DE	102.24 e	100.51 e	97.95 e	96.52 e	94.20 e	93.81 	92.53 	89.04 	88.78 	89.92 	89.07 	90.32 	92.10 	94.01 	96.08 	100.00 	105.26 	108.31 
INX_A_AVG,DK	73.72 e	76.27 e	77.55 e	79.13 e	85.18 e	98.49 	119.50 	120.61 	111.20 	96.70 	96.96 	93.12 	88.48 	91.28 	94.15 	100.00 	104.70 	108.06 
INX_A_AVG,EE	: 	: 	: 	: 	: 	86.02 	121.35 	135.89 	113.42 	71.39 	72.95 	74.86 	77.23 	83.04 	93.49 	100.00 	103.82 	105.65 
INX_A_AVG,EL	113.46 e	126.20 e	140.67 e	144.68 e	143.21 e	154.32 e	169.20 e	173.01 e	168.62 e	160.72 e	147.90 e	136.77 e	120.25 e	109.27 e	103.69 e	100.00 e	98.55 e	96.35 e
INX_A_AVG,ES	84.45 e	89.58 e	100.66 e	114.35 e	129.10 e	141.90 e	155.21 	164.96 	157.02 	147.92 	142.53 	128.51 	106.97 	96.24 	96.35 	100.00 	104.62 	109.35 
INX_A_AVG,FI	76.29 e	73.18 e	76.56 e	80.56 e	86.72 e	92.87 p	98.03 p	101.85 p	99.38 p	99.00 	103.73 	103.72 	103.34 	101.98 	100.30 	100.00 	99.74 	100.21 
INX_A_AVG,FR	59.15 	62.54 	67.45 	74.16 	83.65 	94.76 	104.04 	107.69 b	105.64 	100.67 	104.29 	108.42 	106.30 	103.54 	101.80 	100.00 	101.11 	102.92 
INX_A_AVG,HR	96.71 e	94.10 e	97.15 e	98.04 e	106.60 e	114.89 e	130.84 e	142.44 e	138.70 	127.63 	117.77 	115.27 	109.92 	103.59 	102.47 	100.00 	102.12 	104.96 
INX_A_AVG,HU	: 	: 	: 	: 	: 	: 	: 	127.46 	123.34 	112.35 	105.71 	98.42 	89.24 	85.38 	88.25 	100.00 	113.61 	117.31 
INX_A_AVG,IE	96.71 e	106.58 e	105.96 e	116.57 e	127.26 e	137.39 	153.96 	160.56 	147.10 	127.06 	112.25 p	92.29 p	78.63 p	78.24 p	90.08 p	100.00 p	106.61 p	116.73 p
INX_A_AVG,IT	96.11 e	99.06 e	107.77 e	111.17 e	115.33 e	121.50 e	125.23 e	128.54 e	127.93 e	127.71 e	126.85 b	124.95 	118.60 	109.65 	104.21 	100.00 	99.80 p	97.83 
INX_A_AVG,LT	59.36 e	65.34 e	69.19 e	77.23 e	83.61 e	102.56 e	125.83 	150.14 	147.45 	99.04 	90.54 	92.74 	89.74 	89.93 	95.61 	100.00 	104.46 	110.07 
INX_A_AVG,LU	46.70 e	52.33 e	55.96 e	60.85 e	67.85 e	73.20 e	79.32 e	83.06 b	83.24 	82.72 	86.17 	86.64 	88.53 	91.44 	94.97 	100.00 	105.90 	110.20 
INX_A_AVG,LV	56.51 e	55.39 e	77.05 e	89.76 e	86.21 e	97.44 e	137.47 	167.69 	149.47 	97.35 	88.88 	92.52 	92.19 	98.21 	102.46 	100.00 	107.31 	113.25 
