indic_il,sex,age,geo\time	2004 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LIP_MD60,T,Y18-24,AT	: 	7.2 	4.7 	1.7 	6.4 	9.6 b	5.8 	6.0 	8.5 	5.9 	5.4 	9.4 
LIP_MD60,T,Y18-24,BE	: 	4.2 	11.0 	7.2 	9.4 	8.6 	6.4 	6.4 	11.8 	14.0 	10.3 	16.0 
LIP_MD60,T,Y18-24,BG	: 	: 	: 	10.3 	18.7 	20.1 	13.0 	11.2 	19.8 	15.7 	15.3 b	18.0 
LIP_MD60,T,Y18-24,CH	: 	: 	: 	: 	: 	: 	: 	: 	2.4 	8.1 	4.3 	: 
LIP_MD60,T,Y18-24,CY	: 	: 	4.9 	3.1 	5.3 	1.1 	0.9 	6.5 	4.4 	5.5 	2.5 	4.4 
LIP_MD60,T,Y18-24,CZ	: 	: 	4.2 	4.3 	9.2 	4.6 	5.4 	7.1 	4.8 	2.3 	4.6 	2.6 
LIP_MD60,T,Y18-24,DE	: 	: 	5.3 	4.6 	7.6 	7.5 	11.2 	7.5 	9.0 	11.3 	9.9 	9.4 
LIP_MD60,T,Y18-24,DK	: 	4.7 	13.7 	9.2 	12.1 	8.3 	1.8 	6.3 	13.3 	15.4 	30.7 	21.2 
LIP_MD60,T,Y18-24,EA	: 	: 	9.7 e	9.9 e	11.8 e	11.3 e	13.3 e	12.9 e	13.6 e	15.0 e	12.2 e	: 
LIP_MD60,T,Y18-24,EA18	: 	: 	9.6 	10.0 	11.8 	11.3 e	13.3 	12.8 	13.6 e	15.0 e	12.2 e	: 
LIP_MD60,T,Y18-24,EA19	: 	: 	9.6 	10.0 	11.7 	11.2 e	13.3 	12.8 	13.7 e	15.0 e	12.2 e	: 
LIP_MD60,T,Y18-24,EE	: 	9.5 	7.1 	8.2 	8.1 	11.5 	13.4 	13.0 	11.5 b	9.5 	11.4 	14.8 
LIP_MD60,T,Y18-24,EL	: 	12.9 	15.8 	15.6 	18.5 	17.0 	20.0 	11.5 	14.0 	19.5 	21.5 	: 
LIP_MD60,T,Y18-24,ES	: 	8.8 	9.7 	12.9 	14.9 	16.5 b	16.9 	20.0 	23.4 	24.1 	21.0 	17.7 
LIP_MD60,T,Y18-24,EU	: 	: 	9.4 e	9.8 e	12.2 e	11.6 e	13.2 e	13.2 e	13.3 e	14.5 e	13.9 e	: 
LIP_MD60,T,Y18-24,EU27	: 	: 	9.4 e	9.8 e	12.2 	11.6 e	13.2 	13.2 	13.3 e	14.5 e	14.0 e	: 
LIP_MD60,T,Y18-24,EU28	: 	: 	: 	: 	12.2 e	11.6 e	13.2 e	13.2 	13.3 e	14.5 e	13.9 e	: 
LIP_MD60,T,Y18-24,FI	: 	15.8 	8.6 	8.1 	13.9 	11.6 	8.2 	12.6 	11.0 	19.1 	8.6 	9.7 
LIP_MD60,T,Y18-24,FR	: 	8.3 	: 	: 	: 	: 	10.8 	14.2 	8.9 	10.9 	7.1 	7.3 
LIP_MD60,T,Y18-24,HR	: 	: 	: 	: 	: 	: 	: 	13.8 	: 	14.4 	8.9 	: 
LIP_MD60,T,Y18-24,HU	: 	: 	10.0 	12.3 	9.4 	11.6 	12.0 	11.1 	12.4 	8.3 	7.1 	7.2 
LIP_MD60,T,Y18-24,IE	: 	11.9 	: 	: 	: 	12.1 u	19.3 	11.6 	23.5 u	15.6 u	: 	: 
LIP_MD60,T,Y18-24,IS	: 	4.4 	2.1 	2.5 	1.4 	2.8 	1.2 	3.8 	0.7 	: z	5.8 p	: 
LIP_MD60,T,Y18-24,IT	: 	17.2 	16.8 	16.8 	14.8 	14.6 	18.6 	17.4 	19.4 	17.5 	17.4 	13.8 
LIP_MD60,T,Y18-24,LT	: 	: 	12.7 	9.2 	6.5 	6.6 b	13.5 	14.4 	16.1 	14.3 	13.2 	: 
LIP_MD60,T,Y18-24,LU	: 	8.5 	11.2 	12.6 	8.5 	11.8 	12.4 	9.3 	11.3 	13.8 	17.3 b	13.6 
LIP_MD60,T,Y18-24,LV	: 	: 	11.7 	19.5 	9.0 	11.2 	13.8 b	7.4 	9.0 	15.0 	13.4 	8.8 
LIP_MD60,T,Y18-24,MK	: 	: 	: 	: 	: 	: 	: 	: 	21.2 	15.6 	13.4 	: 
LIP_MD60,T,Y18-24,MT	: 	: 	3.7 	4.7 	7.2 	9.0 	7.3 	8.0 	7.5 	8.0 	9.5 	9.3 
LIP_MD60,T,Y18-24,NL	: 	: 	12.8 	11.5 	9.8 	7.9 	14.0 	10.8 	12.3 	16.7 	8.8 b	10.3 
LIP_MD60,T,Y18-24,NO	: 	14.2 	14.9 	18.0 	20.1 	19.7 	25.0 	29.1 	17.5 	27.0 	17.8 	14.7 
LIP_MD60,T,Y18-24,PL	: 	: 	13.0 	13.6 	12.9 	13.1 	12.8 	12.1 	14.4 	11.9 	12.9 	13.1 
LIP_MD60,T,Y18-24,PT	: 	10.5 	11.8 	7.6 	13.1 	13.2 	12.1 	16.7 	14.4 	22.4 	10.9 	19.9 
LIP_MD60,T,Y18-24,RO	: 	: 	: 	: 	16.9 	23.5 	16.8 	25.6 	25.4 	32.2 	26.2 	26.6 
LIP_MD60,T,Y18-24,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.3 	: 
LIP_MD60,T,Y18-24,SE	: 	3.0 	3.1 	5.2 	11.2 	4.0 	12.7 b	12.1 	16.7 	12.5 b	11.5 	13.3 
LIP_MD60,T,Y18-24,SI	: 	: 	4.7 	4.2 	3.8 	4.2 	4.8 	5.2 	7.9 	7.4 	9.4 	6.8 
LIP_MD60,T,Y18-24,SK	: 	: 	4.3 	9.9 	9.7 	7.8 	10.7 	7.1 	16.9 	7.1 	8.2 	: 
LIP_MD60,T,Y18-24,TR	: 	: 	: 	16.3 	19.3 	: 	: 	: 	17.5 	14.7 	: 	: 
LIP_MD60,T,Y18-24,UK	: 	: 	5.1 	7.0 	12.5 	9.7 	14.9 	13.4 	5.8 	10.6 	21.3 	: 
LIP_MD60,T,Y25-49,AT	: 	3.9 	2.8 	4.4 	5.3 	8.4 b	8.1 	7.0 	6.6 	6.8 	6.9 	9.8 
LIP_MD60,T,Y25-49,BE	: 	5.8 	6.4 	6.8 	6.3 	4.9 	9.4 	9.5 	9.2 	9.4 	9.3 	8.9 
LIP_MD60,T,Y25-49,BG	: 	: 	: 	8.2 	11.9 	13.7 	8.4 	10.0 	14.4 	11.3 	12.3 b	12.3 
LIP_MD60,T,Y25-49,CH	: 	: 	: 	: 	: 	: 	: 	: 	3.8 	4.1 	6.0 	: 
LIP_MD60,T,Y25-49,CY	: 	: 	4.3 	3.3 	3.2 	3.2 	4.7 	8.7 	4.6 	6.8 	6.4 	5.2 
LIP_MD60,T,Y25-49,CZ	: 	: 	4.0 	2.5 	4.8 	3.4 	4.2 	3.6 	2.7 	3.7 	3.6 	3.2 
LIP_MD60,T,Y25-49,DE	: 	: 	6.7 	6.4 	8.0 	9.5 	8.6 	8.4 	7.6 	10.5 	9.4 	9.1 
LIP_MD60,T,Y25-49,DK	: 	1.7 	2.8 	1.4 	3.1 	7.3 	4.2 	3.0 	6.4 	3.7 	6.0 	8.0 
LIP_MD60,T,Y25-49,EA	: 	: 	7.5 e	7.9 e	8.7 e	8.8 e	9.1 e	9.5 e	9.5 e	11.2 e	10.7 e	: 
LIP_MD60,T,Y25-49,EA18	: 	: 	7.5 	7.9 	8.7 	8.8 	9.1 	9.5 	9.5 	11.2 	10.7 e	: 
LIP_MD60,T,Y25-49,EA19	: 	: 	7.5 	7.9 	8.7 	8.8 	9.2 	9.5 	9.6 	11.2 	10.7 e	: 
LIP_MD60,T,Y25-49,EE	: 	8.9 	8.3 	7.9 	5.5 	8.3 	8.5 	6.2 	9.1 b	8.6 	7.3 	10.6 
LIP_MD60,T,Y25-49,EL	: 	9.5 	9.8 	14.6 	15.0 	7.1 	12.8 	12.9 	15.9 	14.9 	16.2 	: 
LIP_MD60,T,Y25-49,ES	: 	7.0 	8.3 	9.8 	8.6 	10.4 b	12.2 	10.7 	13.9 	15.5 	14.5 	13.6 
LIP_MD60,T,Y25-49,EU	: 	: 	7.2 e	7.4 e	8.4 e	8.4 e	9.0 e	9.0 e	9.4 e	10.0 e	10.2 e	: 
LIP_MD60,T,Y25-49,EU27	: 	: 	7.2 e	7.4 e	8.4 	8.4 	9.0 	9.0 	9.3 	10.0 	10.1 e	: 
