unit,sex,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,LV	50.4 	51.7 	46.9 	41.9 	38.0 	37.8 b	44.3 	50.2 	57.2 u	57.9 u	: 
PC,T,MK	: 	: 	: 	: 	: 	: 	: 	61.6 	56.0 	: 	: 
PC,T,MT	70.9 	66.8 	66.7 	46.4 	47.9 u	26.5 u	31.6 	12.7 	14.9 	: u	: u
PC,T,NL	26.5 	26.8 	26.6 	24.4 	22.3 	19.1 	16.5 	16.2 	22.5 	30.9 	36.9 
PC,T,NO	43.6 	42.7 	45.1 	46.9 	44.8 	44.7 	43.8 	46.1 	43.3 	41.9 	45.3 
PC,T,PL	27.4 	28.5 	28.6 	26.9 	23.6 	20.8 	18.8 	18.4 	18.8 	22.0 	25.7 
PC,T,PT	17.7 	25.7 	23.9 	27.9 	26.2 	28.2 	26.4 	25.8 	26.2 	28.2 	30.3 
PC,T,RO	: 	53.3 	53.0 	54.6 	56.3 	57.3 	57.7 	57.8 	56.5 	56.1 u	56.9 u
PC,T,RS	: 	: 	: 	: 	: 	: 	: 	32.3 	32.2 	: 	: 
PC,T,SE	43.0 	44.5 	41.1 	41.4 	40.0 	41.2 b	40.8 	40.0 	38.4 	37.7 	37.7 
PC,T,SI	35.9 	37.3 	38.4 	37.1 	36.8 	35.4 	37.1 	41.0 	41.2 	42.4 	38.4 
PC,T,SK	69.4 	63.5 	57.1 	47.3 	41.7 	40.9 	41.2 	39.4 	35.7 	36.0 	: 
PC,T,TR	: 	: 	12.3 	13.4 	: 	: 	: 	: 	: 	: 	: 
PC,T,UK	50.7 	: 	: 	72.1 u	61.6 	58.5 	55.4 	57.7 	58.6 	57.1 	: 
