s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,Y25-74,F,PC_ACT,AT	4.2 	4.5 	4.6 	4.4 	4.2 	4.0 	3.7 	3.7 	4.0 	4.3 	4.4 	: 
SA,Y25-74,F,PC_ACT,BE	5.7 	5.5 	5.3 	5.1 	5.0 	4.9 	5.1 	5.1 	5.2 	5.4 	5.3 	: 
SA,Y25-74,F,PC_ACT,BG	5.5 	5.4 	5.2 	4.8 	4.5 	4.3 	4.4 	4.5 	4.4 	4.3 	4.3 	: 
SA,Y25-74,F,PC_ACT,CY	9.0 	9.1 	9.0 	8.9 	8.6 	8.2 	7.8 	7.6 	7.5 	7.4 	7.3 	: 
SA,Y25-74,F,PC_ACT,CZ	2.9 	2.9 	2.7 	2.8 	2.5 	2.5 	2.5 	2.5 	2.7 	2.7 	2.9 	: 
SA,Y25-74,F,PC_ACT,DE	3.0 	2.9 	2.9 	2.8 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	: 
SA,Y25-74,F,PC_ACT,DK	5.1 	4.9 	4.9 	4.7 	4.8 	4.7 	4.9 	4.9 	4.6 	4.7 	4.3 	: 
SA,Y25-74,F,PC_ACT,EA	8.4 	8.3 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.9 	7.8 	7.8 	: 
SA,Y25-74,F,PC_ACT,EA18	8.4 	8.4 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.9 	7.9 	7.8 	: 
SA,Y25-74,F,PC_ACT,EA19	8.4 	8.3 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.9 	7.8 	7.8 	: 
SA,Y25-74,F,PC_ACT,EE	4.9 	5.1 	5.4 	5.5 	5.3 	4.8 	4.6 	4.9 	4.8 	4.8 	: 	: 
SA,Y25-74,F,PC_ACT,EL	24.4 	24.6 	24.6 	24.3 	24.7 	23.6 	23.3 	23.1 	22.9 	22.7 	: 	: 
SA,Y25-74,F,PC_ACT,ES	17.1 	17.1 	17.1 	17.1 	17.0 	16.6 	16.3 	16.1 	15.9 	15.9 	16.0 	: 
SA,Y25-74,F,PC_ACT,EU27	6.8 	6.8 	6.7 	6.7 	6.6 	6.6 	6.5 	6.4 	6.4 	6.3 	6.3 	: 
SA,Y25-74,F,PC_ACT,EU28	6.8 	6.8 	6.7 	6.7 	6.6 	6.6 	6.5 	6.4 	6.4 	6.3 	6.3 	: 
SA,Y25-74,F,PC_ACT,FI	6.7 	6.6 	6.6 	6.6 	6.5 	6.4 	6.2 	6.1 	6.1 	6.0 	6.0 	6.0 
SA,Y25-74,F,PC_ACT,FR	8.1 	8.0 	8.0 	8.1 	8.1 	8.1 	8.1 	8.1 	8.1 	8.2 	8.2 	: 
SA,Y25-74,F,PC_ACT,HR	9.4 	9.2 	9.0 	8.7 	8.5 	8.3 	8.1 	7.9 	7.9 	7.8 	7.6 	: 
SA,Y25-74,F,PC_ACT,HU	3.8 	3.9 	3.7 	3.7 	3.6 	3.6 	3.4 	3.3 	3.4 	3.6 	: 	: 
SA,Y25-74,F,PC_ACT,IE	5.3 	5.3 	5.1 	4.8 	4.7 	4.6 	4.6 	4.6 	4.6 	4.6 	4.4 	4.2 
SA,Y25-74,F,PC_ACT,IS	2.1 	2.1 	2.2 	2.3 	2.2 	2.2 	2.1 	2.0 	2.0 	2.0 	2.0 	: 
SA,Y25-74,F,PC_ACT,IT	10.7 	10.7 	10.7 	10.7 	10.7 	10.7 	10.4 	10.4 	10.4 	: 	: 	: 
SA,Y25-74,F,PC_ACT,LT	5.0 	5.0 	5.3 	4.9 	4.9 	5.1 	5.0 	5.1 	5.2 	5.3 	5.2 	: 
SA,Y25-74,F,PC_ACT,LU	5.0 	5.1 	5.1 	5.1 	5.1 	5.1 	5.1 	5.0 	5.0 	5.0 	5.0 	: 
SA,Y25-74,F,PC_ACT,LV	7.2 	7.0 	6.8 	6.7 	6.5 	6.4 	6.2 	6.1 	6.2 	6.1 	6.1 	: 
SA,Y25-74,F,PC_ACT,MT	3.3 	3.4 	3.6 	3.4 	3.7 	3.7 	3.6 	3.4 	3.2 	3.3 	3.2 	: 
SA,Y25-74,F,PC_ACT,NL	4.1 	4.1 	4.1 	4.0 	3.9 	3.7 	3.6 	3.5 	3.5 	3.3 	3.2 	3.1 
SA,Y25-74,F,PC_ACT,NO	2.7 	2.8 	2.9 	2.9 	2.9 	2.9 	2.7 	2.7 	2.7 	2.8 	: 	: 
SA,Y25-74,F,PC_ACT,PL	3.9 	3.8 	3.7 	3.6 	3.5 	3.4 	3.3 	3.2 	3.0 	2.9 	2.8 	: 
SA,Y25-74,F,PC_ACT,PT	7.6 	7.2 	7.2 	7.3 	7.0 	6.6 	6.4 	6.4 	6.3 	6.2 	6.3 	: 
SA,Y25-74,F,PC_ACT,RO	2.9 	2.8 	2.8 	3.0 	2.9 	3.1 	2.7 	2.7 	2.8 	2.7 	2.7 	: 
