coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
CP07,PCH_M1,FI	-0.4 	0.2 	-0.3 	-0.9 	0.2 	-0.5 	1.0 	0.7 	1.7 	0.5 	-0.6 	-0.1 
CP07,PCH_M1,FR	0.5 	0.1 	1.1 	0.9 	0.4 	-0.2 	1.3 	0.5 	0.3 	1.5 	0.1 	-1.7 
CP07,PCH_M1,HR	-0.4 	0.6 	0.6 	0.1 	-0.6 	-0.8 	1.3 	1.8 	2.2 	-0.3 	0.2 	0.7 
CP07,PCH_M1,HU	-0.4 	1.3 	0.0 	0.3 	-0.2 	-0.5 	1.8 	2.1 	1.8 	1.5 	0.1 	0.3 
CP07,PCH_M1,IE	-1.1 	0.5 	0.6 	-1.2 	1.9 	1.5 	-2.0 	1.9 	0.6 	3.3 	-1.2 	-2.4 
CP07,PCH_M1,IS	1.5 	-4.6 	5.3 	-2.5 	-1.0 	1.8 	0.3 	-2.5 	4.9 	7.7 	-2.5 	-8.2 
CP07,PCH_M1,IT	-0.5 	-0.1 	1.5 	-1.3 	0.8 	0.7 	0.3 	0.7 	1.9 	0.2 	2.3 	-2.4 
CP07,PCH_M1,LT	-0.7 	1.0 	1.7 	-0.7 	-0.2 	0.0 	0.9 	3.2 	0.8 	2.1 	-0.9 	-0.6 
CP07,PCH_M1,LU	0.6 	1.4 	0.1 	0.7 	-1.0 	-0.6 	1.5 	2.0 	1.0 	0.1 	0.1 	0.3 
CP07,PCH_M1,LV	0.8 	0.5 	1.5 	0.5 	0.2 	0.6 	-0.9 	0.9 	2.9 	0.0 	-0.7 	-0.2 
CP07,PCH_M1,MK	1.7 d	1.0 d	1.2 d	1.1 d	0.5 d	-1.0 d	0.7 d	0.9 d	0.6 d	1.6 d	2.2 d	-1.6 d
CP07,PCH_M1,MT	-1.4 	-1.0 	0.3 	-2.2 	0.5 	1.0 	0.3 	0.1 	1.9 	1.8 	2.4 	0.2 
CP07,PCH_M1,NL	0.1 	0.4 	0.5 	0.2 	-0.8 	0.4 	2.0 	1.8 	-0.9 	1.7 	0.6 	-2.1 
CP07,PCH_M1,NO	-0.1 	-0.5 	0.6 	0.3 	1.3 	-0.2 	0.9 	0.6 	0.9 	1.4 	-1.9 	0.0 
CP07,PCH_M1,PL	0.0 	0.8 	0.6 	-0.7 	-0.1 	-0.2 	2.0 	1.7 	0.8 	0.2 	0.5 	-0.4 
CP07,PCH_M1,PT	0.0 	0.3 	1.6 	0.4 	-1.1 	0.3 	1.1 	0.6 	0.7 	0.9 	0.6 	-0.8 
CP07,PCH_M1,RO	1.8 	1.6 	0.0 	1.3 	-0.5 	0.2 	1.1 	1.5 	0.6 	-0.1 	-0.1 	0.8 
CP07,PCH_M1,RS	0.2 d	0.4 d	0.3 d	0.3 d	0.4 d	-0.2 d	0.6 d	1.3 d	1.1 d	0.3 d	0.3 d	0.5 d
CP07,PCH_M1,SE	-0.3 	0.4 	1.2 	-1.2 	0.3 	0.5 	1.2 	0.6 	1.1 	2.0 	-1.7 	-0.3 
CP07,PCH_M1,SI	-0.2 	0.8 	0.3 	-0.2 	0.4 	-0.6 	0.1 	1.3 	0.9 	0.0 	-0.3 	-0.1 
CP07,PCH_M1,SK	-0.3 	0.9 	-0.6 	2.1 	1.4 	-0.6 	3.1 	-0.4 	0.3 	-0.1 	2.0 	-1.5 
CP07,PCH_M1,TR	2.6 d	2.0 d	1.7 d	1.3 d	0.3 d	0.8 d	3.6 d	2.3 d	2.7 d	1.1 d	4.5 d	9.1 d
CP07,PCH_M1,UK	-0.2 	0.1 	2.2 	-1.0 	0.5 	-0.3 	1.0 	1.5 	0.8 	1.3 	1.3 	: 
CP07,PCH_M1,US	-1.6 d	0.6 d	-0.7 d	1.2 d	0.9 d	0.3 d	1.7 d	1.8 d	0.3 d	-0.3 d	-0.3 d	-0.7 d
CP07,PCH_M12,AT	2.4 	3.3 	2.8 	1.0 	1.4 	1.8 	1.2 	3.2 	4.2 	3.7 	4.1 	3.8 
CP07,PCH_M12,BE	2.4 	3.6 	2.5 	2.0 	1.9 	1.8 	2.6 	4.3 	5.4 	5.8 	6.0 	5.7 
CP07,PCH_M12,BG	-0.1 	1.1 	1.2 	0.7 	0.2 	0.7 	-0.3 	2.8 	5.9 	6.5 	6.2 	6.1 
CP07,PCH_M12,CH	1.7 	1.7 	1.6 	0.4 	0.8 	1.8 	1.4 	4.1 	3.3 	3.9 	3.7 	2.9 
CP07,PCH_M12,CY	2.0 	2.6 	2.0 	-1.0 	3.8 	2.4 	-0.5 	3.4 	6.8 	4.4 	6.1 	2.9 
CP07,PCH_M12,CZ	2.5 	2.7 	2.1 	1.0 	1.1 	1.1 	1.5 	2.9 	4.9 	5.5 	5.1 	3.3 
CP07,PCH_M12,DE	1.8 	3.0 	2.0 	1.5 	1.2 	1.3 	1.5 	3.3 	3.9 	4.1 	4.2 	4.5 
CP07,PCH_M12,DK	1.4 	2.2 	1.2 	0.3 	0.0 	0.7 	0.3 	2.6 	3.2 	3.2 	3.4 	1.9 
CP07,PCH_M12,EA	2.1 	3.0 	2.3 	1.7 	1.5 	1.7 	1.6 	3.8 	4.6 	4.6 	4.6 	4.4 
CP07,PCH_M12,EA18	2.1 	3.0 	2.3 	1.7 	1.5 	1.7 	1.6 	3.8 	4.6 	4.6 	4.6 	4.4 
CP07,PCH_M12,EA19	2.1 	3.0 	2.3 	1.7 	1.5 	1.7 	1.6 	3.8 	4.6 	4.6 	4.6 	4.4 
CP07,PCH_M12,EE	2.4 	6.2 	3.2 	3.5 	0.3 	-0.9 	1.3 	3.5 	4.2 	5.3 	5.8 	5.2 
CP07,PCH_M12,EL	0.1 	2.6 	3.7 	2.4 	2.7 	0.7 	1.4 	2.0 	2.7 	1.9 	1.8 	2.6 
CP07,PCH_M12,ES	2.2 	3.6 	1.9 	1.8 	1.1 	1.3 	1.9 	5.0 	5.9 	5.7 	5.1 	4.8 
CP07,PCH_M12,EU	2.2 	3.1 	2.3 	1.9 	1.6 	1.8 	1.7 	4.0 	4.9 	5.1 	5.0 	4.8 
CP07,PCH_M12,EU28	2.2 	3.1 	2.3 	1.9 	1.6 	1.8 	1.7 	4.0 	4.9 	5.1 	5.0 	4.8 
CP07,PCH_M12,FI	0.0 	1.6 	-0.3 	-1.3 	-1.7 	-1.9 	-1.1 	0.2 	1.5 	1.6 	1.9 	1.4 
CP07,PCH_M12,FR	2.6 	2.9 	2.9 	2.6 	2.6 	3.0 	3.4 	5.2 	5.5 	5.7 	5.6 	5.0 
CP07,PCH_M12,HR	1.8 	2.4 	1.9 	0.6 	0.3 	-0.1 	1.3 	3.7 	5.2 	5.6 	4.9 	5.4 
CP07,PCH_M12,HU	1.0 	3.3 	0.8 	-0.5 	-0.7 	-0.9 	0.7 	5.2 	7.8 	9.5 	8.9 	8.4 
CP07,PCH_M12,IE	0.7 	1.0 	1.2 	-0.2 	0.7 	0.1 	-4.1 	1.4 	1.5 	2.2 	1.2 	2.3 
CP07,PCH_M12,IS	-5.9 	-8.0 	-4.6 	-3.5 	-5.3 	-1.1 	-4.5 	-3.8 	-2.0 	0.0 	1.6 	-1.0 
CP07,PCH_M12,IT	2.4 	2.7 	2.8 	1.6 	1.7 	1.8 	0.4 	2.5 	4.2 	4.0 	4.3 	4.1 
CP07,PCH_M12,LT	2.9 	3.9 	3.8 	3.0 	2.4 	2.3 	1.1 	6.1 	7.0 	6.5 	4.9 	6.6 
CP07,PCH_M12,LU	1.9 	3.6 	1.9 	1.6 	0.7 	0.5 	1.9 	5.4 	6.9 	7.7 	6.8 	6.2 
CP07,PCH_M12,LV	2.0 	2.0 	1.8 	1.8 	2.3 	2.6 	2.6 	3.4 	6.8 	7.7 	6.6 	6.0 
CP07,PCH_M12,MK	6.4 d	7.8 d	8.8 d	5.3 d	8.0 d	5.5 d	7.3 d	8.1 d	8.6 d	11.8 d	11.5 d	9.1 d
CP07,PCH_M12,MT	2.0 	1.7 	1.1 	0.3 	-0.1 	0.3 	0.3 	0.7 	1.4 	1.7 	3.2 	3.8 
CP07,PCH_M12,NL	1.3 	3.0 	1.0 	1.2 	0.3 	1.2 	0.8 	4.6 	4.7 	4.8 	5.2 	4.0 
CP07,PCH_M12,NO	2.7 	2.5 	3.0 	1.5 	3.5 	3.2 	3.1 	4.6 	3.5 	3.8 	3.7 	3.4 
CP07,PCH_M12,PL	-0.1 	1.1 	-0.3 	0.0 	-0.9 	-0.8 	0.0 	3.6 	6.1 	7.1 	5.9 	5.3 
CP07,PCH_M12,PT	2.6 	3.6 	3.8 	3.3 	1.1 	1.9 	0.8 	3.9 	4.2 	4.1 	4.1 	4.8 
CP07,PCH_M12,RO	1.0 	2.8 	1.7 	5.8 	5.0 	6.0 	6.4 	8.6 	10.1 	10.0 	9.4 	8.5 
CP07,PCH_M12,RS	2.1 d	2.3 d	1.6 d	0.4 d	-0.4 d	-0.7 d	-0.5 d	1.1 d	3.2 d	4.4 d	5.0 d	5.6 d
CP07,PCH_M12,SE	2.1 	3.0 	1.4 	0.8 	0.5 	1.9 	0.4 	2.7 	3.0 	3.6 	3.9 	3.9 
CP07,PCH_M12,SI	1.3 	1.4 	2.2 	0.5 	0.8 	-0.1 	0.4 	1.4 	3.3 	3.3 	2.9 	2.4 
CP07,PCH_M12,SK	2.5 	3.9 	2.2 	2.8 	2.4 	2.2 	5.3 	5.5 	6.5 	6.7 	8.1 	6.1 
CP07,PCH_M12,TR	16.8 d	18.6 d	18.2 d	16.0 d	13.2 d	13.4 d	16.5 d	20.0 d	24.3 d	24.2 d	27.1 d	36.6 d
CP07,PCH_M12,UK	4.0 	4.5 	3.8 	3.4 	2.8 	3.0 	2.4 	4.7 	5.5 	5.7 	6.1 	: 
CP07,PCH_M12,US	2.2 d	3.7 d	2.6 d	2.0 d	3.1 d	3.0 d	3.2 d	5.4 d	6.5 d	7.2 d	6.3 d	3.1 d
