unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,CO,F4,LIAB,S11,AT	: 	4.2 	2.6 	4.3 	7.1 	7.9 	5.3 	2.6 	2.7 	-0.2 	2.6 	2.4 	4.4 	4.0 	-0.5 	-0.3 	0.7 	0.2 	-0.1 	0.5 	1.1 	2.2 	3.3 
PC_GDP,CO,F4,LIAB,S11,BE	2.3 	3.3 	4.9 	7.1 	7.2 	6.9 	2.4 	3.5 	9.4 	6.6 	1.7 	0.7 	12.2 	12.5 	2.6 	-1.6 	16.9 	10.9 	5.3 	-6.2 	8.3 	17.9 	-4.2 
PC_GDP,CO,F4,LIAB,S11,BG	0.0 	32.7 	1.8 	2.1 	4.4 	8.5 	4.8 	6.5 	8.1 	13.7 	12.5 	21.2 	34.7 	26.6 	3.8 	3.9 	1.5 	3.4 	5.2 	-1.3 	-0.1 	1.8 	4.5 
PC_GDP,CO,F4,LIAB,S11,CY	55.7 	15.7 	15.0 	5.1 	5.3 	27.9 	-1.8 	-13.3 	1.0 	0.6 	15.1 	4.7 	16.7 	16.1 	5.2 	3.8 	7.1 	13.0 	-4.5 	2.3 	5.4 	10.4 	8.7 
PC_GDP,CO,F4,LIAB,S11,CZ	7.6 	9.6 	10.9 	-3.0 	-0.2 	-1.2 	-2.0 	1.5 	-3.8 	2.6 	1.4 	4.2 	3.1 	4.8 	-2.7 	0.6 	0.4 	2.1 	1.3 	0.2 	-0.4 	1.5 	2.4 
PC_GDP,CO,F4,LIAB,S11,DE	1.7 	2.6 	2.1 	3.5 	4.6 	3.6 	2.1 	-0.7 	-0.8 	-1.8 	-0.1 	1.0 	2.5 	0.8 	-0.5 	-0.3 	0.9 	0.0 	1.1 	-0.7 	1.8 	1.4 	2.9 
PC_GDP,CO,F4,LIAB,S11,DK	-4.3 	2.3 	-1.6 	1.6 	2.4 	14.0 	2.1 	0.4 	3.3 	-2.4 	8.8 	11.1 	5.6 	12.1 	-7.3 	-5.6 	1.6 	5.6 	-4.3 	-2.6 	-1.4 	-0.4 	-3.9 
PC_GDP,CO,F4,LIAB,S11,EE	7.2 	10.6 	13.4 	12.0 	1.2 	4.7 	10.8 	5.8 	9.1 	9.1 	10.8 	18.2 	4.7 	7.6 	-3.4 	-5.3 	-1.8 	5.5 	3.3 	3.7 	0.6 	3.4 	1.0 
PC_GDP,CO,F4,LIAB,S11,EL	3.0 	3.1 	3.1 	4.7 	4.3 	4.7 	6.3 	3.0 	4.7 	3.2 	4.7 	6.3 	5.8 	6.3 	1.4 	4.4 	-3.7 	-2.7 	-3.0 	-0.9 	-0.9 	-0.4 	0.1 
PC_GDP,CO,F4,LIAB,S11,ES	1.5 	2.4 	3.9 	6.3 	7.8 	10.8 	9.5 	8.0 	9.3 	8.8 	15.0 	22.2 	17.2 	8.2 	-1.0 	0.8 	-1.7 	-8.1 	-6.7 	-3.9 	-0.7 	-0.5 	0.2 
