age,indic_il,sex,indic_eu,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,LI_R_MD60,T,T2020_52,PC,AT	13 	14 	13 	13 	12 	12 	12 	: 	13.2 	13.0 	12.6 	12.6 	12.0 	15.2 	14.5 	14.7 	14.5 	14.4 	14.4 	14.1 	13.9 	14.1 	14.4 
TOTAL,LI_R_MD60,T,T2020_52,PC,BE	16 	15 	14 	14 	13 	13 	13 	: 	15.4 	14.3 	14.8 	14.7 	15.2 	14.7 	14.6 	14.6 	15.3 	15.3 	15.1 	15.5 	14.9 	15.5 	15.9 
TOTAL,LI_R_MD60,T,T2020_52,PC,BG	: 	: 	: 	: 	: 	14 	16 	14 	: 	: 	: 	18.4 	22.0 	21.4 	21.8 	20.7 	22.2 	21.2 	21.0 	21.8 	22.0 	22.9 b	23.4 
TOTAL,LI_R_MD60,T,T2020_52,PC,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.0 	15.7 	15.6 	15.0 	15.0 	15.9 	14.5 	13.8 	15.6 	14.7 	: 
TOTAL,LI_R_MD60,T,T2020_52,PC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.1 	15.6 	15.5 	15.9 	15.8 	15.6 	14.8 	14.7 	15.3 	14.4 	16.2 	16.1 	15.7 
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ	: 	: 	: 	: 	: 	: 	8 	: 	: 	: 	10.4 	9.9 	9.6 	9.0 	8.6 	9.0 	9.8 	9.6 	8.6 	9.7 	9.7 	9.7 	9.1 
TOTAL,LI_R_MD60,T,T2020_52,PC,DE	15 	14 	12 	11 	11 	10 	11 	: 	: 	: 	12.2 	12.5 	15.2 	15.2 	15.5 	15.6 	15.8 	16.1 	16.1 	16.7 	16.7 	16.5 	16.1 
TOTAL,LI_R_MD60,T,T2020_52,PC,DK	10 	: 	10 	: 	10 	: 	10 	: 	11.7 	10.9 	11.8 	11.7 	11.7 	11.8 	13.1 	13.3 	12.1 	12.0 	11.9 	12.1 	12.2 	11.9 	12.4 
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.4 	15.5 	16.1 	16.0 	16.1 	16.3 	16.8 	16.8 	16.7 	17.1 	17.2 	17.4 	17.0 e
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.5 	15.6 	16.1 	16.1 	16.2 	16.3 	16.8 	16.9 	16.7 	17.1 	17.2 	17.4 	17.1 e
