unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,F4,LIAB,S11,AT	65.7 	67.2 	69.1 	70.5 	73.6 	79.2 	81.8 	81.1 	81.8 	77.7 	75.4 	76.3 	80.8 	82.8 	81.8 	82.8 	81.1 	79.5 	82.7 	79.0 	79.3 	79.8 	80.5 
PC_GDP,NCO,F4,LIAB,S11,BE	64.7 	66.2 	72.3 	78.1 	90.1 	100.8 	108.6 	105.5 	111.5 	112.7 	109.6 	109.3 	118.3 	136.6 	141.2 	129.4 	136.2 	138.8 	138.8 	137.4 	139.2 	157.9 	145.5 
PC_GDP,NCO,F4,LIAB,S11,BG	30.4 	51.0 	10.1 	9.9 	18.1 	32.2 	42.8 	41.0 	49.4 	60.2 	72.6 	75.8 	100.8 	107.7 	114.1 	112.8 	107.8 	109.6 	116.0 	110.0 	96.6 	91.1 	84.4 
PC_GDP,NCO,F4,LIAB,S11,CY	254.3 	248.4 	245.9 	239.5 	226.1 	226.2 	198.4 	202.7 	188.4 	178.9 	180.8 	172.6 	173.5 	186.9 	198.3 	202.2 	205.3 	203.4 	213.1 	223.1 	226.9 	219.5 	209.2 
PC_GDP,NCO,F4,LIAB,S11,CZ	55.8 	57.3 	65.1 	55.6 	53.2 	49.4 	43.3 	42.2 	36.1 	34.9 	33.5 	34.9 	34.7 	37.6 	36.7 	36.4 	37.8 	39.7 	44.7 	41.9 	40.5 	39.3 	39.9 
PC_GDP,NCO,F4,LIAB,S11,DE	47.5 	49.3 	51.0 	53.0 	52.2 	55.3 	56.5 	57.2 	56.5 	52.9 	51.4 	51.5 	51.3 	51.8 	53.0 	50.0 	48.5 	48.4 	50.0 	47.4 	47.5 	46.8 	48.0 
PC_GDP,NCO,F4,LIAB,S11,DK	57.2 	60.0 	61.1 	54.9 	59.8 	66.3 	72.5 	67.5 	68.1 	67.5 	68.3 	83.3 	87.6 	95.8 	91.6 	87.7 	86.9 	88.6 	85.1 	81.4 	86.8 	86.4 	82.1 
PC_GDP,NCO,F4,LIAB,S11,EE	31.1 	33.0 	41.0 	54.9 	57.3 	61.6 	67.6 	70.1 	75.3 	83.5 	84.7 	101.8 	102.9 	106.6 	105.5 	94.3 	81.5 	80.0 	80.3 	82.0 	78.5 	74.8 	69.4 
PC_GDP,NCO,F4,LIAB,S11,EL	29.4 	29.1 	28.9 	31.1 	33.4 	37.1 	40.7 	40.8 	41.4 	41.1 	44.6 	45.1 	47.0 	51.5 	53.3 	64.3 	65.1 	65.9 	65.0 	65.8 	65.0 	64.6 	60.6 
PC_GDP,NCO,F4,LIAB,S11,ES	44.1 	43.3 	44.7 	47.9 	57.8 	70.5 	78.1 	81.4 	84.1 	89.3 	98.2 	113.8 	123.2 	126.2 	129.0 	131.0 	131.0 	124.3 	118.0 	111.5 	104.4 	99.3 	93.5 
