indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,T,TOTAL,AT	12.8 	12.5 	14.2 b	11.7 	11.9 	12.3 	12.1 	12.6 	11.2 	11.3 	10.9 	: 
LI_R_MD60,T,TOTAL,BE	14.2 	14.4 	15.0 	11.5 	12.3 	13.1 	13.6 	11.5 	11.9 	11.1 	11.7 	: 
LI_R_MD60,T,TOTAL,CY	12.5 	10.2 	10.8 	9.8 	12.1 	10.6 	11.5 	15.2 	19.6 	23.5 	21.5 	18.9 
LI_R_MD60,T,TOTAL,CZ	8.7 	7.2 	6.0 	4.6 	5.1 	5.1 	5.5 	4.8 	5.2 	4.9 	4.3 	: 
LI_R_MD60,T,TOTAL,DE	15.3 	13.8 	13.4 	13.5 	13.3 	14.1 	14.2 	14.7 	15.1 	13.8 	12.2 	11.2 
LI_R_MD60,T,TOTAL,DK	11.3 	10.8 	11.2 	11.1 	11.6 	9.4 b	9.8 	9.5 	9.8 	8.7 	8.7 	: 
LI_R_MD60,T,TOTAL,EA18	15.9 	15.0 	14.1 e	13.4 e	13.6 e	15.4 e	16.5 e	17.3 e	18.1 e	17.4 e	16.4 e	16.0 e
LI_R_MD60,T,TOTAL,EA19	15.9 	14.9 	14.0 e	13.3 e	13.6 e	15.3 e	16.4 e	17.2 e	18.0 e	17.3 e	16.3 e	15.9 e
LI_R_MD60,T,TOTAL,EE	11.5 	8.1 	5.4 	3.7 	5.3 	7.9 	7.2 	6.4 	6.3 b	5.0 	3.4 	2.9 
LI_R_MD60,T,TOTAL,EL	20.2 	19.6 	18.5 	16.2 	16.3 	22.9 	32.3 	40.0 	42.7 	42.2 	42.4 	: 
LI_R_MD60,T,TOTAL,ES	18.9 	17.7 	12.9 b	11.5 	13.0 	15.3 	17.1 	17.6 	20.7 	19.9 	18.8 	: 
LI_R_MD60,T,TOTAL,EU28	: 	: 	: 	: 	13.0 e	14.2 e	14.8 e	15.3 e	15.7 e	14.9 e	14.0 e	: 
LI_R_MD60,T,TOTAL,FI	11.0 	11.0 	10.9 	9.4 	8.5 	8.8 	9.1 	7.8 	8.1 	7.4 	7.2 	: 
LI_R_MD60,T,TOTAL,HU	13.5 	10.3 	9.5 	8.7 	10.2 	11.9 	12.2 	14.1 	12.6 	11.0 	8.7 	: 
LI_R_MD60,T,TOTAL,IE	17.0 	12.0 	9.9 	9.9 	13.3 	16.4 	18.2 	17.1 	17.2 	13.6 	12.7 	: 
LI_R_MD60,T,TOTAL,IS	8.9 	6.1 	6.1 	7.0 	9.7 	11.6 	13.2 	12.5 	8.0 	8.0 	5.2 p	: 
LI_R_MD60,T,TOTAL,IT	19.5 	18.9 	18.5 	18.3 	18.3 	20.9 	22.1 	23.0 	22.8 	23.4 	22.9 	22.2 
LI_R_MD60,T,TOTAL,LT	13.5 	7.6 	5.4 	4.7 	9.8 	9.7 	6.3 	6.0 	5.1 	5.6 	5.3 	5.4 
LI_R_MD60,T,TOTAL,LU	13.7 	13.7 	13.8 	13.8 	14.2 	14.9 	17.3 	18.3 	17.3 	15.2 	17.9 b	18.3 
LI_R_MD60,T,TOTAL,LV	18.1 	9.7 	7.4 	6.6 	8.3 	10.1 	8.9 	7.9 	6.5 	5.7 	4.6 	: 
LI_R_MD60,T,TOTAL,MT	13.0 	12.6 	12.5 	10.2 	12.1 	11.4 	10.3 	9.8 	7.5 	6.3 	6.2 	5.0 
LI_R_MD60,T,TOTAL,NL	9.8 	9.0 	7.7 	8.0 	6.9 	8.1 	8.4 	8.7 	9.9 	8.4 	7.6 b	7.5 
LI_R_MD60,T,TOTAL,NO	11.7 	10.5 	8.4 	7.1 	6.5 	5.7 	4.6 	4.6 	4.7 	5.2 	5.4 	: 
LI_R_MD60,T,TOTAL,PL	16.0 	12.5 	8.3 	7.0 	6.3 	6.1 	6.1 	5.8 	5.3 	5.0 	4.4 	: 
LI_R_MD60,T,TOTAL,PT	19.2 	18.2 	17.0 	15.0 	14.1 	15.8 	18.0 	19.5 	20.4 	19.3 	17.4 	16.5 
LI_R_MD60,T,TOTAL,SE	11.4 	8.9 	9.8 b	9.7 	9.8 	10.2 	8.9 	8.7 	8.7 	7.9 	8.1 	7.9 
LI_R_MD60,T,TOTAL,SI	10.6 	9.7 	9.1 	6.7 	8.3 	8.8 	9.2 	11.7 	11.6 	9.9 	9.6 	: 
LI_R_MD60,T,TOTAL,SK	9.1 	5.4 	4.8 	2.4 	2.6 	2.7 	2.1 	2.8 	3.2 	3.6 	2.8 	3.5 
LI_R_MD60,T,TOTAL,UK	18.0 	15.1 	14.8 	15.8 	16.8 	17.1 	16.2 b	16.2 	15.9 	14.5 	13.5 	: 
LI_R_MD60,T,Y18-64,AT	11.2 	11.0 	12.5 b	10.5 	10.7 	11.2 	11.4 	11.5 	10.3 	10.6 	10.9 	: 
LI_R_MD60,T,Y18-64,BE	11.8 	11.9 	12.6 	9.8 	10.3 	11.1 	12.3 	10.9 	11.3 	10.7 	11.5 	: 
LI_R_MD60,T,Y18-64,CY	8.1 	6.2 	7.2 	6.8 	9.5 	8.5 	9.6 	14.3 	17.6 	22.1 	19.9 	16.8 
