unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT	: 	: 	: 	: 	: 	-8.88 	-0.59 	9.25 	9.10 	12.69 	21.76 	12.92 	11.48 	6.32 	1.85 	-5.45 	-4.45 	-12.33 	-12.57 	-10.07 	-8.13 	-6.67 	-2.27 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.89 	-3.97 	2.36 	-0.93 	-1.33 	-4.15 	0.82 	-5.42 	-6.81 	-7.57 	-10.89 	-5.04 	-0.81 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	38.04 	64.44 	53.80 	59.78 	59.88 	50.87 	29.22 	16.83 	21.34 	10.85 	7.01 	12.71 	13.06 	5.13 	13.98 
PCH_OECD_5Y,GS,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16.19 e	-10.73 e	-16.89 e	-1.50 e	-9.03 e	-3.54 e	-12.76 e	-9.17 	-19.04 	-11.25 	-5.71 	2.12 
PCH_OECD_5Y,GS,CRE,WRL_REST,CZ	: 	: 	: 	8.95 	10.57 	1.42 	15.00 	33.69 	30.89 	67.92 	90.95 	75.88 	73.85 	70.33 	37.90 	20.87 	17.26 	6.98 	-3.30 	0.08 	-1.07 	-0.01 	3.30 
PCH_OECD_5Y,GS,CRE,WRL_REST,DE	: 	-17.79 	-18.00 	-1.29 	-3.34 	-8.96 	-1.34 	6.37 	7.13 	13.95 	19.40 	13.76 	12.06 	6.26 	1.19 	-0.21 	-0.77 	-6.63 	-6.13 	-2.77 	-1.54 	-0.28 	1.71 
PCH_OECD_5Y,GS,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.23 	6.75 	7.23 	-3.30 	-5.85 	-7.86 	-11.91 	-10.22 	-7.47 	-6.90 	-4.02 
PCH_OECD_5Y,GS,CRE,WRL_REST,EE	: 	: 	: 	154.14 	75.82 	17.58 	18.93 	3.99 	5.21 	24.96 	75.09 	60.81 	68.96 	52.44 	26.14 	18.33 	35.67 	19.56 	17.56 	28.61 	8.61 	-3.50 	-2.04 
PCH_OECD_5Y,GS,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.19 e	19.97 	16.66 	-2.77 	-7.24 	-8.13 	-16.32 	-20.36 	-13.00 	-20.13 	-21.21 	-14.08 
PCH_OECD_5Y,GS,CRE,WRL_REST,ES	: 	: 	: 	34.05 	21.40 	6.90 	8.27 	9.74 	11.40 	9.30 	11.48 	3.04 	4.45 	-4.62 	-1.28 	-4.42 	-0.19 	-8.44 	-4.84 	-6.38 	-2.97 	-0.67 	4.84 
