unit,na_item,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,NULC_PER,AT	1.0 	1.4 	1.1 	3.7 	5.1 	0.0 	0.7 	3.1 	2.5 	2.2 	1.4 	1.6 	0.6 
PCH_PRE,NULC_PER,BE	1.1 	2.2 	1.8 	4.7 	3.2 	-0.7 	2.7 	3.4 	2.0 	0.1 	-0.8 	0.3 	1.6 
PCH_PRE,NULC_PER,BG	4.8 	2.8 	8.3 	12.8 	10.2 	4.3 	2.5 	5.0 p	7.8 p	4.1 p	2.5 p	2.3 p	8.4 p
PCH_PRE,NULC_PER,CH	0.1 	0.1 	1.7 	2.2 	3.4 	0.4 	1.9 	1.3 	0.6 	-1.1 	0.0 	-0.2 	0.0 
PCH_PRE,NULC_PER,CY	5.4 	1.4 	1.2 	3.1 	7.9 	-0.2 	1.7 	1.4 	-5.5 	-4.0 	-1.7 	-1.4 p	0.4 p
PCH_PRE,NULC_PER,CZ	-0.6 	0.5 	2.6 	3.6 	2.6 	0.1 	0.7 	3.0 	0.5 	0.4 	-0.8 	3.1 	3.6 
PCH_PRE,NULC_PER,DE	-0.5 	-1.8 	-0.6 	2.3 	6.3 	-1.2 	0.7 	3.2 	1.9 	1.4 	1.9 	1.3 	1.8 
PCH_PRE,NULC_PER,DK	2.4 	1.9 	5.2 	5.7 	4.7 	-1.0 	0.0 	0.9 	0.6 	0.8 	1.6 	0.9 	0.5 
PCH_PRE,NULC_PER,EA	1.4 	0.8 	1.3 	3.7 	4.5 	-0.6 	0.5 	1.9 	1.1 	0.6 	0.4 	0.6 	0.8 
PCH_PRE,NULC_PER,EA19	1.5 	0.9 	1.4 	3.8 	4.4 	-0.6 	0.5 	1.9 	1.2 	0.6 	0.4 	0.6 	0.8 
PCH_PRE,NULC_PER,EE	3.4 	9.2 	16.8 	16.7 	2.2 	-4.6 	-0.2 	5.0 	4.1 	4.3 	4.3 	3.0 	4.7 
PCH_PRE,NULC_PER,EL	8.9 	-0.7 	2.6 	5.3 	7.1 	1.0 	-1.4 p	-2.0 p	-6.9 p	-1.8 p	-1.3 p	-0.3 p	0.6 p
PCH_PRE,NULC_PER,ES	3.5 	3.3 	4.1 	5.7 	1.6 	-1.6 	-1.0 	-2.6 	-0.6 	-0.3 	0.6 	-0.7 p	0.2 p
PCH_PRE,NULC_PER,EU28	1.6 	1.4 	2.1 	1.0 	1.7 	1.0 	0.2 	2.9 	0.4 	1.1 	1.9 	-1.3 	0.2 
PCH_PRE,NULC_PER,FI	2.3 	1.2 	0.3 	5.8 	8.5 	-1.4 	2.3 	5.2 	1.4 	1.1 	1.2 	-0.9 	-2.7 
PCH_PRE,NULC_PER,FR	2.1 	1.8 	1.5 	2.9 	3.4 	1.0 	0.9 	2.2 	1.4 	0.7 	0.2 	0.4 p	0.8 p
PCH_PRE,NULC_PER,HR	3.0 p	1.3 p	3.1 p	5.2 d	6.8 d	-0.5 d	0.0 d	-1.0 d	-3.1 d	-2.6 d	-0.8 d	-1.8 d	-1.8 d
PCH_PRE,NULC_PER,HU	3.0 	1.8 	4.9 	4.3 	2.9 	-0.3 	1.7 	3.6 	0.8 	1.2 	-2.6 	5.2 	4.1 
PCH_PRE,NULC_PER,IE	4.5 	4.0 	4.8 	8.0 	-4.1 	-8.2 	-5.2 b	0.3 	1.1 	-5.1 	-15.2 	0.9 	-3.2 
PCH_PRE,NULC_PER,IS	: 	: 	: 	: 	-1.5 p	8.8 p	8.0 p	5.1 p	4.1 p	3.9 p	6.1 p	3.9 p	5.2 p
PCH_PRE,NULC_PER,IT	2.2 	2.2 	2.0 	4.2 	4.6 	0.0 	0.7 	1.4 	0.7 	0.1 	0.7 	0.7 	-0.3 
PCH_PRE,NULC_PER,LT	6.4 	12.1 	4.8 	9.7 	-1.7 	-7.0 	0.8 	2.2 	3.2 	3.2 	5.1 	6.4 	3.8 
