unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_Y_LT60,Y_LT60,F,AT	8.5 	9.2 	9.8 	8.6 b	8.7 	8.9 	9.7 	8.7 	8.5 	10.5 	9.1 	8.8 	9.2 
PC_Y_LT60,Y_LT60,F,BE	16.5 	15.9 	15.0 	13.2 	13.6 	13.5 	14.4 	14.3 	14.0 	14.9 	15.8 	16.2 	14.4 
PC_Y_LT60,Y_LT60,F,BG	: 	15.0 	16.4 	8.3 b	6.8 	8.2 	11.0 	12.4 	13.2 	12.1 	11.4 	12.2 b	10.8 
PC_Y_LT60,Y_LT60,F,CH	: 	: 	5.5 	4.0 	4.5 	4.4 	5.2 	3.7 	4.3 	5.8 b	5.9 	6.1 	: 
PC_Y_LT60,Y_LT60,F,CY	5.5 	5.1 	4.5 	5.7 b	5.0 	5.5 	5.5 	7.1 	8.2 	10.5 	11.4 	11.2 	10.1 
PC_Y_LT60,Y_LT60,F,CZ	10.4 	9.6 	9.9 	8.2 	7.1 	7.6 	7.4 	7.5 	7.7 	8.4 	7.8 	7.2 	5.9 
PC_Y_LT60,Y_LT60,F,DE	12.9 	14.8 	12.6 	12.4 	11.3 	11.7 	11.9 	10.7 	10.5 	10.2 	10.1 	10.2 	9.0 
PC_Y_LT60,Y_LT60,F,DK	11.0 	11.0 	11.1 	8.6 	9.4 	11.4 	10.8 	9.9 	11.5 	12.6 	12.0 	10.9 	9.4 
PC_Y_LT60,Y_LT60,F,EA18	10.8 	11.4 	10.7 	10.2 	9.9 	11.1 	11.6 	11.4 	11.6 	12.3 	11.6 	11.6 	10.5 e
PC_Y_LT60,Y_LT60,F,EA19	10.8 	11.4 	10.7 	10.2 	9.9 	11.1 	11.6 	11.4 	11.6 	12.3 	11.6 	11.6 	10.4 e
PC_Y_LT60,Y_LT60,F,EE	9.3 	6.5 	5.8 	4.7 	4.8 	8.3 	9.2 	8.6 	7.3 	6.5 b	5.9 	5.0 	4.8 
PC_Y_LT60,Y_LT60,F,EL	9.0 	9.7 	9.8 	9.0 	8.0 	8.6 	13.0 	15.6 	18.9 	18.4 	18.0 	18.6 	17.0 
PC_Y_LT60,Y_LT60,F,ES	7.6 	6.9 	7.1 	7.0 	8.0 	11.0 	13.8 	14.8 	15.4 	17.2 	15.1 	14.8 	13.2 
PC_Y_LT60,Y_LT60,F,EU27	11.5 e	11.6 e	10.8 	10.1 	10.0 	11.0 	11.1 	11.1 	11.4 	11.7 	11.1 	11.0 	9.7 e
PC_Y_LT60,Y_LT60,F,EU28	: 	: 	: 	: 	: 	11.0 	11.2 	11.2 	11.5 	11.7 	11.2 	11.0 	9.7 e
PC_Y_LT60,Y_LT60,F,FI	9.7 	8.8 	9.0 	7.6 	8.0 	9.0 	9.5 	8.3 	8.0 	9.0 	9.6 	10.4 	9.7 
PC_Y_LT60,Y_LT60,F,FR	9.5 	10.0 	10.6 	9.6 	9.1 	10.5 	9.7 	8.5 	8.6 	10.4 	8.8 	8.8 	8.3 
PC_Y_LT60,Y_LT60,F,HR	: 	: 	: 	: 	: 	14.0 	15.8 	16.6 	14.7 	15.0 	14.4 	13.0 	: 
PC_Y_LT60,Y_LT60,F,HU	10.6 	13.7 	11.8 	12.9 	12.0 	12.5 	13.2 	13.7 	13.6 	13.3 	10.2 	8.3 	6.8 
PC_Y_LT60,Y_LT60,F,IE	15.5 	13.7 	15.0 	14.3 	21.2 	24.5 	25.1 	23.5 	24.1 	20.6 	19.7 	18.9 	: 
PC_Y_LT60,Y_LT60,F,IS	3.5 	3.3 	3.1 	3.0 	2.0 	5.8 	6.4 	5.7 	6.7 	5.2 	5.6 	4.4 p	: 
PC_Y_LT60,Y_LT60,F,IT	12.5 	12.9 	11.7 	12.0 	10.7 	12.1 	11.8 	12.0 	12.3 	12.8 	12.7 	13.5 	12.5 
PC_Y_LT60,Y_LT60,F,LT	9.8 	8.3 	6.4 	5.7 	6.8 	8.9 	12.5 	11.0 	11.1 	8.4 	9.2 	9.2 	8.8 
PC_Y_LT60,Y_LT60,F,LU	6.5 	5.9 	5.8 	5.5 	7.8 	6.3 	6.6 	7.2 	6.6 	6.6 	5.8 	6.9 b	8.0 
PC_Y_LT60,Y_LT60,F,LV	8.2 	7.5 	6.5 	5.2 	7.0 	11.4 	12.0 	10.8 	9.6 	9.1 	7.4 	7.2 	7.6 
PC_Y_LT60,Y_LT60,F,MK	: 	: 	: 	: 	: 	24.7 	20.8 	20.3 	17.9 	17.8 	17.5 	16.3 	: 
PC_Y_LT60,Y_LT60,F,MT	11.4 	11.5 	11.1 	10.4 	11.3 	11.0 	10.9 	10.5 	10.4 	10.7 	9.7 	7.4 	7.6 
PC_Y_LT60,Y_LT60,F,NL	11.4 	12.8 	10.8 	9.4 	9.3 	9.3 	9.7 	10.0 	10.4 	10.9 	10.9 	10.5 b	9.7 
PC_Y_LT60,Y_LT60,F,NO	8.1 	8.1 	9.1 	7.5 	7.2 	7.6 	7.1 	7.3 	6.5 	6.2 	8.2 	8.5 	9.9 
PC_Y_LT60,Y_LT60,F,PL	14.7 	13.1 	10.7 	8.6 	7.4 	8.0 	7.4 	7.2 	7.4 	7.5 	7.1 	6.8 	5.8 
PC_Y_LT60,Y_LT60,F,PT	6.3 	7.2 	7.8 	6.8 	7.3 	8.9 	8.6 	10.3 	12.1 	12.4 	11.1 	9.4 	8.2 
PC_Y_LT60,Y_LT60,F,RO	: 	: 	11.0 	9.8 	9.5 	8.9 	8.6 	9.3 	8.9 	8.0 	8.9 	9.2 	7.7 
PC_Y_LT60,Y_LT60,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	18.5 	20.4 	20.4 	20.9 	: 
PC_Y_LT60,Y_LT60,F,SE	8.0 	7.3 	6.4 	7.4 b	8.7 	8.7 	9.5 	8.1 	9.5 	9.2 	9.4 	8.8 	9.2 
PC_Y_LT60,Y_LT60,F,SI	9.2 	7.7 	8.2 	7.3 	6.5 	8.0 	8.6 	8.3 	8.5 	9.8 	8.3 	8.2 	6.8 
PC_Y_LT60,Y_LT60,F,SK	7.4 	6.6 	7.2 	5.9 	6.0 	8.4 	7.8 	7.5 	7.9 	7.0 	6.9 	6.3 	5.4 
PC_Y_LT60,Y_LT60,F,TR	: 	16.8 	13.2 	13.5 	13.3 	13.4 	13.3 	12.2 	11.7 	11.9 	12.4 	: 	: 
PC_Y_LT60,Y_LT60,F,UK	14.0 	13.2 	11.1 	11.2 	13.4 	13.9 	12.3 	13.6 b	14.0 	12.7 	12.7 	11.9 	: 
PC_Y_LT60,Y_LT60,M,AT	6.2 	7.0 	6.6 	6.1 b	5.5 	6.7 	7.5 	6.7 	7.0 	7.8 	7.3 	7.5 	7.5 
PC_Y_LT60,Y_LT60,M,BE	13.7 	12.8 	12.6 	10.3 	11.1 	11.9 	13.2 	13.4 	14.0 	14.2 	14.1 	13.1 	12.6 
PC_Y_LT60,Y_LT60,M,BG	: 	14.5 	15.6 	7.8 b	7.0 	7.8 	11.1 	12.5 	12.9 	12.1 	11.7 	11.7 b	11.4 
PC_Y_LT60,Y_LT60,M,CH	: 	: 	3.5 	2.6 	3.6 	3.7 	4.1 	3.3 	3.9 	3.8 b	4.8 	5.0 	: 
PC_Y_LT60,Y_LT60,M,CY	3.2 	2.6 	2.9 	3.3 b	3.0 	4.2 	4.2 	5.8 	7.6 	8.9 	10.3 	9.9 	8.6 
PC_Y_LT60,Y_LT60,M,CZ	7.4 	8.2 	7.4 	6.2 	4.8 	5.2 	5.8 	6.1 	6.2 	6.8 	6.0 	6.2 	5.1 
PC_Y_LT60,Y_LT60,M,DE	11.1 	12.3 	10.5 	10.9 	10.5 	10.7 	10.5 	9.2 	9.4 	9.8 	9.5 	9.1 	8.4 
PC_Y_LT60,Y_LT60,M,DK	9.3 	8.3 	9.1 	8.4 	8.2 	9.7 	10.3 	10.5 	12.2 	11.8 	11.1 	10.4 	10.6 
PC_Y_LT60,Y_LT60,M,EA18	8.8 	9.2 	8.7 	8.4 	8.3 	9.7 	10.3 	10.0 	10.7 	11.5 	10.8 	10.7 	9.7 e
PC_Y_LT60,Y_LT60,M,EA19	8.9 	9.2 	8.7 	8.4 	8.3 	9.7 	10.3 	10.1 	10.7 	11.4 	10.8 	10.7 	9.7 e
PC_Y_LT60,Y_LT60,M,EE	9.6 	7.7 	6.6 	6.0 	6.5 	9.7 	10.9 	9.6 	9.5 	8.6 b	7.3 	6.6 	6.6 
PC_Y_LT60,Y_LT60,M,EL	6.2 	6.6 	6.5 	6.0 	5.3 	6.5 	11.0 	12.9 	17.5 	16.0 	15.5 	15.8 	14.2 
PC_Y_LT60,Y_LT60,M,ES	6.1 	5.9 	6.5 	6.1 	7.2 	10.6 	12.9 	13.8 	15.9 	17.0 	15.8 	14.9 	12.4 
PC_Y_LT60,Y_LT60,M,EU27	9.6 e	9.6 e	8.9 	8.4 	8.5 	9.6 	9.8 	9.9 	10.5 	10.8 	10.2 	10.0 	9.0 e
PC_Y_LT60,Y_LT60,M,EU28	: 	: 	: 	: 	: 	9.6 	9.9 	10.0 	10.5 	10.9 	10.2 	10.0 	9.0 e
PC_Y_LT60,Y_LT60,M,FI	10.3 	9.3 	8.6 	7.3 	8.7 	9.6 	10.4 	10.2 	10.0 	11.0 	11.9 	12.4 	11.7 
PC_Y_LT60,Y_LT60,M,FR	7.8 	8.2 	8.6 	8.1 	7.6 	9.2 	9.0 	8.4 	7.5 	8.9 	8.3 	8.0 	7.8 
PC_Y_LT60,Y_LT60,M,HR	: 	: 	: 	: 	: 	13.8 	16.0 	16.9 	14.9 	14.4 	14.4 	13.0 	: 
PC_Y_LT60,Y_LT60,M,HU	8.4 	12.5 	10.8 	11.1 	10.6 	11.3 	12.5 	13.2 	13.7 	12.3 	8.7 	8.1 	6.3 
PC_Y_LT60,Y_LT60,M,IE	14.0 	12.2 	13.7 	13.1 	18.8 	21.4 	23.4 	23.2 	23.6 	21.4 	18.6 	17.5 	: 
PC_Y_LT60,Y_LT60,M,IS	2.9 	2.4 	1.7 	2.3 	2.3 	5.6 	6.1 	6.5 	5.6 	4.5 	4.8 	4.1 p	: 
PC_Y_LT60,Y_LT60,M,IT	9.5 	9.8 	8.8 	8.8 	7.7 	9.1 	9.2 	9.2 	10.3 	11.4 	10.7 	12.2 	11.2 
PC_Y_LT60,Y_LT60,M,LT	9.4 	8.3 	6.5 	6.5 	7.7 	10.0 	12.9 	11.8 	10.9 	9.2 	9.3 	11.3 	10.6 
