s_adj,age,sex,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,TOTAL,F,PC_ACT,AT	4.8 	5.0 	5.0 	4.9 	4.8 	4.8 	4.6 	4.5 	4.5 	4.8 	5.0 	: 
SA,TOTAL,F,PC_ACT,BE	6.6 	6.4 	6.2 	5.8 	5.7 	5.7 	6.0 	6.1 	6.2 	6.4 	6.4 	: 
SA,TOTAL,F,PC_ACT,BG	5.8 	5.7 	5.4 	5.0 	4.8 	4.7 	4.7 	4.8 	4.7 	4.7 	4.6 	: 
SA,TOTAL,F,PC_ACT,CY	10.0 	10.1 	10.0 	9.9 	9.6 	9.1 	8.6 	8.3 	8.2 	8.1 	7.9 	: 
SA,TOTAL,F,PC_ACT,CZ	3.0 	3.0 	2.9 	3.0 	2.9 	2.8 	2.9 	2.9 	3.0 	2.9 	3.1 	: 
SA,TOTAL,F,PC_ACT,DE	3.3 	3.2 	3.1 	3.1 	3.0 	3.0 	3.0 	3.0 	3.0 	2.9 	2.9 	: 
SA,TOTAL,F,PC_ACT,DK	5.8 	5.6 	5.6 	5.4 	5.5 	5.3 	5.5 	5.3 	5.2 	5.2 	5.0 	: 
SA,TOTAL,F,PC_ACT,EA	9.2 	9.1 	9.0 	9.1 	8.9 	8.9 	8.7 	8.6 	8.6 	8.5 	8.5 	: 
SA,TOTAL,F,PC_ACT,EA18	9.2 	9.2 	9.1 	9.1 	9.0 	8.9 	8.8 	8.7 	8.6 	8.6 	8.5 	: 
SA,TOTAL,F,PC_ACT,EA19	9.2 	9.1 	9.0 	9.1 	8.9 	8.9 	8.7 	8.6 	8.6 	8.5 	8.5 	: 
SA,TOTAL,F,PC_ACT,EE	5.1 	5.3 	5.6 	6.0 	6.0 	5.2 	4.8 	5.0 	5.1 	5.2 	: 	: 
SA,TOTAL,F,PC_ACT,EL	25.8 	25.9 	26.0 	25.6 	26.2 	24.8 	24.5 	24.2 	24.0 	23.7 	: 	: 
SA,TOTAL,F,PC_ACT,ES	18.4 	18.3 	18.3 	18.3 	18.1 	17.7 	17.4 	17.2 	17.1 	17.0 	17.1 	: 
SA,TOTAL,F,PC_ACT,EU27	7.6 	7.6 	7.5 	7.5 	7.4 	7.3 	7.2 	7.1 	7.1 	7.0 	7.0 	: 
SA,TOTAL,F,PC_ACT,EU28	7.7 	7.6 	7.5 	7.5 	7.4 	7.3 	7.2 	7.1 	7.1 	7.1 	7.0 	: 
SA,TOTAL,F,PC_ACT,FI	8.1 	8.1 	8.1 	8.0 	7.9 	7.8 	7.7 	7.6 	7.5 	7.5 	7.5 	7.5 
SA,TOTAL,F,PC_ACT,FR	9.1 	9.1 	9.2 	9.3 	9.3 	9.2 	9.2 	9.1 	9.1 	9.1 	9.1 	: 
SA,TOTAL,F,PC_ACT,HR	10.9 	10.7 	10.5 	10.2 	10.0 	9.8 	9.5 	9.3 	9.3 	9.1 	9.0 	: 
SA,TOTAL,F,PC_ACT,HU	4.4 	4.4 	4.3 	4.3 	4.1 	4.2 	4.0 	3.8 	3.9 	4.1 	: 	: 
SA,TOTAL,F,PC_ACT,IE	6.2 	6.1 	5.9 	5.7 	5.6 	5.6 	5.6 	5.6 	5.6 	5.7 	5.4 	5.1 
SA,TOTAL,F,PC_ACT,IS	2.8 	2.9 	2.9 	3.0 	2.9 	2.8 	2.8 	2.8 	2.7 	2.7 	2.7 	: 
SA,TOTAL,F,PC_ACT,IT	12.3 	12.2 	12.0 	12.3 	11.9 	12.2 	12.0 	11.5 	11.7 	11.2 	10.7 	: 
SA,TOTAL,F,PC_ACT,JP	2.6 	2.5 	2.7 	2.2 	2.3 	2.3 	2.1 	2.0 	2.2 	2.3 	2.3 	: 
SA,TOTAL,F,PC_ACT,LT	5.4 	5.4 	5.7 	5.3 	5.3 	5.5 	5.4 	5.4 	5.6 	5.7 	5.5 	: 
SA,TOTAL,F,PC_ACT,LU	5.6 	5.7 	5.7 	5.7 	5.7 	5.7 	5.6 	5.7 	5.6 	5.6 	5.6 	: 
SA,TOTAL,F,PC_ACT,LV	7.6 	7.4 	7.2 	7.2 	7.0 	6.8 	6.4 	6.3 	6.3 	6.3 	6.3 	: 
SA,TOTAL,F,PC_ACT,MT	4.5 	4.5 	4.6 	4.2 	4.1 	4.0 	3.7 	3.5 	3.5 	3.8 	3.7 	: 
SA,TOTAL,F,PC_ACT,NL	4.7 	4.7 	4.7 	4.5 	4.3 	4.1 	4.0 	4.0 	4.0 	3.9 	3.9 	3.8 
SA,TOTAL,F,PC_ACT,NO	3.5 	3.6 	3.6 	3.6 	3.5 	3.5 	3.4 	3.4 	3.4 	3.5 	: 	: 
SA,TOTAL,F,PC_ACT,PL	4.7 	4.6 	4.4 	4.2 	4.1 	4.0 	3.9 	3.7 	3.6 	3.4 	3.2 	: 
SA,TOTAL,F,PC_ACT,PT	9.0 	8.4 	8.3 	8.2 	7.8 	7.6 	7.3 	7.5 	7.2 	7.2 	7.2 	: 
