exch_rt,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NEER_IC42,I10,AT	91.4 	91.0 	89.8 	92.7 	94.6 	92.1 	93.0 	94.2 	98.5 	99.8 	98.8 	98.7 	99.8 	101.1 	103.2 	100.0 	100.2 	98.4 	100.3 	101.9 	99.9 	101.5 	102.1 
NEER_IC42,I10,BE	95.8 	94.4 	90.9 	92.7 	93.1 	89.8 	91.0 	92.5 	97.3 	98.7 	98.0 	98.1 	99.4 	101.5 	103.0 	100.0 	100.5 	98.1 	100.3 	101.5 	98.6 	100.6 	101.8 
NEER_IC42,I10,BG	1281.9 	528.0 	65.3 	72.3 	81.6 	81.4 	87.5 	90.9 	96.2 	97.8 	96.2 	96.5 	97.2 	99.4 	103.0 	100.0 	101.5 	100.2 	102.4 	105.2 	104.3 	106.8 	108.8 
NEER_IC42,I10,CY	54.7 	59.8 	71.5 	82.1 	89.4 	86.6 	88.9 	91.8 	96.8 	98.0 	98.3 	98.4 	98.3 	101.4 	103.8 	100.0 	100.4 	97.8 	100.2 	100.9 	96.8 	99.0 	100.3 
NEER_IC42,I10,CZ	61.2 	63.1 	61.5 	63.8 	65.1 	66.1 	69.5 	77.9 	78.2 	78.7 	83.4 	87.4 	89.5 	100.9 	97.9 	100.0 	103.2 	99.5 	97.8 	93.6 	93.7 	96.2 	99.3 
NEER_IC42,I10,DE	90.8 	89.9 	86.8 	90.1 	91.8 	87.5 	88.9 	90.9 	97.2 	99.3 	98.1 	98.1 	99.8 	102.0 	104.3 	100.0 	100.4 	97.6 	100.2 	101.9 	98.0 	100.4 	101.7 
NEER_IC42,I10,DK	91.7 	91.7 	89.4 	92.3 	93.3 	88.9 	90.7 	92.3 	97.3 	98.8 	98.0 	97.9 	99.3 	101.9 	104.8 	100.0 	99.8 	96.9 	99.2 	101.1 	98.6 	100.7 	102.0 
NEER_IC42,I10,EE	71.9 	72.2 	70.2 	79.7 	91.0 	87.6 	89.1 	90.9 	95.7 	97.1 	96.7 	96.4 	97.7 	99.7 	104.4 	100.0 	99.8 	97.6 	99.7 	104.1 	106.8 	109.2 	108.9 
NEER_IC42,I10,EL	77.0 	79.6 	82.6 	83.2 	89.5 	84.5 	87.4 	90.4 	96.4 	98.1 	96.9 	96.9 	98.0 	100.4 	103.3 	100.0 	101.2 	98.8 	101.8 	104.9 	103.4 	106.0 	107.9 
NEER_IC42,I10,ES	91.4 	93.0 	89.3 	91.1 	92.0 	88.8 	90.7 	92.5 	97.3 	98.6 	97.8 	97.8 	99.1 	101.4 	103.1 	100.0 	100.5 	98.4 	100.6 	101.8 	99.0 	101.1 	102.4 
NEER_IC42,I10,FI	85.9 	84.4 	82.3 	86.0 	90.1 	85.8 	87.7 	90.0 	96.3 	98.5 	97.5 	97.3 	99.0 	101.5 	105.3 	100.0 	100.2 	97.1 	100.0 	103.3 	102.3 	104.6 	105.3 
NEER_IC42,I10,FR	91.0 	91.9 	89.1 	92.2 	92.4 	88.2 	89.8 	91.8 	97.4 	99.1 	98.3 	98.3 	100.0 	102.5 	103.9 	100.0 	100.4 	97.6 	100.2 	101.4 	97.6 	99.7 	101.1 
NEER_IC42,I10,HR	82.1 	82.3 	82.7 	87.0 	88.4 	86.4 	89.6 	92.1 	94.1 	96.2 	96.6 	97.4 	98.2 	101.2 	102.2 	100.0 	98.6 	95.8 	97.1 	99.1 	99.8 	102.8 	103.9 
NEER_IC42,I10,HU	137.9 	119.8 	112.4 	103.9 	102.6 	97.5 	100.1 	107.2 	106.7 	108.6 	109.0 	102.0 	107.8 	108.9 	100.8 	100.0 	99.1 	94.5 	93.6 	91.5 	90.4 	91.5 	92.7 
NEER_IC42,I10,IE	88.8 	91.4 	93.5 	90.9 	89.3 	84.1 	85.3 	87.2 	94.0 	96.4 	96.0 	96.2 	98.8 	102.9 	103.9 	100.0 	101.0 	97.0 	99.8 	100.1 	93.7 	95.6 	97.4 
NEER_IC42,I10,IT	76.7 	85.2 	86.6 	89.5 	90.9 	87.1 	88.9 	91.3 	97.4 	99.4 	98.3 	98.3 	100.0 	102.2 	104.0 	100.0 	100.6 	98.0 	100.6 	102.4 	99.0 	101.1 	102.4 
NEER_IC42,I10,LT	37.5 	40.4 	46.3 	56.1 	71.2 	79.6 	83.2 	88.8 	95.3 	96.9 	96.1 	95.6 	96.7 	98.4 	104.2 	100.0 	100.7 	98.6 	101.2 	106.9 	112.6 	116.2 	114.7 
NEER_IC42,I10,LU	98.6 	97.3 	93.7 	95.0 	95.4 	93.0 	93.7 	94.8 	97.9 	98.6 	98.2 	98.1 	98.8 	100.5 	102.4 	100.0 	100.2 	98.3 	100.0 	101.1 	99.1 	100.6 	101.4 
NEER_IC42,I10,LV	72.9 	74.0 	78.6 	89.0 	105.0 	112.7 	113.8 	111.7 	106.6 	103.6 	98.1 	97.6 	98.0 	99.6 	104.5 	100.0 	100.7 	100.1 	101.9 	106.7 	110.6 	113.9 	113.1 
NEER_IC42,I10,MT	89.9 	89.1 	90.7 	93.5 	93.3 	91.5 	92.5 	94.0 	97.8 	100.1 	99.0 	99.5 	102.5 	105.4 	104.9 	100.0 	100.6 	98.2 	100.7 	101.9 	96.8 	98.3 	100.0 
NEER_IC42,I10,NL	95.4 	94.2 	90.8 	92.6 	93.4 	90.5 	91.7 	92.9 	97.1 	98.2 	97.6 	97.6 	98.7 	101.0 	102.9 	100.0 	100.4 	98.3 	100.2 	101.1 	98.4 	100.5 	101.6 
NEER_IC42,I10,PL	101.2 	95.3 	88.8 	90.9 	89.0 	91.8 	101.2 	97.7 	88.8 	86.9 	97.2 	100.2 	103.7 	113.3 	94.7 	100.0 	97.1 	94.2 	95.7 	98.1 	97.8 	95.6 	98.5 
NEER_IC42,I10,PT	96.9 	97.1 	94.9 	94.8 	94.8 	92.0 	93.0 	94.2 	98.0 	99.0 	98.5 	98.5 	99.6 	101.4 	102.5 	100.0 	100.4 	98.6 	100.4 	101.2 	98.4 	100.2 	101.2 
NEER_IC42,I10,RO	1205.1 	843.0 	418.2 	364.4 	227.6 	184.4 	147.4 	125.5 	109.1 	102.2 	113.3 	116.8 	124.5 	114.2 	102.1 	100.0 	100.6 	94.1 	97.0 	98.6 	97.9 	98.8 	98.1 
NEER_IC42,I10,SE	90.5 	100.2 	96.9 	97.8 	99.6 	99.1 	91.7 	94.4 	101.2 	103.7 	100.7 	101.1 	102.9 	101.1 	93.4 	100.0 	106.0 	106.9 	110.5 	106.8 	101.6 	102.5 	101.8 
NEER_IC42,I10,SI	128.5 	116.8 	112.6 	115.2 	115.5 	107.0 	102.4 	100.2 	100.6 	99.4 	98.1 	97.8 	98.3 	99.2 	102.5 	100.0 	100.6 	99.5 	101.1 	103.4 	103.6 	105.3 	105.4 
NEER_IC42,I10,SK	65.8 	67.1 	70.6 	71.4 	66.2 	67.3 	66.3 	67.3 	71.7 	75.1 	76.8 	79.3 	87.8 	95.6 	102.9 	100.0 	100.3 	99.5 	101.0 	102.6 	101.7 	103.6 	104.0 
NEER_IC42,I10,UK	93.7 	96.0 	112.4 	119.8 	122.1 	125.4 	124.4 	126.1 	121.9 	127.8 	125.7 	126.2 	128.5 	112.1 	100.3 	100.0 	99.3 	103.2 	101.0 	108.1 	114.6 	102.7 	97.1 
NEER_IC42,PCH_1Y,AT	7.6 	-0.4 	-1.4 	3.3 	2.0 	-2.6 	1.0 	1.3 	4.5 	1.3 	-1.0 	-0.1 	1.1 	1.2 	2.1 	-3.1 	0.2 	-1.7 	1.9 	1.6 	-2.0 	1.6 	0.6 
NEER_IC42,PCH_1Y,BE	6.7 	-1.4 	-3.8 	2.0 	0.4 	-3.6 	1.4 	1.6 	5.2 	1.4 	-0.6 	0.0 	1.4 	2.1 	1.5 	-2.9 	0.5 	-2.3 	2.3 	1.2 	-2.9 	2.1 	1.2 
NEER_IC42,PCH_1Y,BG	-12.8 	-58.8 	-87.6 	10.7 	12.9 	-0.3 	7.5 	3.9 	5.9 	1.6 	-1.6 	0.4 	0.7 	2.2 	3.7 	-2.9 	1.5 	-1.3 	2.2 	2.7 	-0.8 	2.4 	1.9 
NEER_IC42,PCH_1Y,CY	14.0 	9.2 	19.6 	14.8 	8.9 	-3.2 	2.7 	3.3 	5.5 	1.3 	0.3 	0.1 	-0.1 	3.2 	2.3 	-3.6 	0.4 	-2.6 	2.4 	0.7 	-4.1 	2.3 	1.3 
NEER_IC42,PCH_1Y,CZ	6.2 	3.1 	-2.6 	3.8 	2.0 	1.5 	5.2 	12.0 	0.4 	0.6 	6.0 	4.8 	2.4 	12.6 	-2.9 	2.1 	3.2 	-3.6 	-1.6 	-4.3 	0.1 	2.7 	3.2 
NEER_IC42,PCH_1Y,DE	9.9 	-0.9 	-3.4 	3.8 	1.9 	-4.7 	1.6 	2.3 	6.9 	2.2 	-1.1 	0.0 	1.8 	2.2 	2.3 	-4.2 	0.4 	-2.8 	2.7 	1.7 	-3.8 	2.4 	1.3 
NEER_IC42,PCH_1Y,DK	7.6 	0.0 	-2.6 	3.3 	1.1 	-4.7 	1.9 	1.8 	5.4 	1.6 	-0.9 	-0.1 	1.5 	2.5 	2.9 	-4.5 	-0.2 	-2.9 	2.4 	1.9 	-2.5 	2.2 	1.2 
NEER_IC42,PCH_1Y,EE	28.3 	0.3 	-2.7 	13.5 	14.2 	-3.8 	1.8 	2.0 	5.2 	1.5 	-0.4 	-0.3 	1.4 	2.0 	4.7 	-4.2 	-0.2 	-2.2 	2.1 	4.5 	2.6 	2.2 	-0.3 
NEER_IC42,PCH_1Y,EL	5.2 	3.5 	3.7 	0.7 	7.5 	-5.6 	3.5 	3.4 	6.7 	1.7 	-1.2 	0.1 	1.1 	2.5 	2.9 	-3.2 	1.2 	-2.4 	3.0 	3.1 	-1.5 	2.5 	1.8 
NEER_IC42,PCH_1Y,ES	2.8 	1.7 	-3.9 	2.0 	1.0 	-3.4 	2.1 	2.0 	5.2 	1.4 	-0.8 	0.0 	1.3 	2.3 	1.7 	-3.0 	0.5 	-2.1 	2.3 	1.2 	-2.8 	2.2 	1.3 
