indic_bt,nace_r2,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
PROD,F,I2015_SCA,AT	108.7 	111.2 	112.0 	112.7 	110.9 	113.2 	110.7 	113.5 	117.2 	117.7 	118.7 p	: 
PROD,F,I2015_SCA,BE	101.4 	102.5 	102.6 	102.2 	101.6 	101.5 	102.6 	101.0 	102.6 	102.5 	103.2 	102.3 
PROD,F,I2015_SCA,BG	89.7 p	91.6 p	93.0 p	91.3 p	102.8 p	88.8 p	87.0 p	87.6 p	87.9 p	87.5 p	88.7 p	88.2 p
PROD,F,I2015_SCA,CZ	96.4 	97.4 	99.5 	99.0 	100.2 	101.5 	100.9 	102.2 	105.2 	105.3 	108.2 	108.1 
PROD,F,I2015_SCA,DE	109.7 	108.8 	109.7 	109.3 	111.2 	107.7 	109.2 	110.9 	114.1 	112.0 	113.3 	111.3 
PROD,F,I2015_SCA,DK	110.3 s	110.7 s	111.5 s	110.5 s	111.3 s	112.0 s	115.3 s	107.7 s	111.7 s	114.9 s	112.9 s	: 
PROD,F,I2015_SCA,EA19	106.2 	106.1 	106.4 	107.5 	106.7 	105.9 	105.7 	107.3 	107.6 	108.4 	108.3 	107.8 s
PROD,F,I2015_SCA,ES	106.3 s	105.2 s	105.0 s	100.7 s	104.0 ps	105.5 ps	108.7 ps	104.7 ps	105.2 ps	104.4 ps	103.4 ps	103.9 ps
PROD,F,I2015_SCA,EU28	107.3 	107.0 	107.8 	109.1 	108.3 	107.5 	106.6 	107.6 	108.9 	109.9 	109.9 	109.4 s
PROD,F,I2015_SCA,FI	110.8 e	110.4 e	111.2 e	112.7 e	112.0 e	110.8 e	111.6 e	110.3 e	112.6 e	113.8 e	112.6 e	: c
PROD,F,I2015_SCA,FR	102.8 	102.6 	102.2 	107.6 	99.8 	102.3 	99.1 	103.0 	99.2 	103.7 	102.4 	102.6 
PROD,F,I2015_SCA,HR	105.0 	106.8 	105.6 	106.9 	107.6 p	107.4 p	107.5 p	109.4 p	111.2 p	108.9 p	112.4 p	: 
PROD,F,I2015_SCA,HU	107.5 	114.6 	113.4 	117.6 	125.1 	119.1 	98.3 	108.4 	118.1 	129.2 	135.0 	137.5 
PROD,F,I2015_SCA,IT	100.1 	101.1 	100.7 	103.2 	103.4 	100.1 	98.6 	101.0 	100.7 	102.4 	101.9 	101.1 
PROD,F,I2015_SCA,LU	106.1 s	105.6 ps	107.8 ps	102.1 ps	117.2 ps	99.7 ps	108.0 ps	105.1 ps	107.7 ps	111.1 ps	104.0 ps	: 
PROD,F,I2015_SCA,MK	74.0 	56.5 	79.3 	66.0 	55.9 	53.1 	66.4 	83.8 	76.4 	70.2 	64.5 	: 
PROD,F,I2015_SCA,NL	116.8 ps	117.1 ps	118.8 ps	118.2 ps	119.7 ps	120.3 ps	119.8 ps	123.0 ps	123.3 ps	123.1 ps	123.2 ps	123.7 ps
PROD,F,I2015_SCA,PL	99.8 	99.3 	102.8 	106.5 	115.4 	113.9 	112.9 	112.0 	115.4 	117.7 	116.7 	118.6 
PROD,F,I2015_SCA,PT	98.0 	97.6 	97.4 	100.0 	101.7 	101.2 	100.2 	100.6 	100.7 	101.0 	101.1 	102.2 
PROD,F,I2015_SCA,RO	86.1 	87.0 	87.5 	93.3 	98.1 	98.7 	89.0 	89.6 	94.9 	91.0 	82.9 	84.1 p
PROD,F,I2015_SCA,SE	109.3 p	107.6 p	109.6 p	112.0 p	108.9 p	109.3 p	106.7 p	107.1 p	108.6 p	110.0 p	110.7 p	108.0 p
PROD,F,I2015_SCA,SI	94.9 	104.6 	110.3 	103.7 	119.4 	100.7 	100.5 	111.1 	115.2 	111.1 p	117.1 p	120.4 p
PROD,F,I2015_SCA,SK	89.4 	94.6 	97.5 	90.5 	95.8 	96.8 	99.6 	98.5 	93.3 	97.3 	101.2 	103.7 
PROD,F,I2015_SCA,UK	111.8 p	110.7 p	112.4 p	114.1 p	111.9 p	110.9 p	109.2 p	109.2 p	112.3 p	113.3 p	113.8 p	113.0 p
PROD,F,PCH_M12_CA,AT	3.9 	9.0 	6.1 	9.2 	13.5 	10.2 	3.2 	6.5 	8.1 	9.3 	10.1 p	: 
PROD,F,PCH_M12_CA,BE	-0.3 	5.1 	8.1 	-0.7 	14.0 	-5.0 	3.3 	-4.4 	2.1 	2.4 	4.3 	1.3 
PROD,F,PCH_M12_CA,BG	6.8 p	9.7 p	7.5 p	-7.4 p	25.9 p	4.2 p	-2.0 p	0.5 p	-0.6 p	-2.9 p	1.1 p	-1.2 p
PROD,F,PCH_M12_CA,CZ	-0.1 	2.0 	4.9 	1.5 	32.7 	11.1 	3.3 	3.8 	8.1 	6.9 	14.2 	11.9 
PROD,F,PCH_M12_CA,DE	3.9 	3.2 	3.7 	2.9 	16.6 	-1.3 	-0.6 	0.3 	4.2 	2.2 	3.4 	2.2 
PROD,F,PCH_M12_CA,DK	5.3 	5.1 	6.3 	-0.2 	3.3 	5.0 	10.9 	-6.5 	2.6 	9.1 	4.0 	: 
PROD,F,PCH_M12_CA,EA19	3.2 	2.9 	2.8 	2.0 	6.6 	0.0 	0.9 	1.5 	2.2 	3.4 	2.2 	2.5 s
PROD,F,PCH_M12_CA,ES	6.8 p	-0.3 	1.9 	-12.8 	-3.0 p	2.2 p	20.4 p	-2.0 p	4.6 p	1.7 p	-5.2 p	-1.2 p
PROD,F,PCH_M12_CA,EU28	4.0 	4.2 	3.9 	3.2 	5.9 	0.9 	-0.4 	1.3 	2.4 	3.0 	3.3 	2.3 s
PROD,F,PCH_M12_CA,FI	4.0 e	2.1 e	3.1 e	7.8 e	0.2 e	-1.0 e	0.5 e	-4.5 e	1.0 e	5.5 e	0.9 e	: c
PROD,F,PCH_M12_CA,FR	1.4 	0.5 	-0.1 	7.4 	-0.4 	-1.4 	-3.1 	0.4 	-4.2 	2.0 	-0.2 	0.8 
PROD,F,PCH_M12_CA,HR	1.6 	5.6 	1.6 	-0.3 	6.8 p	-1.8 p	0.7 p	3.6 p	5.8 p	3.1 p	7.2 p	: 
PROD,F,PCH_M12_CA,HU	24.1 	39.0 	31.3 	34.4 	41.5 	24.3 	0.8 	14.1 	15.3 	28.3 	38.0 	24.3 
PROD,F,PCH_M12_CA,IT	1.9 	4.2 	0.0 	2.5 	7.9 	-1.6 	-5.1 	3.2 	-0.2 	3.9 	2.8 	0.6 
PROD,F,PCH_M12_CA,LU	2.2 	6.5 p	2.5 p	-10.3 p	31.2 p	-8.1 p	2.7 p	4.7 p	-0.4 p	6.1 p	0.5 p	: 
PROD,F,PCH_M12_CA,MK	-25.8 	-39.6 	-23.4 	-36.1 	-41.4 	-48.7 	-30.7 	8.1 	-14.2 	14.2 	-34.8 	: 
PROD,F,PCH_M12_CA,NL	5.6 p	4.3 p	8.2 p	5.8 p	7.6 p	7.0 p	2.9 p	11.8 p	11.2 p	7.6 p	6.5 p	7.9 p
PROD,F,PCH_M12_CA,PL	18.0 	18.1 	16.4 	18.3 	31.8 	31.1 	18.7 	16.3 	23.3 	24.2 	16.5 	19.2 
PROD,F,PCH_M12_CA,PT	2.6 	1.6 	1.7 	3.5 	2.3 	2.0 	3.1 	3.8 	4.2 	3.8 	3.4 	4.6 
PROD,F,PCH_M12_CA,RO	-14.0 	-13.6 	-6.2 	10.5 	5.6 	5.9 	-10.9 	-0.4 	6.2 	-0.4 	-16.8 	-10.3 p
PROD,F,PCH_M12_CA,SE	4.9 p	-0.6 p	5.3 p	6.6 p	2.3 p	2.8 p	-0.1 p	-9.0 p	-2.1 p	-1.9 p	-1.1 p	-1.6 p
PROD,F,PCH_M12_CA,SI	7.0 	31.1 	26.0 	20.0 	77.2 	6.6 	-2.0 	12.7 	30.7 	9.8 p	25.7 p	33.5 p
PROD,F,PCH_M12_CA,SK	3.3 	11.4 	12.6 	4.1 	15.5 	10.3 	8.7 	5.6 	3.2 	4.2 	7.1 	11.4 
PROD,F,PCH_M12_CA,UK	4.8 p	7.3 p	5.1 p	3.3 p	2.5 p	0.1 p	-5.3 p	1.9 p	1.2 p	0.0 p	4.7 p	0.0 p
PROD,F,PCH_M1_SCA,AT	1.2 	2.3 	0.7 	0.6 	-1.6 	2.1 	-2.2 	2.5 	3.3 	0.4 	0.8 p	: 
PROD,F,PCH_M1_SCA,BE	0.0 	1.1 	0.1 	-0.4 	-0.6 	-0.1 	1.1 	-1.6 	1.6 	-0.1 	0.7 	-0.9 
PROD,F,PCH_M1_SCA,BG	0.0 p	2.1 p	1.5 p	-1.8 p	12.6 p	-13.6 p	-2.0 p	0.7 p	0.3 p	-0.5 p	1.4 p	-0.6 p
PROD,F,PCH_M1_SCA,CZ	-0.7 	1.0 	2.2 	-0.5 	1.2 	1.3 	-0.6 	1.3 	2.9 	0.1 	2.8 	-0.1 
PROD,F,PCH_M1_SCA,DE	0.8 	-0.8 	0.8 	-0.4 	1.7 	-3.1 	1.4 	1.6 	2.9 	-1.8 	1.2 	-1.8 
PROD,F,PCH_M1_SCA,DK	0.9 s	0.4 s	0.7 s	-0.9 s	0.7 s	0.6 s	2.9 s	-6.6 s	3.7 s	2.9 s	-1.7 s	: 
PROD,F,PCH_M1_SCA,EA19	0.6 	-0.1 	0.3 	1.0 	-0.7 	-0.7 	-0.2 	1.5 	0.3 	0.7 	-0.1 	-0.5 s
PROD,F,PCH_M1_SCA,ES	0.9 s	-1.0 s	-0.2 s	-4.1 s	3.3 ps	1.4 ps	3.0 ps	-3.7 ps	0.5 ps	-0.8 ps	-1.0 ps	0.5 ps
PROD,F,PCH_M1_SCA,EU28	0.1 	-0.3 	0.7 	1.2 	-0.7 	-0.7 	-0.8 	0.9 	1.2 	0.9 	0.0 	-0.5 s
PROD,F,PCH_M1_SCA,FI	-0.2 e	-0.4 e	0.7 e	1.3 e	-0.6 e	-1.1 e	0.7 e	-1.2 e	2.1 e	1.1 e	-1.1 e	: c
PROD,F,PCH_M1_SCA,FR	0.6 	-0.2 	-0.4 	5.3 	-7.2 	2.5 	-3.1 	3.9 	-3.7 	4.5 	-1.3 	0.2 
PROD,F,PCH_M1_SCA,HR	0.5 	1.7 	-1.1 	1.2 	0.7 p	-0.2 p	0.1 p	1.8 p	1.6 p	-2.1 p	3.2 p	: 
PROD,F,PCH_M1_SCA,HU	-3.2 	6.6 	-1.0 	3.7 	6.4 	-4.8 	-17.5 	10.3 	8.9 	9.4 	4.5 	1.9 
PROD,F,PCH_M1_SCA,IT	-0.4 	1.0 	-0.4 	2.5 	0.2 	-3.2 	-1.5 	2.4 	-0.3 	1.7 	-0.5 	-0.8 
PROD,F,PCH_M1_SCA,LU	-0.7 s	-0.5 ps	2.1 ps	-5.3 ps	14.8 ps	-14.9 ps	8.3 ps	-2.7 ps	2.5 ps	3.2 ps	-6.4 ps	: 
