unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
I10,AT	106.67 	104.20 	102.51 	102.44 	101.99 	101.75 	101.63 	101.16 	100.54 	100.44 	100.42 	99.97 	99.86 	99.72 	99.67 	100.00 	100.87 	100.96 	101.58 	102.53 	103.28 	103.99 	104.67 
I10,BE	102.54 	100.08 	98.66 	98.63 	98.74 	99.25 	99.14 	98.39 	97.94 	97.76 	98.23 	98.49 	98.18 	99.45 	99.06 	100.00 	100.74 	100.91 	100.64 	100.61 	101.16 	102.72 	103.46 
I10,BG	48.65 	40.61 	55.44 	63.31 	64.18 	69.47 	72.91 	75.30 	75.44 	78.22 	81.00 	85.10 	89.49 	96.82 	98.70 	100.00 	100.61 	100.55 	99.60 	97.63 	96.56 	95.01 	94.67 
I10,CY	90.88 	90.78 	95.08 	97.28 	96.67 	100.12 	99.20 	99.60 	99.90 	100.02 	100.71 	100.88 	99.60 	99.94 	99.58 	100.00 	100.66 	101.56 	100.96 	100.54 	99.07 	97.59 	96.78 
I10,CZ	56.53 	60.88 	62.83 	67.95 	66.83 	70.08 	74.66 	81.92 	77.61 	77.65 	82.64 	86.64 	88.74 	101.37 	95.64 	100.00 	102.21 	100.98 	97.63 	91.93 	92.95 	94.09 	97.30 
I10,DE	115.95 	110.81 	108.78 	108.27 	107.66 	106.28 	105.35 	104.03 	102.65 	102.21 	101.97 	101.47 	101.51 	100.63 	100.38 	100.00 	99.67 	99.12 	99.24 	99.59 	99.62 	99.67 	99.87 
I10,DK	98.76 	98.30 	98.61 	99.07 	100.20 	100.42 	100.20 	100.67 	100.77 	99.61 	99.11 	98.76 	98.29 	98.46 	99.19 	100.00 	99.92 	99.89 	98.71 	98.57 	98.64 	98.51 	98.10 
I10,EE	62.78 	71.67 	74.66 	80.30 	81.43 	81.65 	84.02 	85.29 	85.44 	86.62 	88.56 	90.44 	93.96 	99.24 	98.48 	100.00 	102.03 	103.56 	105.36 	105.23 	105.25 	105.73 	107.81 
I10,EL	85.68 	88.84 	92.23 	89.47 	91.20 	88.67 	88.64 	90.06 	91.34 	92.19 	93.42 	94.49 	95.24 	96.01 	96.90 	100.00 	100.34 	98.81 	96.55 	94.76 	93.68 	93.49 	93.14 
I10,ES	89.42 	91.33 	90.10 	90.36 	91.26 	92.44 	92.71 	93.89 	94.82 	95.72 	96.99 	98.37 	99.09 	99.96 	99.42 	100.00 	100.34 	100.26 	100.44 	99.76 	98.97 	98.27 	98.80 
I10,FI	108.26 	104.33 	104.48 	103.26 	103.33 	103.92 	104.01 	103.75 	103.13 	101.17 	99.79 	98.89 	98.12 	98.48 	99.69 	100.00 	100.60 	101.24 	101.94 	102.65 	102.37 	102.43 	101.62 
I10,FR	104.37 	104.17 	103.57 	103.77 	103.07 	102.49 	101.60 	101.14 	101.29 	101.56 	101.22 	100.86 	100.17 	99.95 	99.68 	100.00 	99.53 	99.21 	98.65 	98.80 	98.80 	98.81 	98.34 
I10,HR	86.12 	85.92 	87.80 	90.51 	86.87 	88.04 	91.34 	92.33 	90.75 	91.71 	93.68 	95.68 	95.86 	99.61 	99.63 	100.00 	97.44 	97.07 	97.11 	96.10 	96.04 	96.17 	96.80 
I10,HU	62.91 	64.50 	69.98 	70.02 	71.93 	75.23 	81.28 	88.43 	87.20 	91.81 	94.39 	90.30 	100.04 	102.27 	95.00 	100.00 	99.69 	99.40 	96.99 	92.75 	92.34 	92.01 	93.37 
I10,IE	88.30 	90.78 	97.90 	94.36 	94.86 	97.80 	99.25 	101.74 	103.89 	104.18 	104.26 	104.87 	105.63 	105.41 	103.21 	100.00 	98.51 	97.92 	96.94 	96.74 	96.59 	96.03 	94.75 
I10,IT	83.06 	92.97 	96.74 	97.39 	97.67 	98.12 	97.98 	98.35 	99.24 	99.39 	99.44 	99.50 	99.28 	99.40 	99.85 	100.00 	100.27 	101.21 	100.97 	100.67 	100.69 	100.28 	100.02 
I10,LT	45.27 	56.63 	69.28 	73.24 	76.43 	86.36 	88.03 	89.69 	87.78 	87.02 	87.50 	88.56 	91.01 	96.60 	99.98 	100.00 	101.19 	101.70 	101.40 	101.10 	100.30 	100.66 	102.66 
