unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,F3,LIAB,S11,AT	: 	-0.2 	0.3 	-0.1 	0.9 	1.0 	-0.1 	-0.4 	1.5 	1.1 	1.0 	0.4 	1.0 	0.4 	1.5 	0.4 	1.4 	0.9 	0.6 	-0.2 	0.2 	0.3 	-0.3 
PC_GDP,NCO,F3,LIAB,S11,BE	0.4 	0.7 	0.2 	-1.4 	0.4 	0.8 	-0.3 	-0.1 	0.5 	0.7 	-0.9 	0.5 	0.8 	0.1 	8.3 	0.4 	1.1 	0.7 	0.9 	1.4 	1.7 	2.5 	-0.2 
PC_GDP,NCO,F3,LIAB,S11,BG	0.0 	1.2 	-0.2 	0.0 	0.1 	1.2 	-0.3 	0.2 	-0.3 	0.2 	0.2 	3.2 	-1.0 	1.7 	-0.6 	0.6 	-1.3 	0.0 	1.8 	0.0 	-0.2 	1.4 	0.1 
PC_GDP,NCO,F3,LIAB,S11,CY	0.0 	0.0 	0.0 	0.0 	0.3 	0.5 	-0.1 	-0.3 	0.1 	-0.5 	0.1 	0.0 	-0.1 	0.0 	0.1 	0.0 	0.7 	-0.5 	0.5 	-0.1 	-0.6 	0.1 	0.1 
PC_GDP,NCO,F3,LIAB,S11,CZ	0.2 	0.5 	-0.6 	0.3 	0.3 	-0.7 	-2.4 	-0.2 	0.1 	-0.1 	-1.0 	-0.3 	0.1 	0.6 	0.7 	1.2 	-0.3 	-0.3 	1.5 	0.9 	-1.2 	1.2 	0.8 
PC_GDP,NCO,F3,LIAB,S11,DE	-4.4 	-0.2 	-0.2 	-0.2 	0.1 	0.5 	0.4 	0.3 	1.2 	0.1 	0.1 	0.2 	0.5 	0.3 	-0.2 	0.2 	0.3 	0.7 	0.5 	0.0 	0.3 	0.8 	0.3 
PC_GDP,NCO,F3,LIAB,S11,DK	0.5 	0.8 	1.0 	-0.1 	0.3 	0.2 	0.4 	0.2 	0.1 	0.2 	0.5 	-0.4 	-0.7 	-0.4 	1.1 	0.1 	0.5 	1.7 	0.7 	0.1 	0.0 	0.1 	0.0 
PC_GDP,NCO,F3,LIAB,S11,EE	0.8 	1.5 	2.7 	-0.1 	-0.8 	0.2 	0.3 	3.9 	-0.7 	0.0 	1.3 	-0.5 	0.0 	-1.2 	-0.5 	-0.4 	1.7 	1.6 	0.6 	0.6 	-0.1 	0.0 	0.4 
PC_GDP,NCO,F3,LIAB,S11,EL	-2.7 	0.8 	-1.2 	0.2 	-0.3 	2.6 	0.1 	0.0 	0.4 	1.4 	1.6 	1.8 	2.1 	3.6 	-0.7 	-1.6 	-0.1 	-0.5 	0.4 	0.0 	0.0 	0.1 	0.3 
PC_GDP,NCO,F3,LIAB,S11,ES	-0.6 	-0.4 	-0.2 	-0.2 	0.3 	-0.9 	-0.1 	-0.3 	-0.2 	0.0 	0.0 	0.1 	0.1 	0.2 	0.0 	-0.1 	0.0 	0.3 	0.4 	0.1 	0.5 	0.4 	0.7 
PC_GDP,NCO,F3,LIAB,S11,FI	0.2 	-0.5 	0.3 	-0.3 	1.1 	2.8 	1.9 	0.5 	1.0 	-0.2 	0.9 	1.1 	0.2 	-1.1 	2.6 	-0.4 	0.6 	4.3 	3.2 	-2.5 	-1.7 	0.7 	1.0 
PC_GDP,NCO,F3,LIAB,S11,FR	0.0 	0.7 	0.3 	1.1 	2.6 	2.7 	3.7 	0.2 	1.1 	-0.5 	-0.1 	0.1 	-0.1 	1.3 	2.6 	1.1 	1.3 	2.5 	0.9 	2.1 	1.1 	1.9 	1.1 
PC_GDP,NCO,F3,LIAB,S11,HR	: 	: 	: 	: 	: 	: 	: 	1.0 	0.0 	0.1 	0.0 	0.6 	1.2 	0.1 	0.4 	-0.1 	0.1 	2.7 	-0.2 	-1.2 	0.3 	0.1 	-0.8 
PC_GDP,NCO,F3,LIAB,S11,HU	1.2 	0.2 	-0.5 	0.0 	-0.1 	-0.1 	0.0 	0.1 	-0.1 	-0.2 	0.9 	0.2 	0.0 	0.1 	-0.1 	0.7 	0.2 	0.0 	0.0 	0.0 	-0.7 	0.8 	-0.4 
PC_GDP,NCO,F3,LIAB,S11,IE	: 	: 	: 	: 	: 	: 	: 	0.3 	1.2 	1.6 	0.4 	0.1 	0.5 	-0.9 	1.3 	0.0 	0.0 	0.8 	0.4 	-0.5 	0.3 	3.4 	0.7 
PC_GDP,NCO,F3,LIAB,S11,IT	-0.1 	-0.1 	0.1 	0.1 	-0.1 	0.0 	1.0 	0.7 	0.4 	0.9 	0.2 	0.6 	0.3 	-0.2 	0.9 	0.8 	0.0 	0.8 	1.4 	0.2 	-0.1 	-0.1 	1.2 
PC_GDP,NCO,F3,LIAB,S11,LT	0.0 	0.0 	1.5 	-0.9 	-0.3 	0.1 	1.0 	-0.2 	-0.3 	-0.1 	0.3 	0.0 	0.2 	0.6 	-0.5 	-0.2 	0.0 	-0.2 	0.1 	0.1 	0.0 	0.1 	1.0 
PC_GDP,NCO,F3,LIAB,S11,LU	: 	: 	: 	: 	1.8 	-0.4 	0.0 	6.9 	5.7 	1.6 	-4.2 	1.1 	-0.7 	1.0 	17.0 	7.8 	2.2 	10.4 	1.6 	-3.7 	7.9 	-5.7 	-0.2 
PC_GDP,NCO,F3,LIAB,S11,LV	0.0 	0.0 	0.0 	0.0 	0.0 	-0.1 	0.0 	0.0 	1.5 	-0.4 	0.5 	0.0 	0.1 	-0.6 	0.4 	-0.7 	0.1 	1.8 	0.0 	0.0 	0.3 	0.1 	-0.2 
PC_GDP,NCO,F3,LIAB,S11,MT	1.4 e	0.5 e	0.6 e	2.3 e	0.8 e	0.4 e	-0.1 e	-0.3 e	0.2 e	-1.0 	0.5 	-0.6 	0.2 	-0.4 	0.3 	-0.3 	0.0 	-0.2 	-0.5 	0.7 	0.5 	2.0 	0.0 
PC_GDP,NCO,F3,LIAB,S11,NL	-0.3 	0.3 	0.2 	0.0 	1.6 	5.6 	1.5 	-0.8 	-1.3 	-0.8 	-0.1 	0.4 	0.2 	0.7 	2.2 	-0.1 	0.5 	1.3 	0.1 	-0.5 	1.1 	4.6 	0.5 p
PC_GDP,NCO,F3,LIAB,S11,PL	0.1 	0.2 	0.2 	1.2 	0.6 	0.9 	0.4 	-0.8 	-0.1 	-0.1 	-0.4 	-0.4 	1.2 	-0.4 	-0.2 	1.1 	0.7 	1.0 	0.8 	1.5 	0.5 	0.9 	-0.1 
PC_GDP,NCO,F3,LIAB,S11,PT	0.6 	0.8 	0.3 	0.8 	2.4 	0.3 	1.9 	2.0 	-1.3 	0.9 	3.0 	1.2 	3.0 	2.6 	0.6 	0.9 	-0.2 	1.2 	2.1 	-2.4 	-0.3 	-0.3 	1.0 
PC_GDP,NCO,F3,LIAB,S11,RO	0.0 e	0.0 e	0.0 e	0.0 	-0.1 	-0.6 	0.5 	0.9 	0.0 	-0.2 	0.2 	7.0 	14.2 	10.3 	5.5 	0.0 	0.3 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,NCO,F3,LIAB,S11,SE	-0.4 	-0.2 	1.1 	0.1 	1.4 	2.0 	1.3 	-0.5 	-1.4 	-0.8 	0.6 	-0.3 	2.1 	0.8 	2.5 	-1.2 	0.5 	2.0 	1.1 	0.9 	1.2 	1.1 	3.3 
PC_GDP,NCO,F3,LIAB,S11,SI	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.2 	0.0 	0.1 	0.4 	0.5 	-0.1 	0.2 	0.0 	1.0 	0.0 	0.0 	0.2 	0.1 	0.8 	0.2 	-0.6 	0.2 
PC_GDP,NCO,F3,LIAB,S11,SK	4.7 	4.0 	6.1 	1.4 	1.1 	0.5 	-1.0 	0.4 	0.4 	1.4 	-0.1 	-0.1 	0.0 	0.0 	-0.2 	0.7 	-0.3 	0.1 	2.9 	2.7 	-0.1 	1.8 	1.0 
PC_GDP,NCO,F3,LIAB,S11,UK	1.6 	0.8 	1.6 	2.1 	4.0 	3.9 	1.3 	2.0 	1.4 	0.2 	1.2 	0.8 	0.7 	1.1 	1.6 	0.8 	1.7 	0.4 	1.5 	0.7 	1.2 	1.4 	1.0 
