na_item,nace_r2,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SAL_DC,TOTAL,THS_PER,IE	1079.82 	1128.88 	1174.72 	1222.10 	1310.95 	1381.40 	1431.43 	1458.80 	1491.23 	1540.25 	1629.80 	1718.80 	1780.25 	1757.48 	1616.85 	1544.49 	1522.76 b	1515.93 	1557.53 	1604.28 	1665.55 	1733.16 	1799.18 
SAL_DC,TOTAL,THS_PER,IT	15872.10 	15942.20 	16002.40 	16147.20 	16372.30 	16664.70 	17046.90 	17414.60 	17622.50 	17666.10 	17960.20 	18357.30 	18639.70 	18769.70 	18543.90 	18342.10 	18425.50 	18394.00 	18081.20 	18108.70 	18299.00 	18669.30 	19070.70 
SAL_DC,TOTAL,THS_PER,LT	1205.58 	1152.78 	1151.95 	1190.72 	1169.32 	1123.84 	1078.42 	1112.65 	1132.86 	1146.90 	1174.57 	1173.50 	1233.66 	1259.63 	1158.73 	1111.08 	1119.95 	1133.89 	1139.70 	1158.18 	1171.00 	1193.30 	1191.70 
SAL_DC,TOTAL,THS_PER,LU	198.57 	203.81 	211.11 	221.09 	232.43 	245.71 	260.05 	268.04 	273.03 	279.40 	287.23 	299.07 	312.76 	328.06 	331.38 	337.41 	347.41 	355.95 	362.36 	371.49 	381.01 	392.57 	406.46 
SAL_DC,TOTAL,THS_PER,LV	788.85 	793.23 	828.54 	825.47 	810.66 	783.33 	795.34 	816.28 	831.11 	834.26 	854.76 	901.86 	944.41 	944.56 	797.53 	744.29 	756.98 	767.25 	783.08 	773.05 	775.48 	770.46 	772.52 
SAL_DC,TOTAL,THS_PER,MT	127.30 	129.69 	130.41 	130.24 	131.20 	129.08 	132.26 	132.21 	131.16 	131.45 	132.90 	135.02 	137.80 	141.21 	140.60 	143.39 	148.07 	151.05 	157.52 	166.19 	172.85 	179.97 	189.54 
SAL_DC,TOTAL,THS_PER,NL	5953.00 	6096.00 	6301.00 	6519.00 	6762.00 	6941.00 	7114.00 	7168.00 	7135.00 	7023.00 	7057.00 	7191.00 	7397.00 	7531.00 	7459.00 	7397.00 	7444.00 	7400.00 	7286.00 	7245.00 	7315.00 	7419.00 p	7604.00 p
SAL_DC,TOTAL,THS_PER,PL	: 	: 	: 	: 	: 	10534.80 	10206.60 	9879.50 	9890.80 	10077.00 	10433.70 	10947.40 	11592.40 	12151.40 	12218.10 	11876.40 b	11953.80 	12055.00 	12100.50 	12371.90 	12575.10 	12738.20 p	12965.70 p
SAL_DC,TOTAL,THS_PER,PT	3592.31 	3636.76 	3735.36 	3856.25 	3941.86 	4028.61 	4090.76 	4132.89 	4088.21 	4102.18 	4103.31 	4141.61 	4166.57 	4190.81 	4091.67 	4066.19 	3985.29 	3795.33 	3711.07 	3786.95 	3876.31 	3967.96 	4112.05 p
SAL_DC,TOTAL,THS_PER,RO	6752.20 	6716.00 	6689.70 	6227.40 	5971.00 	5881.80 	5786.30 	6137.60 	5900.10 	6407.50 	6162.10 	6411.60 	6436.50 	6512.90 	6241.70 	6026.60 	6138.60 	5906.70 b	5897.40 	5991.50 	6167.40 	6286.10 	6493.90 p
SAL_DC,TOTAL,THS_PER,SE	3847.80 	3819.20 	3768.10 	3836.40 	3917.70 	4022.90 	4123.60 	4134.20 	4127.70 	4091.20 	4103.20 	4170.50 	4268.10 	4320.70 	4207.30 	4244.30 	4350.60 	4390.20 	4436.00 	4506.30 	4582.30 	4687.50 	4806.30 
SAL_DC,TOTAL,THS_PER,SI	745.65 	735.26 	718.25 	718.95 	730.29 	747.53 	755.90 	766.40 	767.46 	771.72 	770.01 	782.55 	810.73 	832.88 	810.64 	788.66 	772.70 	762.51 	741.85 	746.06 	756.16 	772.60 	797.90 
SAL_DC,TOTAL,THS_PER,SK	1940.87 	1979.92 	1949.67 	1926.79 	1863.82 	1822.63 	1827.84 	1820.99 	1825.02 	1783.02 	1802.53 	1834.45 	1861.89 	1899.69 	1837.58 	1808.70 	1854.19 	1864.17 	1854.61 	1895.52 	1942.82 	1997.80 	2049.76 
SAL_DC,TOTAL,THS_PER,UK	22133.09 	22429.81 	22956.05 	23348.30 	23762.96 	24118.98 	24316.51 	24508.16 	24558.26 	24811.52 	25112.58 	25294.53 	25454.97 	25681.44 	25197.14 	25143.32 	25215.99 	25363.27 	25670.18 	26078.99 	26604.17 	26837.94 	27146.03 
