unit,partner,geo\time	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,COMM,AT	46 	41 	48 	51 	42 	49 	43 	45 	48 	44 	46 	41 	37 	40 	42 	51 	34 	40 	45 
PC,COMM,BE	53 	57 	61 	64 	55 	68 	61 	68 	67 	64 	58 	64 	55 	54 	56 	47 	49 	53 	58 
PC,COMM,BG	: 	: 	: 	: 	: 	50 	48 	51 	46 	51 	59 	57 	49 	39 	50 	46 	41 	47 	51 
PC,COMM,CY	: 	: 	: 	: 	: 	59 	57 	55 	57 	53 	56 	49 	42 	34 	21 	25 	21 	28 	41 
PC,COMM,CZ	: 	: 	: 	: 	: 	51 	53 	59 	57 	54 	59 	50 	40 	43 	42 	37 	27 	30 	35 
PC,COMM,DE	33 	36 	42 	47 	40 	44 	43 	42 	46 	43 	43 	39 	32 	39 	34 	36 	34 	41 	49 
PC,COMM,DK	57 	64 	68 	69 	58 	53 	51 	55 	61 	53 	55 	61 	55 	62 	56 	56 	53 	50 	58 
PC,COMM,EE	: 	: 	: 	: 	: 	58 	48 	59 	57 	58 	62 	62 	47 	55 	57 	47 	42 	45 	47 
PC,COMM,EL	49 	51 	54 	56 	60 	61 	58 	68 	69 	56 	58 	31 	28 	20 	20 	23 	20 	19 	23 
PC,COMM,ES	54 	62 	59 	59 	55 	57 	48 	49 	53 	52 	50 	37 	29 	23 	23 	26 	26 	30 	38 
PC,COMM,EU28	44 	46 	50 	53 	46 	52 	46 	48 	50 	47 	46 	44 	36 	40 	35 	38 	35 	38 	42 
PC,COMM,FI	47 	46 	52 	55 	51 	58 	48 	54 	53 	57 	57 	54 	53 	56 	53 	55 	50 	58 	59 
PC,COMM,FR	50 	49 	54 	58 	50 	54 	44 	47 	54 	45 	39 	42 	33 	42 	32 	34 	30 	31 	36 
PC,COMM,HR	: 	: 	: 	: 	: 	48 	44 	43 	39 	37 	34 	40 	38 	37 	43 	41 	48 	43 	42 
PC,COMM,HU	: 	: 	: 	: 	: 	64 	58 	60 	61 	56 	54 	64 	51 	54 	50 	51 	49 	48 	53 
PC,COMM,IE	60 	63 	64 	67 	61 	66 	60 	60 	60 	50 	51 	46 	32 	40 	41 	39 	40 	51 	52 
PC,COMM,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	40 	: 	47 	54 	: 	: 	: 
PC,COMM,IT	63 	61 	62 	65 	60 	60 	57 	52 	50 	49 	51 	51 	40 	40 	32 	33 	33 	31 	39 
PC,COMM,LT	: 	: 	: 	: 	: 	62 	51 	59 	53 	55 	49 	55 	45 	56 	51 	58 	56 	58 	58 
PC,COMM,LU	52 	60 	67 	74 	61 	67 	63 	63 	55 	57 	59 	64 	56 	56 	55 	57 	58 	63 	57 
PC,COMM,LV	: 	: 	: 	: 	: 	41 	42 	46 	39 	38 	38 	42 	35 	40 	39 	45 	36 	43 	45 
PC,COMM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47 	: 	39 	42 	45 	45 	: 
PC,COMM,MK	: 	: 	: 	: 	: 	: 	: 	: 	53 	45 	48 	41 	32 	37 	39 	41 	38 	42 	: 
PC,COMM,MT	: 	: 	: 	: 	: 	59 	60 	57 	60 	59 	55 	49 	41 	49 	52 	55 	50 	52 	51 
PC,COMM,NL	48 	52 	59 	60 	52 	57 	51 	54 	59 	62 	61 	61 	47 	53 	47 	54 	50 	51 	56 
PC,COMM,PL	: 	: 	: 	: 	: 	51 	46 	58 	61 	47 	48 	53 	48 	58 	47 	48 	42 	50 	45 
PC,COMM,PT	62 	52 	58 	58 	56 	61 	65 	60 	59 	53 	61 	52 	41 	44 	31 	43 	42 	45 	45 
PC,COMM,RO	: 	: 	: 	: 	: 	59 	62 	62 	60 	55 	58 	54 	51 	50 	47 	59 	56 	51 	50 
PC,COMM,SE	38 	35 	45 	45 	44 	47 	42 	53 	49 	52 	49 	55 	46 	54 	53 	51 	50 	54 	60 
PC,COMM,SI	: 	: 	: 	: 	: 	64 	56 	73 	61 	61 	46 	51 	40 	47 	39 	40 	30 	33 	36 
PC,COMM,SK	: 	: 	: 	: 	: 	61 	57 	66 	62 	63 	64 	66 	52 	53 	51 	47 	41 	43 	44 
PC,COMM,TR	: 	: 	: 	: 	: 	39 	33 	32 	17 	19 	18 	11 	16 	20 	28 	14 	34 	27 	: 
PC,COMM,UK	24 	24 	35 	31 	26 	39 	26 	25 	22 	27 	21 	21 	14 	24 	18 	25 	24 	29 	29 
PC,ECB,AT	46 	45 	54 	58 	52 	50 	53 	55 	57 	57 	58 	50 	46 	49 	47 	50 	41 	45 	45 
PC,ECB,BE	44 	46 	55 	55 	46 	68 	58 	65 	62 	64 	55 	57 	51 	44 	48 	41 	46 	49 	52 
PC,ECB,BG	: 	: 	: 	: 	: 	50 	41 	48 	39 	49 	49 	52 	46 	50 	47 	44 	39 	46 	47 
PC,ECB,CY	: 	: 	: 	: 	: 	54 	50 	46 	51 	49 	53 	50 	44 	34 	16 	24 	19 	23 	36 
PC,ECB,CZ	: 	: 	: 	: 	: 	47 	49 	55 	54 	57 	52 	54 	47 	46 	49 	39 	31 	35 	38 
PC,ECB,DE	46 	45 	56 	59 	50 	55 	56 	60 	61 	56 	52 	50 	37 	39 	37 	35 	35 	33 	39 
PC,ECB,DK	39 	48 	60 	57 	50 	61 	63 	64 	68 	71 	67 	66 	64 	68 	60 	58 	60 	56 	58 
PC,ECB,EE	: 	: 	: 	: 	: 	54 	43 	53 	51 	58 	56 	61 	45 	51 	51 	46 	41 	43 	46 
PC,ECB,EL	35 	42 	48 	47 	52 	52 	55 	62 	53 	51 	42 	29 	22 	17 	16 	21 	17 	18 	21 
PC,ECB,ES	45 	48 	50 	52 	43 	51 	38 	42 	42 	50 	44 	37 	29 	17 	19 	20 	22 	24 	35 
PC,ECB,EU28	44 	43 	50 	49 	44 	50 	47 	48 	49 	48 	44 	43 	36 	37 	34 	34 	33 	34 	39 
PC,ECB,FI	48 	50 	59 	57 	58 	68 	57 	62 	67 	72 	72 	63 	62 	59 	64 	62 	58 	67 	70 
PC,ECB,FR	45 	43 	48 	44 	38 	45 	35 	37 	45 	44 	38 	35 	30 	37 	29 	30 	28 	29 	34 
PC,ECB,HR	: 	: 	: 	: 	: 	40 	37 	36 	37 	39 	37 	41 	36 	34 	38 	36 	43 	36 	37 
PC,ECB,HU	: 	: 	: 	: 	: 	49 	42 	44 	45 	48 	41 	49 	39 	43 	41 	37 	40 	39 	47 
PC,ECB,IE	50 	54 	61 	61 	57 	52 	52 	53 	52 	52 	51 	45 	26 	31 	36 	32 	34 	45 	44 
PC,ECB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56 	45 	44 	56 	: 	: 	: 	: 
PC,ECB,IT	50 	51 	57 	55 	46 	48 	44 	40 	40 	45 	46 	44 	37 	35 	31 	28 	30 	28 	35 
PC,ECB,LT	: 	: 	: 	: 	: 	54 	43 	53 	46 	50 	43 	48 	43 	49 	47 	54 	54 	58 	52 
PC,ECB,LU	50 	59 	70 	72 	63 	64 	64 	62 	59 	60 	60 	62 	53 	55 	58 	49 	54 	57 	54 
PC,ECB,LV	: 	: 	: 	: 	: 	36 	34 	41 	37 	40 	33 	38 	33 	36 	39 	43 	35 	42 	44 
PC,ECB,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	43 	44 	: 	: 	: 	: 
PC,ECB,MK	: 	: 	: 	: 	: 	: 	: 	: 	44 	47 	42 	41 	37 	37 	44 	: 	: 	: 	: 
PC,ECB,MT	: 	: 	: 	: 	: 	52 	55 	53 	53 	59 	62 	51 	40 	48 	54 	56 	49 	51 	47 
PC,ECB,NL	75 	65 	67 	61 	60 	72 	65 	71 	76 	79 	67 	58 	59 	58 	50 	57 	55 	52 	63 
PC,ECB,PL	: 	: 	: 	: 	: 	36 	31 	40 	45 	40 	38 	43 	41 	50 	41 	39 	34 	38 	36 
PC,ECB,PT	53 	51 	54 	54 	54 	59 	63 	59 	48 	52 	51 	46 	39 	37 	28 	37 	38 	44 	41 
PC,ECB,RO	: 	: 	: 	: 	: 	39 	44 	49 	46 	45 	47 	45 	44 	42 	41 	53 	51 	43 	44 
PC,ECB,SE	43 	43 	52 	52 	48 	53 	50 	59 	56 	62 	56 	60 	56 	53 	56 	54 	55 	57 	61 
PC,ECB,SI	: 	: 	: 	: 	: 	56 	47 	63 	63 	62 	49 	49 	37 	43 	35 	36 	28 	31 	32 
PC,ECB,SK	: 	: 	: 	: 	: 	52 	50 	54 	55 	65 	58 	68 	57 	52 	55 	50 	42 	43 	46 
PC,ECB,TR	: 	: 	: 	: 	: 	31 	23 	31 	18 	20 	22 	14 	11 	21 	21 	: 	: 	: 	: 
PC,ECB,UK	23 	21 	29 	25 	25 	41 	26 	27 	26 	28 	21 	22 	18 	24 	19 	24 	23 	28 	29 
PC,PARL,AT	52 	46 	55 	58 	50 	56 	49 	50 	51 	47 	54 	47 	42 	48 	47 	52 	35 	42 	48 
PC,PARL,BE	57 	64 	68 	69 	58 	70 	62 	67 	68 	65 	62 	65 	58 	58 	59 	50 	52 	59 	60 
PC,PARL,BG	: 	: 	: 	: 	: 	57 	55 	55 	58 	57 	65 	60 	59 	61 	55 	52 	45 	49 	54 
PC,PARL,CY	: 	: 	: 	: 	: 	64 	60 	57 	59 	55 	57 	51 	45 	39 	28 	32 	29 	34 	44 
PC,PARL,CZ	: 	: 	: 	: 	: 	60 	56 	62 	61 	58 	60 	57 	45 	46 	45 	41 	31 	31 	38 
PC,PARL,DE	48 	47 	55 	58 	50 	55 	53 	52 	52 	47 	48 	45 	39 	45 	41 	43 	36 	48 	54 
PC,PARL,DK	51 	50 	58 	59 	55 	60 	58 	62 	70 	63 	64 	67 	60 	67 	60 	59 	58 	51 	60 
PC,PARL,EE	: 	: 	: 	: 	: 	62 	49 	59 	61 	61 	65 	62 	53 	57 	57 	49 	45 	48 	50 
PC,PARL,EL	61 	60 	62 	61 	67 	66 	62 	70 	77 	59 	60 	38 	32 	28 	28 	32 	26 	28 	30 
PC,PARL,ES	62 	71 	63 	64 	62 	64 	52 	51 	62 	57 	53 	39 	33 	25 	23 	28 	27 	33 	41 
PC,PARL,EU28	53 	53 	57 	59 	54 	57 	51 	52 	55 	51 	50 	48 	41 	44 	39 	42 	38 	42 	45 
PC,PARL,FI	53 	51 	55 	57 	58 	63 	52 	56 	53 	59 	61 	54 	56 	57 	54 	59 	54 	61 	63 
PC,PARL,FR	54 	55 	59 	62 	54 	59 	49 	50 	58 	52 	44 	46 	40 	47 	38 	38 	33 	34 	39 
PC,PARL,HR	: 	: 	: 	: 	: 	52 	47 	46 	40 	39 	36 	41 	39 	40 	44 	45 	53 	46 	50 
PC,PARL,HU	: 	: 	: 	: 	: 	68 	62 	65 	67 	59 	60 	68 	56 	57 	58 	52 	51 	50 	53 
PC,PARL,IE	66 	66 	70 	71 	63 	70 	60 	66 	63 	54 	54 	50 	53 	43 	42 	43 	45 	54 	54 
PC,PARL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54 	44 	46 	52 	59 	: 	: 	: 
PC,PARL,IT	70 	71 	72 	74 	69 	63 	61 	56 	53 	53 	54 	55 	45 	43 	36 	39 	40 	38 	42 
PC,PARL,LT	: 	: 	: 	: 	: 	66 	55 	60 	57 	57 	52 	57 	51 	56 	53 	61 	60 	61 	59 
PC,PARL,LU	58 	66 	75 	75 	66 	71 	68 	63 	65 	64 	66 	64 	60 	60 	59 	58 	60 	64 	62 
PC,PARL,LV	: 	: 	: 	: 	: 	45 	44 	47 	44 	41 	41 	45 	38 	43 	40 	48 	41 	44 	47 
PC,PARL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52 	43 	41 	43 	46 	47 	: 
PC,PARL,MK	: 	: 	: 	: 	: 	: 	: 	: 	57 	49 	45 	44 	39 	40 	40 	42 	41 	44 	: 
PC,PARL,MT	: 	: 	: 	: 	: 	58 	63 	59 	63 	64 	58 	53 	48 	55 	54 	58 	55 	54 	54 
PC,PARL,NL	53 	54 	62 	65 	59 	63 	53 	58 	61 	58 	60 	63 	50 	55 	47 	53 	50 	52 	58 
PC,PARL,PL	: 	: 	: 	: 	: 	51 	49 	59 	60 	52 	51 	57 	51 	60 	51 	52 	43 	51 	43 
PC,PARL,PT	66 	56 	59 	59 	56 	64 	67 	61 	63 	57 	63 	55 	44 	46 	33 	44 	43 	48 	49 
PC,PARL,RO	: 	: 	: 	: 	: 	65 	68 	64 	72 	63 	65 	60 	61 	55 	49 	60 	59 	55 	56 
PC,PARL,SE	43 	44 	54 	51 	52 	55 	48 	58 	57 	57 	57 	60 	59 	58 	56 	56 	59 	59 	65 
PC,PARL,SI	: 	: 	: 	: 	: 	66 	61 	73 	63 	62 	46 	49 	43 	48 	37 	41 	30 	32 	38 
PC,PARL,SK	: 	: 	: 	: 	: 	70 	65 	71 	70 	70 	71 	76 	58 	54 	56 	50 	41 	46 	46 
PC,PARL,TR	: 	: 	: 	: 	: 	41 	36 	34 	20 	19 	27 	14 	14 	21 	30 	21 	41 	34 	: 
PC,PARL,UK	28 	28 	37 	34 	31 	39 	27 	25 	25 	27 	25 	23 	18 	24 	20 	27 	26 	32 	32 
