unit,co_nco,sector,finpos,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,S12,LIAB,F,PL	54.3 	57.5 	62.7 	74.1 	81.1 	79.8 	86.6 	84.5 	93.8 	98.6 	111.3 	128.3 	136.8 	134.9 	137.8 	148.6 	143.7 	153.0 	161.6 	156.7 	153.4 	161.8 	160.9 
PC_GDP,NCO,S12,LIAB,F,PT	220.3 	242.7 	272.2 	290.0 	321.1 	332.6 	341.3 	334.8 	362.8 	370.5 	393.7 	427.7 	446.6 	457.6 	507.9 	552.3 	538.6 	546.8 	511.9 	465.7 	440.9 	423.8 	413.3 
PC_GDP,NCO,S12,LIAB,F,RO	111.3 e	87.2 e	55.8 e	49.8 	46.8 	42.0 	44.2 	48.9 	48.1 	62.6 	78.7 	89.1 	97.6 	88.7 	105.1 	109.7 	108.1 	106.5 	100.6 	96.9 	94.6 	93.9 	90.7 
PC_GDP,NCO,S12,LIAB,F,SE	240.8 	252.5 	276.8 	299.7 	316.0 	340.4 	333.1 	325.7 	339.2 	362.0 	410.0 	421.2 	433.5 	472.6 	503.7 	483.2 	478.0 	500.3 	533.7 	577.5 	554.8 	581.0 	594.5 
PC_GDP,NCO,S12,LIAB,F,SI	78.7 	84.2 	92.3 	95.6 	99.0 	106.7 	120.2 	133.7 	138.5 	143.2 	159.6 	168.2 	194.1 	191.7 	216.6 	208.8 	202.6 	205.7 	183.7 	176.7 	164.7 	163.7 	161.5 
PC_GDP,NCO,S12,LIAB,F,SK	202.0 	196.3 	183.9 	173.2 	172.0 	162.0 	162.9 	150.3 	144.2 	139.3 	150.9 	124.1 	139.3 	141.7 	144.5 	139.1 	133.5 	130.7 	130.3 	138.1 	147.1 	155.5 	175.5 
PC_GDP,NCO,S12,LIAB,F,UK	455.9 	468.5 	528.0 	558.0 	567.4 	614.2 	626.4 	615.5 	656.9 	809.3 	892.7 	938.9 	1045.2 	1496.0 	1276.2 	1326.5 	1414.1 	1324.0 	1175.9 	1177.4 	1047.6 	1126.8 	1068.4 
PC_GDP,NCO,S12,LIAB,F1,AT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.7 	0.7 	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 
PC_GDP,NCO,S12,LIAB,F1,BE	0.2 	0.3 	0.3 	0.2 	0.3 	0.3 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	1.3 	1.4 	1.4 	1.3 	1.2 	1.3 	1.3 	1.3 	1.2 
PC_GDP,NCO,S12,LIAB,F1,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 	0.7 	0.8 	0.7 	0.7 	0.7 	0.7 	0.4 	0.3 
PC_GDP,NCO,S12,LIAB,F1,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.5 
PC_GDP,NCO,S12,LIAB,F1,DE	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 
PC_GDP,NCO,S12,LIAB,F1,DK	0.1 	0.1 	0.2 	0.2 	0.2 	0.0 	0.2 	0.1 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.7 	0.7 	0.7 	0.7 	0.6 	0.6 	0.0 	0.0 	0.0 
PC_GDP,NCO,S12,LIAB,F1,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.3 
PC_GDP,NCO,S12,LIAB,F1,EL	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.0 	0.0 	0.0 
PC_GDP,NCO,S12,LIAB,F1,ES	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
