na_item,sector,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B9,S13,PC_GDP,AT	-2.5 	-1.4 	-1.5 	-5.3 	-4.4 	-2.6 	-2.2 	-2.0 	-2.7 	-1.0 	-1.6 	-0.8 
B9,S13,PC_GDP,BE	0.2 	0.1 	-1.1 	-5.4 	-4.0 	-4.2 	-4.2 	-3.1 	-3.1 	-2.5 	-2.4 	-0.9 
B9,S13,PC_GDP,BG	1.8 	1.1 	1.6 	-4.1 	-3.1 	-2.0 	-0.3 	-0.4 	-5.4 	-1.7 	0.2 	1.1 
B9,S13,PC_GDP,CY	-1.0 	3.2 	0.9 	-5.4 	-4.7 	-5.7 	-5.6 	-5.1 	-9.0 	-1.3 	0.3 	1.8 
B9,S13,PC_GDP,CZ	-2.2 	-0.7 	-2.0 	-5.5 	-4.2 	-2.7 	-3.9 	-1.2 	-2.1 	-0.6 	0.7 	1.5 
B9,S13,PC_GDP,DE	-1.7 	0.2 	-0.2 	-3.2 	-4.2 	-1.0 	0.0 	-0.1 	0.6 	0.8 	0.9 	1.0 
B9,S13,PC_GDP,DK	5.0 	5.0 	3.2 	-2.8 	-2.7 	-2.1 	-3.5 	-1.2 	1.1 	-1.5 	-0.4 	1.1 
B9,S13,PC_GDP,EA18	-1.5 	-0.7 	-2.2 	-6.2 	-6.2 	-4.2 	-3.7 	-3.1 	-2.5 	-2.1 	-1.6 	-1.0 
B9,S13,PC_GDP,EA19	-1.5 	-0.7 	-2.2 	-6.2 	-6.2 	-4.2 	-3.7 	-3.1 	-2.5 	-2.0 	-1.6 	-1.0 
B9,S13,PC_GDP,EE	2.9 	2.7 	-2.7 	-2.2 	0.2 	1.2 	-0.3 	-0.2 	0.7 	0.1 	-0.3 	-0.4 
B9,S13,PC_GDP,EL	-5.9 	-6.7 	-10.2 	-15.1 	-11.2 	-10.3 	-8.9 	-13.2 	-3.6 	-5.6 	0.5 	0.8 
B9,S13,PC_GDP,ES	2.2 	1.9 	-4.4 	-11.0 	-9.4 	-9.6 	-10.5 	-7.0 	-6.0 	-5.3 	-4.5 	-3.1 
B9,S13,PC_GDP,EU27	-1.6 	-0.9 	-2.5 	-6.6 	-6.4 	-4.6 	-4.3 	-3.3 	-2.9 	-2.3 	-1.7 	-1.0 
B9,S13,PC_GDP,EU28	-1.6 	-0.9 	-2.5 	-6.6 	-6.4 	-4.6 	-4.3 	-3.3 	-2.9 	-2.3 	-1.7 	-1.0 
B9,S13,PC_GDP,FI	3.9 	5.1 	4.2 	-2.5 	-2.6 	-1.0 	-2.2 	-2.6 	-3.2 	-2.8 	-1.7 	-0.7 
B9,S13,PC_GDP,FR	-2.4 	-2.6 	-3.3 	-7.2 	-6.9 	-5.2 	-5.0 	-4.1 	-3.9 	-3.6 	-3.5 	-2.7 
B9,S13,PC_GDP,HR	-3.4 	-2.4 	-2.8 	-6.0 	-6.3 	-7.9 	-5.3 	-5.3 	-5.1 	-3.4 	-0.9 	0.9 
B9,S13,PC_GDP,HU	-9.3 	-5.0 	-3.7 	-4.5 	-4.5 	-5.4 	-2.4 	-2.6 	-2.6 	-1.9 	-1.6 	-2.2 
B9,S13,PC_GDP,IE	2.8 	0.3 	-7.0 	-13.8 	-32.0 	-12.8 	-8.1 	-6.1 	-3.6 	-1.9 	-0.5 	-0.2 
B9,S13,PC_GDP,IT	-3.5 	-1.5 	-2.6 	-5.2 	-4.2 	-3.7 	-2.9 	-2.9 	-3.0 	-2.6 	-2.5 	-2.4 
B9,S13,PC_GDP,LT	-0.3 	-0.8 	-3.1 	-9.1 	-6.9 	-8.9 	-3.1 	-2.6 	-0.6 	-0.3 	0.3 	0.5 
B9,S13,PC_GDP,LU	1.9 	4.2 	3.3 	-0.7 	-0.7 	0.5 	0.3 	1.0 	1.3 	1.3 	1.6 	1.4 
B9,S13,PC_GDP,LV	-0.5 	-0.5 	-4.2 	-9.1 	-8.7 	-4.3 	-1.2 	-1.2 	-1.5 	-1.4 	0.1 	-0.6 
B9,S13,PC_GDP,MT	-2.5 	-2.1 	-4.2 	-3.2 	-2.4 	-2.4 	-3.5 	-2.4 	-1.7 	-1.0 	0.9 	3.5 
B9,S13,PC_GDP,NL	0.1 	-0.1 	0.2 	-5.1 	-5.2 	-4.4 	-3.9 	-2.9 	-2.2 	-2.0 	0.0 	1.2 
B9,S13,PC_GDP,PL	-3.6 	-1.9 	-3.6 	-7.3 	-7.3 	-4.8 	-3.7 	-4.1 	-3.7 	-2.7 	-2.2 	-1.4 
B9,S13,PC_GDP,PT	-4.3 	-3.0 	-3.8 	-9.8 	-11.2 	-7.4 	-5.7 	-4.8 	-7.2 	-4.4 	-2.0 	-3.0 
B9,S13,PC_GDP,RO	-2.1 	-2.7 	-5.4 	-9.1 	-6.9 	-5.4 	-3.7 	-2.2 	-1.3 	-0.7 	-2.9 	-2.9 
B9,S13,PC_GDP,SE	2.2 	3.4 	1.9 	-0.7 	0.0 	-0.2 	-1.0 	-1.4 	-1.6 	0.2 	1.1 	1.6 
B9,S13,PC_GDP,SI	-1.2 	-0.1 	-1.4 	-5.8 	-5.6 	-6.7 	-4.0 	-14.7 	-5.5 	-2.8 	-1.9 	0.1 
B9,S13,PC_GDP,SK	-3.6 	-1.9 	-2.4 	-7.8 	-7.5 	-4.3 	-4.3 	-2.7 	-2.7 	-2.6 	-2.2 	-0.8 
B9,S13,PC_GDP,UK	-2.8 	-2.6 	-5.2 	-10.1 	-9.3 	-7.5 	-8.1 	-5.4 	-5.4 	-4.2 	-2.9 	-1.8 
