na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B1GQ,CLV10_MNAC,AT	219275.7 	224427.7 	229126.3 	237332.3 	245772.6 	254069.2 	257288.7 	261538.0 	264000.3 	271221.0 	277307.4 	286885.7 	297579.1 	301925.0 	290558.8 	295896.6 	304545.1 	306617.4 	306695.6 	308723.7 	312252.3 	318620.9 	326748.6 
B1GQ,CLV10_MNAC,BE	269628.9 	273925.2 	284088.9 	289700.5 	300023.5 	310925.2 	313448.6 	319029.5 	321500.1 	333186.1 	340163.9 	348688.9 	360715.1 	363540.1 	355348.9 	365100.5 	371666.1 	372538.7 	373286.3 	377969.8 	384458.3 	390181.7 	396787.0 
B1GQ,CLV10_MNAC,BG	52404.2 	57211.0 	47435.3 	49754.2 	45570.8 	47742.6 	49542.6 	52484.2 	55190.4 	58742.1 	62926.6 	67252.4 	72191.7 	76539.0 	73794.2 	74771.3 	76203.1 	76226.7 	76603.2 	78010.8 	80718.7 	83896.4 	87093.9 
B1GQ,CLV10_MNAC,CY	11397.9 	11540.2 	11844.9 	12568.8 	13197.0 	13984.2 	14536.9 	15078.1 	15473.7 	16251.4 	17040.1 	17843.3 	18753.0 	19436.9 	19045.2 	19299.5 	19377.4 	18819.7 	17728.3 	17495.8 	17839.1 	18697.5 p	19488.7 p
B1GQ,CLV10_MNAC,CZ	2655338.0 	2767468.0 	2751011.0 	2741968.0 	2781256.0 	2899925.0 	2984277.0 	3033592.0 	3142892.0 	3297100.0 	3512515.0 	3753246.0 	3963527.0 	4069840.0 	3874383.0 	3962464.0 	4032910.0 	4000653.0 	3981303.0 	4089400.0 	4306516.0 	4412049.0 	4601132.0 
B1GQ,CLV10_MNAC,DE	2145061.9 	2162606.3 	2202597.2 	2246200.2 	2290835.3 	2358690.9 	2398681.8 	2398681.8 	2381653.4 	2409518.0 	2426546.4 	2516332.5 	2598378.4 	2626501.1 	2478921.7 	2580060.0 	2674490.2 	2687648.5 	2700806.8 	2759632.2 	2807621.3 	2870574.8 	2932496.2 
B1GQ,CLV10_MNAC,DK	1445828.0 	1487758.0 	1536272.0 	1570349.0 	1616643.0 	1677217.0 	1691023.0 	1698909.0 	1705536.0 	1751043.0 	1791959.0 	1862078.0 	1879009.0 	1869388.0 	1777666.0 	1810926.0 	1835134.0 	1839290.0 	1856457.0 	1886520.0 	1916829.0 	1954477.0 	1998976.0 
B1GQ,CLV10_MNAC,EE	7933.4 	8355.7 	9341.6 	9726.2 	9642.9 	10662.0 	11336.8 	12025.6 	12917.5 	13730.6 	15017.7 	16560.3 	17843.4 	16876.4 	14391.4 	14716.5 	15834.6 	16516.6 	16836.5 	17322.8 	17652.0 	18267.9 	19155.1 
B1GQ,CLV10_MNAC,EL	158776.5 	163320.9 	170644.5 	177291.0 	182738.4 	189901.3 	197747.3 	205504.7 	217412.7 	228416.0 	229784.5 	242772.9 	250720.7 	249880.4 	239133.7 	226031.4 	205389.1 p	190394.7 p	184223.2 p	185586.1 p	184773.5 p	184420.7 p	187196.4 p
B1GQ,CLV10_MNAC,ES	710450.0 	729453.0 	756367.0 	788936.0 	824318.0 	867917.0 	902643.0 	928638.0 	958239.0 	988584.0 	1025389.0 	1068190.0 	1108450.0 	1120839.0 	1080783.0 	1080935.0 	1070139.0 	1038808.0 	1021089.0 	1035180.0 	1072909.0 	1106948.0 p	1139926.0 p
