age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,PC_ACT,F,AT	5.9 	5.6 	5.3 	4.4 	5.1 	4.6 	4.6 	4.8 	5.3 	5.4 	5.3 	5.6 	5.0 
TOTAL,PC_ACT,F,BE	9.5 	9.3 	8.5 	7.6 	8.1 	8.5 	7.2 	7.4 	8.2 	7.9 	7.8 	7.6 	7.1 b
TOTAL,PC_ACT,F,BG	10.0 	9.4 	7.4 	5.8 	6.7 	9.6 d	10.1 	10.8 	11.8 	10.4 	8.4 	7.0 	6.0 
TOTAL,PC_ACT,F,CY	6.5 	5.4 	4.6 	4.3 	5.5 	6.4 	7.7 	11.1 	15.2 	15.1 	14.8 	13.4 	11.3 
TOTAL,PC_ACT,F,CZ	9.8 	8.8 	6.7 	5.6 	7.7 	8.5 	7.9 	8.2 	8.3 	7.4 	6.1 	4.7 	3.6 
TOTAL,PC_ACT,F,DE	10.9 d	10.1 	8.7 	7.6 	7.2 	6.5 	5.6 	5.2 	4.9 	4.6 	4.2 	3.8 	3.3 
TOTAL,PC_ACT,F,DK	5.3 	4.5 d	4.2 	3.7 	5.3 	6.5 	7.5 	7.5 	7.3 	6.8 	6.4 	6.6 	5.9 
TOTAL,PC_ACT,F,EA18	10.2 	9.6 	8.6 	8.4 	9.8 	10.3 	10.4 	11.6 	12.2 	11.8 	11.1 	10.4 	9.5 
TOTAL,PC_ACT,F,EA19	10.2 	9.5 	8.5 	8.4 	9.8 	10.4 	10.5 	11.6 	12.2 	11.8 	11.0 	10.4 	9.5 
TOTAL,PC_ACT,F,EE	6.9 	5.6 	3.8 	5.1 d	10.3 	14.1 	11.6 	9.1 	8.2 	6.8 	6.1 	6.1 	5.3 
TOTAL,PC_ACT,F,EL	15.4 	13.8 	12.9 	11.5 	13.3 	16.4 	21.5 	28.2 	31.4 	30.2 	28.9 	28.1 	26.1 
TOTAL,PC_ACT,F,ES	12.0 	11.4 	10.7 	12.8 	18.1 	20.2 	21.8 	25.1 	26.7 	25.4 	23.6 	21.4 	19.0 
