s_adj,sectpart,sector10,bop_item,stk_flow,partner,unit,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT	154.0 	-2310.0 	-1186.0 	-1908.0 	-65.0 	-2351.0 	-1562.0 	-1188.0 	-497.0 	-1972.0 	-1574.0 	-721.0 	-238.6 	-1627.0 	-1206.1 	-766.5 	-261.0 	-2091.0 	-1592.0 	-860.0 	794.0 	-1429.0 	-778.0 	-538.0 	518.0 	-1973.0 	-602.0 	-208.0 	2790.0 	-360.0 	692.0 	1187.0 	2659.0 	-407.0 	104.0 	1115.0 	3334.0 	590.0 	176.0 	762.0 	3479.0 	44.0 	-18.0 	2244.0 	3809.0 	623.0 	172.0 	3314.0 	4828.0 	1563.0 	912.0 	3521.0 	6079.0 	1584.0 	2161.0 	3204.0 	3943.0 	65.0 	407.0 	2940.0 	4802.0 	615.0 	544.0 	2662.0 	2762.0 	-295.0 	-949.0 	3209.0 	2280.0 	-356.0 	392.0 	1960.0 	3572.0 	276.0 	310.0 	1647.0 	1847.0 	-209.0 	929.0 	5329.0 	3932.0 	191.0 	-995.0 	1016.0 	5114.0 	362.0 	2310.0 	666.0 	4311.0 	65.0 	325.0 	2261.0 	5181.0 	937.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	526.5 	5875.0 	-22.2 	2650.5 	1717.8 	5459.1 	176.3 	2023.0 	942.2 	7168.8 	-1987.3 	-355.3 	-827.4 	4816.7 	-485.6 	2561.8 	1403.0 	7073.9 	-1008.5 	-1995.9 	3730.0 	3014.0 	-7138.0 	-4999.0 	-2641.0 	2317.0 	-3393.0 	-688.0 	-1871.0 	7493.0 	517.0 	-561.0 	-1484.0 	3559.0 	-5003.0 	-1555.0 	-659.0 	5998.0 	-3094.0 	-132.0 	-2579.0 	-541.0 	-182.0 	1646.0 	-614.0 	251.0 	-4376.0 	343.0 	-2474.0 	9.0 	-1532.0 	-152.0 	2480.0 	587.0 	-3529.0 	-1691.0 	869.0 	1220.0 	1319.0 	162.0 	1196.0 	-2386.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-68.6 	159.6 	221.3 	-366.5 	-452.1 	-315.0 	55.5 	-440.6 	-653.5 	-150.6 	165.1 	-800.3 	-472.4 	-327.3 	-102.8 	-770.0 	-373.0 	-228.0 	801.0 	-1027.7 	-597.2 	-831.3 	657.0 	-1170.1 	-842.8 	-776.5 	960.3 	-1618.7 	-1100.2 	-1058.9 	-324.1 	-2382.9 	-2332.5 	-1617.6 	: 	: 	-3821.5 	-3199.6 	-2472.1 	-6803.3 	-3400.9 	-4556.4 	-2046.1 	-5448.4 	-2131.9 	-2088.5 	641.5 	-1560.2 	-695.8 	-821.6 	2808.0 	-2000.2 	-77.8 	194.6 	2074.6 	-939.8 	-790.6 	-505.2 	2111.6 	-447.6 	-774.7 	1208.9 	2205.4 	-674.3 	-251.7 	561.3 	2483.6 	121.4 	284.4 	800.7 	2638.2 	-971.4 	828.3 	1389.7 	3022.2 	-712.6 	721.2 	1550.8 	5425.6 	-74.6 	-250.5 	603.4 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-753.0 	-636.0 	-228.0 	-1290.0 	-486.0 	-353.0 	28.0 	-558.0 	-663.0 	-556.0 	-251.0 	-647.0 	-726.0 	14.0 	154.0 	-171.0 	-659.0 	-190.0 	277.0 	-555.0 	-461.0 	-159.0 	257.0 	-278.0 	-548.0 	248.0 	-140.0 	-174.0 	15.0 	-134.0 	321.0 	-414.0 	126.0 	-445.0 	384.0 	-965.0 	-773.0 	83.0 	290.0 	-1140.0 	-120.0 	-223.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,CZ	-5457.0 	-8975.0 	-2367.0 	-19354.0 	-17351.0 	-24228.0 	-33247.0 	-37024.0 	-32247.0 	-33292.0 	-23222.0 	-23957.0 	-9701.0 	77.0 	-4466.0 	-26336.0 	-12247.0 	-6652.0 	-5009.0 	-26763.0 	-17334.0 	-19374.0 	-24641.0 	-43723.0 	-29869.0 	-30822.0 	-34269.0 	-29849.0 	-21526.0 	-25392.0 	-45317.0 	-44262.0 	-6897.0 	-38154.0 	-49494.0 	-66155.0 	-5864.0 	-31425.0 	-48692.0 	-42613.0 	22614.0 	-28242.0 	-25326.0 	-13511.0 	30874.0 	-36613.0 	-26410.0 	-43064.0 	18327.0 	-60540.0 	-67806.0 	-45169.0 	36022.0 	-35378.0 	-14267.0 	-35608.0 	27595.0 	-43356.0 	-28947.0 	6781.0 	29749.0 	-15529.0 	-90148.0 	-28252.0 	36277.0 	-82764.0 	-23773.0 	-1829.0 	25964.0 	-4896.0 	-42019.0 	10648.0 	17090.0 	-154.0 	27263.0 	16455.0 	103211.0 	-36720.0 	-36289.0 	10001.0 	124078.0 	4301.0 	-40456.0 	25256.0 	138049.0 	11681.0 	-7118.0 	-14883.0 	98498.0 	-359.0 	-26352.0 	28827.0 	57140.0 	7232.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,DE	-5801.0 	-7051.0 	-10661.0 	-2332.0 	-3657.0 	-5381.0 	-8474.0 	2211.0 	-8048.0 	-2675.0 	-4980.0 	5274.0 	-4678.4 	-2190.0 	-7812.2 	-185.1 	-9010.0 	-4114.0 	-13927.0 	-3106.0 	-4262.0 	-7886.0 	-10512.0 	-9278.0 	-3667.0 	-6502.0 	-9205.0 	8205.0 	8717.0 	6817.0 	9836.0 	12274.0 	5336.0 	3333.0 	6286.0 	22313.0 	25467.0 	27748.0 	18191.0 	29679.0 	26374.0 	25627.0 	20849.0 	30546.0 	30239.0 	28885.0 	27291.0 	48217.0 	42232.0 	38361.0 	37764.0 	49684.0 	42738.0 	37981.0 	26617.0 	35089.0 	26602.0 	28749.0 	33925.0 	50100.0 	35188.0 	29777.0 	31441.0 	49703.0 	42453.0 	32880.0 	38352.0 	51811.0 	46561.0 	44262.0 	48503.0 	53851.0 	41981.0 	45966.0 	41654.0 	59927.0 	51509.0 	45434.0 	56137.0 	68824.0 	61495.0 	62371.0 	71901.0 	76168.0 	66384.0 	70828.0 	61358.0 	73709.0 	68196.0 	52846.0 	64048.0 	72382.0 	71326.0 	63842.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10662.0 	20181.0 	21740.0 	16124.0 	8464.0 	14447.0 	21150.0 	11920.0 	-9716.0 	8882.0 	11371.0 	14887.0 	-840.0 	19171.0 	21780.0 	12869.0 	5185.0 	18038.0 	16789.0 	19390.0 	17161.0 	29419.0 	37062.0 	35677.0 	26743.0 	31125.0 	37297.0 	32233.0 	13223.0 	37472.0 	37428.0 	31365.0 	21774.0 	42044.0 	43831.0 	41485.0 	26976.0 	41025.0 	53670.0 	51000.0 	35706.0 	39595.0 	47325.0 	38152.0 	27186.0 	46579.0 	40282.0 	52393.0 	40462.0 	50140.0 	43258.0 	40411.0 	17056.0 	28620.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,EE	-45.7 	-38.0 	29.7 	-62.2 	-75.5 	-46.1 	-50.1 	-136.6 	-120.8 	-71.8 	-115.8 	-190.8 	-135.3 	-109.8 	-99.4 	-86.3 	-72.6 	-73.4 	16.2 	-99.6 	-16.5 	-44.1 	-94.4 	-150.6 	-102.0 	-88.3 	-109.6 	-179.8 	-223.7 	-193.7 	-151.0 	-256.8 	-281.5 	-223.7 	-239.2 	-329.2 	-336.3 	-378.5 	-37.7 	-342.6 	-197.9 	-199.4 	-230.6 	-269.9 	-405.0 	-401.7 	-352.5 	-574.1 	-701.6 	-584.7 	-546.8 	-401.3 	-579.0 	-354.0 	-264.0 	-35.0 	16.0 	112.0 	317.0 	400.0 	15.0 	96.0 	344.0 	323.0 	51.7 	131.8 	358.9 	358.1 	52.7 	-34.9 	47.7 	191.6 	74.7 	192.9 	159.2 	163.0 	-132.8 	125.0 	132.6 	252.2 	47.2 	289.1 	260.1 	208.7 	-57.4 	221.6 	325.1 	161.2 	131.4 	146.0 	313.9 	389.3 	-44.8 	155.4 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4821.0 	-3782.0 	-1176.0 	-5846.0 	-7042.0 	-6264.0 	-1863.0 	-6815.0 	-9203.0 	-7819.0 	-3953.0 	-10034.0 	-8603.0 	-9063.0 	-5103.0 	-9708.0 	-7142.0 	-7131.0 	-3874.0 	-9160.0 	-10274.0 	-4766.0 	-2282.0 	-6336.0 	-6359.0 	-6024.0 	-1458.0 	-4202.0 	-4119.0 	-1918.0 	3513.0 	-2472.0 	-2658.0 	-1363.0 	5904.0 	-2525.0 	-315.0 	-1133.0 	3929.0 	-2887.0 	-2815.0 	-624.0 	5428.0 	-405.0 	-1951.0 	-731.0 	3708.0 	-2183.0 	-2639.0 	-409.0 	4492.0 	-2311.0 	-2725.0 	-1110.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,ES	-2381.0 	-912.0 	1199.0 	1967.0 	-1569.0 	-821.0 	1826.0 	1608.0 	-2048.0 	192.0 	1823.0 	505.0 	-1925.0 	-1165.0 	1371.0 	-2194.0 	-3134.0 	-3989.0 	-2703.0 	-3570.0 	-7155.0 	-5264.0 	-5913.0 	-5424.0 	-8272.0 	-5821.0 	-5564.0 	-6278.0 	-7134.0 	-4749.0 	-3928.0 	-5143.0 	-8173.0 	-4918.0 	-5962.0 	-3837.0 	-11234.0 	-9403.0 	-10155.0 	-9577.0 	-18206.0 	-14671.0 	-14841.0 	-14687.0 	-23077.0 	-19126.0 	-21176.0 	-21626.0 	-24683.0 	-23117.0 	-26228.0 	-25992.0 	-29155.0 	-25936.0 	-21670.0 	-21825.0 	-17367.0 	-7144.0 	-7289.0 	-11059.0 	-12715.0 	-9818.0 	-7962.0 	-6999.0 	-13727.0 	-5074.0 	-4535.0 	-6649.0 	-10536.0 	-40.0 	5039.0 	8310.0 	-1566.0 	7882.0 	6628.0 	9223.0 	-2162.0 	1748.0 	6137.0 	10543.0 	-1902.0 	4689.0 	6333.0 	10504.0 	227.0 	7445.0 	9259.0 	10857.0 	-958.0 	6376.0 	7207.0 	11571.0 	-1342.0 	2976.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,FI	617.2 	927.3 	910.1 	1609.7 	366.0 	1100.3 	1059.7 	1336.6 	520.2 	1223.4 	1840.1 	2195.7 	1087.8 	1281.9 	1796.3 	2065.1 	872.2 	1379.1 	1903.6 	2457.6 	2367.4 	1223.9 	3520.3 	3283.7 	3077.0 	1504.6 	3005.2 	4141.3 	2946.0 	1956.8 	3307.4 	4111.4 	1611.8 	950.9 	2070.9 	2532.6 	2270.7 	484.7 	2490.9 	4060.3 	1643.9 	-1089.2 	2182.6 	2535.8 	1722.3 	457.3 	2541.3 	1804.3 	1239.3 	-173.8 	3549.3 	2431.3 	1643.3 	-915.8 	1794.3 	1709.3 	154.8 	-770.3 	1006.8 	2734.8 	-323.5 	-453.5 	361.5 	2638.2 	-552.5 	-2021.5 	358.5 	-1017.5 	-2033.0 	-1379.0 	-75.0 	-855.0 	-1333.7 	-1543.7 	-603.8 	-856.7 	-1231.5 	-1760.5 	-529.5 	-44.5 	-956.0 	-1009.0 	609.0 	-100.0 	-589.0 	-1228.0 	887.0 	-575.0 	-733.0 	-1496.0 	422.0 	481.0 	-656.0 	-2021.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9672.0 	13718.0 	14588.0 	10832.0 	2085.0 	6387.0 	5527.0 	3766.0 	7325.0 	1311.0 	8663.0 	6326.0 	6930.0 	1161.0 	6671.0 	3599.0 	-2200.0 	-2107.0 	5070.0 	5076.0 	5365.0 	925.0 	5043.0 	-1005.0 	2180.0 	-388.0 	3815.0 	-3745.0 	1544.0 	-2272.0 	4966.0 	872.0 	5363.0 	-2659.0 	2304.0 	-5330.0 	-1784.0 	-10215.0 	2703.0 	-4217.0 	-2716.0 	-9801.0 	7225.0 	-5029.0 	-4335.0 	-8584.0 	3660.0 	-3144.0 	-13894.0 	-4588.0 	1425.0 	-790.0 	-10333.0 	-6979.0 	-2769.0 	-3464.0 	-8515.0 	-1740.0 	-1640.0 	1159.0 	-12659.0 	-13395.0 	1341.0 	2985.0 	-8433.0 	-13.0 	166.0 	-833.0 	-14201.0 	-2719.0 	-2517.0 	4104.0 	-17684.0 	-1819.0 	3274.0 	4228.0 	-12075.0 	-631.0 
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2810.0 	-3047.0 	6902.0 	-5159.0 	-4631.0 	-5914.0 	10061.0 	-4305.0 	-6903.0 	-3489.0 	6809.0 	-7785.0 	-8201.0 	-7360.0 	13755.0 	-11495.0 	-9848.0 	-5296.0 	14413.0 	-9749.0 	-10722.0 	-8472.0 	16218.0 	-11016.0 	-15501.0 	-9407.0 	15221.0 	-10870.0 	-14762.0 	-9688.0 	15350.0 	-14152.0 	-18448.0 	-13185.0 	13801.0 	-13343.0 	-13504.0 	-6488.0 	13527.0 	-10509.0 	-9509.0 	-376.0 	13860.0 	-7570.0 	-11764.0 	-2138.0 	18482.0 	-6931.0 	-12509.0 	-2379.0 	19588.0 	-5161.0 	-10295.0 	-1761.0 	21379.0 	-5857.0 	-10538.0 	-2507.0 	21732.0 	-955.0 	-9749.0 	32.0 	29752.0 	-2567.0 	-11074.0 	1860.0 	25798.0 	-2803.0 	-10492.0 	1689.0 	29059.0 	-3626.0 	-14081.0 	2872.0 
