unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_PRE_PERS_SCA,J,EMP_DC,NO	-1.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 	0.0 	1.1 	1.1 
PCH_PRE_PERS_SCA,J,EMP_DC,RO	-1.5 	17.7 	-5.3 	-11.0 	2.8 	7.6 	5.0 p	7.0 p	-0.6 p	-0.8 p	-2.6 p	9.2 p
PCH_PRE_PERS_SCA,J,EMP_DC,SE	-0.2 	1.4 	-1.4 	0.6 	-0.7 	-0.4 	1.3 	0.3 	1.2 	1.3 	0.8 	1.2 
PCH_PRE_PERS_SCA,J,EMP_DC,SI	0.9 	0.6 	0.0 	1.7 	1.9 	1.5 	0.0 	1.0 	0.7 	1.4 	1.1 	0.9 
PCH_PRE_PERS_SCA,J,EMP_DC,UK	-0.7 	-0.6 	-0.2 	2.5 	0.0 	-1.3 	2.4 	2.9 	-1.0 	-1.9 	2.0 	2.7 
PCH_PRE_PERS_SCA,K,EMP_DC,AT	0.0 	0.3 	0.7 	0.0 	-0.5 	-2.0 	-0.5 	-0.7 	-0.4 	1.2 	-0.7 	-0.6 
PCH_PRE_PERS_SCA,K,EMP_DC,BE	-0.2 	-0.3 	-0.4 	-0.3 	-0.3 	-0.5 	-0.6 	-0.3 	-0.6 	-0.3 	-0.4 	-0.5 
PCH_PRE_PERS_SCA,K,EMP_DC,BG	2.0 p	0.4 p	-1.4 p	0.5 p	0.3 p	0.1 p	-0.5 p	-0.4 p	0.7 p	0.2 p	1.0 p	-0.4 p
PCH_PRE_PERS_SCA,K,EMP_DC,CY	1.6 	0.8 	1.2 	0.6 	0.6 	0.6 	1.2 	1.1 	0.9 	1.0 	0.4 	0.5 
PCH_PRE_PERS_SCA,K,EMP_DC,DE	0.0 	-0.3 	-0.2 	-0.3 	-0.3 	-0.7 	-0.9 	-0.4 	-0.5 	-0.3 	-0.4 	-0.5 
PCH_PRE_PERS_SCA,K,EMP_DC,DK	0.0 	-1.3 	0.0 	-1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	1.3 	0.0 
PCH_PRE_PERS_SCA,K,EMP_DC,EA	-0.1 	-0.3 	0.2 	-0.1 	-0.1 	-0.2 	-0.5 	-0.2 	-0.3 	-0.4 	0.0 	-0.1 
PCH_PRE_PERS_SCA,K,EMP_DC,EA19	-0.1 	-0.3 	0.2 	-0.1 	-0.1 	-0.2 	-0.5 	-0.2 	-0.3 	-0.4 	0.0 	-0.1 
PCH_PRE_PERS_SCA,K,EMP_DC,EE	-3.2 	6.3 	0.2 	14.7 	-3.7 	1.0 	6.2 	0.4 	-1.5 	12.5 	-0.7 	15.2 
PCH_PRE_PERS_SCA,K,EMP_DC,ES	-2.0 	-1.3 	2.3 p	-0.9 p	1.0 p	1.0 p	-2.2 p	0.8 p	0.4 p	-1.4 p	1.2 p	-0.7 p
PCH_PRE_PERS_SCA,K,EMP_DC,EU28	-0.5 	-0.6 	0.3 	0.0 	0.1 	-0.3 	-0.4 	-0.2 	-0.2 	0.2 	0.3 	1.3 
PCH_PRE_PERS_SCA,K,EMP_DC,FI	0.4 	-1.8 	3.8 	-1.7 	-1.8 	-0.9 	0.9 	-1.3 	0.9 	-3.2 	1.9 	2.1 
PCH_PRE_PERS_SCA,K,EMP_DC,HR	6.0 d	-11.4 d	-0.9 d	4.9 d	2.7 d	6.5 d	1.9 d	21.6 d	-14.7 d	3.1 d	2.8 d	-0.3 d
PCH_PRE_PERS_SCA,K,EMP_DC,HU	-1.0 	-0.7 	0.0 	-0.7 	-0.1 	-0.8 	-2.6 	-0.7 	-0.6 	-0.4 	1.3 	0.2 
PCH_PRE_PERS_SCA,K,EMP_DC,IE	-2.7 	1.8 	3.0 	-0.5 	-0.4 	0.8 	-1.2 	0.0 	0.7 	-1.3 	1.1 	2.2 
PCH_PRE_PERS_SCA,K,EMP_DC,IT	0.1 	0.0 	0.1 	0.1 	-0.3 	-0.1 	-0.3 	-0.6 	-0.5 	-0.7 	-0.1 	0.9 
PCH_PRE_PERS_SCA,K,EMP_DC,LT	18.1 	-4.0 	-4.7 	-4.2 	6.8 	4.4 	-3.4 	6.8 	-3.2 	-9.3 	8.5 	1.8 
PCH_PRE_PERS_SCA,K,EMP_DC,LU	0.9 	0.8 	0.4 	0.6 	1.0 	0.8 	1.2 	0.7 	0.2 	0.8 	0.7 	0.9 
PCH_PRE_PERS_SCA,K,EMP_DC,LV	-0.6 	0.6 	3.1 	0.0 	0.0 	0.0 	0.0 	0.0 	-0.6 	-0.6 	0.0 	-1.8 
PCH_PRE_PERS_SCA,K,EMP_DC,NL	-0.4 	0.0 	-1.3 p	-0.5 p	0.0 p	-1.4 p	-1.8 p	-0.9 p	-0.5 p	-0.5 p	-1.4 p	0.0 p
PCH_PRE_PERS_SCA,K,EMP_DC,NO	0.0 	0.0 	0.0 	-2.0 	0.0 	0.0 	0.0 	0.0 	-2.1 	0.0 	0.0 	0.0 
PCH_PRE_PERS_SCA,K,EMP_DC,RO	1.3 	13.1 	-3.7 	-6.7 	5.4 	7.1 	0.6 p	-1.0 p	-0.1 p	-9.3 p	6.7 p	3.2 p
PCH_PRE_PERS_SCA,K,EMP_DC,SE	0.6 	-0.2 	-1.8 	1.8 	-1.8 	1.3 	2.2 	-1.8 	0.9 	0.4 	0.3 	-0.6 
PCH_PRE_PERS_SCA,K,EMP_DC,SI	-0.7 	-0.2 	-0.6 	-0.3 	-0.3 	-0.3 	-0.8 	-0.3 	-0.4 	-0.3 	-0.3 	0.0 
PCH_PRE_PERS_SCA,K,EMP_DC,UK	0.2 	-0.5 	0.4 	-0.9 	2.6 	-2.1 	-1.3 	0.4 	0.1 	0.1 	1.3 	8.4 
PCH_PRE_PERS_SCA,L,EMP_DC,AT	-0.7 	-1.5 	1.3 	0.6 	0.8 	1.0 	-2.8 	0.2 	0.4 	1.2 	-1.2 	1.2 
PCH_PRE_PERS_SCA,L,EMP_DC,BE	0.8 	0.8 	0.8 	0.8 	0.7 	1.5 	1.5 	0.7 	0.4 	0.0 	0.4 	1.1 
PCH_PRE_PERS_SCA,L,EMP_DC,BG	-0.3 p	-0.9 p	3.8 p	-3.7 p	3.0 p	-3.8 p	1.1 p	1.7 p	0.7 p	-0.3 p	-2.0 p	-0.9 p
PCH_PRE_PERS_SCA,L,EMP_DC,CY	0.9 	0.8 	1.9 	2.3 	1.1 	3.1 	1.1 	2.6 	2.3 	1.5 	1.2 	1.2 
PCH_PRE_PERS_SCA,L,EMP_DC,DE	0.0 	-0.2 	-0.2 	-0.4 	0.0 	0.4 	0.0 	0.4 	0.2 	0.4 	0.2 	0.0 
PCH_PRE_PERS_SCA,L,EMP_DC,DK	2.2 	0.0 	0.0 	0.0 	0.0 	2.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PCH_PRE_PERS_SCA,L,EMP_DC,EA	-0.2 	-0.1 	1.0 	0.9 	0.6 	0.0 	0.1 	0.8 	0.5 	0.2 	0.2 	0.8 
PCH_PRE_PERS_SCA,L,EMP_DC,EA19	-0.2 	-0.1 	1.0 	0.9 	0.6 	0.0 	0.1 	0.8 	0.5 	0.2 	0.2 	0.8 
PCH_PRE_PERS_SCA,L,EMP_DC,EE	-1.9 	-27.0 	72.3 	-1.1 	-20.2 	-4.6 	-2.2 	28.2 	-29.8 	3.9 	8.0 	-2.8 
PCH_PRE_PERS_SCA,L,EMP_DC,ES	1.1 	1.2 	2.5 p	-1.2 p	3.6 p	1.1 p	-0.3 p	0.1 p	1.9 p	1.4 p	0.9 p	3.5 p
PCH_PRE_PERS_SCA,L,EMP_DC,EU28	-0.9 	-0.7 	1.8 	-0.2 	-1.2 	0.3 	1.0 	-0.3 	0.5 	0.9 	1.3 	-0.6 
PCH_PRE_PERS_SCA,L,EMP_DC,FI	-2.8 	0.8 	2.0 	0.8 	-2.0 	-1.6 	0.8 	2.4 	1.6 	-2.3 	6.0 	-1.9 
PCH_PRE_PERS_SCA,L,EMP_DC,HR	-17.7 d	-74.9 d	170.2 d	109.7 d	-13.9 d	-51.4 d	68.5 d	-10.4 d	6.8 d	7.3 d	-8.8 d	-40.0 d
PCH_PRE_PERS_SCA,L,EMP_DC,HU	1.9 	-2.6 	2.5 	0.2 	1.0 	0.4 	-1.0 	-1.0 	0.0 	0.6 	2.7 	1.2 
PCH_PRE_PERS_SCA,L,EMP_DC,IE	-7.1 	-16.8 	13.7 	6.0 	-2.9 	3.1 	-1.1 	-8.7 	7.2 	-0.7 	-12.4 	7.9 
PCH_PRE_PERS_SCA,L,EMP_DC,IT	-2.6 	1.5 	-0.6 	5.7 	0.1 	-2.2 	2.1 	2.2 	1.9 	-2.0 	0.8 	-2.2 
PCH_PRE_PERS_SCA,L,EMP_DC,LT	3.4 	-3.9 	8.2 	0.1 	-8.0 	-12.2 	-5.1 	16.2 	15.2 	7.2 	-15.8 	5.7 
PCH_PRE_PERS_SCA,L,EMP_DC,LU	1.0 	-0.2 	0.6 	2.3 	1.8 	1.6 	-0.4 	0.9 	2.2 	4.0 	3.2 	1.1 
PCH_PRE_PERS_SCA,L,EMP_DC,LV	-0.9 	0.0 	0.5 	-2.3 	3.2 	-2.2 	0.0 	-0.5 	0.9 	-1.4 	1.8 	0.5 
PCH_PRE_PERS_SCA,L,EMP_DC,NL	-1.4 	0.0 	0.0 p	1.4 p	1.4 p	1.4 p	0.0 p	0.0 p	-1.4 p	0.0 p	1.4 p	1.4 p
PCH_PRE_PERS_SCA,L,EMP_DC,NO	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.8 	0.0 	0.0 	0.0 
PCH_PRE_PERS_SCA,L,EMP_DC,RO	-4.4 	-10.8 	-8.7 	10.2 	-1.0 	-3.8 	-20.6 p	-28.2 p	69.0 p	-6.0 p	-18.3 p	-2.0 p
PCH_PRE_PERS_SCA,L,EMP_DC,SE	1.2 	1.7 	-1.7 	2.7 	-1.8 	-0.8 	1.9 	-2.0 	1.8 	1.8 	0.1 	1.8 
PCH_PRE_PERS_SCA,L,EMP_DC,SI	-0.1 	0.1 	1.5 	1.8 	1.6 	1.9 	2.1 	1.7 	2.0 	2.0 	1.6 	1.6 
PCH_PRE_PERS_SCA,L,EMP_DC,UK	-0.8 	-1.2 	1.9 	-1.0 	-2.9 	-1.6 	6.1 	-2.4 	1.4 	3.0 	2.9 	-6.2 
PCH_PRE_PERS_SCA,M_N,EMP_DC,AT	0.4 	0.9 	0.5 	0.9 	0.8 	1.0 	0.8 	1.2 	1.1 	0.9 	0.7 	0.5 
PCH_PRE_PERS_SCA,M_N,EMP_DC,BE	0.9 	1.0 	0.4 	0.9 	1.2 	0.4 	0.7 	1.3 	0.9 	0.2 	0.7 	1.0 
PCH_PRE_PERS_SCA,M_N,EMP_DC,BG	3.2 p	-2.3 p	0.8 p	3.4 p	1.0 p	-0.3 p	0.3 p	0.3 p	0.4 p	-0.2 p	0.2 p	0.1 p
PCH_PRE_PERS_SCA,M_N,EMP_DC,CY	1.3 	1.5 	2.5 	1.8 	1.5 	1.6 	1.3 	1.8 	1.9 	1.8 	1.1 	1.4 
PCH_PRE_PERS_SCA,M_N,EMP_DC,DE	0.5 	0.5 	0.7 	0.8 	0.4 	0.8 	0.7 	0.5 	0.4 	0.4 	0.4 	0.2 
PCH_PRE_PERS_SCA,M_N,EMP_DC,DK	1.0 	1.0 	1.7 	0.3 	1.0 	0.6 	0.6 	0.6 	0.6 	0.6 	0.3 	0.6 
PCH_PRE_PERS_SCA,M_N,EMP_DC,EA	0.8 	0.6 	0.7 	0.6 	0.8 	0.5 	1.0 	0.7 	0.8 	0.8 	0.8 	0.7 
PCH_PRE_PERS_SCA,M_N,EMP_DC,EA19	0.8 	0.6 	0.7 	0.6 	0.8 	0.5 	1.0 	0.7 	0.8 	0.8 	0.8 	0.7 
PCH_PRE_PERS_SCA,M_N,EMP_DC,EE	1.3 	4.3 	-3.2 	3.2 	3.7 	-1.1 	9.6 	0.5 	2.6 	2.4 	0.7 	-0.4 
PCH_PRE_PERS_SCA,M_N,EMP_DC,ES	1.4 	0.5 	0.4 p	0.3 p	0.2 p	0.0 p	2.3 p	-0.1 p	0.2 p	0.0 p	0.1 p	1.9 p
PCH_PRE_PERS_SCA,M_N,EMP_DC,EU28	1.0 	0.8 	0.5 	0.8 	0.7 	0.7 	0.6 	0.9 	0.7 	0.7 	0.6 	1.1 
PCH_PRE_PERS_SCA,M_N,EMP_DC,FI	0.9 	0.1 	1.9 	0.7 	0.8 	1.0 	1.0 	-0.2 	0.6 	1.1 	0.8 	0.9 
PCH_PRE_PERS_SCA,M_N,EMP_DC,HR	-10.1 d	4.1 d	5.8 d	16.9 d	-3.4 d	-1.6 d	-7.0 d	1.3 d	3.1 d	5.1 d	4.5 d	2.4 d
PCH_PRE_PERS_SCA,M_N,EMP_DC,HU	1.8 	0.1 	-3.3 	8.7 	1.4 	-0.4 	-3.4 	8.2 	0.1 	-0.5 	-3.3 	9.3 
PCH_PRE_PERS_SCA,M_N,EMP_DC,IE	5.5 	-0.2 	-0.8 	1.2 	1.7 	1.5 	0.8 	0.4 	-1.0 	2.8 	4.2 	5.6 
PCH_PRE_PERS_SCA,M_N,EMP_DC,IT	0.7 	0.3 	0.8 	0.2 	1.0 	-0.4 	0.5 	0.3 	1.5 	1.2 	1.3 	1.2 
PCH_PRE_PERS_SCA,M_N,EMP_DC,LT	1.9 	0.9 	4.8 	-1.0 	0.4 	2.8 	0.5 	-2.2 	0.0 	6.1 	-1.4 	-0.6 
PCH_PRE_PERS_SCA,M_N,EMP_DC,LU	1.4 	1.6 	2.5 	1.3 	1.6 	1.5 	1.5 	1.2 	1.1 	1.5 	1.2 	1.6 
PCH_PRE_PERS_SCA,M_N,EMP_DC,LV	2.0 	-3.7 	-1.2 	1.4 	1.3 	-3.0 	2.4 	0.9 	1.3 	0.6 	0.6 	-1.0 
PCH_PRE_PERS_SCA,M_N,EMP_DC,NL	1.0 	1.1 	-0.1 p	1.3 p	1.0 p	1.1 p	0.8 p	1.0 p	1.2 p	1.4 p	1.5 p	0.4 p
PCH_PRE_PERS_SCA,M_N,EMP_DC,NO	-0.4 	-0.4 	-0.8 	0.8 	0.0 	1.2 	0.8 	1.2 	1.2 	0.8 	1.5 	1.1 
PCH_PRE_PERS_SCA,M_N,EMP_DC,RO	-0.9 	0.2 	-1.5 	0.5 	6.3 	-1.3 	-1.2 p	4.5 p	-0.8 p	2.7 p	1.1 p	-4.5 p
PCH_PRE_PERS_SCA,M_N,EMP_DC,SE	2.8 	0.6 	-0.1 	0.9 	0.6 	1.7 	-0.3 	1.5 	0.2 	1.2 	2.6 	1.1 
PCH_PRE_PERS_SCA,M_N,EMP_DC,SI	0.7 	0.3 	0.4 	0.9 	0.8 	1.3 	1.5 	1.3 	1.0 	0.7 	0.7 	0.5 
PCH_PRE_PERS_SCA,M_N,EMP_DC,UK	1.7 	1.3 	0.6 	1.0 	-0.9 	1.9 	-0.1 	0.0 	0.5 	1.1 	-0.2 	1.1 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,AT	0.5 	0.4 	0.3 	0.4 	0.5 	0.2 	0.2 	0.6 	0.0 	1.0 	0.7 	0.4 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,BE	0.2 	0.2 	0.3 	0.4 	0.3 	0.4 	0.3 	0.3 	0.1 	0.3 	0.2 	0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,BG	1.5 p	0.6 p	-0.6 p	-0.5 p	-0.1 p	0.3 p	-0.2 p	0.6 p	-1.1 p	1.5 p	0.3 p	-0.1 p
PCH_PRE_PERS_SCA,O-Q,EMP_DC,CY	0.3 	0.4 	0.2 	0.4 	0.1 	3.5 	-2.5 	0.1 	2.6 	-0.5 	-0.1 	0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,DE	0.5 	0.6 	0.5 	0.6 	0.6 	0.6 	0.3 	0.5 	0.5 	0.4 	0.6 	0.4 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,DK	0.1 	0.0 	-0.1 	0.2 	0.0 	0.0 	0.1 	0.2 	0.2 	0.2 	0.3 	0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,EA	0.3 	0.4 	0.3 	0.4 	0.3 	0.4 	0.3 	0.3 	0.3 	0.4 	0.3 	0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,EA19	0.3 	0.4 	0.3 	0.4 	0.3 	0.4 	0.3 	0.3 	0.3 	0.4 	0.3 	0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,EE	4.2 	-2.5 	-2.0 	1.8 	-5.3 	0.7 	-2.0 	-0.8 	1.5 	4.5 	-3.3 	0.1 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,ES	0.5 	0.6 	0.3 p	0.6 p	0.6 p	0.3 p	0.7 p	0.6 p	0.5 p	0.7 p	0.5 p	0.6 p
PCH_PRE_PERS_SCA,O-Q,EMP_DC,EU28	0.3 	0.4 	0.1 	0.2 	0.2 	0.3 	0.3 	0.3 	0.2 	0.4 	0.4 	0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,FI	0.4 	0.2 	-0.4 	0.1 	0.3 	-0.2 	0.4 	0.0 	0.1 	1.0 	0.7 	0.9 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,HR	-11.2 d	12.1 d	-1.2 d	0.9 d	-11.1 d	12.0 d	-0.7 d	0.5 d	0.7 d	0.4 d	0.3 d	3.1 d
PCH_PRE_PERS_SCA,O-Q,EMP_DC,HU	0.7 	0.2 	0.8 	0.7 	-0.5 	-0.3 	0.8 	-1.4 	-0.2 	-0.1 	-0.2 	-0.4 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,IE	1.1 	0.1 	-0.3 	0.9 	-0.3 	1.6 	0.8 	1.2 	1.0 	1.4 	0.7 	0.7 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,IT	0.2 	0.2 	0.2 	0.3 	0.2 	0.3 	0.3 	0.2 	0.2 	0.0 	-0.2 	-0.2 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,LT	1.7 	0.6 	2.8 	-1.6 	0.2 	-0.8 	-0.5 	0.2 	0.2 	0.3 	-2.4 	-0.5 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,LU	0.7 	0.5 	0.2 	0.7 	0.8 	0.9 	0.9 	1.0 	0.9 	1.1 	0.5 	1.0 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,LV	1.0 	0.4 	0.4 	-0.3 	0.4 	0.4 	0.3 	0.7 	-0.2 	-0.3 	0.6 	-0.4 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,NL	0.0 	-0.1 	-0.2 p	0.1 p	0.2 p	0.3 p	0.4 p	0.3 p	0.5 p	0.6 p	0.3 p	0.6 p
PCH_PRE_PERS_SCA,O-Q,EMP_DC,NO	0.3 	0.3 	0.4 	0.3 	0.5 	0.1 	0.2 	0.4 	0.0 	0.4 	0.3 	0.1 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,RO	-0.6 	-1.5 	-0.6 	2.6 	0.1 	-4.2 	2.1 p	6.2 p	-2.7 p	-1.7 p	-0.5 p	2.0 p
PCH_PRE_PERS_SCA,O-Q,EMP_DC,SE	0.7 	0.8 	1.2 	0.8 	0.9 	0.6 	0.5 	0.5 	0.3 	0.4 	0.3 	0.3 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,SI	0.3 	0.5 	0.5 	0.8 	0.7 	0.7 	0.7 	0.5 	0.6 	0.5 	0.5 	0.5 
PCH_PRE_PERS_SCA,O-Q,EMP_DC,UK	0.2 	0.0 	0.2 	-0.1 	0.2 	-0.3 	-0.2 	0.3 	-0.6 	0.6 	1.1 	-0.5 
PCH_PRE_PERS_SCA,R-U,EMP_DC,AT	0.0 	0.2 	0.1 	0.8 	0.4 	0.5 	0.7 	0.3 	0.0 	0.5 	-0.9 	0.3 
PCH_PRE_PERS_SCA,R-U,EMP_DC,BE	0.6 	0.4 	0.3 	0.4 	0.7 	0.3 	0.4 	0.4 	0.1 	-0.1 	0.5 	0.6 
PCH_PRE_PERS_SCA,R-U,EMP_DC,BG	2.2 p	-0.2 p	0.1 p	0.0 p	1.6 p	0.8 p	1.4 p	-0.8 p	-0.1 p	1.4 p	0.9 p	-0.2 p
PCH_PRE_PERS_SCA,R-U,EMP_DC,CY	0.1 	0.6 	1.2 	1.4 	1.0 	1.0 	0.6 	1.0 	1.1 	1.1 	0.9 	1.1 
PCH_PRE_PERS_SCA,R-U,EMP_DC,DE	0.1 	0.0 	0.2 	0.2 	0.3 	0.3 	0.5 	0.4 	0.3 	0.1 	0.2 	0.1 
PCH_PRE_PERS_SCA,R-U,EMP_DC,DK	0.0 	0.7 	0.0 	0.7 	0.6 	0.6 	1.9 	0.6 	0.0 	-0.6 	0.6 	0.6 
PCH_PRE_PERS_SCA,R-U,EMP_DC,EA	0.3 	0.8 	0.0 	-0.2 	-0.1 	0.3 	0.8 	0.5 	0.5 	-0.6 	0.1 	0.5 
PCH_PRE_PERS_SCA,R-U,EMP_DC,EA19	0.3 	0.8 	0.0 	-0.2 	-0.1 	0.3 	0.8 	0.5 	0.5 	-0.6 	0.1 	0.5 
PCH_PRE_PERS_SCA,R-U,EMP_DC,EE	9.2 	-4.0 	4.7 	6.2 	-8.1 	5.8 	-3.9 	-2.0 	6.5 	-3.4 	2.7 	3.5 
PCH_PRE_PERS_SCA,R-U,EMP_DC,ES	0.6 	0.9 	0.9 p	0.8 p	-0.5 p	-0.1 p	0.8 p	0.3 p	1.4 p	0.4 p	0.3 p	-1.2 p
PCH_PRE_PERS_SCA,R-U,EMP_DC,EU28	0.5 	0.7 	0.4 	0.0 	0.5 	0.1 	0.5 	0.8 	0.8 	-0.6 	0.6 	0.0 
PCH_PRE_PERS_SCA,R-U,EMP_DC,FI	-0.6 	-0.8 	1.5 	-1.5 	1.8 	-0.1 	-0.9 	0.4 	1.8 	0.3 	-0.2 	-0.3 
PCH_PRE_PERS_SCA,R-U,EMP_DC,HR	25.5 d	8.7 d	-2.8 d	-0.9 d	0.7 d	2.8 d	-8.2 d	4.8 d	-3.5 d	-0.2 d	2.3 d	0.1 d
PCH_PRE_PERS_SCA,R-U,EMP_DC,HU	2.2 	2.6 	-5.5 	2.2 	1.5 	1.0 	0.6 	0.9 	1.1 	1.1 	0.8 	1.6 
PCH_PRE_PERS_SCA,R-U,EMP_DC,IE	3.9 	2.2 	1.2 	3.1 	-2.3 	1.1 	-2.9 	0.5 	0.3 	1.2 	1.2 	-2.8 
PCH_PRE_PERS_SCA,R-U,EMP_DC,IT	0.4 	2.1 	-0.4 	-1.7 	-0.8 	0.6 	1.8 	0.7 	0.1 	-3.0 	-0.1 	3.0 
PCH_PRE_PERS_SCA,R-U,EMP_DC,LT	0.7 	12.1 	-1.5 	3.1 	-0.8 	2.2 	0.4 	1.8 	0.0 	-4.2 	6.3 	1.1 
PCH_PRE_PERS_SCA,R-U,EMP_DC,LU	0.6 	0.3 	-0.4 	0.3 	0.3 	0.9 	0.1 	0.9 	0.9 	0.9 	1.0 	0.6 
PCH_PRE_PERS_SCA,R-U,EMP_DC,LV	-0.9 	-5.3 	10.4 	1.6 	0.0 	-4.1 	-8.9 	12.1 	-0.9 	-9.3 	1.0 	-1.3 
PCH_PRE_PERS_SCA,R-U,EMP_DC,NL	1.1 	0.0 	0.3 p	-0.3 p	0.3 p	0.3 p	0.5 p	0.3 p	0.3 p	1.0 p	0.5 p	0.8 p
PCH_PRE_PERS_SCA,R-U,EMP_DC,NO	1.1 	0.0 	1.0 	0.0 	1.0 	1.0 	1.0 	1.0 	0.0 	1.0 	1.0 	0.0 
PCH_PRE_PERS_SCA,R-U,EMP_DC,RO	8.2 	4.0 	-3.0 	-2.0 	3.7 	2.6 	-7.7 p	2.9 p	3.2 p	-1.5 p	1.1 p	-7.9 p
PCH_PRE_PERS_SCA,R-U,EMP_DC,SE	1.3 	0.2 	-1.5 	3.1 	-0.5 	0.9 	0.6 	0.5 	0.1 	0.8 	0.7 	-0.3 
PCH_PRE_PERS_SCA,R-U,EMP_DC,SI	0.7 	0.8 	-1.3 	2.4 	1.4 	1.1 	-0.4 	1.2 	1.0 	0.8 	0.2 	1.4 
PCH_PRE_PERS_SCA,R-U,EMP_DC,UK	0.1 	0.1 	1.0 	0.0 	2.0 	0.1 	0.5 	0.1 	2.1 	0.0 	0.6 	-3.1 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,AT	0.2 	0.2 	0.3 	0.3 	0.6 	0.4 	0.4 	0.5 	0.3 	0.7 	0.5 	0.5 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,BE	0.3 	0.3 	0.2 	0.4 	0.5 	0.3 	0.3 	0.5 	0.3 	0.2 	0.4 	0.5 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,BG	0.1 p	0.1 p	0.3 p	0.5 p	-0.7 p	0.5 p	0.3 p	0.1 p	1.0 p	0.4 p	0.0 p	-0.2 p
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,CY	0.8 	0.9 	1.4 	1.1 	0.9 	1.6 	0.2 	1.0 	1.6 	1.0 	0.7 	1.0 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,DE	0.3 	0.3 	0.3 	0.4 	0.3 	0.4 	0.4 	0.3 	0.3 	0.3 	0.5 	0.2 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,DK	0.4 	0.4 	0.4 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,EA	0.4 	0.4 	0.3 	0.4 	0.3 	0.4 	0.5 	0.4 	0.4 	0.3 	0.4 	0.4 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,EA19	0.4 	0.4 	0.3 	0.4 	0.3 	0.4 	0.5 	0.4 	0.4 	0.3 	0.4 	0.4 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,EE	2.0 	-2.1 	0.4 	1.7 	-1.1 	-1.5 	3.3 	-0.4 	1.3 	1.5 	-1.4 	1.3 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,ES	0.7 	0.7 	0.7 p	0.5 p	0.6 p	0.5 p	0.8 p	0.6 p	0.6 p	0.4 p	0.5 p	0.7 p
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,EU28	0.4 	0.4 	0.2 	0.4 	0.3 	0.4 	0.5 	0.5 	0.3 	0.3 	0.5 	0.4 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,FI	0.1 	-0.2 	0.3 	0.1 	0.3 	-0.2 	0.5 	0.4 	0.2 	1.0 	0.8 	0.6 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,HR	0.3 d	0.0 d	0.0 d	0.5 d	-0.2 d	-0.1 d	-0.1 d	2.1 d	1.3 d	0.5 d	0.6 d	0.1 d
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,HU	0.9 	0.6 	1.1 	0.7 	0.4 	0.5 	0.5 	0.4 	0.4 	0.7 	0.7 	0.5 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,IE	0.8 	0.7 	1.0 	1.5 	0.6 	0.4 	1.1 	0.3 	0.8 	1.2 	0.7 	0.7 
PCH_PRE_PERS_SCA,TOTAL,EMP_DC,IT	0.6 	0.5 	0.3 	0.4 	-0.1 	0.4 	0.5 	0.2 	0.4 	-0.3 	0.2 	0.5 
