unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,EA19	0.2 	0.2 	0.2 	0.1 	0.2 	0.2 	0.4 	0.3 	0.4 	0.2 	0.5 	0.3 
PCH_PRE_PERS_SCA,B-E,EMP_DC,EE	1.0 	-2.7 	2.5 	-2.3 	0.6 	0.1 	1.0 	3.1 	1.9 	1.4 	0.1 	-2.3 
PCH_PRE_PERS_SCA,B-E,EMP_DC,ES	0.7 	0.4 	1.5 p	0.9 p	0.9 p	0.8 p	0.8 p	0.9 p	0.7 p	0.7 p	0.3 p	0.1 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,EU28	0.1 	0.3 	0.4 	0.4 	0.2 	0.3 	0.4 	0.4 	0.5 	0.2 	0.6 	0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,FI	0.5 	-0.4 	-0.5 	0.2 	0.2 	0.2 	-1.3 	1.7 	1.2 	0.7 	0.2 	-0.7 
PCH_PRE_PERS_SCA,B-E,EMP_DC,HR	-1.2 d	-1.9 d	-1.4 d	3.6 d	1.8 d	-2.5 d	2.0 d	-1.0 d	1.7 d	0.8 d	3.1 d	0.9 d
PCH_PRE_PERS_SCA,B-E,EMP_DC,HU	0.9 	1.2 	1.3 	0.3 	0.6 	0.7 	1.3 	0.7 	0.7 	0.4 	0.9 	0.3 
PCH_PRE_PERS_SCA,B-E,EMP_DC,IE	0.4 	-0.4 	2.1 	3.2 	1.4 	-1.4 	2.2 	-0.6 	1.0 	-1.1 	-0.8 	-1.7 
PCH_PRE_PERS_SCA,B-E,EMP_DC,IT	0.1 	0.9 	0.2 	-0.3 	0.1 	0.4 	0.1 	0.0 	0.7 	-0.4 	0.3 	0.8 
PCH_PRE_PERS_SCA,B-E,EMP_DC,LT	1.4 	2.1 	0.4 	-0.2 	0.8 	2.3 	0.4 	-1.2 	-0.4 	-1.7 	4.3 	2.3 
PCH_PRE_PERS_SCA,B-E,EMP_DC,LU	0.2 	0.3 	0.2 	0.1 	0.4 	0.2 	0.7 	0.2 	0.3 	0.5 	0.7 	0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,LV	0.2 	0.0 	0.3 	-0.3 	0.0 	0.1 	-0.2 	0.2 	0.0 	0.1 	0.1 	-0.7 
PCH_PRE_PERS_SCA,B-E,EMP_DC,NL	0.0 	-0.4 	0.2 p	0.0 p	0.0 p	0.4 p	0.1 p	0.1 p	0.4 p	0.4 p	0.5 p	0.8 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,NO	-0.9 	-1.5 	-1.8 	-0.9 	-1.2 	-0.9 	-0.6 	-0.3 	0.3 	0.3 	0.3 	0.0 
PCH_PRE_PERS_SCA,B-E,EMP_DC,RO	-1.0 	1.0 	2.4 	-1.6 	-0.1 	4.9 	-1.0 p	1.1 p	1.5 p	-0.3 p	-0.9 p	1.8 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,SE	-0.5 	0.4 	-0.7 	-0.6 	-1.2 	1.5 	0.7 	0.3 	0.3 	0.3 	0.2 	0.5 
PCH_PRE_PERS_SCA,B-E,EMP_DC,SI	0.6 	0.9 	0.3 	0.8 	0.5 	0.6 	0.7 	1.1 	1.1 	1.1 	1.3 	0.9 
