unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,CO,F3,LIAB,S11,AT	4.1 	3.5 	6.2 	6.2 	7.4 	8.1 	7.1 	6.6 	7.8 	8.8 	7.5 	7.2 	7.5 	7.3 	9.5 	9.8 	10.7 	11.6 	12.4 	12.3 	12.1 	12.3 	10.9 
PC_GDP,CO,F3,LIAB,S11,BE	3.0 	3.6 	3.7 	3.0 	3.1 	3.7 	3.6 	3.3 	3.7 	4.3 	3.2 	3.5 	4.0 	4.0 	12.3 	11.8 	12.3 	14.1 	13.8 	11.8 	12.9 	15.6 	14.7 
PC_GDP,CO,F3,LIAB,S11,BG	0.3 	1.3 	0.0 	0.0 	0.1 	0.9 	0.5 	0.3 	0.7 	0.8 	1.1 	3.3 	2.0 	2.1 	1.5 	1.4 	1.5 	1.3 	3.4 	3.2 	2.9 	4.0 	4.1 
PC_GDP,CO,F3,LIAB,S11,CY	0.4 	0.3 	0.3 	0.3 	0.4 	0.7 	0.6 	0.3 	0.4 	0.0 	0.1 	0.1 	0.0 	0.0 	0.1 	0.0 	0.4 	0.2 	0.5 	0.4 	0.0 	0.5 	0.5 
PC_GDP,CO,F3,LIAB,S11,CZ	2.7 	4.1 	3.9 	3.8 	4.6 	4.6 	4.2 	4.4 	4.0 	3.1 	2.2 	2.6 	2.8 	3.3 	4.8 	6.4 	6.1 	6.0 	7.6 	8.1 	6.9 	6.3 	6.5 
PC_GDP,CO,F3,LIAB,S11,DE	3.0 	2.7 	2.5 	2.3 	2.1 	2.5 	2.9 	3.2 	4.5 	4.6 	4.6 	4.5 	4.7 	5.1 	5.2 	5.2 	4.1 	4.7 	4.9 	5.1 	5.1 	5.8 	6.4 
PC_GDP,CO,F3,LIAB,S11,DK	6.1 	7.2 	7.9 	7.4 	7.1 	6.9 	7.2 	7.1 	6.9 	7.3 	7.8 	6.7 	5.6 	4.8 	6.4 	6.6 	7.2 	8.8 	8.9 	9.0 	8.7 	9.4 	8.9 
PC_GDP,CO,F3,LIAB,S11,EE	2.3 	3.9 	6.1 	5.9 	4.8 	2.6 	2.7 	6.2 	3.5 	3.2 	4.2 	3.2 	3.0 	4.4 	4.6 	4.2 	4.4 	6.3 	6.5 	6.9 	6.6 	6.2 	5.8 
PC_GDP,CO,F3,LIAB,S11,EL	0.7 	0.7 	0.8 	1.0 	0.6 	3.2 	3.1 	2.8 	2.9 	4.1 	5.5 	6.8 	8.4 	11.7 	11.3 	2.8 	1.4 	1.0 	0.2 	0.2 	0.2 	0.3 	0.4 
PC_GDP,CO,F3,LIAB,S11,ES	4.2 	3.8 	3.3 	2.9 	3.0 	2.2 	2.1 	1.6 	1.3 	1.3 	1.1 	1.1 	1.1 	1.2 	1.3 	1.2 	1.3 	1.6 	1.9 	1.7 	2.0 	2.3 	2.5 
PC_GDP,CO,F3,LIAB,S11,FI	5.2 	5.2 	5.8 	5.2 	5.6 	7.9 	9.1 	9.4 	10.4 	10.4 	11.3 	12.0 	11.9 	7.4 	11.4 	14.6 	14.1 	16.2 	17.8 	17.9 	15.5 	14.8 	13.7 
PC_GDP,CO,F3,LIAB,S11,FR	11.5 	12.1 	12.3 	13.0 	14.3 	15.8 	18.7 	17.8 	18.7 	17.7 	17.1 	16.0 	13.3 	14.1 	18.0 	19.1 	19.7 	23.1 	23.2 	26.9 	27.1 	28.7 	28.3 
PC_GDP,CO,F3,LIAB,S11,HR	: 	: 	: 	: 	: 	: 	0.9 	1.9 	1.7 	1.7 	1.5 	2.0 	3.0 	2.8 	3.3 	3.0 	3.1 	5.7 	5.4 	4.3 	4.7 	4.7 	3.5 
PC_GDP,CO,F3,LIAB,S11,HU	1.5 	1.4 	1.3 	1.1 	0.9 	0.7 	0.7 	0.7 	0.6 	0.4 	1.2 	1.3 	1.3 	1.3 	1.2 	2.0 	2.1 	2.2 	2.1 	2.1 	1.3 	2.0 	1.5 
