coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
CP04,I15,AT	103.45 	103.75 	103.91 	103.93 	103.88 	104.00 	104.03 	104.55 	104.74 	105.00 	105.22 r	105.49 
CP04,I15,BE	106.51 	107.47 	107.64 	107.71 	107.65 	107.50 	107.65 	108.68 	109.44 	110.20 	110.68 	111.31 
CP04,I15,BG	103.14 	103.52 	103.76 	104.06 	104.27 	104.38 	104.46 	104.52 	104.66 	105.92 	106.31 	106.62 
CP04,I15,CH	101.56 	101.55 	101.70 	102.44 	102.10 	102.17 	102.43 	102.67 	102.71 	102.79 	102.87 	103.05 
CP04,I15,CY	97.18 	98.04 	97.74 	99.04 	99.48 	99.76 	100.56 	101.66 	104.10 	104.76 	106.05 	109.45 
CP04,I15,CZ	100.7 	100.8 	100.8 	101.9 	101.9 	101.9 	102.0 	102.1 	102.8 	102.9 	103.2 	103.3 
CP04,I15,DE	101.1 	101.3 	101.5 	101.8 	101.7 	101.8 	102.1 	102.5 	102.5 	102.6 	102.9 	103.4 
CP04,I15,DK	101.5 	101.4 	101.0 	101.4 	101.8 	102.0 	102.2 	102.3 	102.5 	101.8 	102.0 	102.3 
CP04,I15,EA	101.29 	101.64 	101.77 	102.47 	102.52 	102.34 	102.20 	102.63 	102.72 	103.43 	103.62 	104.05 
CP04,I15,EA18	101.29 	101.64 	101.77 	102.46 	102.52 	102.34 	102.20 	102.64 	102.73 	103.44 	103.63 	104.06 
CP04,I15,EA19	101.29 	101.64 	101.77 	102.47 	102.52 	102.34 	102.20 	102.63 	102.72 	103.43 	103.62 	104.05 
CP04,I15,EE	101.61 	101.80 	101.19 	102.95 	104.19 	104.89 	103.90 	103.64 	106.64 	108.94 	109.26 	109.45 
CP04,I15,EL	97.31 	97.70 	97.56 	97.76 	97.52 	97.33 	97.74 	97.82 	97.85 	97.97 	97.99 	97.99 
CP04,I15,ES	100.12 	101.02 	101.17 	100.64 	101.02 	99.11 	99.03 	100.77 	101.29 	102.19 	102.84 	103.93 
CP04,I15,EU	101.60 	101.92 	102.04 	102.65 	102.73 	102.63 	102.58 	102.91 	103.10 	103.71 	103.92 	104.28 
CP04,I15,EU28	101.60 	101.92 	102.04 	102.65 	102.73 	102.63 	102.58 	102.91 	103.10 	103.71 	103.92 	104.28 
CP04,I15,FI	104.94 	105.10 	105.13 	105.62 	105.64 	105.73 	105.95 	106.10 	106.23 	106.83 	107.06 	107.26 
CP04,I15,FR	101.57 	101.88 	102.14 	103.26 	103.49 	103.27 	103.31 	103.62 	103.34 	103.90 	103.82 	104.07 
CP04,I15,HR	96.70 	96.93 	97.11 	97.58 	97.29 	97.12 	97.47 	98.09 	98.50 	98.65 	98.59 	99.12 
CP04,I15,HU	102.30 	102.50 	102.64 	102.88 	103.00 	103.08 	103.12 	103.20 	103.31 	103.49 	103.66 	103.91 
CP04,I15,IE	106.2 	107.1 	107.5 	107.8 	108.7 	109.2 	109.6 	110.3 	110.8 	111.2 	113.1 	113.7 
CP04,I15,IS	107.77 	107.80 	108.36 	109.92 	110.19 	110.28 	110.51 	110.74 	111.25 	111.61 	111.85 	112.29 
CP04,I15,IT	100.4 	100.5 	100.6 	102.4 	102.5 	102.5 	100.3 	100.2 	100.3 	102.7 	102.7 	102.8 
CP04,I15,LT	99.43 	100.54 	101.19 	103.90 	104.12 	104.22 	103.25 	101.43 	100.29 	99.88 	99.80 	102.13 
CP04,I15,LU	100.32 	100.89 	101.02 	101.92 	101.61 	101.65 	102.15 	102.70 	102.87 	103.30 	103.52 	104.40 
CP04,I15,LV	99.21 	99.59 	99.76 	101.07 	101.37 	101.82 	101.73 	101.87 	103.10 	103.57 	104.12 	104.08 
CP04,I15,MK	101.58 d	101.83 d	101.98 d	101.82 d	101.63 d	101.58 d	101.51 d	101.54 d	101.69 d	101.65 d	101.64 d	101.49 d
CP04,I15,MT	102.64 	102.63 	102.62 	102.31 	102.35 	102.39 	102.77 	102.83 	102.92 	103.05 	103.06 	103.20 
CP04,I15,NL	101.24 	101.45 	101.40 	103.46 	103.52 	103.57 	103.40 	103.39 	103.70 	105.77 	105.71 	105.88 
CP04,I15,NO	113.2 	116.6 	117.2 	118.9 	121.6 	124.2 	122.4 	120.4 	125.2 	128.6 	129.4 	129.5 
CP04,I15,PL	102.4 	102.7 	102.8 	103.1 	103.2 	103.1 	103.3 	103.4 	103.6 	103.8 	104.1 	104.4 
CP04,I15,PT	101.10 	101.25 	101.40 	102.50 	102.60 	102.64 	102.68 	102.96 	103.10 	103.23 	103.38 	103.57 
CP04,I15,RO	102.87 	103.46 	104.07 	105.90 	106.43 	106.63 	107.51 	107.63 	107.75 	107.09 	108.34 	108.55 
CP04,I15,RS	105.4 d	105.5 d	105.9 d	106.0 d	105.9 d	106.0 d	106.0 d	106.0 d	106.0 d	106.2 d	106.8 d	106.9 d
CP04,I15,SE	104.24 	105.11 	105.04 	106.05 	107.08 	108.00 	106.94 	106.34 	107.80 	109.46 	110.09 	110.19 
CP04,I15,SI	102.07 	103.10 	103.56 	104.44 	104.58 	104.43 	104.90 	105.22 	105.48 	105.75 	105.90 	107.65 
CP04,I15,SK	96.30 	96.38 	96.40 	97.35 	97.55 	97.65 	97.77 	97.81 	97.90 	98.04 	98.07 	98.37 
CP04,I15,TR	117.50 d	118.97 d	119.89 d	122.69 d	123.34 d	123.87 d	125.46 d	126.66 d	127.97 d	129.38 d	134.37 d	141.84 d
CP04,I15,UK	102.8 	102.9 	103.0 	103.1 	103.1 	103.2 	103.5 	103.5 	104.2 	104.6 	104.7 	: 
CP04,I15,US	106.18 d	106.36 d	106.78 d	107.21 d	107.67 d	107.60 d	107.61 d	108.13 d	108.94 d	109.10 d	109.51 d	109.32 d
CP04,PCH_M1,AT	0.3 	0.3 	0.2 	0.0 	0.0 	0.1 	0.0 	0.5 	0.2 	0.2 	0.2 	0.3 
CP04,PCH_M1,BE	0.8 	0.9 	0.2 	0.1 	-0.1 	-0.1 	0.1 	1.0 	0.7 	0.7 	0.4 	0.6 
CP04,PCH_M1,BG	0.4 	0.4 	0.2 	0.3 	0.2 	0.1 	0.1 	0.1 	0.1 	1.2 	0.4 	0.3 
CP04,PCH_M1,CH	0.2 	0.0 	0.1 	0.7 	-0.3 	0.1 	0.3 	0.2 	0.0 	0.1 	0.1 	0.2 
CP04,PCH_M1,CY	0.2 	0.9 	-0.3 	1.3 	0.4 	0.3 	0.8 	1.1 	2.4 	0.6 	1.2 	3.2 
CP04,PCH_M1,CZ	0.1 	0.1 	0.0 	1.1 	0.0 	0.0 	0.1 	0.1 	0.7 	0.1 	0.3 	0.1 
CP04,PCH_M1,DE	0.2 	0.2 	0.2 	0.3 	-0.1 	0.1 	0.3 	0.4 	0.0 	0.1 	0.3 	0.5 
CP04,PCH_M1,DK	0.6 	-0.1 	-0.4 	0.4 	0.4 	0.2 	0.2 	0.1 	0.2 	-0.7 	0.2 	0.3 
CP04,PCH_M1,EA	0.4 	0.3 	0.1 	0.7 	0.0 	-0.2 	-0.1 	0.4 	0.1 	0.7 	0.2 	0.4 
CP04,PCH_M1,EA18	0.4 	0.3 	0.1 	0.7 	0.1 	-0.2 	-0.1 	0.4 	0.1 	0.7 	0.2 	0.4 
CP04,PCH_M1,EA19	0.4 	0.3 	0.1 	0.7 	0.0 	-0.2 	-0.1 	0.4 	0.1 	0.7 	0.2 	0.4 
CP04,PCH_M1,EE	-0.9 	0.2 	-0.6 	1.7 	1.2 	0.7 	-0.9 	-0.3 	2.9 	2.2 	0.3 	0.2 
CP04,PCH_M1,EL	-0.5 	0.4 	-0.1 	0.2 	-0.2 	-0.2 	0.4 	0.1 	0.0 	0.1 	0.0 	0.0 
CP04,PCH_M1,ES	1.4 	0.9 	0.1 	-0.5 	0.4 	-1.9 	-0.1 	1.8 	0.5 	0.9 	0.6 	1.1 
CP04,PCH_M1,EU	0.4 	0.3 	0.1 	0.6 	0.1 	-0.1 	0.0 	0.3 	0.2 	0.6 	0.2 	0.3 
CP04,PCH_M1,EU28	0.4 	0.3 	0.1 	0.6 	0.1 	-0.1 	0.0 	0.3 	0.2 	0.6 	0.2 	0.3 
CP04,PCH_M1,FI	0.2 	0.2 	0.0 	0.5 	0.0 	0.1 	0.2 	0.1 	0.1 	0.6 	0.2 	0.2 
CP04,PCH_M1,FR	0.3 	0.3 	0.3 	1.1 	0.2 	-0.2 	0.0 	0.3 	-0.3 	0.5 	-0.1 	0.2 
CP04,PCH_M1,HR	0.3 	0.2 	0.2 	0.5 	-0.3 	-0.2 	0.4 	0.6 	0.4 	0.2 	-0.1 	0.5 
CP04,PCH_M1,HU	0.3 	0.2 	0.1 	0.2 	0.1 	0.1 	0.0 	0.1 	0.1 	0.2 	0.2 	0.2 
CP04,PCH_M1,IE	0.9 	0.8 	0.4 	0.3 	0.8 	0.5 	0.4 	0.6 	0.5 	0.4 	1.7 	0.5 
CP04,PCH_M1,IS	0.7 	0.0 	0.5 	1.4 	0.2 	0.1 	0.2 	0.2 	0.5 	0.3 	0.2 	0.4 
CP04,PCH_M1,IT	0.4 	0.1 	0.1 	1.8 	0.1 	0.0 	-2.1 	-0.1 	0.1 	2.4 	0.0 	0.1 
CP04,PCH_M1,LT	-1.6 	1.1 	0.6 	2.7 	0.2 	0.1 	-0.9 	-1.8 	-1.1 	-0.4 	-0.1 	2.3 
CP04,PCH_M1,LU	0.4 	0.6 	0.1 	0.9 	-0.3 	0.0 	0.5 	0.5 	0.2 	0.4 	0.2 	0.9 
CP04,PCH_M1,LV	0.0 	0.4 	0.2 	1.3 	0.3 	0.4 	-0.1 	0.1 	1.2 	0.5 	0.5 	0.0 
CP04,PCH_M1,MK	-0.1 d	0.2 d	0.1 d	-0.2 d	-0.2 d	0.0 d	-0.1 d	0.0 d	0.1 d	0.0 d	0.0 d	-0.1 d
CP04,PCH_M1,MT	0.0 	0.0 	0.0 	-0.3 	0.0 	0.0 	0.4 	0.1 	0.1 	0.1 	0.0 	0.1 
CP04,PCH_M1,NL	0.1 	0.2 	0.0 	2.0 	0.1 	0.0 	-0.2 	0.0 	0.3 	2.0 	-0.1 	0.2 
CP04,PCH_M1,NO	-0.7 	3.0 	0.5 	1.5 	2.3 	2.1 	-1.4 	-1.6 	4.0 	2.7 	0.6 	0.1 
CP04,PCH_M1,PL	0.5 	0.3 	0.1 	0.3 	0.1 	-0.1 	0.2 	0.1 	0.2 	0.2 	0.3 	0.3 
CP04,PCH_M1,PT	0.2 	0.1 	0.1 	1.1 	0.1 	0.0 	0.0 	0.3 	0.1 	0.1 	0.1 	0.2 
CP04,PCH_M1,RO	2.2 	0.6 	0.6 	1.8 	0.5 	0.2 	0.8 	0.1 	0.1 	-0.6 	1.2 	0.2 
CP04,PCH_M1,RS	0.8 d	0.1 d	0.4 d	0.1 d	-0.1 d	0.1 d	0.0 d	0.0 d	0.0 d	0.2 d	0.6 d	0.1 d
CP04,PCH_M1,SE	-0.5 	0.8 	-0.1 	1.0 	1.0 	0.9 	-1.0 	-0.6 	1.4 	1.5 	0.6 	0.1 
CP04,PCH_M1,SI	0.6 	1.0 	0.4 	0.8 	0.1 	-0.1 	0.5 	0.3 	0.2 	0.3 	0.1 	1.7 
CP04,PCH_M1,SK	0.1 	0.1 	0.0 	1.0 	0.2 	0.1 	0.1 	0.0 	0.1 	0.1 	0.0 	0.3 
CP04,PCH_M1,TR	0.9 d	1.3 d	0.8 d	2.3 d	0.5 d	0.4 d	1.3 d	1.0 d	1.0 d	1.1 d	3.9 d	5.6 d
CP04,PCH_M1,UK	0.3 	0.1 	0.1 	0.1 	0.0 	0.1 	0.3 	0.1 	0.6 	0.4 	0.1 	: 
CP04,PCH_M1,US	-0.6 d	0.2 d	0.4 d	0.4 d	0.4 d	-0.1 d	0.0 d	0.5 d	0.7 d	0.1 d	0.4 d	-0.2 d
CP04,PCH_M12,AT	1.9 	2.1 	1.9 	2.1 	1.8 	1.9 	2.0 	2.3 	2.5 	2.6 	2.6 	2.3 
CP04,PCH_M12,BE	3.2 	4.3 	3.2 	1.8 	1.3 	0.9 	1.7 	3.2 	4.2 	5.0 	5.0 	5.3 
CP04,PCH_M12,BG	3.9 	4.3 	4.5 	4.4 	4.4 	4.6 	3.2 	3.2 	3.3 	3.8 	3.9 	3.8 
CP04,PCH_M12,CH	1.4 	1.3 	1.1 	1.6 	1.4 	1.5 	1.6 	1.8 	1.9 	1.9 	1.7 	1.6 
CP04,PCH_M12,CY	2.0 	2.1 	0.2 	1.2 	0.0 	-1.5 	-0.8 	1.5 	4.0 	6.1 	7.1 	12.8 
CP04,PCH_M12,CZ	0.6 	0.6 	0.6 	1.2 	1.6 	1.6 	1.6 	1.7 	2.4 	2.5 	2.7 	2.7 
CP04,PCH_M12,DE	1.4 	1.7 	1.4 	1.4 	1.2 	1.4 	1.5 	2.0 	2.1 	2.1 	2.3 	2.5 
CP04,PCH_M12,DK	1.5 	1.0 	0.4 	0.8 	0.3 	0.3 	1.1 	1.5 	1.8 	1.2 	1.4 	1.4 
CP04,PCH_M12,EA	1.6 	1.9 	1.5 	1.5 	1.7 	1.6 	1.4 	2.0 	2.1 	2.8 	2.9 	3.1 
CP04,PCH_M12,EA18	1.6 	1.9 	1.5 	1.5 	1.7 	1.6 	1.4 	2.0 	2.1 	2.8 	2.9 	3.1 
CP04,PCH_M12,EA19	1.6 	1.9 	1.5 	1.5 	1.7 	1.6 	1.4 	2.0 	2.1 	2.8 	2.9 	3.1 
CP04,PCH_M12,EE	2.2 	2.0 	2.1 	3.0 	4.2 	5.9 	5.0 	4.2 	6.8 	7.7 	6.7 	6.7 
CP04,PCH_M12,EL	-1.3 	-0.7 	-1.6 	-1.9 	-2.2 	-2.1 	-1.6 	-1.2 	-0.9 	-0.6 	-0.2 	0.2 
CP04,PCH_M12,ES	2.2 	2.5 	1.3 	-2.0 	1.4 	1.0 	0.8 	2.3 	2.5 	3.7 	4.2 	5.2 
CP04,PCH_M12,EU	1.8 	2.1 	1.8 	1.8 	1.9 	1.9 	1.7 	2.1 	2.3 	2.8 	2.9 	3.0 
CP04,PCH_M12,EU28	1.8 	2.1 	1.8 	1.8 	1.9 	1.9 	1.7 	2.1 	2.3 	2.8 	2.9 	3.0 
CP04,PCH_M12,FI	2.3 	2.5 	2.2 	2.0 	1.9 	1.8 	1.8 	2.0 	1.8 	2.3 	2.3 	2.4 
CP04,PCH_M12,FR	1.5 	1.5 	1.4 	1.7 	1.9 	1.5 	1.6 	2.3 	2.1 	3.1 	2.7 	2.8 
CP04,PCH_M12,HR	-0.5 	-0.3 	-0.5 	3.5 	3.1 	3.3 	3.9 	4.9 	5.6 	5.8 	5.4 	2.8 
CP04,PCH_M12,HU	1.7 	1.8 	1.9 	2.1 	1.9 	1.8 	1.7 	1.8 	1.7 	1.8 	1.8 	1.9 
CP04,PCH_M12,IE	3.9 	5.0 	4.7 	4.8 	5.2 	5.8 	5.9 	6.9 	6.7 	6.9 	8.3 	8.0 
CP04,PCH_M12,IS	3.4 	3.1 	3.5 	3.9 	4.1 	4.3 	4.4 	4.6 	4.6 	4.7 	4.6 	4.9 
CP04,PCH_M12,IT	2.0 	2.0 	2.0 	3.0 	2.6 	2.5 	0.0 	-0.1 	0.0 	2.7 	2.7 	2.8 
CP04,PCH_M12,LT	2.2 	2.6 	3.5 	5.4 	5.4 	4.5 	4.1 	3.3 	0.4 	-0.2 	-0.4 	1.1 
CP04,PCH_M12,LU	1.5 	2.2 	1.6 	1.9 	1.6 	1.6 	2.0 	3.0 	3.3 	3.9 	3.8 	4.4 
CP04,PCH_M12,LV	1.9 	2.5 	2.0 	3.1 	2.3 	2.8 	3.0 	3.1 	4.2 	4.5 	4.8 	4.9 
CP04,PCH_M12,MK	1.2 d	1.4 d	1.5 d	1.3 d	0.9 d	0.2 d	0.5 d	0.4 d	0.6 d	0.7 d	0.6 d	-0.2 d
CP04,PCH_M12,MT	1.6 	1.5 	1.5 	1.1 	1.1 	1.1 	1.2 	1.2 	1.3 	0.7 	0.5 	0.6 
CP04,PCH_M12,NL	1.7 	2.0 	1.7 	3.3 	3.3 	3.1 	3.0 	3.3 	3.5 	4.6 	4.6 	4.7 
CP04,PCH_M12,NO	1.5 	1.2 	3.9 	4.9 	6.9 	9.4 	8.2 	6.6 	12.3 	14.7 	15.1 	13.6 
CP04,PCH_M12,PL	2.7 	2.9 	2.8 	2.4 	2.4 	2.3 	2.3 	2.3 	2.5 	2.6 	2.7 	2.5 
CP04,PCH_M12,PT	1.2 	1.3 	1.3 	1.5 	1.7 	1.4 	1.6 	2.0 	2.3 	2.6 	2.7 	2.7 
CP04,PCH_M12,RO	5.2 	5.8 	6.3 	8.6 	9.0 	9.1 	9.3 	9.1 	9.1 	7.0 	8.0 	7.8 
CP04,PCH_M12,RS	2.1 d	1.9 d	2.1 d	2.0 d	0.8 d	1.0 d	1.7 d	2.0 d	2.1 d	2.4 d	2.5 d	2.2 d
CP04,PCH_M12,SE	1.6 	1.3 	2.0 	2.2 	3.2 	4.4 	4.0 	3.3 	5.3 	5.4 	5.7 	5.1 
CP04,PCH_M12,SI	3.1 	3.4 	4.1 	4.4 	3.3 	2.9 	3.7 	3.8 	3.9 	4.7 	4.5 	6.0 
CP04,PCH_M12,SK	-1.9 	-1.8 	-1.8 	1.4 	1.5 	1.6 	1.7 	1.7 	1.9 	1.9 	1.9 	2.2 
CP04,PCH_M12,TR	9.4 d	9.8 d	9.6 d	10.2 d	9.5 d	9.5 d	10.6 d	11.2 d	12.0 d	12.8 d	16.3 d	21.8 d
CP04,PCH_M12,UK	2.3 	2.4 	2.3 	2.2 	2.2 	2.1 	2.1 	1.5 	2.1 	2.3 	2.3 	: 
CP04,PCH_M12,US	3.3 d	3.5 d	3.6 d	3.3 d	3.4 d	3.3 d	3.0 d	2.9 d	2.5 d	2.4 d	2.6 d	2.3 d
